handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
AustinScottGA08,Rep. Austin Scott,1603415058444390400,234797704,en,1603415058444390400,2022-12-15T15:41:54.000Z,"Biden wonders why our border is overwhelmed, but his administration allows some states to give illegal immigrants health insurance.

If we want to stop illegal immigration- Biden has to stop giving them benefits.

@MorningsMaria @MariaBartiromo https://t.co/XsE09UNEei",False,1603415058444390400,4,13,13,0
AustinScottGA08,Rep. Austin Scott,1602703777609416704,234797704,en,1602703777609416704,2022-12-13T16:35:32.000Z,Happy 386th Birthday to @USNationalGuard! Thank y’all for your service to our great nation. https://t.co/mbOax6HoYr,False,1602703777609416704,3,4,4,0
AustinScottGA08,Rep. Austin Scott,1602344129891127296,234797704,en,1602344129891127296,2022-12-12T16:46:25.000Z,"In what world is this acceptable or sustainable? We have no idea who these people are! This is how terrorists, criminals, and fentanyl get into our country.

@POTUS this is your fault, and any crimes committed by these unvetted individuals are your fault. This must stop! https://t.co/4VRceu57kO",False,1602344129891127296,4,10,10,0
AustinScottGA08,Rep. Austin Scott,1601262308608835585,234797704,en,1601262308608835585,2022-12-09T17:07:39.000Z,RT @jsolomonReports: RADICAL RAPHAEL: Georgia Rep. Scott slams Senate GOP arm for failing to focus on Warnock's extremism | Just The News h…,False,1601262308608835585,67,0,0,0
AustinScottGA08,Rep. Austin Scott,1600943096690114561,234797704,en,1600943096690114561,2022-12-08T19:59:12.000Z,"Moreover, I am very proud of the relationship between the Georgia National Guard and the country of Georgia’s Armed Forces as part of the State Partnership Program. 6/6",False,1600943086926168065,0,1,1,1
AustinScottGA08,Rep. Austin Scott,1600943094936969216,234797704,en,1600943094936969216,2022-12-08T19:59:12.000Z,Relationships like these are critical to overcoming threats from Russia and communist China and ensuring democracy continues to thrive. 5/6,False,1600943086926168065,1,1,1,1
AustinScottGA08,Rep. Austin Scott,1600943093112414209,234797704,en,1600943093112414209,2022-12-08T19:59:12.000Z,including establishing a partnership program with Ukraine for research on military trauma care and an amendment expressing the need for joint exercises with Taiwan. 4/6,False,1600943086926168065,1,1,1,1
AustinScottGA08,Rep. Austin Scott,1600943090570625025,234797704,en,1600943090570625025,2022-12-08T19:59:11.000Z,"I'm particularly proud of the amendments I sponsored that will increase our military's ability to operate with key partners, 3/6",False,1600943086926168065,1,1,1,0
AustinScottGA08,Rep. Austin Scott,1600943088918474752,234797704,en,1600943088918474752,2022-12-08T19:59:11.000Z,"and will ensure our military is better funded, equipped, trained, and ready to fight in these dangerous times. 2/6",False,1600943086926168065,0,1,1,0
AustinScottGA08,Rep. Austin Scott,1600943086926168065,234797704,en,1600943086926168065,2022-12-08T19:59:10.000Z,"After months of bipartisan debate, conferencing, and committee work, the House has passed the FY23 NDAA. This bill takes necessary action against Chinese and Russian aggression and increases President Biden's proposed defense budget by $45 billion, 1/6",False,1600943086926168065,2,11,11,3
AustinScottGA08,Rep. Austin Scott,1600933848937660416,234797704,en,1600933848937660416,2022-12-08T19:22:28.000Z,"Congratulations to @CongressmanGT for becoming House Agriculture Committee Chairman.

Looking forward to working with you to take care of production agriculture and America’s food supply.",False,1600933848937660416,3,2,2,0
AustinScottGA08,Rep. Austin Scott,1600542015321649152,234797704,en,1600542015321649152,2022-12-07T17:25:27.000Z,"The lives and service of the 2,403 Americans who lost their lives at Pearl Harbor in 1941 will never be forgotten.
 
We remember them today and every day. https://t.co/RkSyC6Vtge",False,1600542015321649152,1,3,3,0
AustinScottGA08,Rep. Austin Scott,1600184716870631426,234797704,en,1600184716870631426,2022-12-06T17:45:41.000Z,"In order to support our farmers, we need to ensure that funds authorized for production agriculture stay in production agriculture.

I joined @agripulse to talk through some of our top priorities for the upcoming Farm Bill. Watch here: https://t.co/Z8FZBGbgsV",False,1600184716870631426,0,5,5,0
AustinScottGA08,Rep. Austin Scott,1599769749000314880,234797704,en,1599769749000314880,2022-12-05T14:16:45.000Z,RT @agripulse: Georgia Republican @AustinScottGA08 is one of the top Republicans on the House Ag Committee and joins Newsmakers to preview…,False,1599769749000314880,1,0,0,0
AustinScottGA08,Rep. Austin Scott,1597683947613589504,234797704,en,1597683947613589504,2022-11-29T20:08:31.000Z,Praying for the family and staff of Rep. Donald McEachin after his passing. He was a dedicated public servant.,False,1597683947613589504,0,8,8,0
AustinScottGA08,Rep. Austin Scott,1597656445864267776,234797704,en,1597656445864267776,2022-11-29T18:19:14.000Z,"Biden’s war on American energy is so extreme that he is begging Venezuelan dictators for permission to drill for oil.

This is dangerous, un-American, and does nothing to solve the energy crisis that he manufactured.",False,1597656445864267776,3,32,32,0
AustinScottGA08,Rep. Austin Scott,1595824059321049088,234797704,en,1595824059321049088,2022-11-24T16:57:59.000Z,"Thanksgiving is a time to celebrate the many blessings that we have with our family and loved ones. I am thankful to be with my family today, and I am truly blessed to represent Georgia's Eighth Congressional District in Congress. https://t.co/gLtaNbV7vq",False,1595824059321049088,0,30,30,0
AustinScottGA08,Rep. Austin Scott,1595094285149413377,234797704,en,1595094285149413377,2022-11-22T16:38:07.000Z,"RT @RepBuddyCarter: ⚠️MUST READ⚠️

15,000 local pharmacies will be forced to leave the TRICARE network, impacting nearly 400,000 beneficiar…",False,1595094285149413377,5,0,0,0
AustinScottGA08,Rep. Austin Scott,1594797242506174464,234797704,en,1594797242506174464,2022-11-21T20:57:47.000Z,"Our veterans deserve access to care at every corner of the country that they selflessly defended, and my office is working to ensure that every veteran in our district has access to the medicine they need.

 4/4",False,1594796964914372608,3,1,1,0
AustinScottGA08,Rep. Austin Scott,1594797147664392195,234797704,en,1594797147664392195,2022-11-21T20:57:24.000Z,"While the DoD drags their feet, veterans are being refused lifesaving medicine because of bureaucratic red tape. This is unacceptable, and an example of why access to community pharmacies is so important.

3/4",False,1594796964914372608,3,2,2,0
