handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
BennieGThompson,Bennie G. Thompson,1606033147115630593,82453460,en,1606033147115630593,2022-12-22T21:05:15.000Z,"RT @TheDemocrats: The best protection against COVID this holiday season is getting the updated vaccine. 

Do your part. Get vaccinated. htt…",False,1606033147115630593,66,0,0,0
BennieGThompson,Bennie G. Thompson,1606033025833246734,82453460,en,1606033025833246734,2022-12-22T21:04:46.000Z,"RT @January6thCmte: The Select Committee made public additional transcripts of witness testimony:

• Cassidy Hutchinson, September 14, 2022…",False,1606033025833246734,664,0,0,0
BennieGThompson,Bennie G. Thompson,1605732989110886400,82453460,en,1605732989110886400,2022-12-22T01:12:32.000Z,"Today, we welcomed President Zelenskyy in the U.S. Congress. He received a standing ovation with a round of applause. We will continue to stand with Ukraine!",False,1605732989110886400,269,42,42,1
BennieGThompson,Bennie G. Thompson,1605725718758973440,82453460,en,1605725718758973440,2022-12-22T00:43:38.000Z,For Immediate Release: Congressman Thompson Announces The National Park Service Civil Rights Sites Special Resource Study https://t.co/aZECXXQnFX,False,1605725718758973440,80,8,8,2
BennieGThompson,Bennie G. Thompson,1605357642746060801,82453460,zxx,1605357642746060801,2022-12-21T00:21:02.000Z,https://t.co/BIdwEY2rYb,False,1605357642746060801,88,13,13,8
BennieGThompson,Bennie G. Thompson,1605220528595296256,82453460,en,1605220528595296256,2022-12-20T15:16:12.000Z,RT @WhipClyburn: Thank you to Chairman @BennieGThompson and the @January6thCmte for your efforts to discover the truth and defend our democ…,False,1605220528595296256,184,0,0,0
BennieGThompson,Bennie G. Thompson,1605220518080249859,82453460,en,1605220518080249859,2022-12-20T15:16:09.000Z,"January 6, 2021 was terrible for our nation. No one is above the law, as I have repeatedly said! Donald Trump MUST be held accountable. If we are to survive as a nation of laws and democracy, this can never happen again.",False,1605220518080249859,4329,2402,2402,191
BennieGThompson,Bennie G. Thompson,1604881915143589890,82453460,en,1604881915143589890,2022-12-19T16:50:40.000Z,RT @January6thCmte: Business meeting today at 1pm ET. https://t.co/kHPZVYvAcl,False,1604881915143589890,1086,0,0,0
BennieGThompson,Bennie G. Thompson,1603821598728937472,82453460,en,1603821598728937472,2022-12-16T18:37:21.000Z,"RT @HomelandDems: “With respect to cybersecurity, I am pleased that we were able to reach an agreement on bipartisan provisions that origin…",False,1603821598728937472,21,0,0,0
BennieGThompson,Bennie G. Thompson,1603454416912367622,82453460,en,1603454416912367622,2022-12-15T18:18:18.000Z,"RT @January6thCmte: 🗓️ The Select Committee will hold a business meeting on Monday, December 19th at 1:00pm.",False,1603454416912367622,2047,0,0,0
BennieGThompson,Bennie G. Thompson,1603087476947816448,82453460,en,1603087476947816448,2022-12-14T18:00:13.000Z,"With deep and widespread teacher shortages happening across the nation, we need to get serious about prioritizing competitive salaries for educators.

NOW is the time to ensure minimum teacher salaries of $60,000 by supporting the #AmericanTeacherAct!",False,1603087476947816448,93,22,22,5
BennieGThompson,Bennie G. Thompson,1602731072814448647,82453460,en,1602731072814448647,2022-12-13T18:23:59.000Z,Congratulations to T.C. Taylor on being named the new Head Football Coach for Jackson State University. We are looking forward to a great season! 🎉,False,1602731072814448647,22,7,7,1
BennieGThompson,Bennie G. Thompson,1602730491123318785,82453460,en,1602730491123318785,2022-12-13T18:21:41.000Z,"RT @HomelandDems: ""Extremism within our government is always alarming, but even more so in a department with a law enforcement and national…",False,1602730491123318785,68,0,0,0
BennieGThompson,Bennie G. Thompson,1602671099598307330,82453460,en,1602671099598307330,2022-12-13T14:25:40.000Z,I’m sending my condolences and prayers to the family of Coach Mike Leach.🙏🏽 https://t.co/cPR6EVVbq7,False,1602671099598307330,34,5,5,1
BennieGThompson,Bennie G. Thompson,1602668925854142464,82453460,en,1602668925854142464,2022-12-13T14:17:02.000Z,"For 386 years, members of the @USNationalGuard have helped keep our country safe -- responding to local disasters, providing critical humanitarian relief, and serving overseas. Today and every day, we celebrate all who serve our country in the Guard.",False,1602668925854142464,28,5,5,1
BennieGThompson,Bennie G. Thompson,1602400267235901440,82453460,en,1602400267235901440,2022-12-12T20:29:29.000Z,"RT @TheDemocrats: Starting in the new year, seniors on Medicare can’t be charged more than $35 for a one-month supply of insulin. 

All tha…",False,1602400267235901440,366,0,0,0
BennieGThompson,Bennie G. Thompson,1602399895474044930,82453460,en,1602399895474044930,2022-12-12T20:28:00.000Z,RT @VP: Open enrollment for health insurance is about to close. Visit https://t.co/xpFV3AWDwB today to make sure you have coverage from day…,False,1602399895474044930,658,0,0,0
BennieGThompson,Bennie G. Thompson,1601226151015624705,82453460,en,1601226151015624705,2022-12-09T14:43:58.000Z,"RT @msdh: Large numbers of Mississippians are now being hospitalized for flu or COVID-19. To stay healthy over the holidays, get a seasonal…",False,1601226151015624705,60,0,0,0
BennieGThompson,Bennie G. Thompson,1600943184628305920,82453460,en,1600943184628305920,2022-12-08T19:59:33.000Z,"The #FY23NDAA invests in what makes America strong: our service members, alliances and partnerships, and our rich diversity.

That’s why I’m so proud to support this year’s defense bill.",False,1600943184628305920,4,6,6,1
BennieGThompson,Bennie G. Thompson,1600916964838412306,82453460,en,1600916964838412306,2022-12-08T18:15:22.000Z,"The Biden Administration will not stop working to bring home every U.S. citizen wrongfully detained anywhere in the world. As the President has said, it remains a top priority. https://t.co/pSh38F9EqR",False,1600916964838412306,14,10,10,2
BennieGThompson,Bennie G. Thompson,1600915576251379712,82453460,en,1600915576251379712,2022-12-08T18:09:51.000Z,"RT @HouseJudiciary: 🚨🚨🚨 BREAKING: The House has PASSED H.R. 8404, the Respect for Marriage Act. https://t.co/G8SFuLr2sb",False,1600915576251379712,106,0,0,0
BennieGThompson,Bennie G. Thompson,1600544456620462080,82453460,en,1600544456620462080,2022-12-07T17:35:09.000Z,"We remember Pearl Harbor because it was an important moment in the modern history of America and the world. We should never forget the lives that were lost on December 7, 1941. https://t.co/8CYQdaWwew",False,1600544456620462080,27,7,7,1
BennieGThompson,Bennie G. Thompson,1600337480846233600,82453460,en,1600337480846233600,2022-12-07T03:52:42.000Z,🎉 Congratulations to Reverend Raphael Warnock and his team on a well deserved victory. The people of Georgia made the right decision. This is a great win for Georgia and democracy! 👏🏽,False,1600337480846233600,56,9,9,1
BennieGThompson,Bennie G. Thompson,1600239216515895296,82453460,en,1600239216515895296,2022-12-06T21:22:14.000Z,"Today in 1865, the Thirteenth Amendment to the Constitution was ratified, formally abolishing slavery in the United States. https://t.co/OAjPdLSmwU",False,1600239216515895296,84,10,10,3
BennieGThompson,Bennie G. Thompson,1600229574893191169,82453460,en,1600229574893191169,2022-12-06T20:43:56.000Z,"RT @DHSgov: .@SecMayorkas also redesignated Haiti for TPS, allowing Haitian nationals residing in the U.S. as of November 6, 2022 to apply…",False,1600229574893191169,40,0,0,0
BennieGThompson,Bennie G. Thompson,1600216148733087744,82453460,zxx,1600216148733087744,2022-12-06T19:50:35.000Z,https://t.co/4Z5n2vQHCm,False,1600216004499427328,62,4,4,0
BennieGThompson,Bennie G. Thompson,1600216004499427328,82453460,en,1600216004499427328,2022-12-06T19:50:00.000Z,"On January 6th, Capitol Police bravely defended our democracy. Congress now recognize the heroism displayed by our men and women in law enforcement. We recognize these brave men and women by issuing a gold medal in their honor. Thank you, heroes.",False,1600216004499427328,771,105,105,13
BennieGThompson,Bennie G. Thompson,1600215740946165760,82453460,en,1600215740946165760,2022-12-06T19:48:57.000Z,"RT @POTUS: Even if you’ve gotten vaccinated or boosted, even if you’ve had COVID before – get the updated vaccine to protect you and your f…",False,1600215740946165760,3121,0,0,0
BennieGThompson,Bennie G. Thompson,1600210138261962753,82453460,en,1600210138261962753,2022-12-06T19:26:42.000Z,"Congratulations to the 2019-2022 Fulbright Award Recipients. 👏🏽 
Ms. Anlu Zhu 
Mr. Deandrea Hawkins https://t.co/4vzSfNB0Sm",False,1600210138261962753,8,1,1,1
BennieGThompson,Bennie G. Thompson,1599600151483412480,82453460,en,1599600151483412480,2022-12-05T03:02:49.000Z,"Happy Founders’ Day to the men of Alpha Phi Alpha Fraternity, Inc. https://t.co/LYgAAo5yHu",False,1599600151483412480,12,13,13,0
BennieGThompson,Bennie G. Thompson,1599595673376018432,82453460,en,1599595673376018432,2022-12-05T02:45:02.000Z,"RT @RepJeffries: Wages are up, gas prices are down and more than 10 million jobs have been created during the Biden Presidency.

Progress.",False,1599595673376018432,6144,0,0,0
BennieGThompson,Bennie G. Thompson,1598133060926853121,82453460,en,1598133060926853121,2022-12-01T01:53:08.000Z,Today’s vote ensured a possible nationwide train shutdown was avoided. This would have devastated our economy and families across the nation. The next step is to urge the Senate to deliver the bill to President Biden’s desk!,False,1598133060926853121,23,11,11,0
BennieGThompson,Bennie G. Thompson,1598132965355442176,82453460,en,1598132965355442176,2022-12-01T01:52:45.000Z,"A 24 percent salary increase, routine time off, deductible or coinsurance payments, and many other crucial elements have been secured by the Tentative Agreement between railroads and railroad workers.",False,1598132965355442176,19,4,4,0
BennieGThompson,Bennie G. Thompson,1598132828801478658,82453460,en,1598132828801478658,2022-12-01T01:52:12.000Z,Congressman Bennie Thompson was the only Member of the Mississippi delegation that voted to avert a national rail shutdown and keep the economy going.,False,1598132828801478658,32,7,7,1
BennieGThompson,Bennie G. Thompson,1597582570409308160,82453460,en,1597582570409308160,2022-11-29T13:25:41.000Z,Rep. McEachin will be remembered for his hard work and for putting up a great fight for our democracy! (2/2),False,1597582518341226497,5,0,0,0
BennieGThompson,Bennie G. Thompson,1597582518341226497,82453460,en,1597582518341226497,2022-11-29T13:25:28.000Z,"I’m sending my condolences and prayers to the family of Rep. Donald McEachin. Wishing the family, friends, and the constituents in the Fourth Congressional District of Virginia peace and strength during this difficult time. (1/2)",False,1597582518341226497,23,4,4,0
