handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1601648371428519937,74508260,en,1601648371428519937,2022-12-10T18:41:43.000Z,Tapping the sign https://t.co/vlxCOeD1Vu,False,1601648371428519937,88,10,10,2
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1601626510204731393,74508260,en,1601626510204731393,2022-12-10T17:14:51.000Z,"RT @BillPascrell: This is your timely reminder that when donald trump withheld military aid to Ukraine to extort President Zelenskyy, 99% o…",False,1601626510204731393,316,0,0,0
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1601579102846488577,74508260,en,1601579102846488577,2022-12-10T14:06:28.000Z,"This is your timely reminder that when donald trump withheld military aid to Ukraine to extort President Zelenskyy, 99% of republicans in Congress refused to remove trump from office and turned their backs on Ukraine.",False,1601579102846488577,316,34,34,7
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1601262332092743687,74508260,en,1601262332092743687,2022-12-09T17:07:44.000Z,Timely reminder that Clarence Thomas heard election cases while his wife conspired to overthrow democracy. Clarence Thomas is corrupt as hell and should resign from the Supreme Court.,False,1601262332092743687,511,52,52,15
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1601233065014984707,74508260,en,1601233065014984707,2022-12-09T15:11:26.000Z,This is your reminder that when we tried to extend child tax credits every single republican in Congress voted no to kill them and told millions of families to go to hell. https://t.co/CDkTyEuBC2,False,1601233065014984707,268,34,34,8
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600955035751698433,74508260,en,1600955035751698433,2022-12-08T20:46:39.000Z,Reminder that when Democrats acted to save millions of truckers’ pensions last year every single republican in Congress voted no and voted to tell truckers to drop dead. https://t.co/ExqATPS3tq,False,1600955035751698433,122,9,9,4
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600888030977482752,74508260,en,"1600887263461658627,1600888030977482752",2022-12-08T16:20:24.000Z,We just voted to enshrine marriage equality as the law of the land and 81% of republicans voted no. We made history without them. https://t.co/W43Xh5ZSnH https://t.co/vIsjIxeJBu,False,1600888030977482752,205,49,49,9
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600877037077479424,74508260,en,1600877037077479424,2022-12-08T15:36:43.000Z,Gas prices keep plummeting despite the best efforts of republicans and Saudi and Russian bad actors #BidenBoom https://t.co/jW6BFgshqB,False,1600877037077479424,38,3,3,3
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600862026997583872,74508260,en,1600862026997583872,2022-12-08T14:37:04.000Z,"Democrats build economies, republicans destroy them https://t.co/qPvR5g0ZeL",False,1600862026997583872,111,21,21,6
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600843922259218432,74508260,en,1600843922259218432,2022-12-08T13:25:07.000Z,I’m so glad Ms. Griner is coming home to America and will get to spend the holidays with her loved ones. Her sentence was a barbaric sham. We cannot rest until we bring Paul Whelan home too. https://t.co/JpyssTt92t,False,1600843922259218432,99,19,19,4
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600662229182971905,74508260,en,1600662229182971905,2022-12-08T01:23:08.000Z,700 days ago insurrectionists ransacked the US Capitol and hours later 68% of House republicans voted to finish the rioters’ job and make trump a dictator. Never forget it.,False,1600662229182971905,416,26,26,16
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600587533754273792,74508260,en,1600587533754273792,2022-12-07T20:26:20.000Z,With hate and violence towards our Jewish neighbors exploding we 100+ congressmembers are calling on Pres Biden to initiate a whole of government approach to stamp out the cancer of antisemitism in America. https://t.co/8zNUjgujLc,False,1600587533754273792,120,18,18,2
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600575538711642175,74508260,en,1600575538711642175,2022-12-07T19:38:40.000Z,When Democrats voted to ban war weapons off the streets 99% of republicans in Congress voted no. https://t.co/NUt1A7Yo1S,False,1600575538711642175,93,8,8,2
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600546689219461120,74508260,en,1600546689219461120,2022-12-07T17:44:02.000Z,Makes sense: NYC dog will do anything to get to North Jersey and the best congressional district in America #NJ09. Very happy Bear was found! https://t.co/R5srVp9Yzb,False,1600546689219461120,10,4,4,0
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600530447275937798,74508260,en,1600530447275937798,2022-12-07T16:39:29.000Z,Apple is bringing good jobs home to America thanks to our action by the Dem Congress and Pres Biden hell yeah #BidenBoom https://t.co/d8XCXwEBvD,False,1600530447275937798,53,2,2,2
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600335373661483009,74508260,en,1600335373661483009,2022-12-07T03:44:20.000Z,Congratulations to Garden Stater Cris Pannullo on an incredible run on Jeopardy. You’re a trivia legend and have done our great state proud Cris #JerseyStrong💪🏽,False,1600335373661483009,6,3,3,0
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600250838433136640,74508260,en,1600250838433136640,2022-12-06T22:08:25.000Z,We just voted to make it easier for immigrants who serve in our military to apply for citizenship and over 98% of republicans voted no and voted to tell our troops to go to hell. https://t.co/vXdN5kSRmk,False,1600250838433136640,1677,129,129,83
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600158267136626689,74508260,en,1600158267136626689,2022-12-06T16:00:35.000Z,"As gas prices plummet in Jersey and across America remember that when Democrats acted to stop greedy gas gouging, every single republican in Congress voted no and voted to let Big Oil rob you blind. https://t.co/jsLmfCMjPc",False,1600158267136626689,104,12,12,3
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1600128127249760262,74508260,en,1600128127249760262,2022-12-06T14:00:49.000Z,If you want to know what republicans will do when they’re in charge look at their putrid record the last two years to get an idea https://t.co/wWlhnZkyuF,False,1600128127249760262,601,40,40,21
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599851496157290496,74508260,en,1599851496157290496,2022-12-05T19:41:35.000Z,"RT @Rep_Peltola: It's moving day! 

Today, we said goodbye to Rayburn 2314 and hello to Cannon 153. I was honored to sign the wall right un…",False,1599851496157290496,61,0,0,0
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599843777325432832,74508260,en,1599843777325432832,2022-12-05T19:10:54.000Z,"⛽️ Gas prices plummeting ⬇️
📉 Inflation falling ⬇️
💴 Wages rising ⬆️
🇺🇸 Jobs skyrocketing 🚀
#BidenBoom https://t.co/OPEGfoZGSh",False,1599843777325432832,80,16,16,4
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599816826644353025,74508260,en,1599816826644353025,2022-12-05T17:23:49.000Z,"RT @RepDonBeyer: Maybe after you have read the Constitution you will honor your oath to defend it from all enemies, including Donald Trump,…",False,1599816826644353025,193,0,0,0
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599570317881397250,74508260,en,1599570317881397250,2022-12-05T01:04:17.000Z,Here are the 138 House republicans who voted to install trump as a dictator hours after rioters tried to do the same. https://t.co/nv10cb8Zkv,False,1599570310281723904,190,14,14,9
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599570310281723904,74508260,en,1599570310281723904,2022-12-05T01:04:15.000Z,697 days ago insurrectionists ransacked the US Capitol and hours later 68% of House republicans voted to finish the rioters’ job and make trump a dictator. Never forget it.,False,1599570310281723904,600,55,55,14
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599444473171578881,74508260,en,1599444473171578881,2022-12-04T16:44:13.000Z,Donald Trump is lunching with actual nazis and calling for abolishing the Constitution and every top elected republican in America will enthusiastically support him for President if it comes to it. https://t.co/PqPPebo0bi,False,1599444473171578881,124,21,21,8
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599430751002316800,74508260,en,1599430751002316800,2022-12-04T15:49:41.000Z,"For those claiming this insulin vote was on a giant bill, here’s the full actual text republicans gutted. It deals *only* with capping insulin at $35 and republicans went out of their way to kill it and kill Americans. https://t.co/Zq1EIbNffe https://t.co/wSbpB1Zb9M",False,1599430743268069376,258,10,10,7
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599430743268069376,74508260,en,1599430743268069376,2022-12-04T15:49:39.000Z,The reason we didn’t cap insulin at $35 is because republicans blocked it. Republicans told millions of Americans to drop dead. Here are their names. https://t.co/0dT90XefXn,False,1599430743268069376,2225,126,126,90
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599400326250930176,74508260,en,1599400326250930176,2022-12-04T13:48:47.000Z,Last week the leader of the republican party had dinner with a nazi leader and a man who called Adolf hitler ‘great’. Yesterday trump called for throwing out the Constitution and making himself dictator. Republicans’ full embrace of fascism is the story.,False,1599400326250930176,1169,94,94,44
BillPascrell,"Bill Pascrell, Jr. 🇺🇸🇺🇦",1599185135743533056,74508260,en,"1599184878376931328,1599185135743533056",2022-12-03T23:33:42.000Z,A few hours ago the leader of the republican party donald trump called for destroying the Constitution and making himself dictator. https://t.co/qX1FipmQI7,False,1599185135743533056,765,147,147,30
