handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
BobbyScott,Rep. Bobby Scott,1605980437477629952,161791703,en,1605980437477629952,2022-12-22T17:35:48.000Z,"Honored to be re-elected as the Committee's leader.

I look forward to continuing my work to:

✏️Ensure every student has access to a quality education

⚒️Protect workers on the job

⚕️Expand access to affordable health care https://t.co/2ATqsSCl5v",False,1605980437477629952,2,1,1,1
BobbyScott,Rep. Bobby Scott,1605942949593767936,161791703,en,1605942949593767936,2022-12-22T15:06:50.000Z,"This morning, the Virginia Delegation met to celebrate the service of @RepElaineLuria in Congress. Thank you Elaine for your selfless service and dedication to Hampton Roads, our Commonwealth and the nation! https://t.co/rZCdxHlKwj",False,1605942949593767936,17,2,2,0
BobbyScott,Rep. Bobby Scott,1605724239012564993,161791703,en,1605724239012564993,2022-12-22T00:37:46.000Z,I am here for the Joint Meeting of Congress and looking forward to hearing from @ZelenskyyUa. https://t.co/4zZnoJEXMN,False,1605724239012564993,2,2,2,0
BobbyScott,Rep. Bobby Scott,1605668631647588353,161791703,en,1605668631647588353,2022-12-21T20:56:48.000Z,Every household is eligible to order 4 MORE FREE at-home #COVID19 tests. Order yours at https://t.co/T3ZYjkX3wD. And be sure to get your bivalent booster at https://t.co/ZoUvQhr9Kk. Vaccination and testing are the best ways to keep ourselves safe this holiday season. https://t.co/McgnRmOXJt,False,1605668631647588353,3,1,1,0
BobbyScott,Rep. Bobby Scott,1605347915828011008,161791703,en,1605347915828011008,2022-12-20T23:42:23.000Z,It was great joining Del. Cia Price and community stakeholders at @johneleynnpps and @MichaelVick’s Toy Giveaway at @_BGCVP https://t.co/OeKsgm2G1F,False,1605347915828011008,5,1,1,0
BobbyScott,Rep. Bobby Scott,1604996346905518080,161791703,en,1604996346905518080,2022-12-20T00:25:23.000Z,Had a great time joining our military personnel and law enforcement officers today at Councilwoman Sharon Scott’s Food and Toy Distribution event https://t.co/ozkTaveaIW,False,1604996346905518080,6,4,4,0
BobbyScott,Rep. Bobby Scott,1604988778862583809,161791703,en,1604988778862583809,2022-12-19T23:55:18.000Z,Congratulated my Brothers in the Delta Beta Lambda Chapter of @apa1906NETwork Happy 75th Anniversary last evening https://t.co/3uaYeMleGm,False,1604988778862583809,2,0,0,0
BobbyScott,Rep. Bobby Scott,1604943918445236224,161791703,en,1604943918445236224,2022-12-19T20:57:03.000Z,"RT @January6thCmte: We have every confidence that the work of this Committee will help provide a roadmap to justice.

Today, the Select Com…",False,1604943918445236224,1571,0,0,0
BobbyScott,Rep. Bobby Scott,1604633704856436737,161791703,en,1604633704856436737,2022-12-19T00:24:22.000Z,"#HappyHanukkah to all those celebrating tonight! 
 
May this be a time of joy for you and your loved ones. https://t.co/DMaHxLYInx",False,1604633704856436737,5,0,0,0
BobbyScott,Rep. Bobby Scott,1604627631172976651,161791703,en,1604627631172976651,2022-12-19T00:00:14.000Z,"Attended the Group Holiday Party this afternoon, hosted by Johnson Tirado, where scholarships were given to deserving young people https://t.co/jSN0sdKW6y",False,1604627631172976651,3,2,2,0
BobbyScott,Rep. Bobby Scott,1604619836528664576,161791703,en,1604619836528664576,2022-12-18T23:29:16.000Z,Had a great time last evening at the Point of Impact Podcast’s 1st Annual Recognition program https://t.co/wBhpM8IHqO,False,1604619836528664576,1,0,0,0
BobbyScott,Rep. Bobby Scott,1604536345124564992,161791703,en,1604536345124564992,2022-12-18T17:57:30.000Z,"RT @vawesleyan: ""I know that you're going to make great things happen, not only for yourselves, but also for our community and our country,…",False,1604536345124564992,4,0,0,0
BobbyScott,Rep. Bobby Scott,1604339794988847104,161791703,en,1604339794988847104,2022-12-18T04:56:28.000Z,Attended the G.W.C Brown Legacy Education Fund @apa1906NETwork Alpha Phi Lambda Chapter 2022 Black and Gold Scholarship Ball https://t.co/pdcP1bCOcw,False,1604339794988847104,7,5,5,0
BobbyScott,Rep. Bobby Scott,1604320589111562242,161791703,en,1604320589111562242,2022-12-18T03:40:09.000Z,Great seeing everyone at the South Hampton Roads Bar Association and Peninsula Bar Association Holiday Party https://t.co/xRfkx8bpU9,False,1604320589111562242,1,6,6,0
BobbyScott,Rep. Bobby Scott,1604280548926849024,161791703,en,1604280548926849024,2022-12-18T01:01:03.000Z,"Had a great time attending a Holiday Toy Drive at the Hampton Avenue Boys and Girls Club with Newport News Clerk of Court Angela Reason, her staff and volunteers https://t.co/24kKQLEfdG",False,1604280548926849024,5,2,2,1
BobbyScott,Rep. Bobby Scott,1604265341651230721,161791703,en,1604265341651230721,2022-12-18T00:00:37.000Z,I had the honor of delivering the Commencement Address and receiving an Honorary Doctorate during today’s @vawesleyan Global Campus Commencement Ceremony. Pictured with former @ODU President James Koch and @vawesleyanprez https://t.co/xAFGM90YqX,False,1604265341651230721,7,3,3,0
BobbyScott,Rep. Bobby Scott,1603871860701159424,161791703,en,1603871860701159424,2022-12-16T21:57:04.000Z,Ensuring that our criminal justice system does not expand racial inequities and uneven sentencing is always the right choice.,False,1603871857370882049,4,1,1,0
BobbyScott,Rep. Bobby Scott,1603871858859859968,161791703,en,1603871858859859968,2022-12-16T21:57:04.000Z,"I have fought to end this disparity for years and I am a proud to co-lead the EQUAL Act w/ @RepJeffries, @SenBooker, @RepTomEmmer and @RepDonBacon, which would end this sentencing disparity in federal law.",False,1603871857370882049,3,2,2,0
BobbyScott,Rep. Bobby Scott,1603871857370882049,161791703,en,1603871857370882049,2022-12-16T21:57:03.000Z,I am pleased to see Attorney General Garland commit to reversing the damaging and unnecessary sentencing disparity between crack and powder cocaine offenses. https://t.co/8pZjxi0kdl,False,1603871857370882049,16,4,4,1
BobbyScott,Rep. Bobby Scott,1603846450525442053,161791703,en,1603846450525442053,2022-12-16T20:16:06.000Z,It was an honor to attend the Change of Command Ceremony today for the Virginia National Guard’s State Military Reservation https://t.co/CroPRnc1Z3,False,1603846450525442053,3,0,0,0
BobbyScott,Rep. Bobby Scott,1603532282706464768,161791703,en,1603532282706464768,2022-12-15T23:27:43.000Z,"Wishing a happy birthday to my friend, the senior senator from the Commonwealth of Virginia, @MarkWarner! https://t.co/6XY6nOQudA",False,1603532282706464768,9,3,3,0
BobbyScott,Rep. Bobby Scott,1603415815763771392,161791703,en,1603415815763771392,2022-12-15T15:44:55.000Z,RT @CSGJC: Rep. @BobbyScott speaks about the importance of the bipartisan Justice and Mental Health Collaboration Reauthorization Act. It h…,False,1603415815763771392,4,0,0,0
BobbyScott,Rep. Bobby Scott,1603150424843980803,161791703,en,1603150424843980803,2022-12-14T22:10:21.000Z,"Had a great meeting today discussing ways to protect the health and safety of our nation’s miners with Christopher J. Williamson, the Assistant Secretary for Mine Safety and Health Administration at @USDOL. https://t.co/mCZXyRpev6",False,1603150424843980803,6,0,0,0
BobbyScott,Rep. Bobby Scott,1603123122630172672,161791703,en,1603123122630172672,2022-12-14T20:21:51.000Z,Honored to receive the Congressional Leadership in Justice Award from the @CSGJC. https://t.co/jpcQGjnzjb,False,1603123122630172672,10,0,0,1
BobbyScott,Rep. Bobby Scott,1603069391784103937,161791703,en,1603069391784103937,2022-12-14T16:48:21.000Z,"Since AmeriCorps' founding, over 1,900 members from my district have been mobilized across the nation, serving more than 3.2 million hours. https://t.co/mchfK1I3Gt",False,1603068229643112450,1,2,2,0
BobbyScott,Rep. Bobby Scott,1603068229643112450,161791703,en,1603068229643112450,2022-12-14T16:43:44.000Z,AmeriCorps? More like #AmeriThanks. https://t.co/ZPynVO3NtK,False,1603068229643112450,4,2,2,3
BobbyScott,Rep. Bobby Scott,1603066031613874177,161791703,en,1603066031613874177,2022-12-14T16:35:00.000Z,RT @EdLaborCmte: #HAPPENINGNOW: Chair @RepWilson is holding a hearing with @AmeriCorps leaders to discuss the important role its members an…,False,1603066031613874177,8,0,0,0
BobbyScott,Rep. Bobby Scott,1602787421682286598,161791703,en,1602787421682286598,2022-12-13T22:07:54.000Z,Wishing our friend and colleague @GKButterfield a happy retirement! https://t.co/JmbtZHHqOn,False,1602787421682286598,5,2,2,1
BobbyScott,Rep. Bobby Scott,1602704905780842502,161791703,en,1602704905780842502,2022-12-13T16:40:01.000Z,"Inflation is LOWER. 
Gas prices are DOWN. 
GDP is UP. 
Manufacturing is BOOMING. 
Unemployment is LOW. 
Wages are UP. 

We’re making real progress on @POTUS’ top economic priority—tackling inflation while we transition to stable, steady economic growth.

https://t.co/2t1cAk2mOt",False,1602704905780842502,3,4,4,0
BobbyScott,Rep. Bobby Scott,1602500221677834241,161791703,en,1602500221677834241,2022-12-13T03:06:40.000Z,Attended the @VAMaritime Business meeting this afternoon. Great seeing representatives from the maritime and shipbuilding industries https://t.co/6PuVnPQrjC,False,1602500221677834241,4,7,7,1
BobbyScott,Rep. Bobby Scott,1602451163919650816,161791703,en,1602451163919650816,2022-12-12T23:51:44.000Z,It was nice catching up with @timkaine and other attendees during the @Chamber757 Senatorial Forum today https://t.co/BB4oLZmOm1,False,1602451163919650816,0,1,1,2
BobbyScott,Rep. Bobby Scott,1601781695824658432,161791703,en,1601781695824658432,2022-12-11T03:31:30.000Z,Great seeing Newport News Councilman-Elect John Eley at his Councilman’s Ball tonight https://t.co/TVfvakfhed,False,1601781695824658432,7,9,9,0
BobbyScott,Rep. Bobby Scott,1601712232169017344,161791703,en,1601712232169017344,2022-12-10T22:55:29.000Z,Had a great time at the @TRADOC Holiday reception. That you General Gary Brito for hosting! https://t.co/WC3tE3IXpq,False,1601712232169017344,3,1,1,0
BobbyScott,Rep. Bobby Scott,1601711136411643904,161791703,en,1601711136411643904,2022-12-10T22:51:07.000Z,Thank you Urban League of Hampton Roads for hosting today’s health expo and COVID-19 vaccination clinic! @UrbanLeagueHR https://t.co/Zhe3Tu7ggO,False,1601711136411643904,9,0,0,0
BobbyScott,Rep. Bobby Scott,1600980692024037376,161791703,en,1600980692024037376,2022-12-08T22:28:36.000Z,"Thanks to the American Rescue Plan, more than 350,000 participants of the Central States Pension Fund will have their retirement benefits saved and 1,005 businesses contributing to the plan will be protected.
This a historic victory that is keeping the promises made to retirees! https://t.co/AeLZGsDuFE",False,1600980692024037376,4,0,0,0
BobbyScott,Rep. Bobby Scott,1600912145075826688,161791703,en,1600912145075826688,2022-12-08T17:56:13.000Z,"I look forward to seeing @POTUS sign this legislation into law to further guarantee that all Americans, regardless of who they love, have the right to life, liberty and the pursuit of happiness.",False,1600912139660988417,2,0,0,1
