handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
Call_Me_Dutch,Dutch Ruppersberger,1600929884993638400,305620929,en,1600929884993638400,2022-12-08T19:06:43.000Z,This House just passed a #bipartisan #FY23NDAA that has many victories for #Maryland troops and projects at our military facilities including @FtMeadeMD @USAGAPG @WRBethesda @NSWCCarderock @Andrews_JBA MORE: https://t.co/p8L0qC3cvp,False,1600929884993638400,2,5,5,0
Call_Me_Dutch,Dutch Ruppersberger,1600908452448337921,305620929,en,1600908452448337921,2022-12-08T17:41:33.000Z,This year’s defense bill will strengthen our national security by investing in our greatest asset: our people. #FY23NDAA https://t.co/RLIc3Kpte4,False,1600908452448337921,0,1,1,0
Call_Me_Dutch,Dutch Ruppersberger,1600859362246987783,305620929,en,1600859362246987783,2022-12-08T14:26:29.000Z,"RT @LGBTEqCaucus: Today the House will vote to send the #RespectForMarriageAct to the President’s desk.

Passage of this bill will be a hug…",False,1600859362246987783,86,0,0,0
Call_Me_Dutch,Dutch Ruppersberger,1600594968644620306,305620929,en,1600594968644620306,2022-12-07T20:55:52.000Z,"#TeamMaryland just announced $55 million in funding for @MDHealthDept + @BMore_Healthy to hire staff, upgrade equipment and provide services needed to protect community health. This is the #ARPA at work! https://t.co/Ntx3jeJZpz",False,1600594968644620306,0,3,3,0
Call_Me_Dutch,Dutch Ruppersberger,1600210414490464256,305620929,en,1600210414490464256,2022-12-06T19:27:47.000Z,"Our veterans fought for our country, and now it’s our turn to fight for them. Today, @HouseDemocrats are honoring our promises to veterans by passing the #VeteranServiceRecognitionAct, protecting deported veterans’ access to the VA benefits they’ve earned. https://t.co/37IWASdaqy",False,1600210414490464256,3,2,2,0
Call_Me_Dutch,Dutch Ruppersberger,1599883670105780225,305620929,en,1599883670105780225,2022-12-05T21:49:26.000Z,I tested positive for COVID-19 this afternoon. I'm not currently experiencing any symptoms except for mild fatigue. I will be voting by proxy while isolating this week.,False,1599883670105780225,4,11,11,5
Call_Me_Dutch,Dutch Ruppersberger,1599863097044664320,305620929,en,1599863097044664320,2022-12-05T20:27:41.000Z,"RT @LeaderHoyer: The @UrbanLeague, @NationalAction, and the @gwul365 agree with Maryland leaders that bringing the FBI headquarters in Prin…",False,1599863097044664320,7,0,0,0
Call_Me_Dutch,Dutch Ruppersberger,1598383774986911745,305620929,en,1598383774986911745,2022-12-01T18:29:23.000Z,I urge the Senate to follow in the House’s footsteps by voting YES on HJ Res 100 and H Con Res 119 to avert a rail strike and boost the quality of life of America's rail workforce. A shutdown would damage our economy and hurt people and families. Congress must act now.,False,1598383774986911745,2,8,8,0
Call_Me_Dutch,Dutch Ruppersberger,1597595346640961536,305620929,en,1597595346640961536,2022-11-29T14:16:27.000Z,"Sad to hear of the passing of @RepMcEachin after a courageous battle with cancer. Don served his constituents in our neighbor state of Virginia -- and our country -- well. My thoughts are with his family, friends and staff.",False,1597595346640961536,1,3,3,0
Call_Me_Dutch,Dutch Ruppersberger,1596331689961476096,305620929,en,1596331689961476096,2022-11-26T02:35:07.000Z,"RT @RepKweisiMfume: #ShopSmall today and throughout the Holiday Season. Keep your money, in your community, with your local entrepreneurs.…",False,1596331689961476096,1,0,0,0
Call_Me_Dutch,Dutch Ruppersberger,1595815131677659138,305620929,en,1595815131677659138,2022-11-24T16:22:30.000Z,"This #Thanksgiving , I am grateful for my family (including my 100-year-old mom!), an all-star staff and the opportunity to serve the constituents of Maryland's Second District once again. From mine to yours: https://t.co/QlycqDqbg0",False,1595815131677659138,0,1,1,1
Call_Me_Dutch,Dutch Ruppersberger,1595249129470541824,305620929,en,1595249129470541824,2022-11-23T02:53:25.000Z,Proud to help @NavalAcademy break ground on a new seawall to ward off the Severn for the next 75 years and to secure the federal funding necessary for this project. Investing in climate resiliency mean investing in our future leaders and our national security. https://t.co/ntkMRBmaPo,False,1595249129470541824,2,8,8,1
Call_Me_Dutch,Dutch Ruppersberger,1594896515285262336,305620929,en,1594896515285262336,2022-11-22T03:32:15.000Z,"RT @LeaderHoyer: Wishing my good friend and partner in representing Prince George’s County, @RepAnthonyBrown, a happy birthday. Thank you f…",False,1594896515285262336,3,0,0,0
Call_Me_Dutch,Dutch Ruppersberger,1594141776717152257,305620929,en,1594141776717152257,2022-11-20T01:33:11.000Z,"@TheFrankEdmands @TheFrankEdmands the states get enough cushion in their SNAP allocations to cover reimbursement. Shouldn’t require any new spending. But yes, once caught, criminals should be held responsible.",False,1594116040212025344,0,1,1,0
Call_Me_Dutch,Dutch Ruppersberger,1594109546858835969,305620929,en,1594109546858835969,2022-11-19T23:25:07.000Z,RT @kyoshino: Reporters @WintrodeBrenda @brenna__smith have been  writing about ongoing problems with SNAP benefits being stolen/cancelled…,False,1594109546858835969,13,0,0,0
Call_Me_Dutch,Dutch Ruppersberger,1593695265399181312,305620929,en,1593695265399181312,2022-11-18T19:58:55.000Z,"RT @JayPerman: #TeamMaryland knows #highered advances social mobility, R&amp;D, economic growth &amp; the public good. Couldn't be prouder that the…",False,1593695265399181312,1,0,0,0
Call_Me_Dutch,Dutch Ruppersberger,1593671248260857858,305620929,en,1593671248260857858,2022-11-18T18:23:29.000Z,"Full release on my efforts to help victims of #SNAP theft, which is happening at record levels around the country. This is an unconscionable crime robbing seniors, struggling families and disabled persons of their monthly food budgets. We must step up: https://t.co/UhwfKXsx38",False,1593671248260857858,3,2,2,0
Call_Me_Dutch,Dutch Ruppersberger,1593626342695866370,305620929,en,1593626342695866370,2022-11-18T15:25:02.000Z,"Myself and all of #TeamMaryland are so proud of 
@LeaderHoyer's leadership and service -- he has accomplished so much on behalf of our constituents and our country. I will always be grateful to have learned from and worked with my friend, Steny. https://t.co/sVdVIXCubb",False,1593626342695866370,2,1,1,0
Call_Me_Dutch,Dutch Ruppersberger,1593625212297297923,305620929,en,1593625212297297923,2022-11-18T15:20:33.000Z,@mal_sofastaii @WMAR2News Point of clarification: This doesn't involve new spending because the states already receive enough annual SNAP funding in their allocation to cover theft reimbursements.,False,1593357028801609735,2,0,0,0
Call_Me_Dutch,Dutch Ruppersberger,1593373486587826176,305620929,en,1593373486587826176,2022-11-17T22:40:17.000Z,"Throwback to Oct 2018, when @SpeakerPelosi visited @TowsonU and fielded questions from students for more than an hour. A true Baltimorean at heart. My full statement on the Speaker’s decision to step down from party leadership here: https://t.co/TaClOcsE1I https://t.co/YcfBpPIiLM",False,1593373486587826176,2,1,1,1
Call_Me_Dutch,Dutch Ruppersberger,1593366784433864704,305620929,en,1593366784433864704,2022-11-17T22:13:39.000Z,RT @mal_sofastaii: #BREAKING @Call_Me_Dutch has introduced legislation that would replace SNAP benefits stolen by identity theft/skimming.…,False,1593366784433864704,4,0,0,0
Call_Me_Dutch,Dutch Ruppersberger,1593263366432325635,305620929,en,1593263366432325635,2022-11-17T15:22:42.000Z,"RT @RepDavidTrone: Yesterday, #TeamMaryland sat down with @Univ_System_MD to discuss affordability and research funding for our state unive…",False,1593263366432325635,6,0,0,0
Call_Me_Dutch,Dutch Ruppersberger,1592979821579190275,305620929,en,1592979821579190275,2022-11-16T20:36:00.000Z,"#TeamDutch's Danielle represented us last night at the  Baltimore County Farm Bureau of @FarmBureauMD's annual banquet in Maryland. Proud to earn a ""friend of the farm bureau"" award earlier this year for supporting our local farms and pro-agriculture policies in Washington! https://t.co/dOWt13sanV",False,1592979821579190275,2,1,1,0
Call_Me_Dutch,Dutch Ruppersberger,1592966986987880448,305620929,en,1592966986987880448,2022-11-16T19:45:00.000Z,Shout-out to @CrownCastle for doing great work at the local @BGCA_Clubs in #MD02 in Fort Meade yesterday. This is what community partnership looks like! https://t.co/eSIhQXCHHB,False,1592966986987880448,1,1,1,0
Call_Me_Dutch,Dutch Ruppersberger,1592961772226772992,305620929,en,1592961772226772992,2022-11-16T19:24:16.000Z,"One year ago yesterday, @POTUS signed the Bipartisan Infrastructure Law and #Maryland has received $2.6 billion so far. Together, we’re already building a better America. See where they money -- and jobs -- are going: https://t.co/g1NyC5iPK3",False,1592961772226772992,1,2,2,0
Call_Me_Dutch,Dutch Ruppersberger,1592564039561117696,305620929,en,1592564039561117696,2022-11-15T17:03:50.000Z,"One year later and the Bipartisan Infrastructure Law is sending historic investment to states like #Maryland to invest in better roads, bridges, transit, rail, airports, ports, and more. This #InfrastructureDecade, we are building a better America.",False,1592564039561117696,7,2,2,0
Call_Me_Dutch,Dutch Ruppersberger,1592537337980162049,305620929,en,1592537337980162049,2022-11-15T15:17:43.000Z,"Late w/ the news, but I was honored to earn a 100% on @HRC’s Congressional Scorecard for the 117th Congress. Everyone deserves to love who they love and live freely. This is only the beginning of the fight for equality. Learn more: https://t.co/h0denGPNOi https://t.co/jfCiaGq7x7",False,1592537337980162049,1,2,2,0
Call_Me_Dutch,Dutch Ruppersberger,1591202619179307013,305620929,en,1591202619179307013,2022-11-11T22:54:02.000Z,"One of my proudest accomplishments was creating Operation Hero Miles in ‘03. Today, the program is administered by the amazing @FisherHouseFdtn and helps wounded and ill troops and their families. On this #VeteransDay2022, please consider supporting them! https://t.co/8ojNDUxE4g",False,1591202619179307013,1,1,1,0
Call_Me_Dutch,Dutch Ruppersberger,1591130749448884224,305620929,en,1591130749448884224,2022-11-11T18:08:27.000Z,"#VeteransDay is more than just a chance to say ""thank you."" It is a chance to recommit ourselves to ensuring veterans and their families have the resources they need to live meaningful lives long after they hang up the uniform. I will continue my work to do just that. https://t.co/LKS1XddcOm",False,1591130749448884224,2,1,1,0
Call_Me_Dutch,Dutch Ruppersberger,1587810841449078786,305620929,en,1587810841449078786,2022-11-02T14:16:19.000Z,"Thanks to the Inflation Reduction Act, 13 million Americans will save an average of $800 per year and $2,400 per family on #ACA health insurance premiums.
Open enrollment began yesterday and goes through Dec. 15. #GetCovered for the start of 2023! More: https://t.co/TUf4ZnYgOJ https://t.co/v8qsDc2YT4",False,1587810841449078786,1,2,2,0
