handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
ChrisVanHollen,Senator Chris Van Hollen,1601308857711890432,18137749,en,"1601304161106415616,1601308857711890432",2022-12-09T20:12:37.000Z,"This announcement by Gov.-Elect Wes Moore is welcome news. @SenatorCardin, the MD delegation &amp; I stand ready to work with you to deliver the federal share of this project. Baltimore has lost valuable time &amp; opportunities b/c the current Gov. pulled the plug on this 7 years ago. https://t.co/lZ2xKd78Vf https://t.co/bgw6SwIvrl",False,1601308857711890432,7,3,3,0
ChrisVanHollen,Senator Chris Van Hollen,1601294663792857089,18137749,en,1601294663792857089,2022-12-09T19:16:13.000Z,"Big Oil can’t open its mouth without lying.
 
It’s time to pass my Polluters Pay Climate Fund bill so Big Oil will not just talk the talk, but be required to walk the walk. After years of misleading the public they need to help pay to clean up the mess they made. https://t.co/KS30tk8zft",False,1601294663792857089,10,3,3,0
ChrisVanHollen,Senator Chris Van Hollen,1600983483639558144,18137749,en,1600983483639558144,2022-12-08T22:39:41.000Z,"Had the chance to “BeReal” today w/ @umbcsga &amp; talk about real issues impacting students! From increasing youth voter turnout to college affordability it was great to hear about the issues they’re passionate about. When students speak, we should listen – they're our future! https://t.co/7NqoiamR9F",False,1600983483639558144,7,11,11,1
ChrisVanHollen,Senator Chris Van Hollen,1600901754920501250,18137749,en,1600901754920501250,2022-12-08T17:14:56.000Z,"Next step, the President’s Desk! This is another big step in the fight for equality. Love wins! https://t.co/cGCZH7QQaf",False,1600901754920501250,6,3,3,3
ChrisVanHollen,Senator Chris Van Hollen,1600895467931721728,18137749,en,1600895467931721728,2022-12-08T16:49:57.000Z,"The #ChildTaxCredit is one of our most successful tools in combating child poverty: when we expanded it last year, it cut child poverty nearly in half, reaching nearly 40M families! We need to restore it and keep fighting to eliminate child poverty altogether. https://t.co/DYHOEFaw3a",False,1600895467931721728,64,9,9,7
ChrisVanHollen,Senator Chris Van Hollen,1600876555034824704,18137749,en,1600876555034824704,2022-12-08T15:34:48.000Z,"The Coast Guard Yard is a critical national asset based here in MD, but needs major infrastructure upgrades to continue meeting its mission &amp; support good-paying jobs. Glad to report that we secured the needed funding in the defense bill. Now let’s get this over the finish line! https://t.co/1B0Yq7O9UX",False,1600876555034824704,11,5,5,0
ChrisVanHollen,Senator Chris Van Hollen,1600868125032951808,18137749,en,1600868125032951808,2022-12-08T15:01:18.000Z,Investing in HBCUs &amp; MSIs is good for our students &amp; American innovation. That's why @SenThomTillis and I worked to secure provisions from our HBCU Rise Act in this year’s defense bill. We are one step closer to getting it passed to bolster funding for these universities! https://t.co/2VNUQ0kXKG,False,1600868125032951808,8,4,4,0
ChrisVanHollen,Senator Chris Van Hollen,1600857875819114496,18137749,en,1600857875819114496,2022-12-08T14:20:34.000Z,Breathing a deep sigh of relief that Brittney Griner is safely on her way home. Glad that President Biden &amp; his team made this happen. We must redouble our efforts to free Paul Whelan and all Americans wrongly detained abroad. https://t.co/nkVckKvLq6,False,1600857875819114496,17,5,5,0
ChrisVanHollen,Senator Chris Van Hollen,1600626125985746944,18137749,en,1600626125985746944,2022-12-07T22:59:41.000Z,"First, the Apprentice. Now, Storage Wars? This reckless behavior may work on reality TV, but not for the presidency. It’s dangerous and puts our country’s national security at risk. https://t.co/JbnH4eezYm",False,1600626125985746944,16,2,2,0
ChrisVanHollen,Senator Chris Van Hollen,1600493741910941697,18137749,en,1600493741910941697,2022-12-07T14:13:38.000Z,"Congrats @SenatorWarnock! Glad that you will continue to serve the people of Georgia in the Senate, and I look forward to our continued work together to move America forward.",False,1600493741910941697,8,4,4,0
