handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
CongBoyle,Rep. Brendan Boyle,1601314239100092416,4304448314,en,1601314239100092416,2022-12-09T20:34:00.000Z,This 👇 https://t.co/FkscoAXmxL,False,1601314239100092416,3,1,1,0
CongBoyle,Rep. Brendan Boyle,1601284595403870208,4304448314,en,1601284595403870208,2022-12-09T18:36:12.000Z,"RT @PHLschools: Thursday, December 15 | 10 a.m. and https://t.co/Wsr599W92w. on Zoom

Join us for a family workshop on the District's free…",False,1601284595403870208,2,0,0,0
CongBoyle,Rep. Brendan Boyle,1600965156229390336,4304448314,en,1600965156229390336,2022-12-08T21:26:52.000Z,"Today, I was honored to meet with several parliamentarians of the Verkhovna Rada who were on Capitol Hill to provide an update on the situation in Ukraine. I expressed Congress’s unwavering support for the Ukrainian people and their heroic fight for democracy #SlavaUkraini https://t.co/UXXpaubasM",False,1600965156229390336,8,3,3,0
CongBoyle,Rep. Brendan Boyle,1600887025196044288,4304448314,en,1600887025196044288,2022-12-08T16:16:24.000Z,The House just PASSED the #RespectforMarriageAct. Passage of this bill is long overdue—to protect &amp; respect the sanctity of same-sex &amp; interracial marriages in this country. #LoveWins 🌈 https://t.co/HqbgR0tqa5,False,1600887025196044288,5,1,1,1
CongBoyle,Rep. Brendan Boyle,1600878376646225921,4304448314,en,1600878376646225921,2022-12-08T15:42:02.000Z,"Today the House will vote for final passage of the #RespectForMarriageAct to send it to @POTUS.

I look forward to voting for this bill again in the House so we can enact it into law. 🌈 #LoveWins",False,1600878376646225921,2,4,4,0
CongBoyle,Rep. Brendan Boyle,1600561448568045568,4304448314,en,1600561448568045568,2022-12-07T18:42:40.000Z,RT @LeaderHoyer: I congratulate @CongBoyle on his election to serve as the Ranking Member of @HouseBudgetDems in the 118th Congress. As Ran…,False,1600561448568045568,7,0,0,0
CongBoyle,Rep. Brendan Boyle,1600514866833408002,4304448314,en,1600514866833408002,2022-12-07T15:37:35.000Z,"81 years ago, America was attacked on “a day which will live in infamy.”
Join us in remembering the lives lost on this day. https://t.co/pVhw9KSwwD",False,1600514866833408002,0,3,3,0
CongBoyle,Rep. Brendan Boyle,1600178754805850115,4304448314,en,1600178754805850115,2022-12-06T17:21:59.000Z,"RT @NewDemCoalition: Congratulations to New Dem Brendan Boyle on his election to serve as Ranking Member on the House Budget Committee! 

A…",False,1600178754805850115,8,0,0,0
CongBoyle,Rep. Brendan Boyle,1600152632789594113,4304448314,en,1600152632789594113,2022-12-06T15:38:11.000Z,-- lead his party on the Budget Committee since fellow Philadelphian William Gray III held the same post in the 1980s.,False,1600152630507892739,1,2,2,0
CongBoyle,Rep. Brendan Boyle,1600152630507892739,4304448314,en,1600152630507892739,2022-12-06T15:38:11.000Z,"Congrats to Congressman Brendan Boyle upon becoming the youngest Member of Congress to lead his party on any legislative committee since Paul Ryan, who served as Lead Republican on the Budget Committee a dozen years ago. Boyle  becomes the youngest Democrat to--(cont.) https://t.co/nTrn0OkKrW",False,1600152630507892739,13,5,5,2
CongBoyle,Rep. Brendan Boyle,1599858736037699585,4304448314,en,1599858736037699585,2022-12-05T20:10:21.000Z,"RT @WaysMeansCmte: Bottom line: ""The temporary 2021 federal #ChildTaxCredit expansion dramatically reduced child poverty and material hards…",False,1599858736037699585,13,0,0,0
CongBoyle,Rep. Brendan Boyle,1598781218069549057,4304448314,en,1598781218069549057,2022-12-02T20:48:40.000Z,"RT @HouseBudgetDems: When Democrats passed the American Rescue Plan, we put working families first.

A new report from @JECDems shows that…",False,1598781218069549057,7,0,0,0
CongBoyle,Rep. Brendan Boyle,1598341609967476736,4304448314,en,1598341609967476736,2022-12-01T15:41:50.000Z,"RT @HouseBudgetDems: Next time Republicans pretend to be the party of the working class, remember this: their top economic priority is hold…",False,1598341609967476736,11,0,0,0
CongBoyle,Rep. Brendan Boyle,1597712529098436608,4304448314,en,1597712529098436608,2022-11-29T22:02:05.000Z,"Grateful to receive the annual ""Friend of the PA Farm Bureau"" award today at the @RdgTerminalMkt 

From fighting to expand rural broadband to improving water conservation--I will do my part.  Always proud to use my voice in Congress to elevate/improve PA farming &amp; Agriculture! https://t.co/2BMjNBqlmk",False,1597712529098436608,3,2,2,1
CongBoyle,Rep. Brendan Boyle,1595774738168795137,4304448314,zxx,1595774738168795137,2022-11-24T13:42:00.000Z,https://t.co/IJtmgnK3Lj,False,1595774738168795137,0,4,4,0
CongBoyle,Rep. Brendan Boyle,1595446756057255939,4304448314,en,1595446756057255939,2022-11-23T15:58:43.000Z,"RT @PADCEDnews: To those that work in acres and not in hours, we say thank you. ❤️👨‍🌾

This #Thanksgiving — and every day — we are thankful…",False,1595446756057255939,7,0,0,0
CongBoyle,Rep. Brendan Boyle,1595444813863608320,4304448314,en,1595444813863608320,2022-11-23T15:51:00.000Z,"In observance of the Thanksgiving Holiday, my Philadelphia District Offices and my Washington, DC office will be closed Thursday 11/24 and Friday 11/25.
They will reopen Monday, November 28th.  

Happy Thanksgiving everyone!",False,1595444813863608320,2,1,1,0
CongBoyle,Rep. Brendan Boyle,1595172771566391474,4304448314,en,1595172771566391474,2022-11-22T21:50:00.000Z,"Rest in Peace to the victims of the #ClubQ attack. 

Derrick Rump
Ashley Paugh
Kelly Loving
Daniel Aston
Raymond Green Vance

We must end the epidemic of violence &amp; hate. LGBTQ+ people should not have to fear existing, living, &amp; being their most authentic selves. https://t.co/CvEdYz4sxv",False,1595172771566391474,6,4,4,0
CongBoyle,Rep. Brendan Boyle,1595114992730537984,4304448314,en,1595114992730537984,2022-11-22T18:00:24.000Z,"RT @HouseBudgetDems: It hasn't even been a week and House Republicans are already plotting to use their power to:

❌ Shield corporations fr…",False,1595114992730537984,10,0,0,0
CongBoyle,Rep. Brendan Boyle,1595105008567173121,4304448314,en,1595105008567173121,2022-11-22T17:20:44.000Z,We urged the DOJ to outline the steps the agency is taking to counter the threats and provide further guidance to health care providers on how to protect their staff and patients from such threats.,False,1595105006390214657,3,2,2,0
CongBoyle,Rep. Brendan Boyle,1595105006390214657,4304448314,en,1595105006390214657,2022-11-22T17:20:43.000Z,"Proud to join more than 35 of my fellow House members in writing to the U.S. Department of Justice (DOJ) about a wave of threats of violence directed to several children’s hospitals across the country because of their treatment of transgender and non-binary patients.
(cont.) https://t.co/dgiu5yQfAh",False,1595105006390214657,51,15,15,3
CongBoyle,Rep. Brendan Boyle,1594805164795371522,4304448314,en,1594805164795371522,2022-11-21T21:29:15.000Z,"RT @WaysMeansCmte: One year later, the Bipartisan Infrastructure Law is improving lives by:
👷‍♀️ Creating good-paying jobs
🚗 Improving mobi…",False,1594805164795371522,6,0,0,0
