handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
CongMikeSimpson,Cong. Mike Simpson,1605751095208267777,76132891,en,1605751095208267777,2022-12-22T02:24:29.000Z,"President Zelensky’s historic speech is an incredibly important reminder that the free world must stand together against Russian aggression. The United States will always fight for freedom and democracy. We are with you, Ukraine. And we believe that you will win.",False,1605751095208267777,19,75,75,4
CongMikeSimpson,Cong. Mike Simpson,1605681076436967451,76132891,en,1605681076436967451,2022-12-21T21:46:15.000Z,"The Senate must act NOW and pass the Affordable and Secure Food Act.

https://t.co/Vf173LyZ6d",False,1605681076436967451,0,4,4,0
CongMikeSimpson,Cong. Mike Simpson,1605261017835085825,76132891,en,1605261017835085825,2022-12-20T17:57:05.000Z,"Now is the time to help prevent significant labor cost increases for those who put food on our tables by reforming our agriculture immigration system. 

The pieces are in place and the U.S. Senate must act.

https://t.co/ZkVWyfRyBb",False,1605261017835085825,0,28,28,2
CongMikeSimpson,Cong. Mike Simpson,1603885106766049280,76132891,en,1603885106766049280,2022-12-16T22:49:42.000Z,"For the majority, it is McCarthy. If it takes 1 ballot, 10 ballots, or 100 ballots.",False,1603885103993626624,2,15,15,2
CongMikeSimpson,Cong. Mike Simpson,1603885103993626624,76132891,en,1603885103993626624,2022-12-16T22:49:42.000Z,"“Consensus” — the majority opinion of a group. 

@GOPLeader won 85% of the vote in our conference. He is the consensus candidate. We can not allow the small minority who lost the election in our conference to hold us hostage or it will never end.",False,1603885103993626624,7,38,38,5
CongMikeSimpson,Cong. Mike Simpson,1603861770451714050,76132891,en,1603861770451714050,2022-12-16T21:16:59.000Z,"The President’s “work” includes fighting construction of the border wall and ending Title 42 — an agenda that has only made the problem worse. 

I hope he is ready to work with a Republican-led House to find solutions and put an end to this crisis. https://t.co/D6VPD6eTxC",False,1603861770451714050,0,23,23,2
CongMikeSimpson,Cong. Mike Simpson,1603840985595019265,76132891,en,1603840985595019265,2022-12-16T19:54:23.000Z,"This is a huge breakthrough for the future of clean energy. 

Congrats to @Livermore_Lab for the exciting achievement of fusion ignition. https://t.co/SddRpxGQl3",False,1603840985595019265,0,19,19,1
CongMikeSimpson,Cong. Mike Simpson,1603813095792857088,76132891,en,1603813095792857088,2022-12-16T18:03:34.000Z,"The cost of food has increased 12.4% over the last year, putting 70% of Americans in a bind. 

The Senate can help by passing the Farm Workforce Modernization Act. More than an immigration bill, FWMA will reduce costs for those who put food on our tables. https://t.co/TaKAmJdQAl",False,1603813095792857088,0,11,11,1
CongMikeSimpson,Cong. Mike Simpson,1603442425628090370,76132891,en,1603442425628090370,2022-12-15T17:30:39.000Z,RT @Ximena_Bustillo: NOW: @MichaelBennet and @RepNewhouse unveil their bill aimed at providing a pathway to legalization for undocumented f…,False,1603442425628090370,12,0,0,0
CongMikeSimpson,Cong. Mike Simpson,1603440804701560833,76132891,en,1603440804701560833,2022-12-15T17:24:12.000Z,"For years I’ve worked with a coalition of Idaho producers &amp; others to create the Farm Workforce Modernization Act, a legislative solution to this workforce shortage. We’ve passed this bill in the House — TWICE! Now it’s time for the Senate to Act.

https://t.co/wmItIXP0lD",False,1603440802809933829,0,13,13,2
CongMikeSimpson,Cong. Mike Simpson,1603440802809933829,76132891,en,1603440802809933829,2022-12-15T17:24:12.000Z,"As 2022 comes to an end, Idaho families still worry about inflation and rising food costs. 

Agriculture faces a growing workforce crisis, and if Congress doesn’t act to prevent significant labor cost increases for our farmers, all Americans will still feel the painful impact.",False,1603440802809933829,0,16,16,1
CongMikeSimpson,Cong. Mike Simpson,1603416487670448128,76132891,en,1603416487670448128,2022-12-15T15:47:35.000Z,"Idaho is home to one of the most unique water systems in the world in the Snake River and Snake River Plain aquifer. This system is also one of the most precious resources for our state. 

Thanks for highlighting this important story @KTVB. https://t.co/ZtbNnSLepq",False,1603416487670448128,0,10,10,1
CongMikeSimpson,Cong. Mike Simpson,1602728777557364736,76132891,en,1602728777557364736,2022-12-13T18:14:52.000Z,"Happy 386th Birthday to the U.S. National Guard. Since 1636, the National Guard has been “Always Ready, Always There.”

Thank you for answering the call to serve! https://t.co/bgA1vHmbrv",False,1602728777557364736,1,16,16,1
CongMikeSimpson,Cong. Mike Simpson,1602702650700894208,76132891,art,1602702650700894208,2022-12-13T16:31:03.000Z,❄️❄️❄️ https://t.co/e2EOlBiHiw,False,1602702650700894208,1,25,25,1
CongMikeSimpson,Cong. Mike Simpson,1602408533911535616,76132891,en,1602408533911535616,2022-12-12T21:02:20.000Z,"RT @INL: .@INL has had a record-breaking year, including the largest workplace @UnitedWay campaign #Idaho has ever seen with $685,000 going…",False,1602408533911535616,2,0,0,0
CongMikeSimpson,Cong. Mike Simpson,1602395304019775488,76132891,en,1602395304019775488,2022-12-12T20:09:46.000Z,"Remember when Martha’s Vineyard declared a crisis after the arrival of 50 immigrants? 

This kind of activity at the border is not safe or sustainable but it happens almost every day. And yet the Biden Administration could care less about solving the problem. Secure our border! https://t.co/GBsE6240Gu",False,1602395304019775488,0,31,31,1
CongMikeSimpson,Cong. Mike Simpson,1601388636213497856,76132891,en,1601388636213497856,2022-12-10T01:29:37.000Z,"RT @RepNancyMace: All this disinformation about the Respect for Marriage Act (shocker). 

1. Churches can refuse to marry whoever they want…",False,1601388636213497856,22,0,0,0
CongMikeSimpson,Cong. Mike Simpson,1601334392903069696,76132891,en,1601334392903069696,2022-12-09T21:54:05.000Z,"Before voting on the Respect for Marriage Act this week, I heard from many Idahoans about the issue. This bill upholds existing marriage law &amp; the protects right to religious freedom. 

For these reasons, I saw no good excuse for voting against this bill. https://t.co/IMmgvJz7gU",False,1601334392903069696,16,95,95,4
CongMikeSimpson,Cong. Mike Simpson,1600967875325747201,76132891,zxx,1600967875325747201,2022-12-08T21:37:40.000Z,https://t.co/z55ogjCrHi,False,1600967873639616512,0,23,23,1
CongMikeSimpson,Cong. Mike Simpson,1600967873639616512,76132891,en,1600967873639616512,2022-12-08T21:37:40.000Z,"I am proud to honor the men &amp; women in our military by supporting the NDAA. 

Here are a few highlights of this bill:

✅ pay increases for service-members
✅ Funding to counter Chinese &amp; Russian aggression
✅ Funding for military housing
✅ Expanded mental health services",False,1600967873639616512,0,28,28,3
CongMikeSimpson,Cong. Mike Simpson,1600914718171885568,76132891,en,1600914718171885568,2022-12-08T18:06:27.000Z,"It’s an exciting time at Idaho National Laboratory! From innovations in nuclear research and integrated energy systems to security solutions to protect our critical infrastructure, @INL is changing the world’s energy future right here in Idaho. https://t.co/2UIjCDDVRZ",False,1600914718171885568,2,32,32,1
CongMikeSimpson,Cong. Mike Simpson,1600637916547788800,76132891,en,1600637916547788800,2022-12-07T23:46:32.000Z,"Despite all the issues in our immigration system today, Congress can provide REAL and desperately NEEDED solutions for farmers and migrant workers.

Let’s give them this solution and pass the Farm Workforce Modernization Act — a bill I’m proud to champion.
https://t.co/qapbj9ZfKw",False,1600637916547788800,1,28,28,2
CongMikeSimpson,Cong. Mike Simpson,1600601427755159552,76132891,en,1600601427755159552,2022-12-07T21:21:32.000Z,I’ve long supported efforts to end the mandate and remove this burden to our military’s readiness. I am pleased to see President Biden’s COVID Vaccine mandate come to an end.,False,1600601425397960704,0,24,24,1
CongMikeSimpson,Cong. Mike Simpson,1600601425397960704,76132891,en,1600601425397960704,2022-12-07T21:21:32.000Z,The United States needs a strong military to protect our country against the growing threats facing our nation. I have heard from countless Idahoan's who are concerned over the impact of the COVID vaccine mandate.,False,1600601425397960704,0,31,31,2
CongMikeSimpson,Cong. Mike Simpson,1600529413363634176,76132891,en,1600529413363634176,2022-12-07T16:35:23.000Z,"“A day which will live in infamy.”

On #PearlHarborRemembrance Day, we recognize the 2,403 lives lost on December 7, 1941 — including 12 Idahoans. May we never forget, and always honor, their sacrifice. https://t.co/2c93XniTuL",False,1600529413363634176,0,19,19,1
CongMikeSimpson,Cong. Mike Simpson,1600288098164043776,76132891,en,1600288098164043776,2022-12-07T00:36:29.000Z,"Important to the future of nuclear energy!

In this decade, a number of advanced reactor designs will be demonstrated at @INL. The capabilities and expertise at the Lab will be critical to their successes and to future of clean energy. https://t.co/DMBxq4E397",False,1600288098164043776,13,25,25,1
CongMikeSimpson,Cong. Mike Simpson,1600262337016999936,76132891,en,1600262337016999936,2022-12-06T22:54:07.000Z,"On #NationalMinersDay we celebrate the important contribution of mining to our state and national economy. 

We are proud to support our miners in the Gem State, because they provide the essential minerals and materials that sustain our modern way of life. https://t.co/QcYf3Ww9BX",False,1600262337016999936,4,23,23,1
CongMikeSimpson,Cong. Mike Simpson,1600235974013091840,76132891,en,1600235974013091840,2022-12-06T21:09:21.000Z,"I can’t imagine what could be more pressing. The White House State Dinner?

Few things should be more important than securing our borders &amp; stopping the surge of fentanyl &amp; criminal activity. Accept Speaker-Elect McCarthy’s invitation to visit the southern border, Mr. @POTUS. https://t.co/do1GnBNtw8",False,1600235974013091840,2,63,63,1
CongMikeSimpson,Cong. Mike Simpson,1600187168822988805,76132891,en,1600187168822988805,2022-12-06T17:55:25.000Z,"RT @SenatorRisch: In Idaho, small business is big business and the holiday season is often the most critical time of the year for these loc…",False,1600187168822988805,6,0,0,0
CongMikeSimpson,Cong. Mike Simpson,1599913595823087616,76132891,en,1599913595823087616,2022-12-05T23:48:20.000Z,"Instead of giving dictators and their authoritarian governments a lifeline, a Republican majority in the House will offer domestic production as a solution to our energy issues. 

It’s time to make America energy independent again!

https://t.co/xXQBalEjjV",False,1599913595823087616,3,37,37,1
CongMikeSimpson,Cong. Mike Simpson,1599893190265688065,76132891,en,1599893190265688065,2022-12-05T22:27:15.000Z,"One thing Idahoans know best is finding ways to support their neighbors and their communities.

What a great tradition from a great business. https://t.co/FJPJMu4zXa",False,1599893190265688065,2,27,27,1
CongMikeSimpson,Cong. Mike Simpson,1599861991547768833,76132891,en,1599861991547768833,2022-12-05T20:23:17.000Z,"No bureaucrat in Washington knows Idaho the way you and I do. 

That is why I am pleased to see the misguided attempt to prohibit Community Project Funds fail. 

Read more: https://t.co/bHnhY4g47d https://t.co/bT5FykV4me",False,1599861991547768833,1,45,45,1
CongMikeSimpson,Cong. Mike Simpson,1598815762474733568,76132891,en,1598815762474733568,2022-12-02T23:05:56.000Z,"Idaho Ag is a leader in many commodity categories, including cheese! 🧀

As the 3rd largest producer of cheese in the country, Idaho Ag thrives because of the entrepreneurial spirit of operations like Ballard Farms.

https://t.co/JcCWVn1m5i",False,1598815762474733568,0,26,26,1
CongMikeSimpson,Cong. Mike Simpson,1598777534078124032,76132891,en,1598777534078124032,2022-12-02T20:34:02.000Z,Listen to my remarks: https://t.co/hwWe7X26vz,False,1598777530429083648,0,16,16,1
CongMikeSimpson,Cong. Mike Simpson,1598777530429083648,76132891,en,1598777530429083648,2022-12-02T20:34:01.000Z,"The FWMA is our best chance to provide needed relief to American families as food prices soar, and to farmers across the nation as they navigate a real workforce crisis.

Tell your Senators it’s time for them to get this done. Pass FWMA now! https://t.co/21rNn0Mz4J",False,1598777530429083648,1,18,18,1
CongMikeSimpson,Cong. Mike Simpson,1598733689512693760,76132891,en,1598733689512693760,2022-12-02T17:39:49.000Z,"I have worked long and hard to prohibit an ESA listing for sage-grouse and to protect local conservation efforts. 

I appreciate @SenatorRisch leadership in the Senate to fight attempts to list sage-grouse in the end-of-year spending package.

https://t.co/lfl1Ekn1wK",False,1598733689512693760,1,14,14,1
CongMikeSimpson,Cong. Mike Simpson,1598722659139080192,76132891,en,1598722659139080192,2022-12-02T16:55:59.000Z,"Congratulations to Tiffany Leavitt, Ashley Finan, Michelle Wiest, and Krista for their recognition in Diversity Journal as “2022 Women Worth Watching.”

@INL is the nation’s lead nuclear research facility because of the vision and leadership of people like them. https://t.co/RgiNJGj8pj",False,1598722659139080192,1,16,16,1
CongMikeSimpson,Cong. Mike Simpson,1598439941767565313,76132891,en,1598439941767565313,2022-12-01T22:12:34.000Z,"1 in 4 Idahoans are family caregivers.

In November, we recognized National #FamilyCaregiversMonth and celebrated the service that many offer to those they love. https://t.co/V5SfWd7IgP",False,1598439941767565313,0,23,23,1
CongMikeSimpson,Cong. Mike Simpson,1598393200443817984,76132891,en,1598393200443817984,2022-12-01T19:06:50.000Z,"Yesterday the State came together to honor the memory of Ethan, Madison, Kaylee, and Xana. 

Kathy and I join everyone in praying for their families, and for law enforcement as they work diligently for answers.

https://t.co/yqUo5S4LRS",False,1598393200443817984,2,15,15,1
CongMikeSimpson,Cong. Mike Simpson,1597649432388210690,76132891,en,1597649432388210690,2022-11-29T17:51:22.000Z,"Let’s all support the Vandal Family by wearing Black and Gold tomorrow or by attending a vigil if you can. 💛🖤

To learn more about how you can help or if you need help during this incredibly difficult time, read President Green’s latest message:
https://t.co/dxGzWQnNml",False,1597649432388210690,1,13,13,1
CongMikeSimpson,Cong. Mike Simpson,1597274968328646657,76132891,en,1597274968328646657,2022-11-28T17:03:23.000Z,"As National Veterans and Military Families Month comes to a close, I extend my gratitude for Idaho’s veterans and their families. 

Each of you know what it means to serve and to sacrifice, and our country is better today because of it. Thank you! https://t.co/nrfStyBWUS",False,1597274968328646657,2,16,16,1
CongMikeSimpson,Cong. Mike Simpson,1595816254111039488,76132891,en,1595816254111039488,2022-11-24T16:26:58.000Z,"Happy Thanksgiving from my family to yours! 

I am thankful to live in a free and beautiful country, and for those who protect the freedoms we enjoy. https://t.co/nHthumep2B",False,1595816254111039488,1,20,20,2
CongMikeSimpson,Cong. Mike Simpson,1594763044575653888,76132891,en,1594763044575653888,2022-11-21T18:41:53.000Z,"No child should want for a loving home and parents who support them. But life is often more complicated.

Thank you to the many Idahoans who chose to adopt. You show us all a better way by turning heartbreak into growth.

#NationalAdoptionDay https://t.co/Yr0oQ53a7v",False,1594763044575653888,0,25,25,1
CongMikeSimpson,Cong. Mike Simpson,1593989003547930624,76132891,en,1593989003547930624,2022-11-19T15:26:07.000Z,"RT @RepRussFulcher: As grizzly bear populations continue to meet and exceed recovery targets, human-bear interactions will also increase. P…",False,1593989003547930624,6,0,0,0
CongMikeSimpson,Cong. Mike Simpson,1593397886233980929,76132891,en,1593397886233980929,2022-11-18T00:17:14.000Z,"There is now doubt our immigration system is broken. From a border in crisis to a shortage of foreign workers, America needs solutions. 

Congress can give solutions NOW by passing the  #FarmWorkforceModernization Act before the new session. Tell your Senators to pass FWMA! https://t.co/5kN2aEaM9g",False,1593397886233980929,9,31,31,2
CongMikeSimpson,Cong. Mike Simpson,1592262058967707649,76132891,en,1592262058967707649,2022-11-14T21:03:52.000Z,"Thanks @KTVB for highlighting the workforce struggles facing Idaho agriculture. 

The #FarmWorkforceModernization Act is the solution our farmers, including dairymen, have asked for. The House has done its job, now it’s time for the Senate to pass this critically important bill. https://t.co/TUc2sWb4DB",False,1592262058967707649,3,52,52,2
CongMikeSimpson,Cong. Mike Simpson,1592171557513998336,76132891,en,1592171557513998336,2022-11-14T15:04:15.000Z,"Kathy and I send our deepest condolences to the families of these four students — our hearts ache for your loss. 

Today we are all Vandals. 💛🖤 https://t.co/roNfDhkE9x",False,1592171557513998336,4,25,25,1
CongMikeSimpson,Cong. Mike Simpson,1591095293109735426,76132891,en,1591095293109735426,2022-11-11T15:47:33.000Z,"On this #VeteransDay, I extend my deepest gratitude for the selfless service and sacrifice of our nation’s heroes. 

May God bless you. https://t.co/Jjes5FaXsG",False,1591095293109735426,1,28,28,3
CongMikeSimpson,Cong. Mike Simpson,1590758704751968256,76132891,en,1590758704751968256,2022-11-10T17:30:04.000Z,"Happy Birthday Marine Corps! 🇺🇸

Thank you to all Marines, past and present, for your service. #SemperFideli https://t.co/R1RjB2VqCh",False,1590758704751968256,1,18,18,1
