handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
Congressman_JVD,Congressman Jeff Van Drew,1604935869076480018,1468677099594698757,qam,1604935869076480018,2022-12-19T20:25:04.000Z,@RepRickCrawford @RepAnnWagner @RepBradWenstrup @RepKatCammack @RepBrianBabin @JudgeCarter @RepHarshbarger @RepMoolenaar,False,1604935858385129472,1,1,1,0
Congressman_JVD,Congressman Jeff Van Drew,1604935867038339072,1468677099594698757,qam,1604935867038339072,2022-12-19T20:25:03.000Z,@RepDonaldsPress @TXRandy14 @RepClayHiggins @RepThomasMassie @RepRutherfordFL @RepVanTaylor @RepMTG @RepBobGood @RepTimBurchett @Rep_Clyde @RepTenney @RepRalphNorman @RepMariaSalazar @RepMalliotakis @USRepGaryPalmer @congbillposey @RepRonnyJackson @RepChrisStewart @RepFrenchHill,False,1604935858385129472,2,3,3,0
Congressman_JVD,Congressman Jeff Van Drew,1604935863514832903,1468677099594698757,en,1604935863514832903,2022-12-19T20:25:02.000Z,You can read the letter my colleagues and I sent here: https://t.co/bF7wmPGzJ6,False,1604935858385129472,2,3,3,0
Congressman_JVD,Congressman Jeff Van Drew,1604935858385129472,1468677099594698757,en,1604935858385129472,2022-12-19T20:25:01.000Z,"Instead of hiring more BP agents, the Biden Admin is deploying Federal Air Marshals to the border to perform administrative tasks.

I, along with 28 colleagues, am demanding answers from @SecMayorkas on his deployment of Air Marshals to our border, leaving our skies unprotected.",False,1604935858385129472,8,18,18,1
Congressman_JVD,Congressman Jeff Van Drew,1604546873708384256,1468677099594698757,en,1604546873708384256,2022-12-18T18:39:20.000Z,Wishing a Happy Hanukkah to all who celebrate!,False,1604546873708384256,4,4,4,0
Congressman_JVD,Congressman Jeff Van Drew,1603792225435000833,1468677099594698757,en,1603792225435000833,2022-12-16T16:40:38.000Z,"And during this same visit you had the nerve to lie to them by claiming you never said the border was secure.

Our brave Border Patrol agents are overworked, overwhelmed, and need more help from you and the rest of the Biden Admin. https://t.co/TVuMfkN2IU",False,1603792225435000833,8,7,7,0
Congressman_JVD,Congressman Jeff Van Drew,1603104387861209089,1468677099594698757,en,1603104387861209089,2022-12-14T19:07:24.000Z,"Over 70K known gotaways last month.
Over 16K migrant encounters in just 48 hours.
The largest single group ever seen crossed illegally over the weekend.

Yet, Biden plans to allow Title 42 to expire this weekend.

This will only exacerbate the already catastrophic border crisis.",False,1603104387861209089,11,9,9,1
Congressman_JVD,Congressman Jeff Van Drew,1602751461452128261,1468677099594698757,en,1602751461452128261,2022-12-13T19:45:00.000Z,"Crime in America has skyrocketed due to:
Dems' soft-on-crime policies
Far-Left anti-police rhetoric
Dems' failed bail reform

In the 118th Congress, my Republican colleagues and I will work towards combatting crime and ensuring a safer America.",False,1602751461452128261,9,14,14,1
Congressman_JVD,Congressman Jeff Van Drew,1602718656076677120,1468677099594698757,en,1602718656076677120,2022-12-13T17:34:39.000Z,"For 386 years, the National Guard has protected our nation and kept us safe.

Happy Birthday to the @NationalGuard and thank you to all who have served our nation as a part of the Guard!",False,1602718656076677120,3,2,2,0
Congressman_JVD,Congressman Jeff Van Drew,1602369840123187250,1468677099594698757,en,1602369840123187250,2022-12-12T18:28:35.000Z,"Less than a week after President Biden claimed there are ""more important things going on"" than the border crisis, the LARGEST group ever seen crossed our southern border.

It is past time for @POTUS to visit the border and see this crisis firsthand. https://t.co/9rISYtUm5C",False,1602369840123187250,26,16,16,1
