handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1601026391222493184,1484252226646421505,en,1601026391222493184,2022-12-09T01:30:11.000Z,"Today, we took a stand for justice and equality in a bipartisan vote for the Respect for Marriage Act. By enshrining marriage equality into law, we ensure long overdue federal protections for same-sex and interracial partnerships. Full Article ➡️ https://t.co/gezDx0KLQ1 https://t.co/zySPoCmSML",False,1601026391222493184,1,0,0,0
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1601016189030993922,1484252226646421505,en,1601016189030993922,2022-12-09T00:49:39.000Z,"After nearly 10 months in Russian detention, Brittney Griner has been released from custody. I commend the Biden Administration for their tireless efforts to negotiate her release. Full Press Release ➡️ https://t.co/DUowiK0qtk https://t.co/lOyKNOX2Rc",False,1601016189030993922,0,0,0,0
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1600897200816390144,1484252226646421505,en,1600897200816390144,2022-12-08T16:56:50.000Z,Today is a historic day. #lovewins,False,1600897197729779712,0,0,0,0
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1600897199340417024,1484252226646421505,en,1600897199340417024,2022-12-08T16:56:50.000Z,Next stop @POTUS’s desk.,False,1600897197729779712,0,1,1,0
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1600897197729779712,1484252226646421505,en,1600897197729779712,2022-12-08T16:56:49.000Z,We just passed the Respect for Marriage Act enshrining marriage equality into law.,False,1600897197729779712,0,1,1,0
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1600882997506482178,1484252226646421505,en,1600882997506482178,2022-12-08T16:00:24.000Z,"As a member of the @LGBTEqCaucus, I am proud to support the #RespectForMarriageAct. This legislation will ensure critical protections for same-sex and interracial marriages.  I look forward to voting for it again and @POTUS signing it into law. 🌈",False,1600882997506482178,0,0,0,1
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1600562901206589440,1484252226646421505,en,1600562901206589440,2022-12-07T18:48:27.000Z,"Democrats pressed forward to build a safer future for our children. Our new gun violence prevention law deploys stronger tools to help keep guns out of dangerous hands, including finally closing the boyfriend loophole and investing in needed mental health services.",False,1600562901206589440,2,1,1,0
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1600491011595288577,1484252226646421505,en,1600491011595288577,2022-12-07T14:02:47.000Z,"I support the America Dream &amp; Promise Act because DACA recipients contribute so much to our country. They are parents, teachers, doctors, artists, and Americans. The Senate needs to act now to #ProtectDACA.",False,1600491011595288577,1,4,4,0
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1600257219928334337,1484252226646421505,en,1600257219928334337,2022-12-06T22:33:47.000Z,"As the beacon of democracy throughout the world, we must model being good neighbors and welcoming with dignity according to the rule of law.",False,1600257209463582721,0,3,3,0
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1600257218154475520,1484252226646421505,en,1600257218154475520,2022-12-06T22:33:46.000Z,"We must lead by example in the compassionate, equitable, and just treatment of all migrants, regardless of the perilous homeland they are fleeing or their demographic background.",False,1600257209463582721,0,2,2,0
CongresswomanSC,Congresswoman Sheila Cherfilus-McCormick,1600257216266674176,1484252226646421505,en,1600257216266674176,2022-12-06T22:33:46.000Z,"The growing crisis in Haiti includes unprecedented political instability, gang violence, and socioeconomic challenges.",False,1600257209463582721,0,1,1,0
