handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
CoryBooker,Cory Booker,1601210483390177280,15808765,en,1601210483390177280,2022-12-09T13:41:42.000Z,An insult has no power if you don’t accept it. https://t.co/NpEON6NrLf,False,1601210483390177280,64,52,52,11
CoryBooker,Cory Booker,1600878358463905794,15808765,en,1600878358463905794,2022-12-08T15:41:58.000Z,@WagnerTonight Bald is beautiful!,False,1600681483152379905,2,2,2,0
CoryBooker,Cory Booker,1600878169988308992,15808765,en,1600878169988308992,2022-12-08T15:41:13.000Z,"So often I hear things framed as Republican problems or Democratic issues, but Raphael Warnock didn’t win because of that, he won–and we will rise–because of his fierce devotion to American values: justice, grace, love…and baldness. https://t.co/XGDGvc6De0",False,1600878169988308992,96,75,75,9
CoryBooker,Cory Booker,1600848226877591557,15808765,en,1600848226877591557,2022-12-08T13:42:14.000Z,This is exceptionally good news. https://t.co/jCAVA9cufw,False,1600848226877591557,107,167,167,3
CoryBooker,Cory Booker,1600469594002497536,15808765,en,1600469594002497536,2022-12-07T12:37:41.000Z,"Amidst a world full of challenges, may we all help build stronger connections, deepen bonds, and foster the relationships that nourish and nurture, that redeem and restore, that shelter and support.",False,1600469588235325440,24,25,25,3
CoryBooker,Cory Booker,1600469588235325440,15808765,en,1600469588235325440,2022-12-07T12:37:39.000Z,One of the first letters I wrote for the 30 Days of Unexpected Gratitude was to my mom’s friend Lou. I can’t thank Lou and everyone who works to build more beloved  communities enough. https://t.co/QEZgZcBusy,False,1600469588235325440,40,50,50,5
CoryBooker,Cory Booker,1600330819050311681,15808765,en,1600330819050311681,2022-12-07T03:26:14.000Z,"From Day 1 Raphael Warnock has been an incredible advocate for the people of Georgia, partner in progress for all Americans, and an upstanding member of the Senate Bald Caucus. Congratulations my friend. https://t.co/KtsUpg2OEH",False,1600330819050311681,508,165,165,18
CoryBooker,Cory Booker,1600179439325032448,15808765,en,1600179439325032448,2022-12-06T17:24:42.000Z,On our way to make @ReverendWarnock the 51st vote! Get out and vote for Raphael Warnock today Georgia! https://t.co/CoJo9CKh5r,False,1600179439325032448,245,65,65,15
CoryBooker,Cory Booker,1600137894903119873,15808765,en,1600137894903119873,2022-12-06T14:39:37.000Z,"Terrence Culbreath; gone too soon. Thank you for all the light you brought to this world, to my world. Rest in power and peace. https://t.co/iF1JGv0if5",False,1600137894903119873,91,40,40,19
CoryBooker,Cory Booker,1599761236719153152,15808765,en,1599761236719153152,2022-12-05T13:42:55.000Z,May we see the good; may we be the good. What kind of people live in your town? https://t.co/FAW5u4GGUd,False,1599761236719153152,95,72,72,11
CoryBooker,Cory Booker,1599397360638971904,15808765,en,1599397360638971904,2022-12-04T13:37:00.000Z,"""The quality of mercy is not strained.
It droppeth as the gentle rain from heaven
Upon the place beneath. It is twice blessed:
It blesseth him that gives and him that takes.""
- Shakespeare",False,1599394801908346880,37,15,15,4
CoryBooker,Cory Booker,1599394801908346880,15808765,en,1599394801908346880,2022-12-04T13:26:50.000Z,"Generosity’s definition implies it helps others more than you, but blessings abound for those who give. https://t.co/gVPyHyBJpD",False,1599394801908346880,137,81,81,17
CoryBooker,Cory Booker,1599084502726242309,15808765,en,1599084502726242309,2022-12-03T16:53:49.000Z,"So proud to see New Jersey natives natives Matt Turner, Brenden Aaronson, and Coach Gregg Berhalter and all the players lead the USA back to the World Cup this year. Excited for the team’s future, and especially for the World Cup to return to Jersey in 2026.",False,1599084502726242309,50,29,29,4
CoryBooker,Cory Booker,1598660992199790596,15808765,en,1598660992199790596,2022-12-02T12:50:56.000Z,"The Universe is a remarkable place. Kindness, grace and gratitude, like all frequencies of love, ripple into the world, enriching it as well as the source from which they came.",False,1598660986621132800,27,13,13,1
CoryBooker,Cory Booker,1598660990995992576,15808765,en,1598660990995992576,2022-12-02T12:50:56.000Z,"And this kind person, turned around and gave ME a note of gratitude that truly lifted and encouraged my heart. 

This is the power of gratitude. Putting that energy out there, not only elevated the recipient, it also lends to your lifting too.",False,1598660986621132800,10,13,13,1
CoryBooker,Cory Booker,1598660986621132800,15808765,en,1598660986621132800,2022-12-02T12:50:55.000Z,"We often tend to take for granted folks who do hard, difficult work in service of others. My 30 Days Of Gratitude Challenge made me slow down a bit and not just feel gratitude but express it more fully and in writing. https://t.co/gPILW8IqXC",False,1598660986621132800,111,89,89,15
CoryBooker,Cory Booker,1598306311745294337,15808765,en,1598306311745294337,2022-12-01T13:21:34.000Z,"No matter what, we always have the power to choose hope over despair, engagement over apathy, kindness over indifference, love over hate. https://t.co/mRIbl6FWWC",False,1598306311745294337,191,176,176,22
CoryBooker,Cory Booker,1597999480598835200,15808765,en,1597999480598835200,2022-11-30T17:02:20.000Z,"Congratulations to my friend @hakeemjeffries on his historic election as leader of House Democrats. As the first Black leader in Congress, he’ll continue to be a vital voice for progress.",False,1597999480598835200,436,243,243,13
CoryBooker,Cory Booker,1597963735091802114,15808765,en,1597963735091802114,2022-11-30T14:40:17.000Z,The Respect for Marriage Act will ensure that you can marry who you love. I was proud to vote yes on such an important bill. https://t.co/w5ZM3g7EZ4,False,1597963735091802114,169,106,106,11
CoryBooker,Cory Booker,1597963544468692992,15808765,en,1597963544468692992,2022-11-30T14:39:32.000Z,"RT @Kate_Riga24: There it is — Cory Booker's loud ""aye"" is the 60th vote. The Senate passes same-sex marriage protections, a backstop shoul…",False,1597963544468692992,2084,0,0,0
CoryBooker,Cory Booker,1597941182558240768,15808765,en,1597941182558240768,2022-11-30T13:10:40.000Z,"Feelings Aren't First, Feelings Follow. Sow an action and reap the feelings. Sow hope; sow kindness; sow gratitude and feelings follow. https://t.co/YtalMO2nyd",False,1597941182558240768,115,106,106,16
