handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
DorisMatsui,Rep. Doris Matsui,1601286304490131456,38254095,en,1601286304490131456,2022-12-09T18:43:00.000Z,"It can remove barriers to care. Address existing inequalities and disparities in the system.

That’s why I am working hard to make sure we are expanding access where it is needed most as we continue our work towards telehealth permanency.",False,1601286300736552960,1,1,1,0
DorisMatsui,Rep. Doris Matsui,1601286300736552960,38254095,en,1601286300736552960,2022-12-09T18:42:59.000Z,"This week, I spoke at the @AmericanTelemed EDGE Conference about the future of telehealth and how we can continue to build on the progress we have made. 

Telehealth has already changed people’s lives for the better. And we know telehealth has the capacity to expand access. https://t.co/hNUoh8CQaS",False,1601286300736552960,8,2,2,0
DorisMatsui,Rep. Doris Matsui,1600895266290536448,38254095,en,1600895266290536448,2022-12-08T16:49:09.000Z,"The House PASSED the #RespectforMarriageAct! 

No one should be discriminated against because of who they love. This legislation enshrines the rights of millions of Americans. #LoveWins again in this country and I look forward to seeing @POTUS sign this bill into law. https://t.co/YMgKTPmKMp",False,1600895266290536448,6,6,6,1
DorisMatsui,Rep. Doris Matsui,1600280803493412864,38254095,en,1600280803493412864,2022-12-07T00:07:29.000Z,A child’s first few years are critical for their development &amp; parents deserve all the tools to make informed choices about their infants’ care. I look forward to seeing @POTUS sign this bill &amp; ensure these programs can continue to improve our children’s health into the future.,False,1600280801408696320,2,1,1,0
DorisMatsui,Rep. Doris Matsui,1600280801408696320,38254095,en,1600280801408696320,2022-12-07T00:07:29.000Z,"Today, the House passed @RepGuthrie and my bill, the Early Hearing Detection and Intervention Act, which reauthorizes the program for early detection, diagnosis, and treatment of deaf and hard-of-hearing newborns, infants, and young children.",False,1600280801408696320,6,3,3,1
DorisMatsui,Rep. Doris Matsui,1598049906203426816,38254095,en,1598049906203426816,2022-11-30T20:22:42.000Z,"As @HouseDemocrats Task Force on Aging and Families co-chair, I joined my colleagues in urging House appropriators to support increased funding for the @SocialSecurity Administration.

We must give SSA the tools to deliver the highest quality of service to those who need it most. https://t.co/9pex55khDY",False,1598049906203426816,4,4,4,0
DorisMatsui,Rep. Doris Matsui,1598004379717468160,38254095,en,1598004379717468160,2022-11-30T17:21:48.000Z,"Holiday season is here — and you all can do your part to protect yourselves and your loved ones from the flu, COVID-19, and RSV!
 
Follow these tips from @Cal_HHS to stay healthy and safe for the rest of this year ⬇️ https://t.co/mKQf2shM1p",False,1598004379717468160,0,1,1,0
DorisMatsui,Rep. Doris Matsui,1597772410169835522,38254095,en,1597772410169835522,2022-11-30T02:00:02.000Z,"November is National Veterans and Military Families Month.
 
We express gratitude to all the families who have sacrificed and overcome challenges to support their loved ones in uniform. They serve as a network of strength, hope, and inspiration for us all. https://t.co/A0rIekVBaU",False,1597772410169835522,1,4,4,0
DorisMatsui,Rep. Doris Matsui,1597678230483644417,38254095,en,1597678230483644417,2022-11-29T19:45:48.000Z,"I'm heartbroken about the loss of my friend, Rep. McEachin. Donald was a dedicated public servant who fought for all communities in Virginia. A champion of justice &amp; protector of the environment, his voice will be missed. My prayers are with his family during this difficult time.",False,1597678230483644417,7,1,1,0
DorisMatsui,Rep. Doris Matsui,1597381363694718977,38254095,en,1597381363694718977,2022-11-29T00:06:09.000Z,"I’m proud that @FlySMF is the first place that visitors experience when they come to Sacramento — and the title of the best airport of 2022 is well-deserved. 
 
I will continue to advocate for our airport to get the resources that it needs to thrive well into the future.",False,1597381361895374848,0,1,1,0
DorisMatsui,Rep. Doris Matsui,1597381361895374848,38254095,en,1597381361895374848,2022-11-29T00:06:09.000Z,".@FlySMF has been named the 2022 best airport in the country by the @WSJ!
 
SMF is a critical gateway to our region — &amp; that’s why I’ve fought to secure funding for our airport through landmark legislation like the American Rescue Plan &amp; the Infrastructure Investment &amp; Jobs Act. https://t.co/6Bv9TaML83",False,1597381361895374848,4,4,4,0
DorisMatsui,Rep. Doris Matsui,1595884970626654209,38254095,en,1595884970626654209,2022-11-24T21:00:01.000Z,"Happy #Thanksgiving to all those who celebrate! 🦃🥧🍂
 
As you gather with family and friends, I hope each of you enjoy an incredible day filled with delicious food, joy, laughter, and gratitude. https://t.co/gxvZLGgsz8",False,1595884970626654209,5,4,4,0
DorisMatsui,Rep. Doris Matsui,1594816874629447680,38254095,en,1594816874629447680,2022-11-21T22:15:47.000Z,"Today, @SEEC leadership released a policy brief outlining our vision for what permitting reform is needed for the clean energy transition. 

The brief provides recommendations for improving community engagement and building a clean electric grid. 
https://t.co/EcBuVB7oyo",False,1594816874629447680,7,2,2,3
DorisMatsui,Rep. Doris Matsui,1594752506806034434,38254095,en,1594752506806034434,2022-11-21T18:00:01.000Z,"This month is #NativeAmericanHeritageMonth.

This isn't only a celebration of Native Nations, but it also serves as a reminder to learn about all the contributions and cultures of American Indigenous peoples — both past and present. https://t.co/X9kQSpB4c3",False,1594752506806034434,4,1,1,0
DorisMatsui,Rep. Doris Matsui,1594420316008321032,38254095,en,1594420316008321032,2022-11-20T20:00:00.000Z,"Diabetes affects 37M Americans. November is #AmericanDiabetesMonth — a month to spread awareness &amp; build support for those with diabetes.
 
I’ll continue to work hard in Congress to ensure that communities have the resources for diabetes management. Learn more at @NIDDKgov. https://t.co/h2DiJqpYw8",False,1594420316008321032,4,4,4,0
DorisMatsui,Rep. Doris Matsui,1594057930717990915,38254095,en,1594057930717990915,2022-11-19T20:00:01.000Z,"Applying for health insurance is NOW OPEN with @CoveredCA!
 
Thanks to the #InflationReductionAct, 1.8 million people in California — including 26,644 in our district — have affordable, reliable health care
 
Enroll by December 31 to #GetCovered ⬇️
https://t.co/R242B6j1xc https://t.co/OKG47nNOCM",False,1594057930717990915,4,0,0,0
DorisMatsui,Rep. Doris Matsui,1593798750971068417,38254095,en,1593798750971068417,2022-11-19T02:50:08.000Z,The Global MOU will also help continue economic growth in the manufacturing sector in our country and deliver climate benefits that complement the historic investments made in the Infrastructure Investment and Jobs Act (IIJA) and the Inflation Reduction Act (IRA).,False,1593798746541883392,3,3,3,0
DorisMatsui,Rep. Doris Matsui,1593798746541883392,38254095,en,1593798746541883392,2022-11-19T02:50:07.000Z,"Joined my colleagues in urging @POTUS to sign the Global MOU on Zero-Emission Medium- &amp; Heavy-Duty Vehicles at #COP27, setting a new goal for the US to decarb 30% of new trucks by 2030 &amp; 100% by 2040. @SecGranholm signed on yesterday, putting the U.S. on track for net-zero 2050. https://t.co/xujy8KnBCm",False,1593798746541883392,5,2,2,0
DorisMatsui,Rep. Doris Matsui,1593688345820938242,38254095,en,1593688345820938242,2022-11-18T19:31:25.000Z,"RSV (Respiratory Syncytial Virus) season is here, and can affect many communities — especially children and older adults. 
 
Visit @CDCgov for resources on how to take everyday preventative actions to keep yourself and your loved ones safe ⬇️ https://t.co/qT7BJJBcKi",False,1593688345820938242,5,4,4,0
DorisMatsui,Rep. Doris Matsui,1593438858867200000,38254095,en,1593438858867200000,2022-11-18T03:00:03.000Z,"Heading to Qatar for #WorldCup2022? ⚽️ 

Enrolling in STEP is the best way to receive security updates from @TravelGov! It'll also ensure that a U.S. embassy or consulate knows that you're in the country in case of an emergency.

Enroll today ⬇️
https://t.co/JigZ5QHPyd",False,1593438858867200000,2,0,0,0
DorisMatsui,Rep. Doris Matsui,1593391314791550977,38254095,en,1593391314791550977,2022-11-17T23:51:07.000Z,".@SpeakerPelosi fearlessly paved the way forward for others to follow in her footsteps. That’s Nancy — she sees the potential, manifests what's possible, and does it while promoting that same courage in others. We owe her a debt of gratitude for her public service to our country.",False,1593391313042407430,2,1,1,0
DorisMatsui,Rep. Doris Matsui,1593391313042407430,38254095,en,1593391313042407430,2022-11-17T23:51:07.000Z,"My dear friend @SpeakerPelosi has been the most impactful Speaker in our nation’s history. 

This Congress alone, she delivered historic investments in the American people to fight #ClimateChange, rebuild our country’s infrastructure, lower health care costs, and more. https://t.co/sdFmZJPjQw",False,1593391313042407430,5,1,1,0
DorisMatsui,Rep. Doris Matsui,1592988252692447233,38254095,en,1592988252692447233,2022-11-16T21:09:30.000Z,"Students: It’s time to fill out your 2023-2024 @FAFSA form! 💻
 
Remember, you must renew your #FAFSA form every year that you are in school. Visit https://t.co/yUf3NUhCm6 to learn more, and submit today. https://t.co/JTsz8gXXKI",False,1592988252692447233,3,0,0,0
