handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1600942699221176320,23600262,en,1600942699221176320,2022-12-08T19:57:38.000Z,"Today, I spoke at a press conference with @RepChuyGarcia on the Good Jobs for Good Airports Act.

It’s time we made sure airport jobs pay livable wages and provide benefits like health insurance and paid leave–things every worker deserves. https://t.co/vmI6JPQBoq",False,1600942699221176320,14,1,1,0
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1600899065444995072,23600262,en,1600899065444995072,2022-12-08T17:04:15.000Z,"Today, I spoke at a press conference hosted by @RepMaloney to call on the Senate to pass the resolution removing the deadline to ratify the Equal Rights Amendment.

It is long past time for women to be constitutionally guaranteed equal rights. https://t.co/N7Vwga1PHX",False,1600899065444995072,19,2,2,1
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1600551649344618497,23600262,en,1600551649344618497,2022-12-07T18:03:44.000Z,"Today, @ChrisVanHollen, @SenatorCarper, @RepMaloney, @RepAnthonyBrown and I expressed disappointment the final FY 23 NDAA doesn't give the DC mayor control over the DC National Guard and vowed to keep fighting to give the mayor this control.
Release: https://t.co/6COd5Dgw3L",False,1600551649344618497,24,4,4,1
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1600495310803013635,23600262,en,1600495310803013635,2022-12-07T14:19:52.000Z,"The final WRDA 2022 contains my provisions authorizing the Army Corps of Engineers to conduct studies on an urgently needed secondary drinking water source for DC, swimming in the Potomac &amp; Anacostia rivers, and flooding in Federal Triangle.
Release: https://t.co/im27DTPSRm",False,1600495310803013635,16,2,2,1
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1600087153769209858,23600262,en,1600087153769209858,2022-12-06T11:18:00.000Z,"Today, the DC police department will be presented with a Congressional Gold Medal for its Jan 6th response.

The department, paid for by DC residents, saved the Capitol and democracy that day, even though Congress denies DC voting representation and full home rule.

#DCStatehood https://t.co/IcwTcYDCuu",False,1600087153769209858,159,11,11,16
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1599930507093225474,23600262,en,1599930507093225474,2022-12-06T00:55:32.000Z,"RT @EleanorNorton: House Republicans plan to read the Constitution on the floor on the first day of the new Congress.
 
They should pay par…",False,1599930507093225474,38,0,0,0
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1599850303935107073,23600262,en,1599850303935107073,2022-12-05T19:36:50.000Z,Soon: https://t.co/KwBoRxi6gS,False,1599850303935107073,6,0,0,0
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1599848581845946379,23600262,en,1599848581845946379,2022-12-05T19:30:00.000Z,"This week, the House will send the #RespectForMarriageAct to POTUS.

We defeated @SenMikeLee’s amendment that would have prohibited DC from enforcing its laws that protect same-sex couples from discrimination.

#DCStatehood #HandsOffDC",False,1599848581845946379,18,1,1,1
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1599788819389501451,23600262,en,1599788819389501451,2022-12-05T15:32:31.000Z,"House Republicans plan to read the Constitution on the floor on the first day of the new Congress.
 
They should pay particular attention to the Admissions Clause, the District Clause, and the 23rd Amendment, which give Congress the clear authority to pass the #DCStatehood bill. https://t.co/5YC3mFaz4u",False,1599788819389501451,38,7,7,5
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1599788122933690368,23600262,en,1599788122933690368,2022-12-05T15:29:45.000Z,"The Senate must immediately vote on the pending DC judicial nominees to address the court vacancy crisis &amp; pass my bill to eliminate the Senate confirmation requirement for local DC judges.

The crisis is harming public safety &amp; access to justice.

https://t.co/zEY4PsNEaY",False,1599788122933690368,29,3,3,4
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1599782881823379456,23600262,en,1599782881823379456,2022-12-05T15:08:56.000Z,"Today, I will manage House floor debate for Democrats on two emergency management bills.

Watch at approximately 3:00 pm on CSPAN or https://t.co/UGyJT07glQ.",False,1599782881823379456,13,2,2,2
EleanorNorton,Eleanor #DCStatehood Holmes Norton,1598421393409835013,23600262,en,1598421393409835013,2022-12-01T20:58:52.000Z,"I spoke to @CTuckerNews about my bill with @SenBooker to establish a memorial on federal land in DC to honor enslaved persons, which the Senate held a hearing on today and the House passed in September.

Watch tonight on NBC Washington at 6:30.",False,1598421393409835013,12,5,5,0
