handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
GReschenthaler,Rep. Guy Reschenthaler,1601668072191950849,4205133682,zxx,1601668072191950849,2022-12-10T20:00:00.000Z,https://t.co/IhGQbevMoC,False,1601668072191950849,0,2,2,0
GReschenthaler,Rep. Guy Reschenthaler,1601000518104805378,4205133682,en,1601000518104805378,2022-12-08T23:47:23.000Z,"At a time when China is on the rise, Russia is invading Ukraine, and Iran is emboldened, it is of utmost importance for America to support its Armed Forces now with the tools necessary to defend our nation.",False,1601000515546251264,1,10,10,2
GReschenthaler,Rep. Guy Reschenthaler,1601000516871684096,4205133682,en,1601000516871684096,2022-12-08T23:47:23.000Z,"Republicans fought hard for this legislation to reflect the needs of our warfighters.

I want to thank my friend, future Speaker @GOPLeader, for securing language to repeal the disastrous COVID-19 vaccine mandate for the Armed Forces.",False,1601000515546251264,1,12,12,0
GReschenthaler,Rep. Guy Reschenthaler,1601000515546251264,4205133682,en,1601000515546251264,2022-12-08T23:47:22.000Z,"As a Navy veteran, I believe a strong military equals a strong nation.

Just as Congress has done for the past 60 years, the #NDAA sends a clear message to America’s foreign adversaries that our nation will remain the dominating force in the world.",False,1601000515546251264,2,12,12,0
GReschenthaler,Rep. Guy Reschenthaler,1600883633731997696,4205133682,en,1600883633731997696,2022-12-08T16:02:55.000Z,Biden and Secretary Blinken better preserve their documents because the new House Republican majority is going to demand answers on this latest disaster.,False,1600883630062317571,3,16,16,0
GReschenthaler,Rep. Guy Reschenthaler,1600883632444682241,4205133682,en,1600883632444682241,2022-12-08T16:02:55.000Z,"I will continue to relentlessly advocate for Pittsburgh native Marc Fogel’s release and for the State Department to classify him as wrongfully detained, something they have failed to do since his detainment in August 2021.",False,1600883630062317571,3,8,8,1
GReschenthaler,Rep. Guy Reschenthaler,1600883631261507590,4205133682,en,1600883631261507590,2022-12-08T16:02:55.000Z,"It is clear Paul Whelan and Marc Fogel are afterthoughts to this administration, who care more about celebrity admiration and wokeness than returning all Americans safely to their families.",False,1600883630062317571,2,9,9,1
GReschenthaler,Rep. Guy Reschenthaler,1600883630062317571,4205133682,en,1600883630062317571,2022-12-08T16:02:55.000Z,Swapping a celebrity basketball player for the Merchant of Death – while excluding a Marine and a history teacher – is patently offensive and exposes the Biden Administration’s deeply rooted disdain for everyday Americans.,False,1600883630062317571,19,49,49,3
GReschenthaler,Rep. Guy Reschenthaler,1600637400585187329,4205133682,en,1600637400585187329,2022-12-07T23:44:29.000Z,"He's absolutely right. Philadelphia DA Larry Krasner isn't prosecuting criminals.

On his watch, 61% of illegal firearms cases were either withdrawn or dropped. https://t.co/1qsSMpGQlB",False,1600637400585187329,16,17,17,3
GReschenthaler,Rep. Guy Reschenthaler,1600574724492378118,4205133682,en,1600574724492378118,2022-12-07T19:35:26.000Z,"Today, we remember the Americans who lost their lives in the attack on #PearlHarbor 81 years ago.

We also recognize the Greatest Generation, who went to war to liberate the world from evil.

Their selfless dedication will never be forgotten. https://t.co/dInMcZaiWU",False,1600574724492378118,7,12,12,0
GReschenthaler,Rep. Guy Reschenthaler,1600247735008886785,4205133682,en,1600247735008886785,2022-12-06T21:56:05.000Z,"""There's more important things going on.""

Nearly 5,000,000 illegal immigrants — including over 100 people on the FBI's Terror Watch List — have crossed the border since Biden took office.

Not a priority to this president.
https://t.co/GY5iFWfn24",False,1600247735008886785,12,30,30,4
GReschenthaler,Rep. Guy Reschenthaler,1600222792334835712,4205133682,en,1600222792334835712,2022-12-06T20:16:59.000Z,"𝐀fghanistan Debacle
𝐂ovid Mandates
𝐂orrupt Biden Family
𝐎pen Border
𝐔surping Congress's Authority
𝐍o New Drilling
𝐓ax Hikes
𝐀xing Keystone
𝐁aby Formula Shortage
𝐈nflation Soaring
𝐋aptop Story
𝐈RS Agents
𝐓witter Censorship
𝐘ear-Over-Year Cost Increases
 
…is coming.",False,1600222792334835712,356,667,667,42
GReschenthaler,Rep. Guy Reschenthaler,1600128677622124544,4205133682,en,1600128677622124544,2022-12-06T14:03:00.000Z,Accountability is coming. https://t.co/0R6VSuEO28,False,1600128677622124544,10,30,30,1
