handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
GerryConnolly,Rep. Gerry Connolly,1601598770600640512,78445977,en,1601598770600640512,2022-12-10T15:24:37.000Z,This morning I got to help serve pancakes at the annual Vienna Volunteer Fire Department Annual Pancake Breakfast. Thank you to all of our first responders who are often away from their families during the holidays as they put their lives on the line for our safety. https://t.co/knnt6rNHn4,False,1601598770600640512,2,1,1,0
GerryConnolly,Rep. Gerry Connolly,1600967824125710349,78445977,zxx,1600967824125710349,2022-12-08T21:37:28.000Z,https://t.co/6JIrYpfleg,False,1600966324259553280,1,0,0,0
GerryConnolly,Rep. Gerry Connolly,1600966329603096576,78445977,en,1600966329603096576,2022-12-08T21:31:32.000Z,"Above all, I want to thank the women who put their lives on hold and their careers on the line in order to introduce Dan Snyder to some accountability. 

They are the heroes of this story.",False,1600966324259553280,15,5,5,0
GerryConnolly,Rep. Gerry Connolly,1600966327845683200,78445977,en,1600966327845683200,2022-12-08T21:31:31.000Z,"His stonewalling of our Committee, including by withholding more than 40,000 relevant documents, can only be interpreted as a sorry attempt to conceal further evidence of his own wrongdoing.",False,1600966324259553280,10,1,1,0
GerryConnolly,Rep. Gerry Connolly,1600966326033711104,78445977,en,1600966326033711104,2022-12-08T21:31:31.000Z,His treatment of the women he employed was grotesque and his conduct toward them after they spoke out was despicable.,False,1600966324259553280,9,1,1,0
GerryConnolly,Rep. Gerry Connolly,1600966324259553280,78445977,en,1600966324259553280,2022-12-08T21:31:30.000Z,"Today’s Oversight Committee report on the Washington Commanders is damning. 

The Commanders workplace was defined by a toxic, misogynistic culture that Dan Snyder not only oversaw, but actively participated in and contributed to.",False,1600966324259553280,31,5,5,4
GerryConnolly,Rep. Gerry Connolly,1600896693666566144,78445977,en,1600896693666566144,2022-12-08T16:54:49.000Z,"And now Republicans have made a Motion to Adjourn to try and shut down the House for the day. 

The Republican approach to governing is just a series of hissy fits and temper tantrums.",False,1600896693666566144,14,3,3,2
GerryConnolly,Rep. Gerry Connolly,1600886696505233412,78445977,en,1600886696505233412,2022-12-08T16:15:06.000Z,"Every House Democrat just voted to enshrine marriage equality for same-sex and interracial couples into federal law. 

169 Republicans voted no.",False,1600886696505233412,17,3,3,2
GerryConnolly,Rep. Gerry Connolly,1600864211634208771,78445977,en,1600864211634208771,2022-12-08T14:45:45.000Z,"Today, we make history.

The Respect for Marriage Act will pass the House later today, sending the bill to @POTUS and finally enshrining marriage equality into federal law.",False,1600864211634208771,11,3,3,1
GerryConnolly,Rep. Gerry Connolly,1600842165759770624,78445977,en,1600842165759770624,2022-12-08T13:18:09.000Z,"RT @POTUS: Moments ago I spoke to Brittney Griner.
 
She is safe.
She is on a plane.
She is on her way home. https://t.co/FmHgfzrcDT",False,1600842165759770624,69391,0,0,0
GerryConnolly,Rep. Gerry Connolly,1600674379884466178,78445977,en,1600674379884466178,2022-12-08T02:11:25.000Z,"RT @RepSpanberger: More than two years ago, Virginia became the 38th and final state needed to ratify the Equal Rights Amendment.

This wee…",False,1600674379884466178,187,0,0,0
GerryConnolly,Rep. Gerry Connolly,1600586747427098634,78445977,en,1600586747427098634,2022-12-07T20:23:12.000Z,"RT @POTUS: On National Pearl Harbor Remembrance Day, we honor those whose lives were cut short that tragic morning. And we reflect on the r…",False,1600586747427098634,8373,0,0,0
