handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
GuamCongressman,Michael F.Q. San Nicolas,1262038990120722432,346509049,en,1262038990120722432,2020-05-17T15:15:17.000Z,"Guam Frontline HEROES ACT, save family of 12.

https://t.co/BTcYiRxmen",False,1262038990120722432,13,112,112,1
GuamCongressman,Michael F.Q. San Nicolas,1224968803064467456,346509049,en,1224968803064467456,2020-02-05T08:11:36.000Z,"Women Empowerment, minority Latino-American peoples, and the forgotten peoples of Territories.

Ageless positivity and classic Latino subtlety hidden behind unrelenting energy and expression. 

This is the embodiment of a diverse America. 

So damn proud. https://t.co/mILaQOW17s",False,1224968803064467456,8,45,45,4
GuamCongressman,Michael F.Q. San Nicolas,1208603518665416704,346509049,en,1208603518665416704,2019-12-22T04:21:48.000Z,"Territories are under the plenary power of Congress. The House represents the People, the Senate represents the Republic. 

Territories have Delegates in the House; the role of Territories as a part of the Republic, should also Senate representation.

https://t.co/XUen9XCdDC",False,1208603518665416704,22,23,23,5
GuamCongressman,Michael F.Q. San Nicolas,1154253981285306370,346509049,en,1154253981285306370,2019-07-25T04:56:08.000Z,The unanimous passage of H.R. 1365 is a testament of the full support Guam has in both parties to bring closure to our Greatest Generation. (link: https://t.co/Ygm4ceo8FW) https://t.co/F6y3TiU1Vg… #Guam #GBG,False,1154253981285306370,3,17,17,0
GuamCongressman,Michael F.Q. San Nicolas,1151842805460951041,346509049,en,1151842805460951041,2019-07-18T13:14:59.000Z,"Speaker Pelosi attends Guam Liberation Gala, confirms HR 1365 will be voted on next week with strong bi-partisan support. https://t.co/Hk4Z8zxCk8",False,1151842805460951041,5,12,12,0
GuamCongressman,Michael F.Q. San Nicolas,1151831225881038849,346509049,zxx,1151831225881038849,2019-07-18T12:28:58.000Z,https://t.co/zbPRKhmf0e,False,1151831225881038849,1,2,2,0
GuamCongressman,Michael F.Q. San Nicolas,1151831035308584960,346509049,zxx,1151831035308584960,2019-07-18T12:28:13.000Z,https://t.co/gl3ay5ZbFq,False,1151831035308584960,1,1,1,0
GuamCongressman,Michael F.Q. San Nicolas,1151479401990807552,346509049,en,1151479401990807552,2019-07-17T13:10:57.000Z,"A powerful tribute to a powerful history shared, and the ultimate respect paid. https://t.co/tPLH9XzbPv",False,1151479401990807552,2,4,4,0
GuamCongressman,Michael F.Q. San Nicolas,1148981890130567168,346509049,en,1148981890130567168,2019-07-10T15:46:44.000Z,I am proud to announce that I am an original cosponsor of HR 3631. This bill will increase federal funding to Guam's Medicaid program and prevent a lapse in Medicaid coverage on Guam. https://t.co/QH9CnmGA3t,False,1148981890130567168,2,1,1,2
GuamCongressman,Michael F.Q. San Nicolas,1148621176719257601,346509049,en,1148621176719257601,2019-07-09T15:53:23.000Z,"Guam's liberation gala will be held this year after a multi-year hiatus on July 17th in Washington D.C. The Honorable Nancy Pelosi, @SpeakerPelosi has already confirmed her attendance as the guest of honor, for the gala. https://t.co/BxAH6ZE4rN",False,1148621176719257601,0,3,3,0
