handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
HerreraBeutler,Jaime Herrera Beutler,1575581225754185728,242926427,en,1575581225754185728,2022-09-29T20:20:11.000Z,"RT @westerncaucus: Hydropower is the centerpiece of the PNW’s energy policy.

🎥 WATCH: @HerreraBeutler is committed to a future where the p…",False,1575581225754185728,4,0,0,0
HerreraBeutler,Jaime Herrera Beutler,1572577928223035395,242926427,en,1572577928223035395,2022-09-21T13:26:09.000Z,"RT @bamhtf: Today, our Task Force is hosting #CongressGoesPurple to celebrate the 22 million Americans in recovery, support those still str…",False,1572577928223035395,9,0,0,0
HerreraBeutler,Jaime Herrera Beutler,1569713362115907587,242926427,en,1569713362115907587,2022-09-13T15:43:24.000Z,"Southwest Washington: please remain vigilant and stay tuned to updates from the @GPNF as we monitor ongoing wildfires in our region.

Also, stay tuned to the Northwest Fire Interactive Web Map, here: https://t.co/1Cpuyb8Orx https://t.co/hNJGUYCGE2",False,1569713362115907587,14,16,16,2
HerreraBeutler,Jaime Herrera Beutler,1568977917836775427,242926427,en,1568977917836775427,2022-09-11T15:01:00.000Z,"Today we reflect upon and mourn the thousands of innocent American lives lost in the horrific terrorist attacks on September 11, 2001. To the families of those who lost loved ones that day: we will never forget. https://t.co/P4EgTpu9CS",False,1568977917836775427,9,5,5,0
HerreraBeutler,Jaime Herrera Beutler,1555032135840305152,242926427,en,1555032135840305152,2022-08-04T03:25:26.000Z,"This is a welcome first step by the VA to bring accessible care to Lewis County, but I remain committed to helping the VA adapt and expand its services until ALL veterans in our communities can access the health care and benefits they deserve. https://t.co/UEcnKWGrGM",False,1555032124654137344,3,43,43,0
HerreraBeutler,Jaime Herrera Beutler,1555032124654137344,242926427,en,1555032124654137344,2022-08-04T03:25:24.000Z,"Positive news for veterans 👉🏼 Southwest Washington veterans have earned and were promised quality medical care, which is why I’ve been advocating for the deployment of a VA Mobile Medical Unit which made its first visit to Chehalis today. https://t.co/tKDjSl5qm9",False,1555032124654137344,17,222,222,5
HerreraBeutler,Jaime Herrera Beutler,1554923332075524097,242926427,en,1554923332075524097,2022-08-03T20:13:06.000Z,"Devastating news - my friend and colleague Rep. Jackie Walorski has been killed in a car accident. My heart breaks for Jackie’s husband, Dean, and for her entire team. There are no words to express my shock and sadness at this loss. This is truly terrible. https://t.co/meA77JMWNl",False,1554923332075524097,34,19,19,4
HerreraBeutler,Jaime Herrera Beutler,1554220282092601344,242926427,en,1554220282092601344,2022-08-01T21:39:25.000Z,Read more about Samuel's life and how he served our country: https://t.co/2nbCyOgjCK,False,1554220278594535432,8,4,4,0
HerreraBeutler,Jaime Herrera Beutler,1554220280674918405,242926427,en,1554220280674918405,2022-08-01T21:39:25.000Z,"As one of the Code Talkers w/U.S. Marine Corps, Sandoval helped send thousands of messages based on the Navajo’s native language that helped the U.S. win the war. He and all the other brave members of our military who served &amp; sacrificed for our nation will never be forgotten.",False,1554220278594535432,6,3,3,0
HerreraBeutler,Jaime Herrera Beutler,1554220278594535432,242926427,en,1554220278594535432,2022-08-01T21:39:25.000Z,"We've lost an American hero. Samuel Sandoval, one of the last remaining members of the Navajo Code Talkers who encrypted critical U.S. messages during World War II, died at age 98. https://t.co/692mXkr4Bo",False,1554220278594535432,30,13,13,3
HerreraBeutler,Jaime Herrera Beutler,1552765918329143296,242926427,en,1552765918329143296,2022-07-28T21:20:18.000Z,Here’s what the Skamania County Board of Commissioners are saying: https://t.co/tlUzpCCBSr,False,1552765914030002177,2,7,7,0
HerreraBeutler,Jaime Herrera Beutler,1552765914030002177,242926427,en,1552765914030002177,2022-07-28T21:20:17.000Z,"Positive news on a bill I wrote to specifically benefit the residents of Skamania County 👇

Read more here: https://t.co/TXp39haiUG https://t.co/yOhGSdMCFF",False,1552765914030002177,5,25,25,5
HerreraBeutler,Jaime Herrera Beutler,1552695556895547392,242926427,en,1552695556895547392,2022-07-28T16:40:43.000Z,".@the_USO continues to do amazing work to support members of our Armed Forces and their families. To all the members of our U.S. military currently serving, or those who have served, thank you for your dedication to our nation! We are grateful for your service and sacrifice. 🇺🇸",False,1552695552403558403,1,6,6,0
HerreraBeutler,Jaime Herrera Beutler,1552695552403558403,242926427,en,1552695552403558403,2022-07-28T16:40:42.000Z,"This week I had the honor of assembling @the_USO care packages that will be delivered to our deployed, and soon-to-be deployed, service members. This tradition has grown since World War II when Americans packed boxes of ""tastes of home"" for deployed service members. https://t.co/mI5xC0CETo",False,1552695552403558403,6,21,21,3
