handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
Ilhan,Rep. Ilhan Omar,1600945934854082561,1082334352711790593,en,1600945934854082561,2022-12-08T20:10:29.000Z,RT @MuslimAdvocates: Thank you @Ilhan and @SenWarren for calling for an end to banking discrimination against American Muslims and communit…,False,1600945934854082561,56,0,0,0
Ilhan,Rep. Ilhan Omar,1600932534233157632,1082334352711790593,en,1600932534233157632,2022-12-08T19:17:14.000Z,Full statement here: https://t.co/h7YTkIf0sP,False,1600932521247547392,47,32,32,1
Ilhan,Rep. Ilhan Omar,1600932531960184832,1082334352711790593,en,1600932531960184832,2022-12-08T19:17:14.000Z,"For these reasons, I oppose this bill.",False,1600932521247547392,24,18,18,1
Ilhan,Rep. Ilhan Omar,1600932530307620866,1082334352711790593,en,1600932530307620866,2022-12-08T19:17:13.000Z,Let’s be clear: spending this much money on pentagon bloat does not make us safer. We can focus our energy on critical efforts—like assisting the Ukrainian people in fighting off an illegal Russian invasion—without spending over $850 billion on wasteful contracts.,False,1600932521247547392,49,26,26,7
Ilhan,Rep. Ilhan Omar,1600932528856391682,1082334352711790593,en,1600932528856391682,2022-12-08T19:17:13.000Z,It includes egregious funding to extend the failed War on Drugs mentality in Colombia that has led to some of the worst human rights abuses in the world. It also prohibits the closing of Guantanamo and removes all congressional provisions related to the war in Yemen.,False,1600932521247547392,45,10,10,4
Ilhan,Rep. Ilhan Omar,1600932527211917312,1082334352711790593,en,1600932527211917312,2022-12-08T19:17:13.000Z,"Not only does this legislation further fund endless wars, but it continues to harm our reputation around the world.",False,1600932521247547392,29,11,11,2
Ilhan,Rep. Ilhan Omar,1600932525702270976,1082334352711790593,en,1600932525702270976,2022-12-08T19:17:12.000Z,"It is not moral to spend more money on a Pentagon budget than we spend on priorities that impact the daily lives of my constituents. We have a responsibility to reduce our exorbitant military budget and spend more money on housing, education, childcare, and healthcare.",False,1600932521247547392,84,21,21,6
Ilhan,Rep. Ilhan Omar,1600932524200693761,1082334352711790593,en,1600932524200693761,2022-12-08T19:17:12.000Z,"Pentagon spending now totals more than transportation, veterans, education, justice, international affairs, the environment, housing, science, space, job training, and employment combined. Our spending priorities should reflect our values.",False,1600932521247547392,155,16,16,13
Ilhan,Rep. Ilhan Omar,1600932522745298944,1082334352711790593,en,1600932522745298944,2022-12-08T19:17:11.000Z,The annual pentagon spending bill now totals over $850 billion. That’s more than $55 billion over what the President requested. It is unconscionable to spend a record-breaking amount on our defense budget while thousands of Minnesotans in my district struggle to make ends meet.,False,1600932521247547392,77,43,43,7
Ilhan,Rep. Ilhan Omar,1600932521247547392,1082334352711790593,en,1600932521247547392,2022-12-08T19:17:11.000Z,Just voted NO on the $850+ billion Pentagon budget. (THREAD),False,1600932521247547392,506,629,629,97
Ilhan,Rep. Ilhan Omar,1600886997337669634,1082334352711790593,en,1600886997337669634,2022-12-08T16:16:17.000Z,"The House just passed legislation to enshrine marriage equality into law. 

This bill will codify the right to same-sex and interracial marriage. Next stop: President Biden’s desk!",False,1600886997337669634,87,86,86,10
Ilhan,Rep. Ilhan Omar,1600881709167562754,1082334352711790593,en,1600881709167562754,2022-12-08T15:55:17.000Z,Full statement here: https://t.co/W0ChdUcIZv,False,1600881694730502145,22,9,9,2
Ilhan,Rep. Ilhan Omar,1600881707816976384,1082334352711790593,en,1600881707816976384,2022-12-08T15:55:16.000Z,I vow to work closely with each and every Member of the Caucus to stand up for those values.,False,1600881694730502145,12,5,5,0
Ilhan,Rep. Ilhan Omar,1600881706398908417,1082334352711790593,en,1600881706398908417,2022-12-08T15:55:16.000Z,"To do that, we will need to lead with our values, to not shy away from the diversity, freedoms and ideals that make the unfinished project of the American Republic great.",False,1600881694730502145,9,2,2,0
Ilhan,Rep. Ilhan Omar,1600881704985833472,1082334352711790593,en,1600881704985833472,2022-12-08T15:55:16.000Z,We will need a legislative strategy to stop the most egregious cuts. We will need a messaging strategy that uses our bully pulpit to push back against their agenda. And we will need a political strategy to elect and reelect progressive champions.,False,1600881694730502145,11,1,1,0
Ilhan,Rep. Ilhan Omar,1600881703634903040,1082334352711790593,en,1600881703634903040,2022-12-08T15:55:15.000Z,"In the face of Republican threats to our democracy and our humanity, we will need to be clear-eyed and organized in the term ahead.",False,1600881694730502145,13,2,2,0
Ilhan,Rep. Ilhan Omar,1600881702217609217,1082334352711790593,en,1600881702217609217,2022-12-08T15:55:15.000Z,"And the advocacy of the CPC helped lead to the landmark Inflation Reduction Act, which will lower drug prices, create millions of good-paying jobs and create the most consequential reduction in carbon emissions in our country’s history.",False,1600881694730502145,9,1,1,0
Ilhan,Rep. Ilhan Omar,1600881700807929856,1082334352711790593,en,1600881700807929856,2022-12-08T15:55:15.000Z,We put our bodies on the line to push for an extension of the eviction moratorium and to protest a corrupt Supreme Court’s decision to overturn Roe v. Wade. We were able to successfully advocate for commonsense gun safety legislation.,False,1600881694730502145,9,1,1,0
Ilhan,Rep. Ilhan Omar,1600881699420004353,1082334352711790593,en,1600881699420004353,2022-12-08T15:55:14.000Z,"It was the Progressive Caucus that successfully pushed for massive public investments, unemployment insurance and direct survival checks in the American Rescue Plan.",False,1600881694730502145,9,1,1,0
Ilhan,Rep. Ilhan Omar,1600881697842552832,1082334352711790593,en,1600881697842552832,2022-12-08T15:55:14.000Z,"As a Caucus, progressives have been able to shape some of the most consequential pieces of legislation in generations. It was the Progressive Caucus that advocated successfully for student debt cancellation.",False,1600881694730502145,15,6,6,1
Ilhan,Rep. Ilhan Omar,1600881696366551040,1082334352711790593,en,1600881696366551040,2022-12-08T15:55:14.000Z,"I want to thank my friend and colleague, our current Deputy Chair, @RepKatiePorter for her incredible leadership these past two years, along with our unwavering Chairwoman @RepJayapal.",False,1600881694730502145,12,1,1,0
Ilhan,Rep. Ilhan Omar,1600881694730502145,1082334352711790593,en,1600881694730502145,2022-12-08T15:55:13.000Z,"It has been an honor to serve as Whip of the Congressional @USProgressives Caucus for the past two terms, and I am thrilled to take on the challenge of serving our Caucus as Deputy Chair.",False,1600881694730502145,88,53,53,5
Ilhan,Rep. Ilhan Omar,1600150239377125377,1082334352711790593,en,1600150239377125377,2022-12-06T15:28:41.000Z,"Corporate Profits reached an all-time high of $2,522,000,000,000 this year.
 
Meanwhile, real wages declined more than 8.5 percent.
 
The problem is and has always been corporate greed and the politicians who do nothing to stop it.",False,1600150239377125377,916,837,837,87
Ilhan,Rep. Ilhan Omar,1600149961626161152,1082334352711790593,en,1600149961626161152,2022-12-06T15:27:34.000Z,RT @StarTribune: The U.S. House of Representatives passed Rep. Ilhan Omar's bill to rename a Minneapolis post office after the late congres…,False,1600149961626161152,14,0,0,0
