handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
JimInhofe,Sen. Jim Inhofe,1600543160194637824,7270292,en,1600543160194637824,2022-12-07T17:30:00.000Z,"I'm proud to have selected @okstate as my official repository!
I'm confident in OSU’s ability to preserve these papers, and I look forward to seeing how future students will use them in the course of their studies.
https://t.co/MtSGcMH0ka",False,1600543160194637824,2,5,5,0
JimInhofe,Sen. Jim Inhofe,1600518839216791554,7270292,en,1600518839216791554,2022-12-07T15:53:22.000Z,"One thing remains clear: we are in the most threatened position of my lifetime. Conservatives in OK and across the U.S. can be proud of what we secured in this year’s bill to protect our country and give our troops what they need to complete their mission.
https://t.co/qTUtHqiL8H",False,1600518739790807040,2,4,4,0
JimInhofe,Sen. Jim Inhofe,1600518739790807040,7270292,en,1600518739790807040,2022-12-07T15:52:58.000Z,"As I near the close of my time here in Congress, ensuring our troops have what they need is my number one priority and I am glad we are one step closer to final passage of the FY23 National Defense Authorization Act.
https://t.co/Fibkt5q0uj",False,1600518739790807040,3,8,8,1
JimInhofe,Sen. Jim Inhofe,1600490329261498369,7270292,en,1600490329261498369,2022-12-07T14:00:04.000Z,"Today, we remember the 2,403 brave United States servicemembers and civilians who made the ultimate sacrifice at Pearl Harbor on Dec. 7, 1941.
Please join me today and take a moment to honor these men and women on this ""day which will live in infamy."" https://t.co/OauJQzHLKk",False,1600490329261498369,28,15,15,1
JimInhofe,Sen. Jim Inhofe,1599877030299901952,7270292,en,1599877030299901952,2022-12-05T21:23:02.000Z,"Read the full letter I sent today alongside @RepMikeRogersAL, @SenatorFischer and @RepDLamborn ⬇️ https://t.co/YbeoZHTb8C",False,1599877025149644801,46,9,9,38
JimInhofe,Sen. Jim Inhofe,1599877025149644801,7270292,en,1599877025149644801,2022-12-05T21:23:01.000Z,I’ve said it many times—we’ve only seen the tip of the iceberg when it comes to China’s growing military might. The admin must be open and honest with the American people about the threat Beijing poses to global order and our way of life.,False,1599877025149644801,26,23,23,2
JimInhofe,Sen. Jim Inhofe,1598708279437398017,7270292,en,1598708279437398017,2022-12-02T15:58:51.000Z,"I’m excited to re-intro a bill that would ensure Route 66 receives the recognition it deserves as a National Historic Trail, while also protecting our vital energy infrastructure.
https://t.co/XJ2WXjPyop",False,1598708225133580288,1,2,2,1
JimInhofe,Sen. Jim Inhofe,1598708225133580288,7270292,en,1598708225133580288,2022-12-02T15:58:38.000Z,"Oklahoma is home to the longest drivable stretch of 'America’s Main Street,' connecting small businesses and rural communities with visitors.",False,1598708225133580288,1,6,6,0
JimInhofe,Sen. Jim Inhofe,1598444488464257027,7270292,en,1598444488464257027,2022-12-01T22:30:38.000Z,"While I regret that Congress was ultimately involved in this dispute, I believe it was our only option to keep our country from coming to a screeching halt with Christmas right around the corner.",False,1598444420357148692,1,9,9,0
JimInhofe,Sen. Jim Inhofe,1598444420357148692,7270292,en,1598444420357148692,2022-12-01T22:30:22.000Z,"Today, I joined an overwhelming majority of my colleagues in voting in favor of a resolution that will prevent a rail strike from taking place – a scenario which would have been catastrophic to our nation’s economy.",False,1598444420357148692,1,25,25,2
JimInhofe,Sen. Jim Inhofe,1598331095182761984,7270292,en,1598331095182761984,2022-12-01T15:00:03.000Z,"Since its founding in 1941, the Civil Air Patrol has remained committed to serving Americans. Whether searching for the lost or providing comfort in times of disaster, the Civil Air Patrol has proven dedicated to keeping us safe. 
Happy 81st birthday to the @CivilAirPatrol!",False,1598331095182761984,3,4,4,0
JimInhofe,Sen. Jim Inhofe,1597334521506140163,7270292,en,1597334521506140163,2022-11-28T21:00:01.000Z,"Democrats have changed the definition of a recession in order to avoid one. But the facts remain: our economy is declining, and Oklahomans have seen inflation outpace wage growth for 18 months, all thanks to out-of-control spending and failed policies from the Biden admin.",False,1597334521506140163,115,219,219,9
JimInhofe,Sen. Jim Inhofe,1595786817499963400,7270292,en,1595786817499963400,2022-11-24T14:30:00.000Z,"As Lincoln said: “solemnly, reverently, and gratefully acknowledged, as with one heart and one voice, by the whole American people”, give “thanksgiving and praise to our beneficent Father who dwelleth in the heavens.”  
May you and your family have a Happy Thanksgiving. https://t.co/sqxmnMuRT8",False,1595786817499963400,6,13,13,0
JimInhofe,Sen. Jim Inhofe,1593982438635618310,7270292,en,1593982438635618310,2022-11-19T15:00:02.000Z,Wishing a very happy #NationalAdoptionDay to all of the families who have been touched by the joy and blessings that adoption brings. I am forever thankful for the beautiful impact that adoption has had on my own family. https://t.co/thaow1OSC4,False,1593982438635618310,3,9,9,0
JimInhofe,Sen. Jim Inhofe,1592906420948803586,7270292,en,1592906420948803586,2022-11-16T15:44:20.000Z,"115 years ago, today, Oklahoma became the 46th state in America. I’m so proud to represent our beautiful state and the amazing people who call it home. #HappyBirthdayOklahoma! https://t.co/hCNWzTa7B9",False,1592906420948803586,4,15,15,1
JimInhofe,Sen. Jim Inhofe,1591475911697649664,7270292,en,1591475911697649664,2022-11-12T17:00:00.000Z,"Happy birthday to my good friend, @SenJackReed. I’m looking forward to continuing our work to ensure the #FY23NDAA becomes law later this year.",False,1591475911697649664,3,11,11,0
JimInhofe,Sen. Jim Inhofe,1591068246437900288,7270292,en,1591068246437900288,2022-11-11T14:00:05.000Z,"Veterans Day is a time devoted to paying our respects to the men and women who have worn the uniform and sacrificed to make our nation great. Because of our veterans’ service and commitment, the United States has become a shining beacon for liberty and democracy across the globe. https://t.co/GXFVYIqkir",False,1591068246437900288,2,12,12,1
JimInhofe,Sen. Jim Inhofe,1590705849948700677,7270292,en,1590705849948700677,2022-11-10T14:00:03.000Z,"From the Halls of Montezuma to the shores of Tripoli; our Marine Corps has fought our country’s battles in the air, on land and sea. Happy 247th birthday to the United States Marine Corps! #OORAH https://t.co/ZY4xzZXcKa",False,1590705849948700677,7,1,1,0
JimInhofe,Sen. Jim Inhofe,1590441381247725570,7270292,en,1590441381247725570,2022-11-09T20:29:08.000Z,I’m very proud to see @UofOklahoma empower the next generation of aviation professionals by expanding their School of Aviation Studies. Giving more young people a viable path to pursue a career in aviation will further grow the contributions of aerospace &amp; defense to OK’s economy,False,1590441381247725570,4,4,4,0
JimInhofe,Sen. Jim Inhofe,1589701723530092545,7270292,en,1589701723530092545,2022-11-07T19:30:00.000Z,"This scholarship is a testament to my priorities as a pilot. It has been an honor to have been a voice for pilots in Washington while working with @AOPA to address the needs of pilots and the entire general aviation community.
https://t.co/Moph4lrFnd",False,1589701723530092545,2,6,6,0
