handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
JimLangevin,Jim Langevin,1601286556815265792,18909919,en,1601286556815265792,2022-12-09T18:44:00.000Z,"The #FY23NDAA will make sure America rises to our biggest global challenges by investing in what makes our country strong. 

I hope that my colleagues in the Senate send this critical bill to President Biden’s desk as soon as possible.",False,1601286556815265792,0,1,1,0
JimLangevin,Jim Langevin,1601266837140168705,18909919,en,1601266837140168705,2022-12-09T17:25:38.000Z,"Yesterday, I had the pleasure of speaking before the Bipartisan Commission on Biodefense.  

Now more than ever, the U.S. must be laser-focused on the rising threat of chemical, biological, radiological, and nuclear weapons. https://t.co/JU0vTmsMwD",False,1601266837140168705,0,1,1,0
JimLangevin,Jim Langevin,1600955613290196993,18909919,en,1600955613290196993,2022-12-08T20:48:57.000Z,RT @BioCommission: “We are woefully underprepared to defend against biological threats. The US must be more focused than ever on this issue…,False,1600955613290196993,4,0,0,0
JimLangevin,Jim Langevin,1600907622521212929,18909919,en,1600907622521212929,2022-12-08T17:38:15.000Z,"For 62 years, Democrats and Republicans have set aside their differences to craft NDAAs that strengthen our national security and benefit our brave troops.

I am so honored to have been a part of this enduring tradition, and I pray that it’ll continue long after I leave Congress. https://t.co/u0NVempXUp",False,1600907622521212929,1,1,1,0
JimLangevin,Jim Langevin,1600897999856541696,18909919,en,1600897999856541696,2022-12-08T17:00:01.000Z,"Love is love is love. No one should be discriminated against because of who they love. 

As a proud member of the @LGBTEqCaucus, I just voted to send the #RespectForMarriageAct to @POTUS’s desk.",False,1600897999856541696,7,2,2,0
JimLangevin,Jim Langevin,1600885231220842497,18909919,en,1600885231220842497,2022-12-08T16:09:16.000Z,"I can’t wait to welcome Brittney back to the U.S.  

Thank you, @POTUS, for securing her safe release from Russian captivity.  

Let us continue fighting to bring home all Americans who are unjustly detained abroad.  

https://t.co/pKyEkWx7hd",False,1600885231220842497,0,1,1,0
JimLangevin,Jim Langevin,1600577191863009288,18909919,en,1600577191863009288,2022-12-07T19:45:14.000Z,"What an honor to receive this @NSAGov Public Service award from my dear friend, General Nakasone (@CYBERCOM_DIRNSA). 

I am so grateful for the dedicated women and men at NSA who work around the clock to keep Americans safe.  

It’s been a privilege to serve them. https://t.co/K382azG1ts",False,1600577191863009288,1,0,0,0
JimLangevin,Jim Langevin,1600543850656825344,18909919,en,1600543850656825344,2022-12-07T17:32:45.000Z,"December 7th, 1941. A date which will forever live in infamy.  

We must never forget the more than 2,400 brave Americans who made the ultimate sacrifice that day.  

81 years later, their courage and heroism continues to inspire us today.",False,1600543850656825344,1,0,0,0
JimLangevin,Jim Langevin,1600231629955289089,18909919,en,1600231629955289089,2022-12-06T20:52:06.000Z,"Today, I had the privilege of attending the Congressional Gold Medal Ceremony honoring all those who answered the call of service on January 6th, 2021. 

I commend those who defended the Capitol on that fateful day. 

Heroes all! https://t.co/ZSWLzQJ9sU",False,1600231629955289089,3,2,2,1
JimLangevin,Jim Langevin,1600210254704562176,18909919,en,1600210254704562176,2022-12-06T19:27:09.000Z,"Last night was a ball. 

Thanks for having me, @POTUS and @FLOTUS! https://t.co/VKE20ZCxQ7",False,1600210254704562176,7,8,8,0
JimLangevin,Jim Langevin,1600151338129702914,18909919,en,1600151338129702914,2022-12-06T15:33:03.000Z,"Whether they’re eating dinner at Mar-a-Lago or spreading vile conspiracies online, antisemites must be swiftly condemned.  

I was proud to join my colleagues in calling for a a whole-of-government approach to combat the dangerous rise in antisemitism.  

https://t.co/AtOotxANyz",False,1600151338129702914,0,0,0,0
JimLangevin,Jim Langevin,1599847826678288396,18909919,en,1599847826678288396,2022-12-05T19:27:00.000Z,"We must synchronize discussions of information warfare across the military branches. 

Whether it’s cyber, psyops, or info warfare, these actions should be seen as part of the wider information domain. 

@DeptofDefense has its work cut out. 

https://t.co/VidDEu2KYH",False,1599847826678288396,0,1,1,0
JimLangevin,Jim Langevin,1599808154124025857,18909919,en,1599808154124025857,2022-12-05T16:49:21.000Z,"This should go without saying, but any suggestion to “terminate” the Constitution is un-American and wrong. 

To my @GOP friends and colleagues – please do not stay silent.

The former President's dangerous rhetoric needs to be swiftly denounced by all those who love our country.",False,1599808154124025857,4,5,5,0
JimLangevin,Jim Langevin,1598755378405179395,18909919,en,1598755378405179395,2022-12-02T19:06:00.000Z,"This AM, @POTUS signed legislation to avert a catastrophic rail strike.  

Although this agreement secures important advances for workers, it’s time that all Americans have paid sick leave.  

@HouseDemocrats won’t stop fighting until all workers get the benefits they deserve.",False,1598755378405179395,2,0,0,0
