handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
JoaquinCastrotx,Joaquin Castro,1601347675357519872,231510077,en,1601347675357519872,2022-12-09T22:46:52.000Z,"RT @PabloReports: ""If anybody deserves an opportunity to not be deported,  it would obviously be somebody who served their time in the mili…",False,1601347675357519872,13,0,0,0
JoaquinCastrotx,Joaquin Castro,1601328803787116546,231510077,en,1601328803787116546,2022-12-09T21:31:52.000Z,"RT @MorePerfectUS: Wall Street is pushing Costco for higher profits at the expense of customers.

In yesterday's earnings call, Costco's ma…",False,1601328803787116546,588,0,0,0
JoaquinCastrotx,Joaquin Castro,1601291447570874370,231510077,en,1601291447570874370,2022-12-09T19:03:26.000Z,RT @alexazura: San Antonio’s historic West Side is a product of segregation and redlining. But its residents want to keep what they’ve buil…,False,1601291447570874370,73,0,0,0
JoaquinCastrotx,Joaquin Castro,1601268540257886209,231510077,en,1601268540257886209,2022-12-09T17:32:24.000Z,RT @WSJ: How to turn members of Gen Z into anti-monopolists? Federal Trade Commission Chairwoman Lina Khan discusses the Taylor Swift-Ticke…,False,1601268540257886209,31,0,0,0
JoaquinCastrotx,Joaquin Castro,1601040708915560448,231510077,en,1601040708915560448,2022-12-09T02:27:05.000Z,"While I remain concerned about the overall size of our defense budget, there is much to support in this year’s NDAA. I look forward to Congress's continued work to support servicemembers and military families in San Antonio and across the country. (13/13)",False,1601040690368368641,3,2,2,0
JoaquinCastrotx,Joaquin Castro,1601040707535638528,231510077,en,1601040707535638528,2022-12-09T02:27:05.000Z,"7⃣ Improving National Security Research
 
My final provision in the NDAA requires ODNI to submit a report to Congress on how the Intelligence Community can translate open-source materials and publish them for policymakers, academics, journalists, and others. (12/13)",False,1601040690368368641,3,1,1,0
JoaquinCastrotx,Joaquin Castro,1601040705815687168,231510077,en,1601040705815687168,2022-12-09T02:27:04.000Z,"6⃣ Improving Diversity Within the Intelligence Community
 
My language in the NDAA would require @ODNIGov to submit a report to Congress that documents barriers to promotion for women and minorities and proposals to overcome those barriers. (11/13)",False,1601040690368368641,2,2,2,0
JoaquinCastrotx,Joaquin Castro,1601040704272498688,231510077,en,1601040704272498688,2022-12-09T02:27:04.000Z,"5⃣ Expediting Declassification of CIA Records (w/@RepGallagher)

The government has an obligation to be transparent and accountable. This NDAA language will expedite CIA declassification by requiring the CIA Historical Review Panel to report directly to the CIA Director. (10/13)",False,1601040690368368641,2,2,2,0
JoaquinCastrotx,Joaquin Castro,1601040702833856512,231510077,en,1601040702833856512,2022-12-09T02:27:04.000Z,"3⃣ Expanding U.S. Leadership in International Organizations By:
👉Creating new authorities to place qualified Americans at UN agencies.
👉Authorizing @StateDept to give housing allowances to more staff at the @USUN so the mission can be fully staffed. (9/13)",False,1601040690368368641,3,2,2,0
JoaquinCastrotx,Joaquin Castro,1601040701164519424,231510077,en,1601040701164519424,2022-12-09T02:27:03.000Z,"2⃣ Higher Pay for Military &amp; Foreign Service Spouses
 
When military &amp; foreign service families are sent overseas, spouses employed by the federal government can often continue their jobs through telework. My NDAA language would make sure they're paid fairly while abroad. (8/13)",False,1601040690368368641,6,2,2,1
JoaquinCastrotx,Joaquin Castro,1601040699285467136,231510077,en,1601040699285467136,2022-12-09T02:27:03.000Z,"Thank you to @CarlosAngeles25, @payourinterns and all those who have pushed for years to expand paid internship opportunities inside and outside the federal government. (7/13)",False,1601040690368368641,3,2,2,1
