handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
JohnBoozman,Senator John Boozman,1601267322031075330,5558312,en,1601267322031075330,2022-12-09T17:27:34.000Z,"Earlier this week I was honored to be recognized with  the National Job Corps Association's 2022 Congressional Leadership Award by for my advocacy of expanding education and career opportunities though the Job Corps program.

More: https://t.co/311v2h7KAc https://t.co/fAYOPrv1hS",False,1601267322031075330,1,0,0,0
JohnBoozman,Senator John Boozman,1600997522990063617,5558312,en,1600997522990063617,2022-12-08T23:35:29.000Z,"RT @SenateAgGOP: RM @JohnBoozman spoke at the National Rural Lenders’ Roundtable this morning discussing #FarmBill priorities, current budg…",False,1600997522990063617,1,0,0,0
JohnBoozman,Senator John Boozman,1600955279348486145,5558312,en,1600955279348486145,2022-12-08T20:47:37.000Z,"Congratulations to the Huneycutt Family from Arkadelphia on being named the 2022 Arkansas Farm Family of the Year.

We’re so proud of them and appreciate their example and all their contributions to Arkansas agriculture. https://t.co/sHE3p7anAY",False,1600955279348486145,6,6,6,1
JohnBoozman,Senator John Boozman,1600937003498946561,5558312,en,1600937003498946561,2022-12-08T19:35:00.000Z,"Rising heating costs were predictable when the Biden administration set out to hamstring U.S. energy production – by design.

It's past time to unleash American energy and deliver relief to folks across our country struggling to afford heat or fuel. https://t.co/saqc2x4nEQ",False,1600937003498946561,10,44,44,3
JohnBoozman,Senator John Boozman,1600899880855166976,5558312,en,1600899880855166976,2022-12-08T17:07:29.000Z,"RT @iac_virginia: At senate #Iran briefing number of senators spoke to support the protestors and #HumanRightsViolations in #Iran 
Thank yo…",False,1600899880855166976,59,0,0,0
JohnBoozman,Senator John Boozman,1600882106242301953,5558312,en,1600882106242301953,2022-12-08T15:56:51.000Z,"A porous southern border &amp; dysfunctional asylum process are evidence our immigration system is broken. That’s where any solution has to begin and, once implemented, be verified. Rushing something in a lame-duck Congress with little to no input from most senators is a non-starter.",False,1600882106242301953,3,9,9,1
JohnBoozman,Senator John Boozman,1600687554655051776,5558312,en,1600687554655051776,2022-12-08T03:03:47.000Z,RT @nwademgaz: A leader with the University of Arkansas System's Division of Agriculture is urging federal lawmakers to support higher inve…,False,1600687554655051776,3,0,0,0
JohnBoozman,Senator John Boozman,1600609811430871043,5558312,en,1600609811430871043,2022-12-07T21:54:51.000Z,It was great to spend some time chatting with an Arkansas student named Haydn yesterday in between votes. He asked for some help with a civics assignment and I enjoyed sharing my perspective with him. It’s always encouraging to see young people learning and taking initiative. https://t.co/M4mVKHRiV9,False,1600609811430871043,3,6,6,0
JohnBoozman,Senator John Boozman,1600593645006163976,5558312,en,1600593645006163976,2022-12-07T20:50:37.000Z,"RT @bumperscollege: Education and teaching; research; service, outreach and extension = #LandGrant!

#AgFoodLife",False,1600593645006163976,2,0,0,0
JohnBoozman,Senator John Boozman,1600593334199848960,5558312,en,1600593334199848960,2022-12-07T20:49:23.000Z,RT @SenateGOP: Energy security is national security.,False,1600593334199848960,78,0,0,0
JohnBoozman,Senator John Boozman,1600502726101712906,5558312,en,1600502726101712906,2022-12-07T14:49:20.000Z,"Today our nation remembers the brave, patriotic Americans who were part of the stunning and devastating attack on Pearl Harbor. 81 years later, we still revere and reflect on these heroes, honoring the fallen, the survivors and all their loved ones.
#PearlHarborRemembranceDay https://t.co/bJxkMRAZVT",False,1600502726101712906,23,24,24,3
JohnBoozman,Senator John Boozman,1600261584470712320,5558312,en,1600261584470712320,2022-12-06T22:51:07.000Z,RT @SenateAgGOP: Innovation is the answer to the challenge of feeding our growing population. RM @JohnBoozman &amp; committee members heard fro…,False,1600261584470712320,5,0,0,0
JohnBoozman,Senator John Boozman,1600217856909578241,5558312,en,1600217856909578241,2022-12-06T19:57:22.000Z,"As @SenateAgGOP leader, I was especially pleased to welcome @AginArk VP for Agriculture @DeacueFields to testify before the committee about research infrastructure and challenges that exist at land-grant universities. We're proud of his leadership and all the institution's work. https://t.co/WIbCtnmxbH",False,1600217847266885632,3,0,0,1
JohnBoozman,Senator John Boozman,1600217847266885632,5558312,en,1600217847266885632,2022-12-06T19:57:20.000Z,"The #FarmBill is the most important and consistent opportunity to invest in #agricultural research and extension.

Today's Ag Committee hearing was about delivering focused, well-funded and flexible research programs that can have widespread impact.
https://t.co/Zbi2tniblL",False,1600217847266885632,4,3,3,0
JohnBoozman,Senator John Boozman,1600184811901300736,5558312,en,1600184811901300736,2022-12-06T17:46:03.000Z,"RT @AlexHouseThomas: .@JohnBoozman introduces Fields, describing him as someone with “extraordinary leadership” on agriculture. https://t.c…",False,1600184811901300736,2,0,0,0
