handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
JudgeCarter,Judge Carter,1601310716035743749,18030431,en,1601310716035743749,2022-12-09T20:20:00.000Z,Paychecks are being slashed because of #Bidenflation.,False,1601310716035743749,0,9,9,0
JudgeCarter,Judge Carter,1601264159404036096,18030431,en,1601264159404036096,2022-12-09T17:15:00.000Z,"In the majority, Republicans will support our Border Patrol agents to ensure they have the resources they need to protect our nation.",False,1601264159404036096,0,6,6,0
JudgeCarter,Judge Carter,1601237735208992771,18030431,en,1601237735208992771,2022-12-09T15:30:00.000Z,"Learn more about the Texas delegation's commitment to secure the border⬇️
https://t.co/0l4eNICBTr",False,1601237735208992771,0,0,0,0
JudgeCarter,Judge Carter,1601063419247202307,18030431,en,1601063419247202307,2022-12-09T03:57:20.000Z,"RT @GOPLeader: ""Merchant of Death""—That's the nickname of the prisoner Biden returned to Putin. He was convicted of conspiring to kill Amer…",False,1601063419247202307,2575,0,0,0
JudgeCarter,Judge Carter,1600985340193689600,18030431,en,1600985340193689600,2022-12-08T22:47:04.000Z,"@DColleenTLewis Hi Colleen, I’m a cosponsor of legislation to repeal WEP.",False,1600944152577212416,0,0,0,0
JudgeCarter,Judge Carter,1600966699016077312,18030431,en,1600966699016077312,2022-12-08T21:33:00.000Z,Make life more affordable - unleash American energy!,False,1600966699016077312,0,3,3,2
JudgeCarter,Judge Carter,1600940778263662592,18030431,en,1600940778263662592,2022-12-08T19:50:00.000Z,"Texas members are commitment to a nation that is safe. Here is our plan to strengthen border security ⬇️
https://t.co/ugphSjcJ5M",False,1600940778263662592,1,2,2,0
JudgeCarter,Judge Carter,1600912771797102592,18030431,en,1600912771797102592,2022-12-08T17:58:42.000Z,"Today, the Texas delegation announced our comprehensive border security plan that will complete physical infrastructure, improve border enforcement, target criminals and end loopholes that allow individuals to go free into our country. If this Administration won’t act, we will! https://t.co/vtAUc9wD2n",False,1600912771797102592,0,9,9,1
JudgeCarter,Judge Carter,1600853644416811010,18030431,en,1600853644416811010,2022-12-08T14:03:45.000Z,RT @RepArrington: No one understands or appreciates the widespread social and economic costs of Biden’s Border Crisis like the people of Te…,False,1600853644416811010,22,0,0,0
JudgeCarter,Judge Carter,1600651368603287554,18030431,en,1600651368603287554,2022-12-08T00:39:59.000Z,"Congratulations to the Hutto High School Robotics team on winning the state championship! #TX31 is so proud of you!
https://t.co/QJrI2616je",False,1600651368603287554,0,1,1,0
JudgeCarter,Judge Carter,1600611107047034880,18030431,en,1600611107047034880,2022-12-07T22:00:00.000Z,"DHS Secretary Mayorkas has failed to do his job &amp; secure the southern border. Under his leadership, record numbers of immigrants have crossed illegally. Discussions about impeaching Secretary Mayorkas are ongoing &amp; I want to know what you think. 
https://t.co/dnDEyo1PFj",False,1600611107047034880,1,5,5,0
JudgeCarter,Judge Carter,1600535608346017792,18030431,en,1600535608346017792,2022-12-07T17:00:00.000Z,"Today marks 81 years since Japanese warplanes descended on Oahu, killing 2,403 service members and civilians and injuring thousands more. Today we remember and honor the service members who lost their life in the attack. https://t.co/GfTYo7eS8e",False,1600535608346017792,1,1,1,0
JudgeCarter,Judge Carter,1600512960832720899,18030431,en,1600512960832720899,2022-12-07T15:30:00.000Z,#Bidenflation is Americans’ unwelcome guest this holiday season,False,1600512960832720899,0,4,4,0
JudgeCarter,Judge Carter,1600256268102352901,18030431,en,1600256268102352901,2022-12-06T22:30:00.000Z,"ICYMI: The Verdict is out! Check out my newsletter on what is going on in Washington, DC and TX-31 and sign up here: https://t.co/FhDUj0USNH",False,1600256268102352901,0,2,2,0
JudgeCarter,Judge Carter,1600207195081261058,18030431,en,1600207195081261058,2022-12-06T19:15:00.000Z,"Whether it’s the Christmas tree or the gifts under it, inflation is stealing Americans’ Christmas cheer this year. https://t.co/ms5Y593IyC",False,1600207195081261058,0,6,6,0
JudgeCarter,Judge Carter,1600175234023186437,18030431,en,1600175234023186437,2022-12-06T17:08:00.000Z,President Biden STILL has not been to the border.,False,1600175234023186437,0,7,7,0
JudgeCarter,Judge Carter,1600154346808700928,18030431,en,1600154346808700928,2022-12-06T15:45:00.000Z,"The Congressional App Challenge is a great way to get young people interested in technology. Over the weekend, we announced Ayushmaan Dubey as the 2022 TX-31 Congressional App Challenge winner for his app, Rise and Shine. Join me in congratulating Ayushmaan! https://t.co/c9qojMghoH",False,1600154346808700928,1,2,2,0
JudgeCarter,Judge Carter,1599863681952669732,18030431,en,1599863681952669732,2022-12-05T20:30:00.000Z,"Biden’s legacy: 
✅Record High Inflation
✅Open Borders 
✅Surging Crime
✅Energy Crisis",False,1599863681952669732,1,5,5,0
JudgeCarter,Judge Carter,1599837257409740833,18030431,en,1599837257409740833,2022-12-05T18:45:00.000Z,.@SecMayorkas has failed to do his job and secure the southern border. He must be held accountable,False,1599837257409740833,0,2,2,0
JudgeCarter,Judge Carter,1599806351395332102,18030431,en,1599806351395332102,2022-12-05T16:42:11.000Z,"In November, my office assisted 211 Central Texas families with issues like back IRS refunds, VA benefits and passport delays and returned over $1,055,335 to constituents.
If you need assistance with a federal agency, please visit my website: https://t.co/GjlwwvT0NR https://t.co/aKsDOTnWQ2",False,1599806351395332102,0,5,5,0
JudgeCarter,Judge Carter,1599516896037982208,18030431,en,1599516896037982208,2022-12-04T21:32:00.000Z,Biden’s attack on fossil fuels is an attack on American agriculture,False,1599516896037982208,2,15,15,0
