handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
KenCalvert,Ken Calvert,1389341338626269186,22545491,en,1389341338626269186,2021-05-03T22:09:22.000Z,"At a time when President Biden can find a way to hold outdoor political events, it’s shocking his administration can’t find a way to help our veterans do the same.",False,1389341337607041027,9,151,151,5
KenCalvert,Ken Calvert,1389341337607041027,22545491,en,1389341337607041027,2021-05-03T22:09:22.000Z,I’m disappointed by the Pentagon’s denial of @AMVETSHQ permit for the @RollToRemember event. It’s also frustrating to hear that the Pentagon staff failed to even engage in meaningful discussions to see how this outdoor event could take place in a safe manner.,False,1389341337607041027,8,311,311,8
KenCalvert,Ken Calvert,1387126246157344768,22545491,en,1387126246157344768,2021-04-27T19:27:23.000Z,"Despite the natural disaster declaration by U.S. Secretary of Agriculture Tom Vilsack on March 5, 2021, the House Natural Resources Committee has yet to take any action addressing California’s drought.",False,1387126244064464899,4,38,38,1
KenCalvert,Ken Calvert,1387126244064464899,22545491,en,1387126244064464899,2021-04-27T19:27:22.000Z,"Today, I joined together with @GOPLeader and the California House Republican Delegation on a letter urging the House Natural Resources Committee to hold a hearing on California’s drought disaster. https://t.co/pF3GNhBilv",False,1387126244064464899,35,186,186,7
KenCalvert,Ken Calvert,1386041150448963585,22545491,qme,1386041150448963585,2021-04-24T19:35:36.000Z,#ArmenianGenocide https://t.co/yZnpcvT85L,False,1386041150448963585,3,41,41,3
KenCalvert,Ken Calvert,1385793908249030656,22545491,en,1385793908249030656,2021-04-24T03:13:09.000Z,"RT @WashTimes: .@KenCalvert ""Across the nation and in Washington, D.C., there continues to be widespread, #bipartisan support for building…",False,1385793908249030656,3,0,0,0
KenCalvert,Ken Calvert,1385724459806388226,22545491,en,1385724459806388226,2021-04-23T22:37:11.000Z,RT @rep_stevewomack: Academics are a major component of @WestPoint_USMA’s mission of training and shaping a strong military. @KenCalvert @R…,False,1385724459806388226,3,0,0,0
KenCalvert,Ken Calvert,1385718599139041283,22545491,en,1385718599139041283,2021-04-23T22:13:54.000Z,RT @rep_stevewomack: It’s always inspiring to see the young men &amp; women who’ve made a choice to serve. We had lunch with cadets from all ar…,False,1385718599139041283,2,0,0,0
KenCalvert,Ken Calvert,1385635492293533698,22545491,en,1385635492293533698,2021-04-23T16:43:39.000Z,RT @repdarrellissa: The annual Rolling to Remember POW/MIA motorcycle ride this Memorial Day must go on! @KenCalvert and I won’t allow Pent…,False,1385635492293533698,23,0,0,0
KenCalvert,Ken Calvert,1385627507295068161,22545491,en,1385627507295068161,2021-04-23T16:11:56.000Z,"For more than three decades, veterans have honored our fallen and missing heroes with their Memorial Day motorcycle ride. There’s no reason for the delay in approving their request. The Pentagon needs to act now.",False,1385627407483211778,0,16,16,0
