handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
LindseyGrahamSC,Lindsey Graham,1601289601989185537,432895323,en,1601289601989185537,2022-12-09T18:56:06.000Z,"RT @postandcourier: With Congress on the verge of repealing the military’s COVID-19 vaccine mandate, U.S. Sen Lindsey Graham said ending th…",False,1601289601989185537,29,0,0,0
LindseyGrahamSC,Lindsey Graham,1601278792575717380,432895323,en,1601278792575717380,2022-12-09T18:13:09.000Z,RT @Live5News: Graham praises passing of National Defense Authorization Act https://t.co/JCJRGgxD86,False,1601278792575717380,5,0,0,0
LindseyGrahamSC,Lindsey Graham,1601228287539290113,432895323,en,1601228287539290113,2022-12-09T14:52:27.000Z,"Speaking in Charleston about ending the vaccine mandate for military service members and new recruits.

WATCH via @ABCNews4 
https://t.co/XH6YudGPRT",False,1601228287539290113,21,175,175,3
LindseyGrahamSC,Lindsey Graham,1600883999462891520,432895323,en,1600883999462891520,2022-12-08T16:04:23.000Z,"Paul is a former Marine who has been unjustly accused of spying for the United States.  

It is a bitter pill to swallow that Mr. Whelan remains in custody while we release the “Merchant of Death” Viktor Bout back to Russia.",False,1600883923659137027,88,283,283,17
LindseyGrahamSC,Lindsey Graham,1600883923659137027,432895323,en,1600883923659137027,2022-12-08T16:04:05.000Z,While we appreciate and celebrate the release of Brittney Griner from a Russian penal colony – held on trumped up charges and facing an excessive sentence - we must not lose focus on the fact that Paul Whelan remains unjustly held in Russia. (1/2),False,1600883923659137027,134,761,761,41
LindseyGrahamSC,Lindsey Graham,1600247522664275968,432895323,en,1600247522664275968,2022-12-06T21:55:15.000Z,"If this is accurate, it would be a major step backwards in our effort to stand up to Russian aggression.
 
Finally, freedom comes with certain costs that must be borne.  This would be considered a slap in the face of freedom.",False,1600247519656968192,24,283,283,10
LindseyGrahamSC,Lindsey Graham,1600247519656968192,432895323,en,1600247519656968192,2022-12-06T21:55:14.000Z,"It’s very disappointing, especially following the invasion of Ukraine, to hear the German government may delay meeting the NATO 2% requirement for defense spending.
 
https://t.co/KU6A31b7Pd",False,1600247519656968192,43,425,425,13
LindseyGrahamSC,Lindsey Graham,1599952090356658176,432895323,en,1599952090356658176,2022-12-06T02:21:18.000Z,"RT @seanhannity: GEORGIA RUNOFF TOMORROW: Georgia GOP Senate candidate @HerschelWalker and Senator @LindseyGrahamSC will join ""Hannity,"" TO…",False,1599952090356658176,147,0,0,0
LindseyGrahamSC,Lindsey Graham,1599928872275169280,432895323,en,1599928872275169280,2022-12-06T00:49:03.000Z,"There are so many to thank, and as I said today, going from 45 feet to 52 feet in depth for the Port of Charleston is the most consequential 7 feet in the history of our state. Well done!",False,1599928845900992513,11,46,46,3
LindseyGrahamSC,Lindsey Graham,1599928870744260609,432895323,en,1599928870744260609,2022-12-06T00:49:02.000Z,I will always be grateful to the leadership of the South Carolina Ports Authority for providing the assistance and advice to achieve our goal.,False,1599928845900992513,12,31,31,2
