handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
MarkAmodeiNV2,RepMarkAmodei,1601277785783554048,402719755,en,1601277785783554048,2022-12-09T18:09:09.000Z,"The final product generated between the Senate and the House, which established the NDAA, champions many conservative wins that members of Congress in both chambers fought for and defended.

My full statement on the FY23 NDAA ⬇️
https://t.co/qTln6WGDPL",False,1601277785783554048,1,0,0,0
MarkAmodeiNV2,RepMarkAmodei,1601253068024082433,402719755,en,1601253068024082433,2022-12-09T16:30:55.000Z,"RT @KNPRnews: TODAY: All four members of Nevada’s delegation to the U.S. House of Representatives will join us: @MarkAmodeiNV2 (R), @RepSus…",False,1601253068024082433,10,0,0,0
MarkAmodeiNV2,RepMarkAmodei,1600965738352607233,402719755,en,1600965738352607233,2022-12-08T21:29:11.000Z,"More on the Nevada-generated solution to the Navy’s proposed Fallon Range Training Complex Modernization, included in the FY23 NDAA ⬇️ https://t.co/8khs1AFjNx",False,1600965738352607233,2,5,5,1
MarkAmodeiNV2,RepMarkAmodei,1600522510273052672,402719755,en,1600522510273052672,2022-12-07T16:07:57.000Z,"One of the most significant pieces of Nevada lands legislation in our State’s history – the Nevada-generated solution to the Navy’s proposed Fallon Modernization – has been included in the FY23 NDAA after over 5 years of collaboration with stakeholders.
https://t.co/eIIAzGPsoA",False,1600522510273052672,3,4,4,0
MarkAmodeiNV2,RepMarkAmodei,1597355613461581824,402719755,en,1597355613461581824,2022-11-28T22:23:50.000Z,Proud to attend the Nevada Veterans Memorial Plaza Grand Opening &amp; Ribbon Cutting. The plaza is a phenomenal place to remember those who have given it all for us. I couldn't be prouder of this effort to honor our veterans. https://t.co/EI5rDdAGA5,False,1597355613461581824,4,9,9,1
MarkAmodeiNV2,RepMarkAmodei,1595810716191178752,402719755,en,1595810716191178752,2022-11-24T16:04:58.000Z,Happy Thanksgiving! https://t.co/Bl6rsFD0N0,False,1595810716191178752,1,4,4,0
MarkAmodeiNV2,RepMarkAmodei,1595119729471295488,402719755,en,1595119729471295488,2022-11-22T18:19:14.000Z,Great meeting with the Builders Association of Northern Nevada! Looking forward to continued collaboration with the building industry to advance economic growth and prosperity throughout our cities and towns. https://t.co/lFCkkD3qAk,False,1595119729471295488,1,2,2,0
MarkAmodeiNV2,RepMarkAmodei,1593728100172718080,402719755,en,1593728100172718080,2022-11-18T22:09:23.000Z,RT @thedanmasonshow: TODAY: Get ready for a renewed push for more education money in the next Nevada legislature. Now that Republicans will…,False,1593728100172718080,3,0,0,0
MarkAmodeiNV2,RepMarkAmodei,1593672453007593474,402719755,en,1593672453007593474,2022-11-18T18:28:16.000Z,"At the Placer Business Alliance DC Summit, it was great meeting with local and regional business leaders and public officials for a discussion focused on Lake Tahoe and the importance of working together across state lines to address challenges and opportunities. https://t.co/NY77yioZgi",False,1593672453007593474,2,0,0,0
MarkAmodeiNV2,RepMarkAmodei,1592522064967086082,402719755,en,1592522064967086082,2022-11-15T14:17:02.000Z,"RT @NFRW: NFRW members from HI, ID, OR, AZ, NV,UT &amp; CA attended the Western Conference Stars &amp; Stipes in Vegas. Guest speakers were Congres…",False,1592522064967086082,1,0,0,0
