handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
MartinHeinrich,Martin Heinrich,1601054002912718848,1099199839,en,1601054002912718848,2022-12-09T03:19:55.000Z,"RT @SenWhitehouse: My fellow Climateers @SenBrianSchatz and @MartinHeinrich are great partners in the climate fight.
 
On #EEODayRI last we…",False,1601054002912718848,79,0,0,0
MartinHeinrich,Martin Heinrich,1600944078786478080,1099199839,en,1600944078786478080,2022-12-08T20:03:07.000Z,The gender wage gap holds back our economy and keeps money out of working families’ pockets. Women in New Mexico and across the country deserve equal pay for equal work.,False,1600944076068569089,5,3,3,0
MartinHeinrich,Martin Heinrich,1600944076068569089,1099199839,en,1600944076068569089,2022-12-08T20:03:06.000Z,"I support the #LatinaEqualPay Day
Resolution because I acknowledge the unacceptable disparity in wages paid to Latina women. https://t.co/qemsDnNXSQ",False,1600944076068569089,6,5,5,0
MartinHeinrich,Martin Heinrich,1600655839013965825,1099199839,en,1600655839013965825,2022-12-08T00:57:45.000Z,"I’m proud to see Juan confirmed to this role and have full faith that he will successfully lead the Southwest Border Regional Commission and support the thriving border communities in California, Arizona, New Mexico, and Texas.",False,1600655834949697536,3,4,4,0
MartinHeinrich,Martin Heinrich,1600655837034184704,1099199839,en,1600655837034184704,2022-12-08T00:57:44.000Z,Juan has devoted his career to serving our vibrant Southwest border communities. He has a sincere belief in our government and excels at making it work better for all Americans.,False,1600655834949697536,3,5,5,0
MartinHeinrich,Martin Heinrich,1600655834949697536,1099199839,en,1600655834949697536,2022-12-08T00:57:44.000Z,"The Senate has confirmed Juan Sanchez to be Federal Co-Chairman of the Southwest Border Regional Commission!
https://t.co/f2zEDXtFm3",False,1600655834949697536,8,7,7,0
MartinHeinrich,Martin Heinrich,1600633775410466817,1099199839,en,1600633775410466817,2022-12-07T23:30:05.000Z,I will continue fighting to make this expanded investment in the success of our children and their families permanent.,False,1600633773309104128,4,2,2,0
MartinHeinrich,Martin Heinrich,1600633773309104128,1099199839,en,1600633773309104128,2022-12-07T23:30:04.000Z,Today I'm supporting #CTCNow Day of Action. The expanded Child Tax Credit has made a real difference in helping parents and families afford the costs of raising a child and giving all of our kids the opportunity to succeed.,False,1600633773309104128,18,7,7,0
MartinHeinrich,Martin Heinrich,1600241321255481344,1099199839,en,1600241321255481344,2022-12-06T21:30:36.000Z,"We're seeing signs that inflation is moderating, the job market is normalizing, and economic growth remains steady and stable. The Fed must be careful not to raise rates too fast or risk precipitating a recession.",False,1600241321255481344,11,17,17,0
MartinHeinrich,Martin Heinrich,1600231912496209920,1099199839,en,1600231912496209920,2022-12-06T20:53:13.000Z,"I collaborated with @SenatorHick, @SenBrianSchatz, &amp; @SenWhitehouse &amp; asked for $2.1 billion in Disaster Supplemental Funding to address the severe &amp; ongoing supply shortage of electrical transformers &amp; complementary grid security technologies.
https://t.co/zFXhWqlz5f",False,1600231912496209920,5,2,2,0
MartinHeinrich,Martin Heinrich,1600164195143929857,1099199839,en,1600164195143929857,2022-12-06T16:24:08.000Z,A festive evening at President Biden’s Holiday Ball last night with my beautiful wife! https://t.co/lqfzg8t0fl,False,1600164195143929857,11,18,18,3
MartinHeinrich,Martin Heinrich,1599818483281559552,1099199839,en,1599818483281559552,2022-12-05T17:30:24.000Z,"Once the STOP Act is signed into law, we will continue to take important steps forward in halting the illegal and immoral trade of culturally significant items and returning stolen pieces to their rightful owners.",False,1599818480781787136,7,1,1,0
MartinHeinrich,Martin Heinrich,1599818480781787136,1099199839,en,1599818480781787136,2022-12-05T17:30:23.000Z,"The STOP Act is the first law to restrict exports of culturally significant Native American Art.
https://t.co/JPTGUdiSEs",False,1599818480781787136,20,3,3,0
MartinHeinrich,Martin Heinrich,1598740796991504384,1099199839,en,1598740796991504384,2022-12-02T18:08:03.000Z,"Thank you @SenWhitehouse for inviting me to Rhode Island Environment, Energy, and Oceans Day to talk with you and @SenBrianSchatz about how we are tackling the climate crisis! #EEODayRI https://t.co/AX3gKXcdoO",False,1598740796991504384,21,21,21,2
MartinHeinrich,Martin Heinrich,1598711091051347969,1099199839,en,1598711091051347969,2022-12-02T16:10:01.000Z,"RT @SenWhitehouse: @RepRoKhanna I’m proud to call myself one of the “Three Climateers,” along with @SenBrianSchatz and @MartinHeinrich. The…",False,1598711091051347969,73,0,0,0
MartinHeinrich,Martin Heinrich,1598453334335451137,1099199839,en,1598453334335451137,2022-12-01T23:05:47.000Z,RT @CDNST1: Thank you @MartinHeinrich and @SteveDaines for championing completion of the #CDT! We are so grateful to have leaders in Congre…,False,1598453334335451137,6,0,0,0
MartinHeinrich,Martin Heinrich,1598446123253108737,1099199839,en,1598446123253108737,2022-12-01T22:37:08.000Z,"My Continental Divide Trail Completion Act is critical to improving the safety, accessibility, and quality of the trail. We must pass this this legislation to ensure that natural, cultural, and economic values of this trail can be preserved and enjoyed for generations to come.",False,1598446123253108737,5,6,6,1
MartinHeinrich,Martin Heinrich,1598089624823660544,1099199839,en,1598089624823660544,2022-11-30T23:00:32.000Z,"Started my morning by discussing how the investments and incentives in the Inflation Reduction Act will go further than anything in history to help us meet our responsibility on climate. Thanks for having me @eilperin &amp; @WashingtonPost!
Watch here:
https://t.co/Rdofmk8vzD",False,1598089624823660544,4,9,9,1
MartinHeinrich,Martin Heinrich,1597993047014674432,1099199839,en,1597993047014674432,2022-11-30T16:36:46.000Z,I believe that we just WON! Congrats to Team USA on the huge win over Iran in the World Cup! #TeamUSA,False,1597993047014674432,2,4,4,1
MartinHeinrich,Martin Heinrich,1597976993311920128,1099199839,en,1597976993311920128,2022-11-30T15:32:58.000Z,RT @PostLive: Today at 10:30 a.m. ET: @MartinHeinrich and @CathyZoi1 join @eilperin to discuss how far the Inflation Reduction Act goes in…,False,1597976993311920128,4,0,0,0
MartinHeinrich,Martin Heinrich,1597976956771135488,1099199839,en,1597976956771135488,2022-11-30T15:32:50.000Z,RT @eilperin: Tune in an hour from now to check this out!,False,1597976956771135488,3,0,0,0
MartinHeinrich,Martin Heinrich,1597760217000775680,1099199839,en,1597760217000775680,2022-11-30T01:11:35.000Z,I remain fully committed to pushing forward in our march towards full equality for every single American and strengthening all families.,False,1597760214953996288,3,7,7,1
MartinHeinrich,Martin Heinrich,1597760214953996288,1099199839,en,1597760214953996288,2022-11-30T01:11:34.000Z,The Senate has passed the Respect for Marriage Act! No American should have their rights and freedoms threatened because of who they are and who they love.,False,1597760214953996288,10,15,15,0
MartinHeinrich,Martin Heinrich,1597752276214349825,1099199839,en,1597752276214349825,2022-11-30T00:40:02.000Z,"Once the STOP Act is signed into law, we will take an important step forward in halting the illegal and immoral trade of those culturally significant items and returning stolen pieces to their rightful owners.",False,1597752272515047425,8,5,5,1
MartinHeinrich,Martin Heinrich,1597752274616340481,1099199839,en,1597752274616340481,2022-11-30T00:40:01.000Z,"As I drafted the STOP Act, I worked closely with New Mexico's Pueblos, the Jicarilla and Mescalero Apache Nations, and the Navajo Nation. I'm proud that the legislation earned strong support across Indian Country and across party lines in both the House and Senate.",False,1597752272515047425,6,2,2,0
MartinHeinrich,Martin Heinrich,1597752272515047425,1099199839,en,1597752272515047425,2022-11-30T00:40:01.000Z,"Tonight, the Senate passed my bipartisan STOP Act that will prohibit exporting sacred Native items and increase penalties for illegally trafficking Native cultural objects.
 
The STOP Act now heads to the President’s desk to become law.",False,1597752272515047425,35,15,15,2
MartinHeinrich,Martin Heinrich,1597739213923184640,1099199839,en,1597739213923184640,2022-11-29T23:48:07.000Z,"Hershey’s lifelong dedication to his country, to his community in Gallup, and to his fellow veterans in New Mexico will be remembered by many New Mexicans for many years to come.
https://t.co/JHCJNVjxV7",False,1597739209967607808,6,0,0,0
MartinHeinrich,Martin Heinrich,1597739211956060162,1099199839,en,1597739211956060162,2022-11-29T23:48:07.000Z,It was an honor to work alongside Hershey to open the VA’s Gallup Community-Based Outpatient Clinic and visit the future site of the Gallup Veterans Cemetery.,False,1597739209967607808,3,2,2,0
MartinHeinrich,Martin Heinrich,1597739209967607808,1099199839,en,1597739209967607808,2022-11-29T23:48:06.000Z,New Mexico has lost a great hero. I am deeply saddened about the passing of Medal of Honor recipient and Gallup’s own Hiroshi ‘Hershey’ Miyamura. https://t.co/rh9itoPKKx,False,1597739209967607808,20,3,3,0
MartinHeinrich,Martin Heinrich,1597668553901363201,1099199839,en,1597668553901363201,2022-11-29T19:07:21.000Z,No one should have their rights and freedoms threatened because of who they are and who they love. That’s why I’m voting yes to pass the Respect for Marriage Act.,False,1597668553901363201,42,56,56,6
MartinHeinrich,Martin Heinrich,1594487987794059264,1099199839,en,1594487987794059264,2022-11-21T00:28:55.000Z,"We are all deeply shaken by the shooting at UNM this weekend. Universities should be places of learning and community, not deadly gun violence. This must stop. My thoughts are with both UNM and NMSU communities right now.",False,1594487987794059264,25,22,22,4
MartinHeinrich,Martin Heinrich,1593353571726147585,1099199839,en,1593353571726147585,2022-11-17T21:21:09.000Z,Thank you @SpeakerPelosi. Our nation and our democracy are stronger because of your incredible leadership.,False,1593353571726147585,14,19,19,4
MartinHeinrich,Martin Heinrich,1593317284788969485,1099199839,en,1593317284788969485,2022-11-17T18:56:57.000Z,"Every American deserves access to high-quality health care, regardless of where they live. On National Rural Health Day, we thank all of the providers and advocates who go the extra mile to serve rural communities. #NRHD2022",False,1593317284788969485,6,2,2,0
MartinHeinrich,Martin Heinrich,1593292050853761031,1099199839,en,1593292050853761031,2022-11-17T17:16:41.000Z,"Read the full letter I sent with @SenBooker @SenWhitehouse @brianschatz below. With @CITES underway now in Panama, we are calling for increased science-based protections. https://t.co/NUWMiUrxrD",False,1593291864437919745,21,3,3,3
MartinHeinrich,Martin Heinrich,1593291864437919745,1099199839,en,1593291864437919745,2022-11-17T17:15:57.000Z,"More than 1/3 of shark and ray species–such as requiem sharks, hammerheads and guitarfishes–are threatened with extinction due to overfishing and international demands for shark fins.",False,1593291864437919745,19,16,16,10
MartinHeinrich,Martin Heinrich,1593256243430182916,1099199839,en,1593256243430182916,2022-11-17T14:54:24.000Z,"Building a more resilient 21st century energy infrastructure means combating climate change, creating new jobs, and saving customers money. Always great to discuss the clean energy future with @USCleanPower! https://t.co/EC1OmJZEaA",False,1593256243430182916,7,3,3,0
MartinHeinrich,Martin Heinrich,1592955037369929728,1099199839,en,1592955037369929728,2022-11-16T18:57:31.000Z,I remain fully committed to pushing forward in our march towards full equality for every single American and strengthening all families.,False,1592954750160760832,4,2,2,0
MartinHeinrich,Martin Heinrich,1592954960958087168,1099199839,en,1592954960958087168,2022-11-16T18:57:13.000Z,"But given the current MAGA conservative majority on the Supreme Court, there is still more work to do in Congress to safeguard same-sex couples and their families. That’s why I support passing the #RespectForMarriageAct without delay.",False,1592954750160760832,6,4,4,0
MartinHeinrich,Martin Heinrich,1592954890175021056,1099199839,en,1592954890175021056,2022-11-16T18:56:56.000Z,New Mexico’s state constitution requires that same-sex couples be treated equally under the law and have the same fundamental right to marry as other couples. And the U.S. Supreme Court ruled in 2015 to make same-sex marriage a right nationwide.,False,1592954750160760832,5,2,2,0
MartinHeinrich,Martin Heinrich,1592954826257993729,1099199839,en,1592954826257993729,2022-11-16T18:56:40.000Z,No American should have their rights and freedoms threatened because of who they are and who they love.,False,1592954750160760832,4,2,2,0
MartinHeinrich,Martin Heinrich,1592954750160760832,1099199839,en,1592954750160760832,2022-11-16T18:56:22.000Z,"Congress must act at once to pass legislation that provides certainty that the marriages of same-sex and interracial couples will not only be protected, but also given equal recognition across our nation. #RespectForMarriageAct",False,1592954750160760832,28,23,23,1
