handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
MikeKellyPA,Rep. Mike Kelly,1601335332582359040,935368364,en,1601335332582359040,2022-12-09T21:57:49.000Z,"Here in Pennsylvania, we are blessed to have the natural resources to help make America a dominant energy producer once again. I speak with @JET24FOX66 about legislation I recently introduced that will help to make that happen.
https://t.co/02fGc5h2ot",False,1601335332582359040,0,1,1,0
MikeKellyPA,Rep. Mike Kelly,1601272502927650816,935368364,en,1601272502927650816,2022-12-09T17:48:09.000Z,RT @LLacasseACSCAN: A big thank you to Cancer Caucus Co-Chairs &amp; cancer research champions Rep. @MikeKellyPA @RepBrianHiggins @RepDerekKilm…,False,1601272502927650816,5,0,0,0
MikeKellyPA,Rep. Mike Kelly,1601238050490970114,935368364,en,1601238050490970114,2022-12-09T15:31:15.000Z,Thanks to @JrzyJoePiscopo @JoePiscopoShow for having me on this morning to discuss efforts to bring Butler County native Marc Fogel home from Russia. https://t.co/k4mmTodKdC,False,1601238050490970114,5,3,3,0
MikeKellyPA,Rep. Mike Kelly,1600902498499321856,935368364,en,1600902498499321856,2022-12-08T17:17:53.000Z,"I am pleased to hear that Brittney Griner was released today. I remain deeply disappointed that the Biden admin was unable to secure the release of Butler Co. native Marc Fogel. I'm calling on the Biden admin to include Marc in future negotiations.
https://t.co/ICnw5kWqHI",False,1600902498499321856,5,9,9,2
MikeKellyPA,Rep. Mike Kelly,1600656407665295361,935368364,en,1600656407665295361,2022-12-08T01:00:01.000Z,"On Pearl Harbor Remembrance Day, it is so important that we learn the stories of the brave men and women who served in WWII. We are blessed with insightful accounts, such as this one from a Saegertown veteran, who recounted his time as a POW in Germany. 
https://t.co/iSPGxKeTfP",False,1600656407665295361,4,2,2,0
MikeKellyPA,Rep. Mike Kelly,1600602649510182912,935368364,en,1600602649510182912,2022-12-07T21:26:24.000Z,"More than 800,000 Pennsylvanians -- including 520,000 rural Pennsylvanians -- lack quality broadband internet access. 

My new legislation will not only help to change to that, but it will also work to make that access more affordable. Details⬇️
https://t.co/MfSuM2gaT4",False,1600602649510182912,0,8,8,1
MikeKellyPA,Rep. Mike Kelly,1600562617419972631,935368364,en,1600562617419972631,2022-12-07T18:47:19.000Z,Proud to be the lead Republican on this bill. Thanks to the @NFL for their support! This is a great way to get more of our youth involved in sports. https://t.co/1rZEiprAlS,False,1600562617419972631,2,5,5,0
MikeKellyPA,Rep. Mike Kelly,1600519290817585156,935368364,en,1600519290817585156,2022-12-07T15:55:09.000Z,May we pause to honor and remember the lives lost on this day 81 years ago. #PearlHarborRemembranceDay https://t.co/UU0wktcctc,False,1600519290817585156,1,6,6,0
MikeKellyPA,Rep. Mike Kelly,1600194266894303232,935368364,en,1600194266894303232,2022-12-06T18:23:38.000Z,"🚨More than 4 million illegal border crossings
🚨Record amounts of illegal drugs entering the U.S.
🚨Title 42 deadline is two weeks away

The crisis at our border is indeed one of the ""more important things"" facing our country.
https://t.co/mAqzecg02w",False,1600194266894303232,3,11,11,0
MikeKellyPA,Rep. Mike Kelly,1599810708266311683,935368364,en,1599810708266311683,2022-12-05T16:59:30.000Z,".@HouseGOP is committed to restoring America's energy independence, and I'm already working to make that happen. Pennsylvania is the second-largest natural gas producing state in the country. Let's make it here at home.
https://t.co/v93vzA3tHj",False,1599810708266311683,4,6,6,0
