handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
PatrickMcHenry,Patrick McHenry,1601254847705145345,27676828,en,1601254847705145345,2022-12-09T16:38:00.000Z,"This is a very exciting weekend for #NC10 football. On Saturday, East Lincoln, Reidsville, &amp; Mt Airy will all be playing for state championships in their respective divisions. Please join me in wishing all of our #NC10 teams the best of luck this weekend! https://t.co/HWpwGkDJkB",False,1601254847705145345,0,4,4,0
PatrickMcHenry,Patrick McHenry,1600933391985217540,27676828,en,1600933391985217540,2022-12-08T19:20:39.000Z,"Today, I was proud to vote for the #NDAA. This bill helps support our troops &amp; fulfill Congress’s requirement to provide for a strong national defense. This bipartisan bill includes a pay raise for our troops &amp; ends the COVID-19 vaccine mandate. https://t.co/hzrenYCN9i",False,1600933391985217540,1,8,8,0
PatrickMcHenry,Patrick McHenry,1600624423794532352,27676828,en,1600624423794532352,2022-12-07T22:52:55.000Z,"I am honored to serve as Chairman of the @FinancialCmte for the 118th Congress. As Chairman, I will pursue innovative solutions to help rebuild our economy to its pre-pandemic heights. https://t.co/mThp54k5iF",False,1600624423794532352,53,57,57,13
PatrickMcHenry,Patrick McHenry,1600600306521440256,27676828,en,1600600306521440256,2022-12-07T21:17:05.000Z,"In a win for our troops, this year’s NDAA removes President Biden’s COVID-19 vaccine mandate, allowing service members to serve our country without impeding on their freedoms. This is great news for the brave men &amp; women who serve our country. https://t.co/MOPm3ayavj",False,1600600306521440256,0,4,4,0
PatrickMcHenry,Patrick McHenry,1600587301440159746,27676828,en,1600587301440159746,2022-12-07T20:25:24.000Z,"Congress stands ready to work with him on a bipartisan basis to achieve that goal.
 
REMINDER: FTX is a Bahamian based company that fleeced customers around the globe and its U.S. investors right under @GaryGensler's nose.",False,1600587299741368324,47,66,66,2
PatrickMcHenry,Patrick McHenry,1600587299741368324,27676828,en,1600587299741368324,2022-12-07T20:25:24.000Z,"Chair Gensler wants to push the digital asset ecosystem overseas to ""protect"" American investors.
 
Instead, Congress must develop a clear, comprehensive regulatory framework in the U.S. to protect Americans AND allow innovation to thrive here at home.
https://t.co/ChW6PEHudc",False,1600587299741368324,262,197,197,29
PatrickMcHenry,Patrick McHenry,1600532455185866752,27676828,en,1600532455185866752,2022-12-07T16:47:28.000Z,"Please join me in remembering those who lost their lives at Pearl Harbor on December 7, 1941. Today and every day, we thank the brave men and women who answered the call to defend the freedoms we hold dear and for all who continue to answer that call today. https://t.co/emZvhvQd2l",False,1600532455185866752,4,6,6,0
PatrickMcHenry,Patrick McHenry,1600229129600831515,27676828,en,1600229129600831515,2022-12-06T20:42:09.000Z,"The border crisis has only gotten worse since Biden became President. Yet, when asked if he would make a visit to the border, the President said “there were more important things going on.” What is more important than the safety of the American people?https://t.co/S0v4I2KPsQ",False,1600229129600831515,1,5,5,0
PatrickMcHenry,Patrick McHenry,1600154645661351936,27676828,en,1600154645661351936,2022-12-06T15:46:11.000Z,RT @FinancialCmte: The Biden Administration's oil price cap scheme is a weak solution that allows Putin to continue funding his war in Ukra…,False,1600154645661351936,3,0,0,0
PatrickMcHenry,Patrick McHenry,1599070961952776195,27676828,en,1599070961952776195,2022-12-03T16:00:01.000Z,"I am inviting all #YadkinCounty constituents that need help with a federal agency to attend my office hours on Monday, December 5th, where staff will be available to assist you. Learn more about tomorrow’s office hours in Yadkinville here ➡️ https://t.co/wB06M8ozZH",False,1599070961952776195,1,4,4,1
