handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
PattyMurray,Senator Patty Murray,1601322876837457920,293131808,en,1601322876837457920,2022-12-09T21:08:19.000Z,"All across Washington state, cases of the flu, RSV, and COVID-19 are straining our health care system. My team and I will continue to monitor the situation and work with @WaHealthSec to be as supportive as possible at the federal level. Thanks to him and his team for the update. https://t.co/yRqOaEJspE",False,1601322876837457920,9,0,0,0
PattyMurray,Senator Patty Murray,1601287118047039488,293131808,en,1601287118047039488,2022-12-09T18:46:14.000Z,"I am constantly inspired by the people of Ukraine in their fight against Putin's deadly war. We will always have their backs.

Thank you to @razomforukraine and everyone in WA state who has stepped up to make a difference for people caught in this war—every bit counts. https://t.co/XuUfCtxzNj",False,1601287118047039488,25,22,22,0
PattyMurray,Senator Patty Murray,1601029486363185152,293131808,en,1601029486363185152,2022-12-09T01:42:29.000Z,I went to the Senate floor today to urge my colleagues to pass my bipartisan PREVENT Pandemics Act with @SenatorBurr. Our country was not ready for the COVID-19 pandemic—that much is crystal clear. We've got to make sure we never find ourselves in that same situation again. https://t.co/LaavgcT5Ze,False,1601029486363185152,65,85,85,5
PattyMurray,Senator Patty Murray,1600987512759283723,293131808,en,1600987512759283723,2022-12-08T22:55:42.000Z,"Everyone should be able to get the abortion care they need, even if it means traveling across state lines. I'm introducing legislation with @SenatorBaldwin to create a historic abortion fund to help patients get reproductive care—no matter their income or the state they live in. https://t.co/2LGkHlHROe",False,1600987512759283723,42,44,44,1
PattyMurray,Senator Patty Murray,1600958695403180032,293131808,en,1600958695403180032,2022-12-08T21:01:12.000Z,"It is unconscionable that Latina workers make just 54 cents on average for every $1 their white male counterparts make.

We have got to pass my #PaycheckFairness Act &amp; help close the wage gap once and for all. #LatinaEqualPay",False,1600958695403180032,101,318,318,11
PattyMurray,Senator Patty Murray,1600933509350453248,293131808,en,1600933509350453248,2022-12-08T19:21:07.000Z,RT @SenBobCasey: I’m heading to the Senate floor to fight to pass my Pregnant Workers Fairness Act so no worker has to choose between a hea…,False,1600933509350453248,132,0,0,0
PattyMurray,Senator Patty Murray,1600924289892376576,293131808,en,1600924289892376576,2022-12-08T18:44:29.000Z,"Despite the #PregnantWorkersFairnessAct being bipartisan, just one Republican is blocking it from becoming law. I will keep fighting with @SenBobCasey to get this passed because we've got to get pregnant workers the dignity, respect, and basic workplace accommodations they need. https://t.co/LCnGO6FV33",False,1600924289892376576,113,86,86,10
PattyMurray,Senator Patty Murray,1600912212096270336,293131808,en,1600912212096270336,2022-12-08T17:56:29.000Z,I'm headed to the Senate floor with @SenBobCasey to try and pass the bipartisan #PregnantWorkersFairnessAct. It's outrageous that pregnant women have been pushed out of their jobs by employers who refuse to provide them with even basic accommodations.,False,1600912212096270336,85,54,54,3
PattyMurray,Senator Patty Murray,1600901477404270593,293131808,en,1600901477404270593,2022-12-08T17:13:50.000Z,"We know that a pension is a promise for people's retirement. Without this relief, so many people who'd done nothing wrong might have seen the pensions they earned slashed and their lives upended—but I refused to let that happen. https://t.co/b6y0qkwsA9",False,1600901477404270593,50,29,29,3
PattyMurray,Senator Patty Murray,1600876782173179905,293131808,en,1600876782173179905,2022-12-08T15:35:42.000Z,It is incredible news that Brittney Griner is coming home to her wife and family. Thank you to the Biden Administration and everyone who made this happen—let's keep working to bring all Americans who are wrongfully detained back home. https://t.co/eSHDTXcH3x,False,1600876782173179905,37,217,217,10
