handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
PeterWelch,Rep. Peter Welch,1606012724248514586,1410590874,en,1606012724248514586,2022-12-22T19:44:06.000Z,My statement on the passage of the government funding bill led by @SenatorLeahy. https://t.co/zONJ2kZ0x8,False,1606012724248514586,2,0,0,0
PeterWelch,Rep. Peter Welch,1604499241409609728,1410590874,en,1604499241409609728,2022-12-18T15:30:03.000Z,"Happy Hanukkah to all who celebrate! Wishing you and your loved ones a joyful celebration this holiday season. 
https://t.co/DkwAYTIxfl",False,1604499241409609728,0,0,0,0
PeterWelch,Rep. Peter Welch,1604204307074584576,1410590874,en,1604204307074584576,2022-12-17T19:58:06.000Z,Happy National Maple Syrup Day! There’s no denying that Vermont has the best maple syrup in the world. Our trees run gold and we’re so lucky to have an army of incredible sugar makers who supply us with millions of gallons of our favorite treat year round. Cheers to them! https://t.co/OSeXynFMwD,False,1604204307074584576,16,9,9,1
PeterWelch,Rep. Peter Welch,1603863796044423189,1410590874,en,1603863796044423189,2022-12-16T21:25:01.000Z,"Ellie Mae is Burlington Airport’s newest volunteer and she’s working hard to bring a smile to people’s faces as they begin their holiday travels. Thanks for bringing some cheer to our travelers!
https://t.co/gDwmbRXrV1",False,1603863796044423189,3,2,2,0
PeterWelch,Rep. Peter Welch,1603846679156834304,1410590874,en,1603846679156834304,2022-12-16T20:17:00.000Z,"I’m glad @HHSGov is working to make its pandemic telemedicine policies permanent. 

These changes remove barriers for folks seeking treatment for substance use disorder and help Vermonters get the care they need.
https://t.co/anJza60noD",False,1603846679156834304,1,0,0,1
PeterWelch,Rep. Peter Welch,1603488907215134733,1410590874,en,1603488907215134733,2022-12-15T20:35:21.000Z,"Republicans have an important decision to make. They need to decide whether they will spend the next 2 years prioritizing the needs of the American people or trying to burn the House down with accusations, investigations, and probes. 

The right choice is clear https://t.co/2sPgofIFfq",False,1603488907215134733,8,11,11,2
PeterWelch,Rep. Peter Welch,1603459688250892290,1410590874,en,1603459688250892290,2022-12-15T18:39:15.000Z,"What wonderful news from the White House this week: first the #RespectForMarriageAct was signed into law and now @TaylorSmallVT’s engagement.

Congratulations Taylor and Carsen! https://t.co/uqAXa2APy9",False,1603459688250892290,8,1,1,1
PeterWelch,Rep. Peter Welch,1603413095216517120,1410590874,en,1603413095216517120,2022-12-15T15:34:06.000Z,"This weekend, I had the honor of recognizing Vermont’s 2022 Service Academy nominees. I was so impressed by these young people and their commitment to public service. Keep up the good work! https://t.co/dfScWovNL7",False,1603413095216517120,2,3,3,0
PeterWelch,Rep. Peter Welch,1603045126582013953,1410590874,en,1603045126582013953,2022-12-14T15:11:55.000Z,Excited to work together @SenatorTester! Montanans are lucky to have you. https://t.co/WxJAb7BoVe,False,1603045126582013953,1,3,3,1
PeterWelch,Rep. Peter Welch,1602359637172535296,1410590874,en,1602359637172535296,2022-12-12T17:48:02.000Z,Our farms struggle with staggeringly high costs and the impacts of climate change. Vermont farmers need support – whether they continue our state’s proud dairy farming tradition or find new and creative ways to thrive in agriculture. https://t.co/GPByTWTiVl,False,1602359637172535296,3,2,2,1
PeterWelch,Rep. Peter Welch,1602329977818648576,1410590874,en,1602329977818648576,2022-12-12T15:50:11.000Z,"Sorry, Pennsylvania, but it looks like your newest Senator will be repping Vermont on Capitol Hill next year.  
 
It was great to get together with Senator-Elect @JohnFetterman last week to discuss the work ahead  -- and to add a little Vermont to his wardrobe. https://t.co/LWThUmf6zn",False,1602329977818648576,195,135,135,33
PeterWelch,Rep. Peter Welch,1601703642335174664,1410590874,en,1601703642335174664,2022-12-10T22:21:21.000Z,"Our farmers need support. That's why I'm happy to announce that the deadline to apply for Dairy Margin Coverage has been extended to January 2023. For more, visit: https://t.co/BlVPvJjovN https://t.co/25cgOPjmZk",False,1601703642335174664,8,8,8,2
PeterWelch,Rep. Peter Welch,1601320533152374785,1410590874,en,1601320533152374785,2022-12-09T20:59:00.000Z,"This story is a powerful reminder of the toll the opioid epidemic has taken on our communities. We must invest in education and treatment, from training medical professionals and addiction experts to facilitating telemedicine for substance use disorders.
https://t.co/4F3YKxTyvX",False,1601320533152374785,3,8,8,1
