handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepAdrianSmith,Rep. Adrian Smith,1605949142341193729,296245061,en,1605949142341193729,2022-12-22T15:31:27.000Z,"Democrats’ last-minute rush to weaponize private taxpayer information against their political opponents and paper over the indiscretions Ways and Means Committee Democrats committed two nights ago is unacceptable. 

Americans deserve better. https://t.co/YRfu23OmCp",False,1605949142341193729,10,13,13,1
RepAdrianSmith,Rep. Adrian Smith,1605625807749218305,296245061,en,1605625807749218305,2022-12-21T18:06:38.000Z,"I’m pleased to see USTR use the dispute settlement mechanism outlined by USMCA to pursue a more level playing field for American dairy. I urge the administration to continue to use the trade enforcement tools at its disposal to benefit American industry, producers, &amp; consumers. https://t.co/TiUR8AZE5w",False,1605625807749218305,7,1,1,0
RepAdrianSmith,Rep. Adrian Smith,1605190417305243650,296245061,en,1605190417305243650,2022-12-20T13:16:33.000Z,"My staff will be in Greeley and Neligh today. Please stop by if you need help with @DeptVetAffairs, @SocialSecurity, @MedicareGov, @USCIS, @IRSnews, @FEMA, @USDA, other federal agencies, or have thoughts to share! https://t.co/CNk3bDPB7J",False,1605190417305243650,1,5,5,0
RepAdrianSmith,Rep. Adrian Smith,1604902960558968837,296245061,en,1604902960558968837,2022-12-19T18:14:18.000Z,"The IRS has warned families to expect smaller &amp; delayed returns because of Democrats' invasive new 1099-K reporting requirements.

As of Nov 11 the IRS had 3.7 million backlogged 2021 returns.

@WaysandMeansGOP will hold IRS accountable to improve customer service in the 118th.",False,1604902960558968837,2,17,17,0
RepAdrianSmith,Rep. Adrian Smith,1603849893260709888,296245061,en,1603849893260709888,2022-12-16T20:29:47.000Z,"RT @USJapanCaucus: The U.S.-Japan Caucus welcomes Japan’s new National Security Strategy, National Defense Strategy, and Defense Buildup Pr…",False,1603849893260709888,8,0,0,0
RepAdrianSmith,Rep. Adrian Smith,1603804633570213888,296245061,en,1603804633570213888,2022-12-16T17:29:56.000Z,"President Biden's policies have hurt our economy, hurt households, triggered inflation, and made our supply chain crisis worse. 

The American people reject the Biden administration's failed policies, plain and simple. https://t.co/ir3nm31QBG",False,1603804633570213888,10,20,20,0
RepAdrianSmith,Rep. Adrian Smith,1603757695026495488,296245061,en,1603757695026495488,2022-12-16T14:23:25.000Z,RT @RiponAdvance: Recent actions taken by the Mexican government are inconsistent with its USMCA agricultural biotechnology commitments and…,False,1603757695026495488,2,0,0,0
RepAdrianSmith,Rep. Adrian Smith,1603436808603303937,296245061,en,1603436808603303937,2022-12-15T17:08:20.000Z,"Today I honored Pat on the House floor.

I will always remember his special gift for bringing people together. https://t.co/3reThom6hW https://t.co/WbhfS9g5sn",False,1603436808603303937,0,1,1,0
RepAdrianSmith,Rep. Adrian Smith,1603111113339834368,296245061,en,1603111113339834368,2022-12-14T19:34:08.000Z,"It was great to get an update from Nebraska National Guard Adjutant General, @NETAGBohac, as we celebrate the 386th birthday of the National Guard this week. https://t.co/bzPw36Ibf3",False,1603111113339834368,0,3,3,1
RepAdrianSmith,Rep. Adrian Smith,1603059386427084807,296245061,en,1603059386427084807,2022-12-14T16:08:35.000Z,"RT @WaysandMeansGOP: ""American workers and businesses, already struggling with record inflation, cannot afford continued inaction on trade,…",False,1603059386427084807,5,0,0,0
RepAdrianSmith,Rep. Adrian Smith,1603046755536453632,296245061,en,1603046755536453632,2022-12-14T15:18:24.000Z,"Fentanyl is driving a crisis of homelessness, and the number of Americans it has killed has risen 94 percent since 2019.
 
President Biden must secure the border and stop the lethal flow of synthetic opioids. https://t.co/iAZnxN6OL0",False,1603046755536453632,0,9,9,0
RepAdrianSmith,Rep. Adrian Smith,1602728063401447431,296245061,en,1602728063401447431,2022-12-13T18:12:02.000Z,"RT @RiponAdvance: In order to lower fuel costs and create stability in the marketplace, @RepAdrianSmith introduced #bipartisan, #bicameral…",False,1602728063401447431,2,0,0,0
RepAdrianSmith,Rep. Adrian Smith,1602690297976209408,296245061,en,1602690297976209408,2022-12-13T15:41:58.000Z,"RT @HouseGOP: Inflation is a tax on ALL Americans. 

📈Eggs are UP 49.1%
📈Airline Fares are UP 36%
📈Milk is UP 14.7%
📈Electricity is UP 13.7…",False,1602690297976209408,1383,0,0,0
RepAdrianSmith,Rep. Adrian Smith,1602689992614187013,296245061,en,1602689992614187013,2022-12-13T15:40:45.000Z,"Americans everywhere are feeling the pain of inflation, especially those who can least afford it. Food costs are up over 10% from this time last year and energy costs are up 13%. 

@HouseGOP will use our majority to deliver an economy that's strong.",False,1602689992614187013,27,71,71,4
RepAdrianSmith,Rep. Adrian Smith,1602418116482502658,296245061,en,1602418116482502658,2022-12-12T21:40:25.000Z,RT @USGLC: What's it worth to Nebraska? @RepAdrianSmith led an important conversation on how investments in America's diplomacy + developme…,False,1602418116482502658,4,0,0,0
RepAdrianSmith,Rep. Adrian Smith,1601577370871549952,296245061,en,1601577370871549952,2022-12-10T13:59:35.000Z,"Pat Engel defined what it is to be a public servant. I will always remember his cheerful way, even when issues weren’t easy.

Family and community meant the world to Pat. He will be missed.",False,1601577370871549952,2,0,0,2
RepAdrianSmith,Rep. Adrian Smith,1601300861086420992,296245061,en,1601300861086420992,2022-12-09T19:40:50.000Z,"Democrats are trying to take us back to the policies that triggered inflation, broke our supply chains, and helped create a workforce shortage. 

@HouseGOP will use our majority to get better policies on the books and reject Democrats' tax-and-spend agenda. https://t.co/5DSa5owpH1",False,1601300861086420992,3,36,36,1
RepAdrianSmith,Rep. Adrian Smith,1601288135656476672,296245061,en,1601288135656476672,2022-12-09T18:50:16.000Z,"The revised beef safeguard mechanism strengthens the opportunity for American producers to meet growing demand for high-quality beef. 

This is a concrete example of how important market access is for American agriculture &amp; I thank @AmbassadorTai for her work on the agreement. https://t.co/RFYYriFH4L",False,1601288135656476672,1,0,0,0
RepAdrianSmith,Rep. Adrian Smith,1601244934496845824,296245061,en,1601244934496845824,2022-12-09T15:58:36.000Z,NEW: @RepDanKildee and I led a bipartisan letter with members of @WaysandMeansGOP requesting @USTradeRep immediately take action to enforce Mexico’s USMCA biotech commitments: https://t.co/hkFrnV6vPu,False,1601244934496845824,4,1,1,2
RepAdrianSmith,Rep. Adrian Smith,1600631732499365888,296245061,en,1600631732499365888,2022-12-07T23:21:57.000Z,"Small businesses employ half of all U.S. workers, but 92% of those trying to hire in Nov. reported few or no qualified applicants for the positions they were trying to fill.
 
A Republican majority will fight for pro-growth policies that connect workers with good-paying jobs.",False,1600631732499365888,2,12,12,2
RepAdrianSmith,Rep. Adrian Smith,1600608307764420608,296245061,en,1600608307764420608,2022-12-07T21:48:53.000Z,"RT @HouseGOP: In less than one month, House Republicans will fight in the new majority to:

✅Rein in reckless spending to fight inflation…",False,1600608307764420608,168,0,0,0
RepAdrianSmith,Rep. Adrian Smith,1600596112242577410,296245061,en,1600596112242577410,2022-12-07T21:00:25.000Z,"Today, on the 81st anniversary of the attack on Pearl Harbor, we remember a day which will live in infamy.
 
Let us come together to renew our gratitude for those who have served and sacrificed to keep our country safe. https://t.co/VBkxvdeED1",False,1600596112242577410,1,1,1,0
RepAdrianSmith,Rep. Adrian Smith,1600233965297627137,296245061,en,1600233965297627137,2022-12-06T21:01:22.000Z,"At 62.1%, the workforce participation rate is lower than it was at the height of the Great Recession. 

With our new majority, @HouseGOP will fight for policies to increase take-home pay, get workers off the sidelines, and bring stability to the economy. #CommitmentToAmerica",False,1600233965297627137,3,23,23,0
RepAdrianSmith,Rep. Adrian Smith,1600203588009046016,296245061,en,1600203588009046016,2022-12-06T19:00:40.000Z,"RT @RepSteel: When the Administration announced plans to spend $80 billion to hire more than 80,000 more IRS agents, I immediately introduc…",False,1600203588009046016,6,0,0,0
