handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepAndyBiggsAZ,Rep Andy Biggs,1601346291992522752,816652616625168388,en,1601346291992522752,2022-12-09T22:41:22.000Z,RT @WashTimesOpEd: .@RepAndyBiggsAZ joined @TimConstantine1's Capitol Hill Show to discuss why he believes Kevin McCarthy should never be S…,False,1601346291992522752,29,0,0,0
RepAndyBiggsAZ,Rep Andy Biggs,1601306428735893504,816652616625168388,en,1601306428735893504,2022-12-09T20:02:58.000Z,"This woke Biden Administration official won't stop stealing people's luggage. 

Brinton has now been issued a felony warrant on grand larceny charges.

He should immediately resign as @Rep_Clyde and I call for in our latest letter. 

https://t.co/xCxVo5gxaP",False,1601306428735893504,195,130,130,19
RepAndyBiggsAZ,Rep Andy Biggs,1601264368830009345,816652616625168388,en,1601264368830009345,2022-12-09T17:15:50.000Z,"Congress shouldn’t pass any controversial legislation during the lame-duck period. 

The American people voted in new representatives and they deserve to be heard in this process.",False,1601264368830009345,909,2200,2200,145
RepAndyBiggsAZ,Rep Andy Biggs,1601252927196143616,816652616625168388,en,1601252927196143616,2022-12-09T16:30:22.000Z,"RT @NEWSMAX: ""She's kind of had that bent all along and it seems to be a better home for her perhaps."" 

Rep. Andy Biggs [@RepAndyBiggsAZ]…",False,1601252927196143616,33,0,0,0
RepAndyBiggsAZ,Rep Andy Biggs,1601239867937083393,816652616625168388,en,1601239867937083393,2022-12-09T15:38:28.000Z,"RT @Judgenap: Kevin McCarthy, step aside... it's time
@RepAndyBiggsAZ @GOPLeader @YALiberty
@RepThomasMassie @RandPaul  #Republican #Libert…",False,1601239867937083393,64,0,0,0
RepAndyBiggsAZ,Rep Andy Biggs,1600972305609691138,816652616625168388,en,1600972305609691138,2022-12-08T21:55:16.000Z,Our nation's flag deserves better from @JacksonLeeTX18. https://t.co/odMIk1xzcP,False,1600972305609691138,1028,553,553,55
RepAndyBiggsAZ,Rep Andy Biggs,1600961959083790336,816652616625168388,en,1600961959083790336,2022-12-08T21:14:10.000Z,"The 2023 NDAA is bloated and contains woke elements that do not enhance military readiness.

The 4000-plus page legislation was released to the public just hours before its vote. 

I voted against this monstrosity. https://t.co/lbuakXKoFx",False,1600961959083790336,310,224,224,24
RepAndyBiggsAZ,Rep Andy Biggs,1600957047599943681,816652616625168388,en,1600957047599943681,2022-12-08T20:54:39.000Z,"RT @JudiciaryGOP: 🔥 WOW 🔥

@Jim_Jordan OBLITERATES the credibility of the Democrats' star witness at today's hearing examining the Supreme…",False,1600957047599943681,3524,0,0,0
RepAndyBiggsAZ,Rep Andy Biggs,1600950830613647360,816652616625168388,en,1600950830613647360,2022-12-08T20:29:56.000Z,"I am running for House Speaker to change the trajectory of the Republican Party. 

It's not going to change with Kevin at the helm. 

He's been at or near the apex of Republican leadership for 12 years and his time is up. https://t.co/46cvrYwxlH",False,1600950830613647360,619,713,713,65
RepAndyBiggsAZ,Rep Andy Biggs,1600897017898684416,816652616625168388,en,1600897017898684416,2022-12-08T16:56:06.000Z,"U.S. foreign policy under Biden is a dumpster fire.

Have we had a worse commander-in-chief?",False,1600897017898684416,3862,10024,10024,684
