handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepAndyHarrisMD,"Rep. Andy Harris, MD",1601311737080606720,960962340,en,1601311737080606720,2022-12-09T20:24:03.000Z,"With crime on the rise and woke DA’s refusing to prosecute—this is a sad but predictable outcome. 

If you don’t prosecute crime you get more crime….
https://t.co/v7a5VyvUtY",False,1601311737080606720,2,18,18,0
RepAndyHarrisMD,"Rep. Andy Harris, MD",1600562168163729408,960962340,en,1600562168163729408,2022-12-07T18:45:32.000Z,"Sadly, a father of two lost his life while dealing with the lawlessness at our wide open southern border. 

This comes less than 24 hrs after the president refused to visit the southern border (despite being in the area) because he said he had more important things to do. https://t.co/JgTINtk1Gi",False,1600562168163729408,4,19,19,0
RepAndyHarrisMD,"Rep. Andy Harris, MD",1600509177885036548,960962340,qme,1600509177885036548,2022-12-07T15:14:58.000Z,#PearlHarborRemembranceDay https://t.co/6LjW9HUxIw,False,1600509177885036548,2,3,3,0
RepAndyHarrisMD,"Rep. Andy Harris, MD",1600233296440750080,960962340,en,1600233296440750080,2022-12-06T20:58:43.000Z,RT @RepDonaldsPress: A president that doesn’t see our open border as a pressing issue is a president that isn’t concerned with the safety o…,False,1600233296440750080,110,0,0,0
RepAndyHarrisMD,"Rep. Andy Harris, MD",1599849812131975174,960962340,en,1599849812131975174,2022-12-05T19:34:53.000Z,Great time at the Maryland Farm Bureau during their annual meeting reception in Cambridge. https://t.co/Mi9rsQZMWM,False,1599849812131975174,1,9,9,1
RepAndyHarrisMD,"Rep. Andy Harris, MD",1599541778277101568,960962340,en,1599541778277101568,2022-12-04T23:10:52.000Z,"It was suspected all along that Twitter was actively helping the Biden campaign- and now we see the evidence. That collusion itself was not the only issue - the coverup is also. 

My full statement below 👇 #twitterfiles https://t.co/8qwy0JFqjB",False,1599541778277101568,16,55,55,3
RepAndyHarrisMD,"Rep. Andy Harris, MD",1598677702109601792,960962340,en,1598677702109601792,2022-12-02T13:57:20.000Z,"After a fire started in La’Prentis Doughty’s Salisbury home, he quickly ran out but then noticed that his 2 year old sister was left behind. So he immediately ran back in and saved her from the fire. 

A small but mighty Hero and we’re all very proud of you!! #MD01 https://t.co/7TQbDQ3J3F",False,1598677702109601792,3,4,4,1
RepAndyHarrisMD,"Rep. Andy Harris, MD",1597970284883357696,960962340,en,1597970284883357696,2022-11-30T15:06:19.000Z,"In the new majority, we must call for school choice and breakup the teachers unions. I look forward to passing the Parents Bill of Rights Act that finally gives parents the rights they deserve in their children’s education. https://t.co/pXpGPoIz8p",False,1597970284883357696,11,33,33,5
RepAndyHarrisMD,"Rep. Andy Harris, MD",1597296008387444736,960962340,en,1597296008387444736,2022-11-28T18:26:59.000Z,"It’s ridiculous for America to drill for oil in Venezuela. We can lower gas prices by unleashing American energy production right here at home. 

“Drill, baby, drill” worked the last time and can work again.",False,1597296008387444736,7,26,26,2
RepAndyHarrisMD,"Rep. Andy Harris, MD",1596601545554010113,960962340,en,1596601545554010113,2022-11-26T20:27:26.000Z,"Small businesses have been among the hardest hit by inflation, supply chain issues, and labor shortages. Small businesses are the backbone of our economy and today we show our appreciation to every small business in MD01. https://t.co/NkgyPUuZYb",False,1596601545554010113,3,7,7,2
RepAndyHarrisMD,"Rep. Andy Harris, MD",1596195511799017473,960962340,en,1596195511799017473,2022-11-25T17:34:00.000Z,"Despite the misleading name, the Inflation Reduction Act did not reduce inflation.
https://t.co/iFQUhIQalx",False,1596195511799017473,3,20,20,2
RepAndyHarrisMD,"Rep. Andy Harris, MD",1595753946571853825,960962340,en,1595753946571853825,2022-11-24T12:19:23.000Z,Happy Thanksgiving! https://t.co/smjTtKXZXN,False,1595753946571853825,3,11,11,1
RepAndyHarrisMD,"Rep. Andy Harris, MD",1594776922659368960,960962340,en,1594776922659368960,2022-11-21T19:37:02.000Z,"RT @HouseGOP: From food to flights, #Bidenflation is taking a bite out of Americans’ budgets this holiday season.

⬆️Turkey UP 23%
⬆️Butter…",False,1594776922659368960,170,0,0,0
RepAndyHarrisMD,"Rep. Andy Harris, MD",1593314254266028033,960962340,en,1593314254266028033,2022-11-17T18:44:55.000Z,"I am pleased to hear that the Senate passed our Medical Marijuana bill. This bill is historic, overdue, bipartisan, and bicameral—as it should be. 

While I categorically oppose recreational marijuana, we can now do the rigorous research on what medical marijuana can/cannot do. https://t.co/tBr09o9NCC",False,1593314254266028033,2,26,26,0
RepAndyHarrisMD,"Rep. Andy Harris, MD",1593305627593297920,960962340,en,1593305627593297920,2022-11-17T18:10:38.000Z,Great chat with @SchmittNYC about our country’s fentanyl crisis and my thoughts on a potential vaccine targeting the opioid epidemic. https://t.co/o67KhSRwDT,False,1593305627593297920,1,4,4,0
RepAndyHarrisMD,"Rep. Andy Harris, MD",1592936296691171328,960962340,en,1592936296691171328,2022-11-16T17:43:03.000Z,"Deadly fentanyl continues to flow through our wide open southern border—and it’s more apparent now than ever that this Administration has no clear plan to fix it.
https://t.co/GACDb7ytDX",False,1592936296691171328,1,24,24,2
