handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepAngieCraig,Angie Craig,1601273804223049731,1080222360643485698,en,1601273804223049731,2022-12-09T17:53:19.000Z,It was great to join the Burnsville Chamber of Commerce this morning to catch up with our local elected officals. It’s an honor to be your federal partner #Burnsville. https://t.co/GJ0LwA5YeP,False,1601273804223049731,7,1,1,1
RepAngieCraig,Angie Craig,1601242463792156673,1080222360643485698,en,1601242463792156673,2022-12-09T15:48:47.000Z,"Great to see you too, Rick! It's always great to catch up with MN leaders in DC. https://t.co/AySUgJkz6K",False,1601242463792156673,8,4,4,0
RepAngieCraig,Angie Craig,1600986660518305792,1080222360643485698,en,1600986660518305792,2022-12-08T22:52:19.000Z,"Next year, Minnesota is set to see a huge budget surplus. In Congress, I am fighting to end federal income taxes on Social Security benefits – and as state legislators look to spend that surplus, I hope they strongly consider similar action at the state level. https://t.co/vqm0WyvD9w",False,1600986660518305792,12,2,2,2
RepAngieCraig,Angie Craig,1600961482207928340,1080222360643485698,en,1600961482207928340,2022-12-08T21:12:16.000Z,E-15 is cheaper and burns cleaner than traditional gasoline – and it’s also a home-grown fuel made with Minnesota corn! That’s why I introduced the bipartisan Consumer and Fuel Retailer Choice Act to make E-15 available year-round permanently. https://t.co/oaZZBUgF5g,False,1600961482207928340,8,8,8,3
RepAngieCraig,Angie Craig,1600946087220498432,1080222360643485698,en,1600946087220498432,2022-12-08T20:11:05.000Z,"This morning, I was honored to vote to pass the Respect For Marriage Act. This afternoon I was on hand to see the bill enrolled - now it's en route to @POTUS' desk! https://t.co/klkKvRG1fN",False,1600946087220498432,15,2,2,1
RepAngieCraig,Angie Craig,1600887453648408578,1080222360643485698,en,1600887453648408578,2022-12-08T16:18:06.000Z,"Today, Congress has officially voted to ensure interracial and same-sex marriage continues to be recognized in every state no matter what happens at the Supreme Court. I’m grateful for the bipartisan support. https://t.co/g7y2F3Jn9h",False,1600887453648408578,14,6,6,1
RepAngieCraig,Angie Craig,1600857931406532608,1080222360643485698,en,1600857931406532608,2022-12-08T14:20:48.000Z,"Today, the House will take a historic vote to enshrine marriage equality into law. I can’t believe we have to do that in 2022, but here we are. I will vote to keep my family and families like ours recognized under the law in every state no matter what happens in the courts. https://t.co/yTi9kNhg72",False,1600857931406532608,25,9,9,1
RepAngieCraig,Angie Craig,1600607103751622656,1080222360643485698,en,1600607103751622656,2022-12-07T21:44:06.000Z,"I've been proud to serve on @FairGrowthCmte this Congress with a focus on how we help rural communities and family farmers. Today in DC, we wrapped up our final report. https://t.co/io9EmAmfmn",False,1600607103751622656,6,11,11,0
RepAngieCraig,Angie Craig,1600560683564810255,1080222360643485698,en,1600560683564810255,2022-12-07T18:39:38.000Z,I’m fighting to make sure that any final spending package includes my REACHING Act to reauthorize @samhsagov programs to address mental health and suicide prevention. https://t.co/NGwLXlyJE5,False,1600560683564810255,6,2,2,0
RepAngieCraig,Angie Craig,1600520909789532162,1080222360643485698,en,1600520909789532162,2022-12-07T16:01:35.000Z,Today marks the 81st anniversary of the Attack on Pearl Harbor – a day to reflect on the profound impact the attack had on this country and honor the thousands of lives taken from us on that day. https://t.co/LutRHeBzbx,False,1600520909789532162,3,1,1,0
RepAngieCraig,Angie Craig,1600226769927172096,1080222360643485698,en,1600226769927172096,2022-12-06T20:32:47.000Z,"On January 6th, 2021, police officers honorably defended the Capitol.
 
Today, we honored the Capitol Police officers with Congressional Gold Medals for their bravery and dedication. https://t.co/jzPNCs3nPi",False,1600226769927172096,12,6,6,0
RepAngieCraig,Angie Craig,1600164623407321088,1080222360643485698,en,1600164623407321088,2022-12-06T16:25:50.000Z,"In the 21st century, we rely on the web for a lot – so it’s critical that every community in #MN has reliable access to quality high-speed internet services.

I’m happy to announce #MN will be receiving $44 million in funding.

https://t.co/0aaUlKuRzr",False,1600164623407321088,9,6,6,0
RepAngieCraig,Angie Craig,1599827271401054208,1080222360643485698,en,1599827271401054208,2022-12-05T18:05:19.000Z,"Starting in 2023, seniors will see their out-of-pocket costs for insulin capped at $35/month. https://t.co/qCdzzaqoGD",False,1599827271401054208,13,12,12,2
RepAngieCraig,Angie Craig,1599144423648116737,1080222360643485698,en,1599144423648116737,2022-12-03T20:51:55.000Z,"Barriers to accessing information should never stand between a veteran and the care they have earned, including mental health care. That’s why I am so proud to have helped pass the Commitment to Veteran Support and Outreach Act. More here: https://t.co/aGgSgRh4OE",False,1599144423648116737,7,1,1,0
RepAngieCraig,Angie Craig,1598745315800121353,1080222360643485698,en,1598745315800121353,2022-12-02T18:26:01.000Z,"Good luck to #MN02’s Rosemount and Simley High School as they head into the 2022 Minnesota State High School Football Championships this weekend!
https://t.co/cLp81M8yoh",False,1598745315800121353,2,1,1,0
RepAngieCraig,Angie Craig,1598686304325275651,1080222360643485698,en,1598686304325275651,2022-12-02T14:31:31.000Z,"Today is National Special Education Day. As the mom of a son who benefited from amazing special education teachers &amp; para professionals, I am fiercely committed to fully funding special education &amp; ensuring that educators and their students have access to the resources they need.",False,1598686304325275651,11,2,2,1
RepAngieCraig,Angie Craig,1598414521445523470,1080222360643485698,en,1598414521445523470,2022-12-01T20:31:33.000Z,"This week, the EPA released their proposed Renewable Fuel Standard Volume Obligations for the next three years to steadily increase the availability of biofuels in the United States. I’m happy to see this development. 

My full statement here: 
https://t.co/JuPalX0tZa",False,1598414521445523470,3,0,0,0
RepAngieCraig,Angie Craig,1598407952410345472,1080222360643485698,en,1598407952410345472,2022-12-01T20:05:27.000Z,I’m so glad my friend Katie Slifko was able to meet with my staff in DC this week! Her late husband Cory was a South Saint Paul Police officer – and I am proud to have worked closely with her to pass the Public Safety Officer Support Act earlier this year. https://t.co/vNTDsqMlAI,False,1598407952410345472,5,3,3,0
RepAngieCraig,Angie Craig,1598388665981566997,1080222360643485698,en,1598388665981566997,2022-12-01T18:48:49.000Z,"Minnesotans should be able to expect reliable, efficient service from USPS, especially at this time of year. That's why I am proud to cosponsor legislation to better USPS Congressional oversight and improve postal service in #MN02. https://t.co/iQhUgUMUus",False,1598388665981566997,9,6,6,0
RepAngieCraig,Angie Craig,1598072659211943959,1080222360643485698,en,1598072659211943959,2022-11-30T21:53:07.000Z,"This past year, my Democratic colleagues and I were able to take major strides in lowering the cost of health care, through ending the “family glitch,” extending ACA tax credits &amp; more. Open enrollment is happening now! More about how Minnesotans can save: https://t.co/0YjkiAlaLC",False,1598072659211943959,8,6,6,0
RepAngieCraig,Angie Craig,1598033116098138129,1080222360643485698,en,1598033116098138129,2022-11-30T19:15:59.000Z,"Yesterday, the South Metro got its first taste of winter this season! So, I just wanted to take a moment to express my appreciation for our public works professionals plowing our roads to keep Minnesota moving. Thank you for helping keep our communities safe.",False,1598033116098138129,2,6,6,1
RepAngieCraig,Angie Craig,1598009086561648640,1080222360643485698,en,1598009086561648640,2022-11-30T17:40:30.000Z,"Thanks Richard. I am so proud of all of the work we have done together on behalf of families like yours and mine.
https://t.co/XeIGAlJqlU https://t.co/vPT4UvPSyr",False,1598009086561648640,3,3,3,0
RepAngieCraig,Angie Craig,1597961394095284224,1080222360643485698,en,1597961394095284224,2022-11-30T14:30:59.000Z,"Yesterday, my colleagues in the Senate made history by passing the Respect for Marriage Act. I’m grateful to be part of a Congress that recognizes the need to enshrine marriage equality into law and ensure that families like mine will always be recognized under the law. https://t.co/UJzfNbSdTA",False,1597961394095284224,16,14,14,1
RepAngieCraig,Angie Craig,1597730624474955777,1080222360643485698,en,1597730624474955777,2022-11-29T23:13:59.000Z,Thanks to everyone who tuned in to my virtual town hall live-stream this evening and a special thanks to Lakeville Police Chief Brad Paulson for serving as our moderator. https://t.co/h7AYB2sxcA,False,1597730624474955777,5,9,9,3
RepAngieCraig,Angie Craig,1597623387366400000,1080222360643485698,en,1597623387366400000,2022-11-29T16:07:52.000Z,"I am saddened to hear that my colleague, Donald McEachin, passed away last night. Donald was a thoughtful, dedicated leader and will be greatly missed. Cheryl and I are sending our thoughts and prayers to the entire McEachin family at this time.",False,1597623387366400000,3,1,1,0
RepAngieCraig,Angie Craig,1597622131960995841,1080222360643485698,en,1597622131960995841,2022-11-29T16:02:53.000Z,"Happening tonight!

Tune in on Facebook for my virtual town hall tonight at 4:00 pm CST. 

If you have a question you would like me to answer during the event you can submit them here:
https://t.co/CvNiizYK8f",False,1597622131960995841,3,3,3,1
RepAngieCraig,Angie Craig,1597235902165946369,1080222360643485698,en,1597235902165946369,2022-11-28T14:28:08.000Z,"Unfortunately, last night I tested positive for Covid-19. Thankfully, I am fully vaccinated and boosted and am experiencing only mild symptoms. 

I will be isolating this week, working remotely and voting by proxy on behalf of the district.",False,1597235902165946369,13,404,404,32
RepAngieCraig,Angie Craig,1596600432356646912,1080222360643485698,en,1596600432356646912,2022-11-26T20:23:01.000Z,I am alway happy to support Minnesota’s small businesses – especially on Small Business Saturday. Focusing on the businesses that fuel our local economies is a great way to kick-off the holiday season. https://t.co/v0oXDrqG5j,False,1596600432356646912,3,3,3,0
RepAngieCraig,Angie Craig,1595859638154502144,1080222360643485698,en,1595859638154502144,2022-11-24T19:19:22.000Z,To folks in Minnesota and around the country - I hope you have a safe and happy Thanksgiving! https://t.co/UacicG1OqX,False,1595859638154502144,3,4,4,0
RepAngieCraig,Angie Craig,1595142339177201677,1080222360643485698,en,1595142339177201677,2022-11-22T19:49:04.000Z,"It’s great to see efforts in #MN02 to help young people engage with democracy and see their voice be heard. 
https://t.co/eX8fRf3Am8",False,1595142339177201677,2,3,3,0
RepAngieCraig,Angie Craig,1594730685788753921,1080222360643485698,en,1594730685788753921,2022-11-21T16:33:18.000Z,Glad to have such a great partner for our Scott County community. https://t.co/EsXSjHwJs4,False,1594730685788753921,5,2,2,1
RepAngieCraig,Angie Craig,1594427253118713856,1080222360643485698,en,1594427253118713856,2022-11-20T20:27:34.000Z,"Reach out to someone you know from the LGBTQ+ community today, and tell them they are loved for exactly who they are. And that together - we will not let hate win.",False,1594427252032393217,5,0,0,0
