handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepAnnWagner,Ann Wagner,1604670634591756288,1051446626,en,1604670634591756288,2022-12-19T02:51:07.000Z,We wish a very Happy Hanukkah to all our friends and neighbors celebrating. https://t.co/aTeZibYoxa,False,1604670634591756288,2,16,16,0
RepAnnWagner,Ann Wagner,1603789830831366144,1051446626,en,1603789830831366144,2022-12-16T16:31:07.000Z,"RELEASE: Wagner Introduces SEC Regulatory Accountability Act to Protect Retail Investors, Limit Unnecessary Rulemakings

Read here ⬇️⬇️⬇️

https://t.co/XnL6KxqWNY",False,1603789830831366144,2,16,16,2
RepAnnWagner,Ann Wagner,1603097949516566533,1051446626,en,1603097949516566533,2022-12-14T18:41:49.000Z,"This should never have happened.  

I am very concerned SEC Chair Gensler and House Democrats have been asleep at the wheel on this for months and years.

Watch my interview with @BretBaier on Fox here.

https://t.co/iKvAJbnLuj",False,1603097949516566533,6,19,19,3
RepAnnWagner,Ann Wagner,1602800633341427718,1051446626,en,1602800633341427718,2022-12-13T23:00:24.000Z,Tune in now to @SpecialReport to watch me and @BretBaier talk about the FTX collapse and today’s Financial Services Committee hearing.,False,1602800633341427718,4,20,20,4
RepAnnWagner,Ann Wagner,1602788626789793792,1051446626,en,1602788626789793792,2022-12-13T22:12:41.000Z,"Today the Financial Services Committee held a hearing on the FTX collapse.  

It should never have gotten this far. 

This is an unprecedented fraud, and the American people deserve answers.  

Watch my questioning here. https://t.co/acrKsTkJwi",False,1602788626789793792,10,15,15,1
RepAnnWagner,Ann Wagner,1602356983067283480,1051446626,en,1602356983067283480,2022-12-12T17:37:29.000Z,"RELEASE: Wagner Legislation To Honor St. Louisan Ulysses S. Grant Passes House

Read my full statement here ⬇️⬇️⬇️

https://t.co/QhMvfQuaE8",False,1602356983067283480,3,3,3,0
RepAnnWagner,Ann Wagner,1600934406163959808,1051446626,en,1600934406163959808,2022-12-08T19:24:41.000Z,"RELEASE: Four Wagner Bills to Become Law in National Defense Authorization Act

Read more ⬇️⬇️⬇️

https://t.co/7gAQazga0w",False,1600934406163959808,0,19,19,0
RepAnnWagner,Ann Wagner,1600618512199843840,1051446626,en,1600618512199843840,2022-12-07T22:29:26.000Z,Today we honor and remember all those who lost their lives on this tragic day at Pearl Harbor in 1941. https://t.co/Snp8rylpdA,False,1600618512199843840,3,6,6,1
RepAnnWagner,Ann Wagner,1598797772278403072,1051446626,en,1598797772278403072,2022-12-02T21:54:27.000Z,"This program has proven vital to families in underserved communities in Missouri, and I am truly blessed to help advance Jackie’s legacy of helping those in need.",False,1598797767690055680,2,2,2,0
RepAnnWagner,Ann Wagner,1598797771091451905,1051446626,en,1598797771091451905,2022-12-02T21:54:27.000Z,"The Jackie Walorski Maternal and Child Home Visiting Reauthorization Act supports positive parenting, improves maternal and child health, and promotes child development and school readiness.",False,1598797767690055680,1,1,1,0
RepAnnWagner,Ann Wagner,1598797767690055680,1051446626,en,1598797767690055680,2022-12-02T21:54:26.000Z,"Paid tribute to my dearest friend, Rep. Jackie Walorski, &amp; spoke in support of child &amp; maternal health legislation named in her honor after her tragic passing. She was a selfless servant dedicated to ensuring women have the support they need to raise happy &amp;  healthy children. https://t.co/hrBEOGdqtH",False,1598797767690055680,7,15,15,0
RepAnnWagner,Ann Wagner,1597634270344142849,1051446626,en,1597634270344142849,2022-11-29T16:51:07.000Z,"RELEASE: Wagner, Joyce, Slotkin, and Titus Introduce Bipartisan Bill to Support Human Trafficking Survivors, Investigators

Read more here ⬇️⬇️⬇️

https://t.co/8xvXPWO3np",False,1597634270344142849,1,3,3,0
RepAnnWagner,Ann Wagner,1595803427308769281,1051446626,en,1595803427308769281,2022-11-24T15:36:00.000Z,"Happy Thanksgiving from my family to yours!

I hope you and your family are able to give thanks and spend this precious time together. https://t.co/S0vB419lPy",False,1595803427308769281,1,10,10,0
RepAnnWagner,Ann Wagner,1595168469154205700,1051446626,en,1595168469154205700,2022-11-22T21:32:54.000Z,...legislation that will give survivors and law enforcement the ability to take legal action against websites that facilitate the distribution and sale of illegal images and videos of this vile exploitation.,False,1595168456286081042,3,2,2,0
RepAnnWagner,Ann Wagner,1595168464557248534,1051446626,en,1595168464557248534,2022-11-22T21:32:53.000Z,It is vital we work together with partners across the globe to put predators behind bars and save those who have been abused.  Thank you to Australian Ambassador Arthur Sinodinos for giving me the opportunity to join this screening and discuss my EARN It Act... https://t.co/Lq11iXpOx6,False,1595168456286081042,2,4,4,0
RepAnnWagner,Ann Wagner,1595168456286081042,1051446626,en,1595168456286081042,2022-11-22T21:32:51.000Z,"I spoke at a special screening of ‘The Children in the Pictures’, a documentary about Task Force Argos, an elite Australian law enforcement unit dedicated to stopping child sexual exploitation and rescuing victims. https://t.co/044ICFMQZ2",False,1595168456286081042,3,17,17,2
RepAnnWagner,Ann Wagner,1594812166108061717,1051446626,en,1594812166108061717,2022-11-21T21:57:05.000Z,If you need food assistance go to https://t.co/VWcYr4nZJ9 or scan the QR code on the card below. https://t.co/iHFlGOoDUH,False,1594812160571740161,1,0,0,0
RepAnnWagner,Ann Wagner,1594812160571740161,1051446626,en,1594812160571740161,2022-11-21T21:57:03.000Z,"It was a beautiful morning to join the St. Louis Area Foodbank and Fee Fee Baptist Church volunteers to distribute Thanksgiving meals. With soaring inflation, the need is greater this year than any time in the recent past. https://t.co/nE0YA1IqWM",False,1594812160571740161,1,6,6,0
RepAnnWagner,Ann Wagner,1593361265719648259,1051446626,en,1593361265719648259,2022-11-17T21:51:43.000Z,"I will continue to promote policies that bolster the economy and promote job growth during these volatile economic times.

https://t.co/x9R0lXoVr5",False,1593361264369176577,0,8,8,0
RepAnnWagner,Ann Wagner,1593361264369176577,1051446626,en,1593361264369176577,2022-11-17T21:51:43.000Z,"The Financial Services Committee held an oversight hearing this week and, as Vice Ranking Member of the Committee, I questioned our witnesses on the stability of our financial markets and the strength of current capital levels and requirements for banks.",False,1593361264369176577,1,6,6,0
RepAnnWagner,Ann Wagner,1592985169551831040,1051446626,en,1592985169551831040,2022-11-16T20:57:15.000Z,"I asked our Foreign Affairs Committee witness how the United States could combat Moscow’s influence operations in Bosnia and throughout the Balkans, you can watch more here.

https://t.co/cifYwXo2LE",False,1592985166200594432,1,1,1,0
RepAnnWagner,Ann Wagner,1592985167890554880,1051446626,en,1592985167890554880,2022-11-16T20:57:14.000Z,"I have introduced and passed through the House the Upholding the Dayton Peace Agreement Through Sanctions Act, legislation that would punish bad actors seeking to threaten Bosnian stability.",False,1592985166200594432,1,2,2,0
RepAnnWagner,Ann Wagner,1592985166200594432,1051446626,en,1592985166200594432,2022-11-16T20:57:14.000Z,"I am gravely concerned about Russian influence operations in the Western Balkans—particularly in Bosnia and Herzegovina, where Russia is working to empower secessionist groups, inflaming ethnic tensions and raising the risk of instability.",False,1592985166200594432,7,5,5,1
RepAnnWagner,Ann Wagner,1592964418476081153,1051446626,en,1592964418476081153,2022-11-16T19:34:47.000Z,"Time and again, the Russian regime has demonstrated a complete moral depravity.

This is fundamentally Putin’s choice, and his alone. No country bears responsibility for Russian aggression and Russian war crimes but Russia itself.",False,1592964368357998593,0,5,5,0
RepAnnWagner,Ann Wagner,1592964414575374337,1051446626,en,1592964414575374337,2022-11-16T19:34:46.000Z,The Russian way of war is deeply dangerous; relying on brinksmanship and outright terrorism to overcome serious military shortcomings is inherently risky—not to mention the appalling human rights implications of attacking civilian centers far from the front lines. https://t.co/hA4eouAIBX,False,1592964368357998593,0,3,3,0
RepAnnWagner,Ann Wagner,1592964368357998593,1051446626,en,1592964368357998593,2022-11-16T19:34:35.000Z,"I'm outraged after Russia’s brutal aerial assault yesterday on civilian targets across Ukraine. I also offer condolences to the people of Poland, who lost two of their citizens yesterday. I'm heartened to see NATO countries join together to examine this tragedy w/ measured calm. https://t.co/EQ1GdzJQOh",False,1592964368357998593,1,3,3,0
RepAnnWagner,Ann Wagner,1591174947623538689,1051446626,en,1591174947623538689,2022-11-11T21:04:04.000Z,Today we honor all those who risked their lives for a grateful nation. Thank you for your service and your sacrifice defending our freedoms. https://t.co/TnsD6MHTBw,False,1591174947623538689,4,12,12,2
RepAnnWagner,Ann Wagner,1587948011652583425,1051446626,en,1587948011652583425,2022-11-02T23:21:23.000Z,"It was a blessing to greet our veterans during their return from their Honor Flight.  The @gslhonorflight does so much good on behalf of those who served, and I appreciate any opportunity to honor them and thank them for their service. https://t.co/Ryt8lL4E9J",False,1587948011652583425,2,17,17,1
RepAnnWagner,Ann Wagner,1587920749129781248,1051446626,en,1587920749129781248,2022-11-02T21:33:03.000Z,"Thank you to everyone who made yesterday’s Honor Flight possible.  It was such a pleasure to visit with veterans who went to Washington, D.C. to see the monuments built in their honor. https://t.co/NAODlWkNya",False,1587920749129781248,2,2,2,1
RepAnnWagner,Ann Wagner,1587871009473978371,1051446626,en,1587871009473978371,2022-11-02T18:15:24.000Z,"This Museum will stand as a lasting tribute and reminder of the millions of victims of the Holocaust, and we all look forward to the day genocide and mass atrocities are inconceivable.",False,1587870995641163784,0,5,5,1
RepAnnWagner,Ann Wagner,1587871005074247681,1051446626,en,1587871005074247681,2022-11-02T18:15:23.000Z,I was honored to champion nearly $1 million in grants in support of the Jewish Federation’s &amp; the Museum’s work to help others learn from the Holocaust’s brutality &amp; I look forward to working with Museum leadership to advance these goals &amp; fight against anti-Semitism and hatred. https://t.co/2BoaZiSXif,False,1587870995641163784,2,3,3,0
RepAnnWagner,Ann Wagner,1587870995641163784,1051446626,en,1587870995641163784,2022-11-02T18:15:21.000Z,"It was a pleasure to speak at the official Grand Opening of the St. Louis Kaplan Feldman Holocaust Museum.  Preserving the living testimonies of Holocaust survivors, liberators, and witnesses is especially important in this day and age. https://t.co/rswGzt5ZDO",False,1587870995641163784,7,9,9,1
RepAnnWagner,Ann Wagner,1587640383881809921,1051446626,en,1587640383881809921,2022-11-02T02:58:59.000Z,"Honored to welcome our Korean and Vietnam War veterans back from their Honor Flight in Washington, D.C. tonight. I am proud to fight for our veterans in Congress and always stand ready to help get them the benefits they deserve. 

https://t.co/20Lf5k3Ut8 https://t.co/TkgiEjR0Ia",False,1587640383881809921,3,5,5,1
RepAnnWagner,Ann Wagner,1587189723310833675,1051446626,en,1587189723310833675,2022-10-31T21:08:13.000Z,Last week’s Trilateral Symposium was an incredible step forward in these ongoing partnerships and I look forward to working in Congress where I serve as the Co-Chair of the Abraham Accords Caucus to advance federal policies that support the Accords.,False,1587189718885830656,0,1,1,0
RepAnnWagner,Ann Wagner,1587189722178281476,1051446626,en,1587189722178281476,2022-10-31T21:08:12.000Z,"Deepening and expanding Arab-Israeli partnerships absolutely must remain a top foreign policy priority, and I’ve worked across the aisle to push the Biden Administration to keep these relationships on the front burner.",False,1587189718885830656,0,2,2,0
RepAnnWagner,Ann Wagner,1587189720970313730,1051446626,en,1587189720970313730,2022-10-31T21:08:12.000Z,"St. Louis is a global leader in the plant sciences and agribusiness, &amp; there is no better city to host these important discussions. My colleagues &amp; I are adamant the U.S. capitalize on the momentum &amp; excitement we’ve built in the 2 yrs since the Abraham Accords were first signed.",False,1587189718885830656,0,1,1,0
RepAnnWagner,Ann Wagner,1587189718885830656,1051446626,en,1587189718885830656,2022-10-31T21:08:12.000Z,"I joined Donn Rubin of BioSTL, the Consulate of Israel and the Embassy of the United Arab Emirates for the first Trilateral Symposium for food security and agriculture innovation that includes Abraham Accords partners. https://t.co/wdugeAPxf2",False,1587189718885830656,3,15,15,0
RepAnnWagner,Ann Wagner,1586417199115390978,1051446626,en,1586417199115390978,2022-10-29T17:58:29.000Z,"Today is @DEAHQ National Prescription Drug Takeback Day.  

It was great to join our local law enforcement to encourage our friends and neighbors to turn in any unneeded prescription drugs and help stop addiction before it takes root. https://t.co/400OxqZfED",False,1586417199115390978,2,6,6,0
RepAnnWagner,Ann Wagner,1586357686739664896,1051446626,en,1586357686739664896,2022-10-29T14:02:00.000Z,"Today is the DEA’s National Prescription Drug Take Back Day.  

Click here to find a collection site near you to drop off unneeded medications.

https://t.co/UbqMEL45R2",False,1586357686739664896,2,4,4,0
RepAnnWagner,Ann Wagner,1584609285308547072,1051446626,en,1584609285308547072,2022-10-24T18:14:28.000Z,Just devastated about the senseless loss of life at Central Visual and Performing Arts High School in the city of St. Louis. I am grateful for the swift response of our law enforcement.,False,1584609285308547072,11,99,99,9
RepAnnWagner,Ann Wagner,1582886739802148864,1051446626,en,1582886739802148864,2022-10-20T00:09:42.000Z,"I have always said the way the CFPB is funded is unconstitutional.

I am glad our judicial system has finally recognized this fact so we can rein in this unaccountable bureaucracy.

https://t.co/W14HvHr5T8",False,1582886739802148864,3,13,13,2
RepAnnWagner,Ann Wagner,1580646942001876992,1051446626,en,1580646942001876992,2022-10-13T19:49:32.000Z,The results are clear: Joe Biden’s reckless spending is making your life more expensive.,False,1580646939183304704,1,22,22,1
RepAnnWagner,Ann Wagner,1580646939183304704,1051446626,en,1580646939183304704,2022-10-13T19:49:31.000Z,"The latest inflation numbers were released, and they were even worse than expected.  

Eggs are⬆️over 30%, 

Chicken is⬆️over 17%

Gas is⬆️over 18%

Bread is⬆️nearly 15%

These numbers are stunning, &amp; they are hurting Missouri families every day.",False,1580646939183304704,4,46,46,2
RepAnnWagner,Ann Wagner,1580644432139157504,1051446626,en,1580644432139157504,2022-10-13T19:39:34.000Z,The results are clear: Joe Biden’s reckless spending is making your life more expensive.,False,1580644430494633984,0,4,4,1
RepAnnWagner,Ann Wagner,1580633109825212416,1051446626,en,1580633109825212416,2022-10-13T18:54:34.000Z,"To find out more about veterans benefits visit
https://t.co/1fGvgKNH2z",False,1580633098802573312,0,0,0,0
RepAnnWagner,Ann Wagner,1580633104011493377,1051446626,en,1580633104011493377,2022-10-13T18:54:33.000Z,"These new state-of-the-art facilities replace the aged &amp; outdated buildings &amp; provide additional acres for the National Cemetery. Importantly, they improve patient care &amp; easy access to primary care, mental health care, dental, pharmacy, &amp; physical therapy for qualified veterans. https://t.co/DEtOdl69qA",False,1580633098802573312,0,6,6,0
RepAnnWagner,Ann Wagner,1580633098802573312,1051446626,en,1580633098802573312,2022-10-13T18:54:32.000Z,"I met with Director Keith Repko and the talented leadership team and staff of the VA St. Louis Healthcare System. 

I had the opportunity to see firsthand how our veterans are benefiting from the new Outpatient Clinic and Medical Rehab buildings at Jefferson Barracks. https://t.co/lkYWGFQXJt",False,1580633098802573312,1,9,9,0
RepAnnWagner,Ann Wagner,1577677264187162625,1051446626,en,1577677264187162625,2022-10-05T15:09:06.000Z,"The rising cost of gas, groceries, and other goods is hurting families, and Biden’s handout affects truck drivers, plumbers, and so many others who took vastly different paths in life.
 
https://t.co/LXTIZOsc98",False,1577677262958247941,0,10,10,0
RepAnnWagner,Ann Wagner,1577677262958247941,1051446626,en,1577677262958247941,2022-10-05T15:09:05.000Z,President Biden’s reckless action to forgive student loan debt will do nothing to lower the cost of college.  This is just a giveaway of taxpayer dollars that will hurt hardworking Missourians.,False,1577677262958247941,2,34,34,0
RepAnnWagner,Ann Wagner,1577410734241087489,1051446626,en,1577410734241087489,2022-10-04T21:30:00.000Z,I wish an easy and meaningful fast for all those observing Yom Kippur. https://t.co/EAZh4UgnI9,False,1577410734241087489,1,3,3,0
RepAnnWagner,Ann Wagner,1575604967036968961,1051446626,en,1575604967036968961,2022-09-29T21:54:32.000Z,"I'm proud to join my MO colleagues in honoring President Truman, one of the most influential public servants from our great state.",False,1575604962100674560,2,9,9,0
RepAnnWagner,Ann Wagner,1575604962100674560,1051446626,en,1575604962100674560,2022-09-29T21:54:30.000Z,"Today we unveiled President Harry S. Truman’s statue in the Capitol, a symbol that will serve as an important reminder of his long-lasting legacy &amp; dedication to our country. https://t.co/9ZQMdoFhpZ",False,1575604962100674560,6,28,28,7
RepAnnWagner,Ann Wagner,1574512413889949696,1051446626,en,1574512413889949696,2022-09-26T21:33:07.000Z,"This is an important step towards accountability for the criminals and self-serving politicians who are threatening to tear the country apart, and I hope the United States will be vigilant in imposing and enforcing further sanctions.",False,1574512406864150528,0,7,7,0
