handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepArmstrongND,Congressman Kelly Armstrong,1600952999689404417,1080515866255593472,en,1600952999689404417,2022-12-08T20:38:34.000Z,"These measures will go a long way toward strengthening our military readiness and the integrity of the systems we use.

Ensuring our armed forces have the resources and assurances they need to fulfill their mission is critical and that is why I support this legislation.",False,1600952994803363840,0,2,2,0
RepArmstrongND,Congressman Kelly Armstrong,1600952998209138688,1080515866255593472,en,1600952998209138688,2022-12-08T20:38:33.000Z,"The bill provides a pay raise for our troops, removes the COVID-19 vaccine mandate on all active and reserve servicemembers, and bars the Federal Government and contractors from using Chinese semiconductors.",False,1600952994803363840,0,1,1,1
RepArmstrongND,Congressman Kelly Armstrong,1600952996707602432,1080515866255593472,en,1600952996707602432,2022-12-08T20:38:33.000Z,"Notably, it provides funding to modernize the Minuteman program to the Sentinel weapon system, which will be housed at Minot Air Force Base.",False,1600952994803363840,0,1,1,0
RepArmstrongND,Congressman Kelly Armstrong,1600952994803363840,1080515866255593472,en,1600952994803363840,2022-12-08T20:38:32.000Z,"North Dakota plays a key role in the security of our nation. The FY 2023 NDAA promotes missions in our state, including Grand Forks Air Force Base and the North Dakota National Guard.

https://t.co/8n4gD05BoF",False,1600952994803363840,0,3,3,0
RepArmstrongND,Congressman Kelly Armstrong,1600548568024031232,1080515866255593472,en,1600548568024031232,2022-12-07T17:51:30.000Z,RT @jamestownsun: Jimmies crowned national champs with five set win over Corban https://t.co/DlbxgdyDnb,False,1600548568024031232,2,0,0,0
RepArmstrongND,Congressman Kelly Armstrong,1600530586665353217,1080515866255593472,en,1600530586665353217,2022-12-07T16:40:02.000Z,RT @HouseCommerce: President Biden's pro-CCP rush-to-green energy policies are dangerous and make us more reliant on supply chains from Chi…,False,1600530586665353217,3,0,0,0
RepArmstrongND,Congressman Kelly Armstrong,1600530310491672577,1080515866255593472,en,1600530310491672577,2022-12-07T16:38:57.000Z,"More than 2,400 Americans lost their lives in the December 7, 1941 attack on Pearl Harbor. We must never forget them and their heroic actions that day. https://t.co/Mv1v6ZkZxZ",False,1600530310491672577,0,6,6,0
RepArmstrongND,Congressman Kelly Armstrong,1600300228279574528,1080515866255593472,en,1600300228279574528,2022-12-07T01:24:41.000Z,"Congratulations to my friend Mac Schneider. Looking forward to working with him.

https://t.co/hmApGshzdN",False,1600300228279574528,1,2,2,0
RepArmstrongND,Congressman Kelly Armstrong,1600159843574116354,1080515866255593472,en,1600159843574116354,2022-12-06T16:06:50.000Z,"North Dakota agriculture has a $30.8 billion economic contribution and supports 110,480 total jobs for our state. We are grateful for our farmers and ranchers.
https://t.co/rsZBWoIhOl",False,1600159843574116354,2,0,0,1
RepArmstrongND,Congressman Kelly Armstrong,1598424803203072000,1080515866255593472,en,1598424803203072000,2022-12-01T21:12:25.000Z,Great to receive an update on the @FMDiversion. I am glad to hear about its progress toward providing long-term flood relief for the region. https://t.co/OUMxWmy7CS,False,1598424803203072000,0,14,14,1
RepArmstrongND,Congressman Kelly Armstrong,1597787499962638336,1080515866255593472,en,1597787499962638336,2022-11-30T03:00:00.000Z,Met with Spirit Lake Nation Chairman Doug Yankton to discuss a variety of issues important to the tribe and North Dakotans. https://t.co/zU1o2P9GXX,False,1597787499962638336,2,7,7,0
RepArmstrongND,Congressman Kelly Armstrong,1597701096566181888,1080515866255593472,en,1597701096566181888,2022-11-29T21:16:39.000Z,"As we prepare for 2023, the Farm Bill is a top priority. Appreciated talking with PIA of ND about the importance of crop insurance for North Dakota's growers. https://t.co/XwftHRiARk",False,1597701096566181888,1,4,4,1
RepArmstrongND,Congressman Kelly Armstrong,1597693181763911682,1080515866255593472,en,1597693181763911682,2022-11-29T20:45:12.000Z,RT @HouseCommerce: RT if you agree → We should drill AMERICAN oil and create AMERICAN jobs.,False,1597693181763911682,20,0,0,0
RepArmstrongND,Congressman Kelly Armstrong,1597653869814640642,1080515866255593472,en,1597653869814640642,2022-11-29T18:09:00.000Z,"The Biden admin is really good at making really bad policy.
 
More duplicative red tape will do nothing to keep our air and water clean.

https://t.co/b0GPVb3Xhv",False,1597653869814640642,5,13,13,0
RepArmstrongND,Congressman Kelly Armstrong,1597636102864924674,1080515866255593472,en,1597636102864924674,2022-11-29T16:58:24.000Z,"RT @NDNationalGuard: 16 years ago today, Cpl. Christopher Kleinwachter gave his life for his country. He was killed in action in Afghanista…",False,1597636102864924674,1,0,0,0
RepArmstrongND,Congressman Kelly Armstrong,1597250588106194946,1080515866255593472,en,1597250588106194946,2022-11-28T15:26:30.000Z,Both these teams have @NDSUfootball connections. Klieman coached the Bison from 2014-18 and won 4 championships in 5 years. Jim Wacker coached at NDSU from 1976-78. He was the head coach at TCU from 1983-91. https://t.co/zmDM8rflxd,False,1597250588106194946,0,1,1,0
RepArmstrongND,Congressman Kelly Armstrong,1596499513983877122,1080515866255593472,en,1596499513983877122,2022-11-26T13:42:00.000Z,"North Dakota has more than 75,000 small businesses. They do so much good for our communities.

#SmallBusinessSaturday is a great reminder to get out and support them. https://t.co/64dAC1SN5l",False,1596499513983877122,15,16,16,1
RepArmstrongND,Congressman Kelly Armstrong,1595764420323545091,1080515866255593472,en,1595764420323545091,2022-11-24T13:01:00.000Z,"From the Armstrong family to yours, Happy Thanksgiving. https://t.co/c4fP7LSAIf",False,1595764420323545091,2,5,5,0
RepArmstrongND,Congressman Kelly Armstrong,1595568748886368256,1080515866255593472,en,1595568748886368256,2022-11-24T00:03:28.000Z,RT @GOPLeader: RT if you are thankful for our brave Border Patrol personnel! 🇺🇸 https://t.co/2RXp6FflcA,False,1595568748886368256,3444,0,0,0
RepArmstrongND,Congressman Kelly Armstrong,1595196871655526400,1080515866255593472,en,1595196871655526400,2022-11-22T23:25:46.000Z,This is what being a North Dakotan and an American is all about. We are grateful for their service. https://t.co/MuvB3hgFGV,False,1595196871655526400,1,2,2,0
RepArmstrongND,Congressman Kelly Armstrong,1593984302202617858,1080515866255593472,en,1593984302202617858,2022-11-19T15:07:27.000Z,"RT @SenKevinCramer: Adopting my son has been one of the greatest joys in my life. 

On #NationalAdoptionDay, we raise awareness of the thou…",False,1593984302202617858,22,0,0,0
RepArmstrongND,Congressman Kelly Armstrong,1593982680240103430,1080515866255593472,en,1593982680240103430,2022-11-19T15:01:00.000Z,Military families make tremendous sacrifices for our country. We owe them a debt of gratitude for their dedication and service. https://t.co/NwVeV4X8RQ,False,1593982680240103430,2,7,7,0
RepArmstrongND,Congressman Kelly Armstrong,1593618792659107841,1080515866255593472,en,1593618792659107841,2022-11-18T14:55:02.000Z,I am so thankful and proud to have gotten to know Justice VandeWalle during the course of my legal and political career. He has a record that will never be matched. He is an absolute legend. Congratulations on a well earned retirement my friend. https://t.co/5AMgxmLAhc,False,1593618792659107841,3,4,4,0
