handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepArrington,Rep. Jodey Arrington,1601281382042697729,816284664658874368,en,1601281382042697729,2022-12-09T18:23:26.000Z,RT @thehill: Texas House Republicans release border security plan https://t.co/jbZf2n1z1n https://t.co/r27jVcBVT9,False,1601281382042697729,15,0,0,0
RepArrington,Rep. Jodey Arrington,1601281020069715968,816284664658874368,en,1601281020069715968,2022-12-09T18:22:00.000Z,"RT @rollcall: House Republicans outlined several border security initiatives they plan to pursue, including completing construction of the…",False,1601281020069715968,3,0,0,0
RepArrington,Rep. Jodey Arrington,1601280587305582592,816284664658874368,en,1601280587305582592,2022-12-09T18:20:17.000Z,"RT @dcexaminer: Texas Republicans vow to secure southern border 'once and for all' come January
https://t.co/2JfecuK3hJ",False,1601280587305582592,8,0,0,0
RepArrington,Rep. Jodey Arrington,1600967120635822081,816284664658874368,en,1600967120635822081,2022-12-08T21:34:40.000Z,"I am proud that this NDAA not only gave our troops the resources necessary to be safe and successful, but repealed Biden’s disastrous vaccine mandate — an irresponsible policy that ruined many careers and caused us to lose some of our best warriors. https://t.co/fCBBJDAZlI",False,1600967120635822081,1,2,2,2
RepArrington,Rep. Jodey Arrington,1600904410024099840,816284664658874368,en,1600904410024099840,2022-12-08T17:25:29.000Z,"RT @NumbersUSA: A Commitment to Secure the Border: A Framework by Texans for Texas

""Texans are in imminent danger, and Texas leadership is…",False,1600904410024099840,8,0,0,0
RepArrington,Rep. Jodey Arrington,1600904144872964097,816284664658874368,en,1600904144872964097,2022-12-08T17:24:26.000Z,RT @RepEllzey: This morning I joined my fellow Republicans in calling for Congress to declare the cartels a clear and present danger to the…,False,1600904144872964097,1,0,0,0
RepArrington,Rep. Jodey Arrington,1600904075951734784,816284664658874368,en,1600904075951734784,2022-12-08T17:24:09.000Z,"RT @cspan: WATCH: @RepChipRoy, @RepArrington and others News Conference on Border Security Plan https://t.co/bW6NNlgi8L",False,1600904075951734784,6,0,0,0
RepArrington,Rep. Jodey Arrington,1600903264736018432,816284664658874368,en,1600903264736018432,2022-12-08T17:20:56.000Z,"The Texas Delegation must lead the way in using every tool and authority to secure the border, defend our sovereignty, and protect our citizens — and all Americans — from Biden’s unprecedented open border crisis. https://t.co/0H12oT55p9",False,1600903264736018432,0,2,2,0
RepArrington,Rep. Jodey Arrington,1600900997861154823,816284664658874368,en,1600900997861154823,2022-12-08T17:11:55.000Z,Honored to lead the Texas delegation in unveiling the Texas GOP border security plan for the 118th Congress. My full remarks below. https://t.co/8PR2uPPtuo,False,1600900997861154823,0,2,2,0
RepArrington,Rep. Jodey Arrington,1600849493997416448,816284664658874368,en,1600849493997416448,2022-12-08T13:47:16.000Z,"No one understands or appreciates the widespread social and economic costs of Biden’s Border Crisis like the people of Texas.

Tune in live at 9am ET for the unveiling of the Texas GOP border plan. https://t.co/kaWPjpgXXA",False,1600849493997416448,22,9,9,5
