handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepAuchincloss,Rep. Jake Auchincloss,1600948347921043457,1330278736554582016,en,1600948347921043457,2022-12-08T20:20:04.000Z,Our military should be doing 10% more with 10% less. https://t.co/S8cSqqpb6V,False,1600948347921043457,5,10,10,12
RepAuchincloss,Rep. Jake Auchincloss,1600890106402852866,1330278736554582016,en,1600890106402852866,2022-12-08T16:28:39.000Z,Hanging with Barney Frank on the House floor as this veteran of the DOMA battles celebrates the codification of marriage equality. It’s an honor to celebrate with a trailblazing predecessor. https://t.co/v9oiBXyJja,False,1600890106402852866,44,11,11,8
RepAuchincloss,Rep. Jake Auchincloss,1600514178753523712,1330278736554582016,en,1600514178753523712,2022-12-07T15:34:50.000Z,"Today, offshore wind development in Massachusetts won. https://t.co/YUiRo7jSVd",False,1600514178753523712,6,4,4,0
RepAuchincloss,Rep. Jake Auchincloss,1598761908374732800,1330278736554582016,en,1598761908374732800,2022-12-02T19:31:57.000Z,"Today, I met with the Director of the ATF division of the Justice Department with fellow task force members to discuss the concerning rise of ghost guns. 

I am committed to ensuring illegal guns stay off the streets and out of the hands of dangerous individuals. https://t.co/o4ho1bAqa3",False,1598761908374732800,2,15,15,1
RepAuchincloss,Rep. Jake Auchincloss,1598035020962181120,1330278736554582016,en,1598035020962181120,2022-11-30T19:23:33.000Z,"Looking forward to working with the next generation of Dem leadership, and excited to have my friend and neighbor @RepKClark whipping votes https://t.co/Z4aAWHXsLG",False,1598035020962181120,4,4,4,0
RepAuchincloss,Rep. Jake Auchincloss,1597973663982432257,1330278736554582016,und,1597973663982432257,2022-11-30T15:19:45.000Z,My 2022 #SpotifyWrapped https://t.co/ag7N9bNVsv,False,1597973663982432257,4,8,8,2
RepAuchincloss,Rep. Jake Auchincloss,1597646582983589888,1330278736554582016,en,1597646582983589888,2022-11-29T17:40:02.000Z,"Xi Jinping’s zero-Covid policy is a catastrophe, both for public health and for Chinese society, children in particular. The CCP should listen to the brave protesters and follow the science, not the megalomania of one man.",False,1597646582983589888,46,17,17,3
RepAuchincloss,Rep. Jake Auchincloss,1596594272442073088,1330278736554582016,en,1596594272442073088,2022-11-26T19:58:32.000Z,Happy #SmallBusinessSaturday. Teddy was a happy customer holiday shopping for @ToysForTots_USA at Henry’s Bear Park in Newtonville. https://t.co/M8enIqAsxY,False,1596594272442073088,2,9,9,0
RepAuchincloss,Rep. Jake Auchincloss,1596539605872160768,1330278736554582016,en,1596539605872160768,2022-11-26T16:21:18.000Z,RT @katiephangshow: “We can’t afford to do nothing for 2 years while Kevin McCarthy engages in showmanship &amp; political theater for the deli…,False,1596539605872160768,74,0,0,0
RepAuchincloss,Rep. Jake Auchincloss,1595835236549644289,1330278736554582016,en,1595835236549644289,2022-11-24T17:42:24.000Z,Happy Thanksgiving from my office and me. I hope your holiday is spent with loved ones. https://t.co/7jlE8JEXCa,False,1595835236549644289,4,6,6,1
