handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBarragan,Nanette D. Barragán,1601277642694459392,816833925456789505,en,1601277642694459392,2022-12-09T18:08:34.000Z,"Today’s report by @OversightDems tells us what we knew all along – oil companies can’t be trusted. They don’t want a speedy and just transition to clean energy. Simply put, they put profits over people. 
 
We will not back down.  We must act on climate now.  No time to wait. https://t.co/NGJmN4Mtjb",False,1601277642694459392,16,1,1,0
RepBarragan,Nanette D. Barragán,1600985149784879105,816833925456789505,en,1600985149784879105,2022-12-08T22:46:19.000Z,"All workers need a fair wage, healthcare, &amp; time off. 

@GoodAirports employees work tirelessly to support our economy &amp; safely connect us to our families, esp. during the holidays. 

Proud to cosponsor the #GoodAirports Act to provide stable wages &amp; benefits for these workers! https://t.co/Xr8GZV4hSk",False,1600985149784879105,4,0,0,0
RepBarragan,Nanette D. Barragán,1600977342645817345,816833925456789505,en,1600977342645817345,2022-12-08T22:15:17.000Z,RT @KarenWFeinstein: Today is a momentous day. I’ve worked on reducing #medicalerror for more than 2 decades. I’m thrilled to share that bi…,False,1600977342645817345,6,0,0,0
RepBarragan,Nanette D. Barragán,1600953922558259200,816833925456789505,en,1600953922558259200,2022-12-08T20:42:14.000Z,"On average, a Latina earns 54 cents for every dollar a white, non-Hispanic male earns. Our contributions to society are undervalued.

Proud to introduce Latina Equal Pay Day resolution w. @RepTeresaLF today. It's time we close the wage gap once and for all. ¡Ya es hora! https://t.co/sqr1eSY1fl",False,1600953922558259200,16,3,3,0
RepBarragan,Nanette D. Barragán,1600892376477995008,816833925456789505,en,1600892376477995008,2022-12-08T16:37:40.000Z,"When SCOTUS overturned Roe v Wade, Democrats promised the American people we would protect the Constitutional right to marriage equality under federal law.
 
Today, we upheld that promise. The Respect for Marriage Act now heads to @POTUS to become law.
 
Love is love 🏳️‍🌈 https://t.co/Bk5GjnZW1X",False,1600892376477995008,9,2,2,0
RepBarragan,Nanette D. Barragán,1600871385169027074,816833925456789505,en,1600871385169027074,2022-12-08T15:14:15.000Z,"Thank you @POTUS Biden. 

This is what leadership looks like. https://t.co/FARjE6nyf1",False,1600871385169027074,3,1,1,0
RepBarragan,Nanette D. Barragán,1600665926650798080,816833925456789505,en,1600665926650798080,2022-12-08T01:37:50.000Z,"👏🏽👏🏽👏🏽👏🏽

The US is made up of people from all backgrounds, languages, and cultures. Immigrants make our country great.

Leaving your home country is never easy. From one member of an immigrant family to another, welcome to your new home! https://t.co/LrJwSamvQD",False,1600665926650798080,8,3,3,0
RepBarragan,Nanette D. Barragán,1600629150116626433,816833925456789505,en,1600629150116626433,2022-12-07T23:11:42.000Z,"Today, @RepFredKeller and I introduced a resolution to highlight the important role Interscholastic Athletic Administrators play in helping students excel. 

Proud to support the contributions of the @NIAAA9100 and celebrate the benefits of high-school sports for our students. https://t.co/vTjf2tPXSN",False,1600629150116626433,1,0,0,0
RepBarragan,Nanette D. Barragán,1600580913749966857,816833925456789505,en,1600580913749966857,2022-12-07T20:00:01.000Z,"81 years ago today, our country's history was changed forever. 

Today we reflect on the 2,403 service members who lost their lives at #PearlHarbor and honor those who served in WWII. 

To our Veterans and their families, thank you for your service &amp; sacrifice. https://t.co/Df9FWrnj9W",False,1600580913749966857,4,0,0,0
RepBarragan,Nanette D. Barragán,1600565813601255430,816833925456789505,en,1600565813601255430,2022-12-07T19:00:01.000Z,"Glad to see California leading the way &amp; taking action to hold big oil accountable.

@CAgovernor’s price gouging penalty will penalize oil companies for hiking prices to pad their pockets, and help keep prices down at the pump for Californians. https://t.co/L9cc8HoFk4",False,1600565813601255430,3,1,1,0
RepBarragan,Nanette D. Barragán,1600550712445845504,816833925456789505,en,1600550712445845504,2022-12-07T18:00:01.000Z,"If the U.S. Military can recruit noncitizens, they should be able to call the country they fought for home. This bill makes a promise to all immigrant active service members and Veterans: America is your home.

Thanks @RepMarkTakano for leading the #VeteranServiceRecognitionAct https://t.co/I47pttC9Ho",False,1600550712445845504,16,1,1,0
RepBarragan,Nanette D. Barragán,1600535610992771073,816833925456789505,en,1600535610992771073,2022-12-07T17:00:00.000Z,"🗣️Attention #CA44: COVID cases are on the rise in LA County. 

For the most protection, make sure you are up-to-date with your vaccinations, wear a mask, and stay home when sick. 

COVID-19 vaccines and boosters are available for free! More info here: https://t.co/tYHth5EUrc https://t.co/cWGgB9lau9",False,1600535610992771073,1,1,1,2
RepBarragan,Nanette D. Barragán,1600326384181661696,816833925456789505,en,1600326384181661696,2022-12-07T03:08:37.000Z,"Thank you @RepTeresaLF for leading this effort to recognize the incredible contributions that #DREAMERS have made to this country.


The Senate MUST take up and pass The American Dream and Promise Act so kids like Hugo can stay in the only home they’ve ever known. #HomeIsHere https://t.co/6bSJDOupXm",False,1600326384181661696,5,0,0,0
RepBarragan,Nanette D. Barragán,1600233302257827840,816833925456789505,en,1600233302257827840,2022-12-06T20:58:44.000Z,"Advocacy works! Great result for our communities. It’s time to end oil drilling in residential neighborhoods. 

Proud to work with @STAND_LA and @CBECal for frontline communities. https://t.co/NDCVGRXMaM",False,1600233302257827840,6,3,3,0
RepBarragan,Nanette D. Barragán,1599964101127438337,816833925456789505,en,1599964101127438337,2022-12-06T03:09:02.000Z,RT @JoaquinCastrotx: Thank you @AliciaMenendez for highlighting the music by Latino artists that we (@HispanicCaucus and I) nominated to th…,False,1599964101127438337,33,0,0,0
