handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBarryMoore,Rep. Barry Moore,1601260349726265344,1339006078688825344,en,1601260349726265344,2022-12-09T16:59:52.000Z,RT @HouseVetAffairs: Great to be with @MissionRollCall yesterday to sign and send holiday cards to veterans who will be spending this Chris…,False,1601260349726265344,6,0,0,0
RepBarryMoore,Rep. Barry Moore,1600907018671312898,1339006078688825344,en,1600907018671312898,2022-12-08T17:35:51.000Z,The “Respect for Marriage Act” is a gift to radical progressive activists and a politicized DOJ who are hostile to Americans who hold faith in anything other than a benevolent big government. See my full statement below: https://t.co/tSwsWqz8Tn,False,1600907018671312898,4,11,11,5
RepBarryMoore,Rep. Barry Moore,1600572913077608448,1339006078688825344,en,1600572913077608448,2022-12-07T19:28:14.000Z,Ukraine is a young nation with rampant political corruption. With so many problems here at home - including historic inflation fueled by gov't spending &amp; a border crisis being ignored by Washington - don't the American people deserve to know how Kyiv is (mis)spending their money? https://t.co/uyhWuUh1ph,False,1600572913077608448,326,265,265,20
RepBarryMoore,Rep. Barry Moore,1600553688724115456,1339006078688825344,en,1600553688724115456,2022-12-07T18:11:50.000Z,God bless our law enforcement at the border. They face danger every day despite Washington not having their backs. Prayers lifted for this agent and his family. https://t.co/c4xay2Tvmp,False,1600553688724115456,0,1,1,0
RepBarryMoore,Rep. Barry Moore,1600521311071125506,1339006078688825344,en,1600521311071125506,2022-12-07T16:03:11.000Z,"Today, on this date which will live in infamy, we honor the brave men and women who perished 81 years ago during the attack on Pearl Harbor. Their service and sacrifice will never be forgotten. https://t.co/UwSetxP9RN",False,1600521311071125506,5,6,6,0
RepBarryMoore,Rep. Barry Moore,1600203423940370434,1339006078688825344,en,1600203423940370434,2022-12-06T19:00:01.000Z,"If they could, every single drug trafficker south of the border would vote for Joe Biden for president. That is why my colleagues and I will not vote for a spending package unless he takes necessary steps to improve our border security. https://t.co/eRBVT6VyXe",False,1600203423940370434,5,8,8,0
RepBarryMoore,Rep. Barry Moore,1600158025087868929,1339006078688825344,en,1600158025087868929,2022-12-06T15:59:37.000Z,"RT @HouseVetAffairs: While VA, HUD, other agencies, and hundreds of government and non-profit partners have made great strides in reducing…",False,1600158025087868929,2,0,0,0
RepBarryMoore,Rep. Barry Moore,1599839410123440129,1339006078688825344,en,1599839410123440129,2022-12-05T18:53:33.000Z,"Parents deserve a say in their children's education. No ideological cabal plotting to undermine parents - or use them as puppets to covertly push subversive schemes - can be allowed to guide Dept. of Education policy.

This is a great day for students and parents! https://t.co/pyI6q7kKEb",False,1599839410123440129,18,2,2,1
RepBarryMoore,Rep. Barry Moore,1599569247897788421,1339006078688825344,en,1599569247897788421,2022-12-05T01:00:01.000Z,"Do you need assistance with a federal agency? This month, my staff will be hosting mobile office hours in several counties! https://t.co/MUVDqkZnig",False,1599569247897788421,2,8,8,0
RepBarryMoore,Rep. Barry Moore,1599201148543463425,1339006078688825344,en,1599201148543463425,2022-12-04T00:37:20.000Z,Congratulations to Coach Sumrall and @TroyTrojansFB on their 45-26 victory over the Coastal Carolina Chanticleers in the Sun Belt Football Championship! https://t.co/ZnRmHTg3FZ,False,1599201148543463425,3,1,1,0
