handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBethVanDuyne,Congresswoman Beth Van Duyne,1605325556039426051,1339633259349745670,en,1605325556039426051,2022-12-20T22:13:32.000Z,"Today, I introduced the Higher Standards for Higher Education Act. Read more here⬇️ https://t.co/jECO9XoThE",False,1605325556039426051,10,18,18,1
RepBethVanDuyne,Congresswoman Beth Van Duyne,1605249029306257415,1339633259349745670,en,1605249029306257415,2022-12-20T17:09:27.000Z,Our Hometown Hero this week is Marisol Vazquez at the International Leadership School of Texas K-8 School in Grand Prairie. https://t.co/6c5rNg6Hjx,False,1605249029306257415,9,1,1,0
RepBethVanDuyne,Congresswoman Beth Van Duyne,1604489372308766720,1339633259349745670,en,1604489372308766720,2022-12-18T14:50:50.000Z,"Families should not have to choose between feeding their family, driving to work, or paying a utility bill. 

Bidenflation is a tax on ALL Americans.",False,1604489372308766720,43,66,66,7
RepBethVanDuyne,Congresswoman Beth Van Duyne,1604175221623296003,1339633259349745670,en,1604175221623296003,2022-12-17T18:02:31.000Z,"RT @JonathanTurley: Previously, media figures denied censorship was occurring. When such censorship became obvious, they denied that there…",False,1604175221623296003,4046,0,0,0
RepBethVanDuyne,Congresswoman Beth Van Duyne,1604172326572261376,1339633259349745670,en,1604172326572261376,2022-12-17T17:51:01.000Z,"This is the appalling reality of Bidenflation. 

https://t.co/kCjmAwPZ4H",False,1604172326572261376,11,32,32,1
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603847616856465408,1339633259349745670,en,1603847616856465408,2022-12-16T20:20:44.000Z,Be sure to tune in to @FoxBusiness tonight at 5:15 pm CST! I’ll be joining @LizMacDonaldFOX to talk about the crisis at our southern border.,False,1603847616856465408,4,10,10,1
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603829389287882761,1339633259349745670,en,1603829389287882761,2022-12-16T19:08:18.000Z,"RT @CBSDFW: If you're in need of food assistance this holiday season, the Tarrant Area Food Bank and other local nonprofits are extending a…",False,1603829389287882761,5,0,0,0
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603761467790184448,1339633259349745670,en,1603761467790184448,2022-12-16T14:38:25.000Z,"Our Hometown Hero this week is Susie Murray, a school nurse at Ursuline Academy of Dallas, who has gone above and beyond to keep the students, faculty, and staff of Ursuline Academy safe. https://t.co/ifhvDt9OcK",False,1603761467790184448,5,4,4,3
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603510416826564608,1339633259349745670,en,1603510416826564608,2022-12-15T22:00:49.000Z,"Far Left cities, proud sanctuary cities, are now complaining about waning community resources in the face of only a FRACTION of the illegal immigrants that our border communities face every single day.

https://t.co/24ZcGChOE9",False,1603510416826564608,12,8,8,1
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603419112885166081,1339633259349745670,en,1603419112885166081,2022-12-15T15:58:01.000Z,RT @TexasAFP: Thank you @RepBethVanDuyne for being a Pioneer for Prosperity! We are so grateful to have you as a principled policy champion…,False,1603419112885166081,4,0,0,0
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603395369500434433,1339633259349745670,en,1603395369500434433,2022-12-15T14:23:40.000Z,"A record number of Americans are making the painful decision to tap retirement savings to afford Bidenflation. The Republican run House will work every day to reverse this damage.

https://t.co/HZWxcUXmgx",False,1603395369500434433,15,44,44,2
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603153305387008004,1339633259349745670,en,1603153305387008004,2022-12-14T22:21:47.000Z,"Home heating oil prices are expected to rise as much as 45% since last winter.

RT to support more American energy production and U.S. energy independence!

https://t.co/CJE73Z15HZ",False,1603153305387008004,12,7,7,0
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603113458840571907,1339633259349745670,en,1603113458840571907,2022-12-14T19:43:27.000Z,"Even the most liberal states are now coming to their senses. The cost of mass illegal immigration is staggering and it is being felt in communities across America. 

Enforce our laws. Secure the border. Crush the cartels.

https://t.co/19sVYSuklO",False,1603113458840571907,9,11,11,1
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603113153625300996,1339633259349745670,en,1603113153625300996,2022-12-14T19:42:14.000Z,"@POTUS, when you took office, CPI was 1.4% before skyrocketing to a 40-year high of now 7.1% ahead of the holiday season. 

Every American has already FELT the impact of your “economic strategy”. https://t.co/Icml1gOeV6",False,1603113153625300996,10,19,19,0
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603085683043827722,1339633259349745670,en,1603085683043827722,2022-12-14T17:53:05.000Z,"This morning, I received @AFPhq “Pioneer for Prosperity” Award, given to members who have demonstrated leadership and opposed reckless spending bills this Congress.

We will continue our work to cut reckless spending and get our economy back on track as we take back the House. https://t.co/KC6f6Jajsk",False,1603085683043827722,10,9,9,2
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603068808184606720,1339633259349745670,en,1603068808184606720,2022-12-14T16:46:02.000Z,"@POTUS, when you took office, CPI was 1.4% before skyrocketing to a 40-year high of now 7.1% ahead of the holiday season. 

Every American has already FELT the impact of your “economic strategy”. https://t.co/f7dbIsZFdJ",False,1603068808184606720,0,1,1,0
RepBethVanDuyne,Congresswoman Beth Van Duyne,1603056705838907393,1339633259349745670,en,1603056705838907393,2022-12-14T15:57:56.000Z,"@POTUS, when you took office, CPI was 1.4% before skyrocketing to a 40-year high of now 7.1% ahead of the holiday season. 

Every American has already FELT the impact of your “economic strategy”. https://t.co/f7dbIsZ7ob",False,1603056705838907393,1,2,2,0
RepBethVanDuyne,Congresswoman Beth Van Duyne,1602847862676754432,1339633259349745670,en,1602847862676754432,2022-12-14T02:08:04.000Z,"RT @NEWSMAX: .@RepBethVanDuyne defends @RealBenCarson: ""He is exactly the opposite of divisive... he is the American dream. For them to pul…",False,1602847862676754432,84,0,0,0
