handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBlaine,Blaine Luetkemeyer,1601303527694835713,1849261916,en,1601303527694835713,2022-12-09T19:51:26.000Z,"The cost of education is a serious issue that’s going to take serious solutions. 

Instead of focusing on the so-called “Inflation Reduction Act” &amp; duping Americans, the White House should focus on policies that will actually benefit students &amp; borrowers.https://t.co/Cc8hqON61h",False,1601303527694835713,1,13,13,0
RepBlaine,Blaine Luetkemeyer,1601231483494014976,1849261916,en,1601231483494014976,2022-12-09T15:05:09.000Z,RT @HSBCgop: Ranking Member @RepBlaine penned a letter to the GAO requesting a full audit of federal agencies’ implementation of regulatory…,False,1601231483494014976,1,0,0,0
RepBlaine,Blaine Luetkemeyer,1601225360934199296,1849261916,en,1601225360934199296,2022-12-09T14:40:50.000Z,"RT @HSBCgop: READ: “House Republicans try to ensure proliferating Biden regulations are not destroying small businesses”

Biden Admin’s fai…",False,1601225360934199296,52,0,0,0
RepBlaine,Blaine Luetkemeyer,1600937427836674049,1849261916,en,1600937427836674049,2022-12-08T19:36:41.000Z,"""One provision I'm especially proud of is the end of a DoD vaccine mandate for active duty, reserve, &amp; national guard personnel that inexplicably ended the careers of servicemembers who chose to make their own medical decisions.”

My full NDAA statement⬇️https://t.co/YwksaFZuLU",False,1600937427836674049,1,11,11,1
RepBlaine,Blaine Luetkemeyer,1600561438187171840,1849261916,en,1600561438187171840,2022-12-07T18:42:38.000Z,"Today marks the 81st Anniversary of the attacks on #PearlHarbor – a “date which will live in infamy” in our nation’s history forever. 

Please join me in honoring the memories of the 2,403 American lives lost that day and the bravery of the veterans who served. https://t.co/5oG4lBnpsV",False,1600561438187171840,1,6,6,0
RepBlaine,Blaine Luetkemeyer,1600143551949479937,1849261916,en,1600143551949479937,2022-12-06T15:02:06.000Z,"As the Representative of such a strong agricultural district, fighting for Missouri farmers is always a top priority for me. 

Very proud to receive the Friend of the Farm Bureau award from @MOFarmBureau! https://t.co/ezC1KP3i3U",False,1600143551949479937,0,3,3,0
RepBlaine,Blaine Luetkemeyer,1598723674642726917,1849261916,en,1598723674642726917,2022-12-02T17:00:01.000Z,"Proud to have these Missourians representing our country on the world stage! 

Join me in cheering them on against Netherlands tomorrow at 9:00am CT #USMNT https://t.co/1gRVEU4aKX",False,1598723674642726917,0,7,7,0
RepBlaine,Blaine Luetkemeyer,1598704794868232192,1849261916,en,1598704794868232192,2022-12-02T15:45:00.000Z,"Particularly this year, keeping the heat on &amp; food on the table take priority. For some families that might not leave enough to buy presents for their children to open on Christmas morning. 

That's where wonderful organizations like Toys for Tots come in.
https://t.co/ODWldDeG7I",False,1598704794868232192,1,3,3,0
RepBlaine,Blaine Luetkemeyer,1598416975600193538,1849261916,en,1598416975600193538,2022-12-01T20:41:18.000Z,"While our country suffers through this historic inflation, the Fed and the Administration continue to contradict each other.
 
Former CBO Director: “There’s nothing about what the Administration has done that is aiding and abetting the Fed’s efforts to fight inflation.” https://t.co/big0rqX8Nw",False,1598416975600193538,0,5,5,0
RepBlaine,Blaine Luetkemeyer,1598371421419294720,1849261916,en,1598371421419294720,2022-12-01T17:40:17.000Z,".@SecYellen this has got to be a joke.

American families couldn’t splurge if they wanted to thanks to the historic inflation your policies have caused. https://t.co/qSlGuQdO6z",False,1598371421419294720,58,79,79,8
