handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBlakeMoore,Congressman Blake Moore,1600976505978630145,1337452596093587462,en,1600976505978630145,2022-12-08T22:11:58.000Z,"Learn more here:

https://t.co/rfiFBcjokx",False,1600976504522825728,0,1,1,0
RepBlakeMoore,Congressman Blake Moore,1600976504522825728,1337452596093587462,en,1600976504522825728,2022-12-08T22:11:58.000Z,"My LODGE Act, introduced with @RepJimmyPanetta, passed the House Natural Resources Committee! This will bring relief to the housing markets for @natlparkservice employees around our gateway communities and provide NPS employees better living and working conditions. #utpol",False,1600976504522825728,2,6,6,0
RepBlakeMoore,Congressman Blake Moore,1600974065820635136,1337452596093587462,en,1600974065820635136,2022-12-08T22:02:16.000Z,"I was thrilled to vote for the NDAA. This bipartisan bill is the culmination of the hard work of my team, colleagues, and the Armed Services Committee as we continue the tradition of overcoming partisan divides to put forth a bill that supports military members &amp; their families. https://t.co/A6EiLBv11r",False,1600974065820635136,3,5,5,0
RepBlakeMoore,Congressman Blake Moore,1600213843048685568,1337452596093587462,en,1600213843048685568,2022-12-06T19:41:25.000Z,Jane and I had a great time at the White House Congressional Ball! ✨ #utpol https://t.co/qNLVbKinEH,False,1600213843048685568,0,4,4,1
RepBlakeMoore,Congressman Blake Moore,1598797509287100416,1337452596093587462,en,1598797509287100416,2022-12-02T21:53:25.000Z,"I love talking to students about government and my role in Congress, and this week I got to engage with Utah high schoolers right here in the Capitol! They asked great questions, and I thank @CloseUp_DC for organizing our time together. #utpol https://t.co/I4S1MFf8PT",False,1598797509287100416,3,4,4,0
RepBlakeMoore,Congressman Blake Moore,1598794337923567616,1337452596093587462,en,1598794337923567616,2022-12-02T21:40:48.000Z,RT @slcmayor: A bright light in our community was tragically lost yesterday. If you're driving in our neighborhoods remember: Kids play her…,False,1598794337923567616,17,0,0,0
RepBlakeMoore,Congressman Blake Moore,1598432875837267992,1337452596093587462,en,1598432875837267992,2022-12-01T21:44:29.000Z,"Because this version differs slightly from my bill that passed the House in July, I look forward to working tirelessly to advance it through the House.",False,1598432874415390721,0,2,2,0
RepBlakeMoore,Congressman Blake Moore,1598432874415390721,1337452596093587462,en,1598432874415390721,2022-12-01T21:44:29.000Z,"I'm thrilled the Senate passed my bill w/ @SenatorRomney, the Saline Lake Ecosystems in the Great Basin States Program Act. The GSL &amp; other saline lakes are critical to our environment &amp; industries. We must preserve these resources &amp; I'm grateful the Senate supported our efforts. https://t.co/2HUZpPJTBW",False,1598432874415390721,1,7,7,0
RepBlakeMoore,Congressman Blake Moore,1598427151413305344,1337452596093587462,en,1598427151413305344,2022-12-01T21:21:44.000Z,Last night we kicked off the Christmas season at the Washington DC Temple’s Festival of Lights event! It was great to catch up with folks and hear from Mr. Bill Marriott and @CookQuentinL 🎄#utpol https://t.co/HpvG3dmPE3,False,1598427151413305344,0,1,1,0
RepBlakeMoore,Congressman Blake Moore,1598142749936881666,1337452596093587462,en,1598142749936881666,2022-12-01T02:31:38.000Z,RT @SenatorRomney: Good news→ My bipartisan bill with @RepBlakeMoore and @SenJeffMerkley to help address declining water levels in the Grea…,False,1598142749936881666,34,0,0,0
