handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBobGibbs,Rep. Bob Gibbs,1593613642993475584,234822928,en,1593613642993475584,2022-11-18T14:34:35.000Z,Ohio can help lead the United States back to energy independence. The Buckeye State has incredible resources and committed partners to make that happen while also protecting the environment. https://t.co/319xHHykW3,False,1593613642993475584,3,10,10,0
RepBobGibbs,Rep. Bob Gibbs,1584526936218693632,234822928,en,1584526936218693632,2022-10-24T12:47:15.000Z,"There were warning signs from day one. Concerned parents &amp; officials who wouldn't bend the knee to teachers unions spoke up. Democrats, career bureaucrats, &amp; the media ignored or mocked these concerns to placate teachers unions. They must be held accountable. https://t.co/OJ5EndVl4e",False,1584526936218693632,7,49,49,0
RepBobGibbs,Rep. Bob Gibbs,1580600814187315212,234822928,en,1580600814187315212,2022-10-13T16:46:14.000Z,"Remember Lois Lerner and the IRS targeting and harassing conservative issue advocacy groups? Don’t think they won’t use their 87,000 new agents to harass political opponents again.",False,1580600805622951941,2,23,23,0
RepBobGibbs,Rep. Bob Gibbs,1580600809124790279,234822928,en,1580600809124790279,2022-10-13T16:46:13.000Z,"Biden and Pelosi have spent us into a recession and will unleash 87,000 IRS agents on American families to pretend their overspending is “paid for”.",False,1580600805622951941,1,38,38,0
RepBobGibbs,Rep. Bob Gibbs,1580600805622951941,234822928,en,1580600805622951941,2022-10-13T16:46:12.000Z,"Inflation isn’t just worse than expected, it’s the worst it’s been in 40 years…AGAIN. These aren’t the kind of records the American people wanted the Biden admin to break. We literally cannot afford Biden’s tax and spend agenda. https://t.co/VwJxOc8UuC",False,1580600805622951941,6,23,23,1
RepBobGibbs,Rep. Bob Gibbs,1580255194050199553,234822928,en,1580255194050199553,2022-10-12T17:52:52.000Z,"America is the breadbasket of the world, feeding billions. The innovative spirit &amp; ingenuity of our agriculture industry make it possible for farmers to responsibly raise and grow the food we eat every day. It is an honor to fight for Ohio Ag in Congress. #ThankAFarmer https://t.co/xyg1hRjNRV",False,1580255194050199553,4,24,24,0
RepBobGibbs,Rep. Bob Gibbs,1576958822362787840,234822928,en,1576958822362787840,2022-10-03T15:34:16.000Z,"Bidenflation strikes again, and they’re going to make it worse with their bailouts and boondoggles. Americans literally cannot afford Biden’s overspending. https://t.co/p9ohMpBuu9",False,1576958822362787840,5,22,22,0
RepBobGibbs,Rep. Bob Gibbs,1572644864692715520,234822928,en,1572644864692715520,2022-09-21T17:52:08.000Z,"RT @GOPoversight: Joe Biden in 2019: “I have never spoken to my son about his overseas business dealings.”

Hunter in 2017: “please have ke…",False,1572644864692715520,202,0,0,0
RepBobGibbs,Rep. Bob Gibbs,1572579608649957378,234822928,en,1572579608649957378,2022-09-21T13:32:50.000Z,"Biden's student loan ""forgiveness"" scheme will only make higher ed *more* expensive. Students need to be well informed on the size, terms, and consequences of their loans. Universities should be counseling their students on such a major commitment. Happy to co-sponsor this bill. https://t.co/PiLWbGSgzk",False,1572579608649957378,5,43,43,1
RepBobGibbs,Rep. Bob Gibbs,1572237573489041408,234822928,en,1572237573489041408,2022-09-20T14:53:42.000Z,I've been fighting for the pro-life cause for two decades &amp; proud to co-sponsor @Rep_Clyde's bill to stop Biden's radical pro-abortion agenda. The unborn are the most vulnerable among us who need an advocate to speak up for &amp; defend them. https://t.co/5AHCMpYMKN,False,1572237573489041408,4,32,32,0
RepBobGibbs,Rep. Bob Gibbs,1570546540791623682,234822928,en,1570546540791623682,2022-09-15T22:54:09.000Z,"Progressives just LOVE open borders…until it impacts their communities. Border states like Texas have dealt with this every day for years, now liberals complain over just a few dozen. So much for being a sanctuary. Not in their back yard, apparently. #Hypocrites https://t.co/IytqwbRMoY",False,1570546540791623682,3,44,44,1
RepBobGibbs,Rep. Bob Gibbs,1570436849620901890,234822928,en,1570436849620901890,2022-09-15T15:38:16.000Z,"The $ Congress funded was to re-open schools safely &amp; address learning loss because of the pandemic. Instead, some states are using it to push Critical Race Theory and radical gender ideologies on children. I'm working w/ my @GOPoversight @EdLaborGOP colleagues to investigate. https://t.co/MIAaHTy97Y",False,1570436849620901890,2,19,19,0
RepBobGibbs,Rep. Bob Gibbs,1570136828786921472,234822928,en,1570136828786921472,2022-09-14T19:46:06.000Z,"Thank you @NFIB for this year’s #GuardianOfSmallBusiness award. Our economic strength is rooted in small businesses, &amp; we need tax and regulatory policies that foster their development and growth. I’m proud to support policies &amp; legislation that does just that. https://t.co/kdFgjnfLVd",False,1570136828786921472,2,38,38,0
RepBobGibbs,Rep. Bob Gibbs,1570062963763036160,234822928,en,1570062963763036160,2022-09-14T14:52:35.000Z,"Yesterday’s report on August inflation was another indicator that American families can’t afford Biden’s overspending &amp; rising prices. Compared to inflation, real wages are down. Consumer prices soar the more Biden spends, and the White House threw a party… https://t.co/0nZBhK36R2",False,1570062963763036160,1,34,34,0
RepBobGibbs,Rep. Bob Gibbs,1568649238208454656,234822928,en,1568649238208454656,2022-09-10T17:14:57.000Z,Catch me on @newsmax at 2PM today with @KILM3NY discussing the 21st anniversary of the 9/11 terror attacks and the state of our national security. https://t.co/d5h0zDVd11,False,1568649238208454656,2,10,10,0
RepBobGibbs,Rep. Bob Gibbs,1568648862134329351,234822928,en,1568648862134329351,2022-09-10T17:13:27.000Z,"RT @GOPoversight: 🚨@RepBobGibbs, @RepJamesComer, &amp; Oversight Republicans raise concerns that @DHSgov is potentially using taxpayer dollars…",False,1568648862134329351,11,0,0,0
RepBobGibbs,Rep. Bob Gibbs,1567895031612145664,234822928,en,1567895031612145664,2022-09-08T15:18:00.000Z,"It's illegal for the US to import material made with Uyghur slave labor. If the Biden admin is intent on expanding solar capacity in the energy grid, the least we should do is not finance one of our biggest geopolitical rivals using slave labor. https://t.co/QCyJwhnrq4",False,1567895031612145664,15,25,25,1
RepBobGibbs,Rep. Bob Gibbs,1567880687306383366,234822928,en,1567880687306383366,2022-09-08T14:21:00.000Z,Biden's so-called green energy push is already a threat to grid reliability. Having to rely on Chinese slave labor to create and maintain solar projects makes it a humanitarian and national security problem. @GOPoversight https://t.co/QCyJwhnrq4,False,1567880687306383366,4,9,9,1
RepBobGibbs,Rep. Bob Gibbs,1567875597640105987,234822928,en,1567875597640105987,2022-09-08T14:00:46.000Z,"Using parts made by slave labor isn't only illegal, it helps finance a major geopolitical rival. We need to make sure these solar projects do not enrich Chinese companies profiting off slave labor. https://t.co/5EZSLvIFxP",False,1567875597640105987,5,3,3,2
RepBobGibbs,Rep. Bob Gibbs,1567874659852423171,234822928,en,1567874659852423171,2022-09-08T13:57:03.000Z,"China dominates the solar industry &amp; w/ Biden's efforts to weaken our grid w/ so-called green projects, we can't enrich Chinese co's using Uyghur slave labor. @RepJamesComer &amp; led @GOPoversight colleagues to ensure these projects don't break federal law. https://t.co/QCyJwhnrq4",False,1567874659852423171,8,3,3,1
RepBobGibbs,Rep. Bob Gibbs,1567142836092522498,234822928,en,1567142836092522498,2022-09-06T13:29:02.000Z,Zuckerberg's recent comments should set off alarm bells for the American people about career bureaucrats &amp; politicians using FBI to stifle critics &amp; censor political opponents. I joined @GOPoversight &amp; @JudiciaryGOP colleagues requesting @Meta hand over comms they had with FBI. https://t.co/fBfQ5sDDUu,False,1567142836092522498,24,9,9,0
RepBobGibbs,Rep. Bob Gibbs,1564979926004006914,234822928,en,1564979926004006914,2022-08-31T14:14:24.000Z,RT @GOPoversight: It’s clear we need answers about @USNatArchives role in the FBI raid and their coordination with the Department of Justic…,False,1564979926004006914,33,0,0,0
RepBobGibbs,Rep. Bob Gibbs,1563233124342910977,234822928,en,1563233124342910977,2022-08-26T18:33:14.000Z,"Last year, @SpeakerPelosi insisted @POTUS did not have the authority to unilaterally cancel any student loan debt. I joined @CongressmanHice &amp; nearly 100 of my colleagues to insist that she live up to her own words and hold Biden accountable! https://t.co/GbROeul2Jz",False,1563233124342910977,19,13,13,1
RepBobGibbs,Rep. Bob Gibbs,1562501701068017666,234822928,en,1562501701068017666,2022-08-24T18:06:50.000Z,Biden is making the ability to attain a valuable college education even more difficult. It is truly a boneheaded move and an insult to the millions of Americans who have been prudent and responsible with their debt obligations.,False,1562501694121861126,0,3,3,0
RepBobGibbs,Rep. Bob Gibbs,1562501699386101760,234822928,en,1562501699386101760,2022-08-24T18:06:49.000Z,"Finally, even if Biden’s actions were constitutional—which they are not—it does nothing to reform the way Americans pay for college. We are simply giving more money to higher ed institutions who now have even less incentive to offer an attractive product at a competitive price.",False,1562501694121861126,0,2,2,0
RepBobGibbs,Rep. Bob Gibbs,1562501697704165378,234822928,en,1562501697704165378,2022-08-24T18:06:49.000Z,"3) This is essentially a wealth transfer, forcing middle- &amp; working-class families who fulfilled their debt obligations—or didn’t go to college at all—to pay for college graduates who couldn't find a lucrative career after receiving degrees in nonsense fields like gender studies.",False,1562501694121861126,0,1,1,0
RepBobGibbs,Rep. Bob Gibbs,1562501696009277446,234822928,en,1562501696009277446,2022-08-24T18:06:48.000Z,"2) Adding another $300-plus billion in government overspending will feed into the inflation crisis, which is only due to get worse than it already is thanks to the Manchin-Biden Inflation Expansion Act.",False,1562501694121861126,0,1,1,0
RepBobGibbs,Rep. Bob Gibbs,1562501694121861126,234822928,en,1562501694121861126,2022-08-24T18:06:48.000Z,"Biden’s move to unilaterally cancel college student debts is fundamentally wrong for many reasons. 1) He clearly does not have the constitutional authority to cancel these debts, Congress does. Don’t wake my word for it, Nancy Pelosi said the exact same thing earlier this year.",False,1562501694121861126,6,2,2,0
RepBobGibbs,Rep. Bob Gibbs,1560277953116008452,234822928,en,1560277953116008452,2022-08-18T14:50:27.000Z,"Rather than rely on countries that wish the United States harm, we can become energy independent again. We can keep energy prices affordable AND empower Americans with high-paying oil and gas jobs. https://t.co/PmQtAXndVT",False,1560277953116008452,2,11,11,0
RepBobGibbs,Rep. Bob Gibbs,1557354091713527809,234822928,en,1557354091713527809,2022-08-10T13:12:04.000Z,The Biden-Manchin Inflation Expansion Act is just going to make these numbers worse. Working and middle class families will pay the price of Democrats’ overspending. https://t.co/d6CWqyU5QL,False,1557354091713527809,6,12,12,0
RepBobGibbs,Rep. Bob Gibbs,1557352179941376000,234822928,en,1557352179941376000,2022-08-10T13:04:28.000Z,How bad do things have to be for the media to celebrate EIGHT POINT FIVE PERCENT inflation as a good thing? Inflation is only going to get worse with the Biden-Manchin Inflation Expansion Act. https://t.co/2LEkx4UDKY,False,1557352179941376000,5,6,6,0
RepBobGibbs,Rep. Bob Gibbs,1557108641483849731,234822928,en,1557108641483849731,2022-08-09T20:56:44.000Z,"RT @OHElectricCoops: Thank you @RepBobGibbs for speaking at @OHElectricCoops summer conference today! We appreciate you, are thankful for y…",False,1557108641483849731,3,0,0,0
RepBobGibbs,Rep. Bob Gibbs,1557052950685650944,234822928,en,1557052950685650944,2022-08-09T17:15:26.000Z,Happy to speak to @OHElectricCoops this afternoon at their Summer Conference about the current challenges in the energy industry and the disaster of Biden’s tax-and-spend agenda. https://t.co/D3UphIoaVY,False,1557052950685650944,1,26,26,0
RepBobGibbs,Rep. Bob Gibbs,1556675908475490305,234822928,en,1556675908475490305,2022-08-08T16:17:12.000Z,"If I introduced the “Unicorn Procurement Act”, it would be as likely to procure unicorns as the “Inflation Reduction Act” is to reduce inflation.",False,1556675908475490305,4,11,11,2
