handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBobGood,Congressman Bob Good,1600594512576974855,1345536897838436353,en,1600594512576974855,2022-12-07T20:54:04.000Z,What has Kevin McCarthy done over the last 2 years to demonstrate he will challenge the status quo plaguing Washington and fight for the will of the American people as House Speaker? https://t.co/TXR9CMP9cC,False,1600594512576974855,18,99,99,8
RepBobGood,Congressman Bob Good,1600584753513627648,1345536897838436353,en,1600584753513627648,2022-12-07T20:15:17.000Z,"Today marks 81 years since the attack on Pearl Harbor. 

The American heroes who lost their lives on that day which will live in infamy will forever be remembered for their ultimate sacrifice to ensure freedom for all.",False,1600584753513627648,6,31,31,1
RepBobGood,Congressman Bob Good,1598399770875363343,1345536897838436353,en,1598399770875363343,2022-12-01T19:32:56.000Z,"Republicans---yes, Republicans---voted yesterday in our conference meeting 158-52 AGAINST banning earmarks. The silence from leadership is deafening. We cannot continue the status quo. We must have change! https://t.co/TLuxftovoc",False,1598399770875363343,22,39,39,4
RepBobGood,Congressman Bob Good,1598012325184741377,1345536897838436353,en,1598012325184741377,2022-11-30T17:53:22.000Z,Republicans should not provide any votes for the Biden railroad bill. Doing so gives Democrats the chance to amend the deal and make it worse.,False,1598012325184741377,14,124,124,9
RepBobGood,Congressman Bob Good,1597959808489254913,1345536897838436353,en,1597959808489254913,2022-11-30T14:24:41.000Z,"Republicans MUST not provide one more vote for one more cent for ANY spending which fails to end vaccine mandates, secure our Southern Border, and restore American energy independence.",False,1597959805968142337,11,18,18,0
RepBobGood,Congressman Bob Good,1597959805968142337,1345536897838436353,en,1597959805968142337,2022-11-30T14:24:41.000Z,"Democrats continue to infringe upon law-abiding-citizens’ right to defend themselves, undermine traditional marriage, and sacrifice the welfare of innocent children for their political agenda.https://t.co/rxCI1NrVEq",False,1597959805968142337,16,67,67,3
RepBobGood,Congressman Bob Good,1597440566631235584,1345536897838436353,en,1597440566631235584,2022-11-29T04:01:24.000Z,"It is with sadness that I would like to express my condolences to the McEachin family at the passing of my colleague, Rep. Donald McEachin. I am grateful for the kindness he showed me during the two years we served together. My prayers are with his family.",False,1597440566631235584,28,7,7,2
RepBobGood,Congressman Bob Good,1593601227396374529,1345536897838436353,en,1593601227396374529,2022-11-18T13:45:14.000Z,RT @NumbersUSA: Rep. Good has a career A+ immigration grade from @NumbersUSA. He is one of only 5 Members of Congress with a perfect career…,False,1593601227396374529,22,0,0,0
RepBobGood,Congressman Bob Good,1592963603212423168,1345536897838436353,en,1592963603212423168,2022-11-16T19:31:33.000Z,I NEVER said I would vote for a Democrat for Speaker. I NEVER will vote for a Democrat. Any suggestion to the contrary is blatantly dishonest. https://t.co/PmxJS2IybA,False,1592963603212423168,26,62,62,6
RepBobGood,Congressman Bob Good,1592310353345802240,1345536897838436353,en,1592310353345802240,2022-11-15T00:15:46.000Z,"RT @henryrodgersdc: I am told by a source in the room that there are at least 7 members with questions for McCarthy. Including, Chip Roy, B…",False,1592310353345802240,150,0,0,0
RepBobGood,Congressman Bob Good,1592278440493076481,1345536897838436353,en,1592278440493076481,2022-11-14T22:08:57.000Z,RT @NEWSMAX: Does Kevin McCarthy have the votes to be House Speaker in a potentially Republican-led House? Plus @HerschelWalker joins @sean…,False,1592278440493076481,20,0,0,0
RepBobGood,Congressman Bob Good,1592163106758995968,1345536897838436353,en,1592163106758995968,2022-11-14T14:30:40.000Z,"Please join me in prayer for the victims of this horrific tragedy, their families, and the entire University of Virginia community.",False,1592163106758995968,99,531,531,56
RepBobGood,Congressman Bob Good,1591156602387980295,1345536897838436353,en,1591156602387980295,2022-11-11T19:51:10.000Z,“Leader McCarthy had a two-year audition where he had the exclusive opportunity to earn 218 votes for Speaker. He doesn’t have them.” https://t.co/AABUrK2ZM9,False,1591156602387980295,141,66,66,21
RepBobGood,Congressman Bob Good,1591053235409735680,1345536897838436353,en,1591053235409735680,2022-11-11T13:00:26.000Z,Today we recognize that we are the home of the free because of the brave. I am pleased to have publicly honored over 150 Vietnam veterans in the 5th District for their service.,False,1591053235409735680,7,21,21,2
RepBobGood,Congressman Bob Good,1588158038652981248,1345536897838436353,en,1588158038652981248,2022-11-03T13:15:57.000Z,President Biden’s latest attempt to blame everyone else for inflation falls flat as he momentarily forgets what war Democrats are forcing American taxpayers to fund. It is time to put America first again! https://t.co/YMH5tLbkdc,False,1588158038652981248,12,61,61,3
RepBobGood,Congressman Bob Good,1584935306725244928,1345536897838436353,en,1584935306725244928,2022-10-25T15:49:58.000Z,"Virginia's worst in the nation decline in 4th grade math &amp; reading proficiency since 2017 proves Dem policies harmed children. I applaud @GovernorVA for his commitment to improve school accountability, empower parents, and prioritize student excellence.
https://t.co/rwl3ETT22o",False,1584935306725244928,9,42,42,1
