handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBobbyRush,Bobby L. Rush,1600875134180413442,305216911,en,1600875134180413442,2022-12-08T15:29:09.000Z,"RT @POTUS: Moments ago I spoke to Brittney Griner.
 
She is safe.
She is on a plane.
She is on her way home. https://t.co/FmHgfzrcDT",False,1600875134180413442,69398,0,0,0
RepBobbyRush,Bobby L. Rush,1598782461579825190,305216911,en,1598782461579825190,2022-12-02T20:53:37.000Z,"RT @SenatorDurbin: Today I joined @USDOT, @RepBobbyRush, @chicagosmayor, &amp; other community leaders to celebrate the $20M in federal RAISE g…",False,1598782461579825190,13,0,0,0
RepBobbyRush,Bobby L. Rush,1598454875888750593,305216911,en,1598454875888750593,2022-12-01T23:11:54.000Z,"RT @RepBeatty: Today, we honor the legendary trailblazer, #RosaParks for her bravery to spark a movement that changed America for the bette…",False,1598454875888750593,18,0,0,0
RepBobbyRush,Bobby L. Rush,1598021270742110208,305216911,en,1598021270742110208,2022-11-30T18:28:55.000Z,"As a former railroad worker myself, I am deeply concerned for railroad employees. That’s why I voted for both of @SpeakerPelosi’s bills that would keep the country’s rail lines running &amp; grant workers the personal time off they deserve. 

I urge the Senate to pass both bills.",False,1598021270742110208,11,18,18,2
RepBobbyRush,Bobby L. Rush,1597666392295485440,305216911,en,1597666392295485440,2022-11-29T18:58:45.000Z,(2/2) We also shared a calling as ministers of the gospel of Jesus Christ. My heartfelt condolences are extended to Donald’s family.,False,1597666388898115584,2,0,0,0
RepBobbyRush,Bobby L. Rush,1597666388898115584,305216911,en,1597666388898115584,2022-11-29T18:58:44.000Z,"(1/2) I am saddened by the death of my friend, colleague, &amp; fellow Energy &amp; Commerce Committee member, Representative Donald McEachin. We shared a passion for promoting racial &amp; gender equality, as well as environmental justice. https://t.co/Kgabc2rz8U",False,1597666388898115584,3,6,6,0
RepBobbyRush,Bobby L. Rush,1596263710066089986,305216911,en,1596263710066089986,2022-11-25T22:05:00.000Z,"It is totally unacceptable that Southland suburban families have been repeatedly left w/out water, especially during Thanksgiving. This is a serious issue, &amp; I have arranged a roundtable meeting w/ senior @EPA &amp; IL EPA officials to address the problem. https://t.co/tZ5gGpKvi9",False,1596263710066089986,1,4,4,0
RepBobbyRush,Bobby L. Rush,1595779268277112833,305216911,en,1595779268277112833,2022-11-24T14:00:00.000Z,I wish everyone in IL’s First District &amp; across the country a Happy Thanksgiving — a time to spend with family &amp; loved ones while we reflect on what we are most grateful for in our lives. https://t.co/5ioVrSajj2,False,1595779268277112833,2,1,1,0
RepBobbyRush,Bobby L. Rush,1594540103396892672,305216911,en,1594540103396892672,2022-11-21T03:56:00.000Z,"Wishing @POTUS a very Happy Birthday! 
Thank you for bringing respect &amp; dignity back to the Oval Office. You lead with compassion for all Americans. https://t.co/HuGtH2SJBj",False,1594540103396892672,11,6,6,0
RepBobbyRush,Bobby L. Rush,1593365314221363200,305216911,en,1593365314221363200,2022-11-17T22:07:48.000Z,"Speaker Pelosi is a monumental figure who broke a glass ceiling &amp; served with dignity. All Americans have been well served by her leadership, as she has overseen passage of some of the most consequential legislation in modern history. 

I wish her well in her new chapter. https://t.co/LTcDLtZB2j",False,1593365314221363200,7,0,0,0
RepBobbyRush,Bobby L. Rush,1592294578215862274,305216911,en,1592294578215862274,2022-11-14T23:13:05.000Z,"Thrilled to see the House pass S. 3655, a bill @SenOssoff &amp; I introduced that will help solve cold cases stemming from the Civil-Rights era. Grieving families &amp; communities are now one step closer to receiving closure.

I look forward to seeing @POTUS sign it into law!",False,1592294578215862274,46,2,2,2
RepBobbyRush,Bobby L. Rush,1591123096853176320,305216911,en,1591123096853176320,2022-11-11T17:38:02.000Z,"On #VeteransDay, while we honor the hard work &amp; sacrifice of our nation’s veterans, Congress must pledge to take care of them &amp; their families long after they have served. https://t.co/hnjBTvSBJz",False,1591123096853176320,2,1,1,0
RepBobbyRush,Bobby L. Rush,1590765647977664512,305216911,en,1590765647977664512,2022-11-10T17:57:40.000Z,"Yesterday, I had a great time sitting in on a @CommonThreadsUS Cooking Skills &amp; World Cuisine class, which teaches 3rd-8th grade students about cultures &amp; food from around the world. I am proud to have secured Federal funding last year to support this program! https://t.co/YVkaDXyiHT",False,1590765647977664512,2,0,0,0
