handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBoebert,Rep. Lauren Boebert,1600583409864216590,1342989756611907584,en,1600583409864216590,2022-12-07T20:09:56.000Z,"Today, we remember all who died at Pearl Harbor on December 7, 1941.

“Greater love has no one than this: to lay down one’s life for one’s friends.”

John 15:13 https://t.co/ujxGbeuAIp",False,1600583409864216590,302,409,409,18
RepBoebert,Rep. Lauren Boebert,1600515466803281920,1342989756611907584,en,1600515466803281920,2022-12-07T15:39:58.000Z,"At least now I can post this to Twitter, and it won’t be censored. https://t.co/K9n6Q7bNeu",False,1600515466803281920,7190,4351,4351,377
RepBoebert,Rep. Lauren Boebert,1599892388968800267,1342989756611907584,en,1599892388968800267,2022-12-05T22:24:04.000Z,"The White House just called the Twitter Files “old news” and “a distraction.” 

If you ever wondered how little Democrats cared about the First Amendment, now you know.",False,1599892388968800267,7322,3699,3699,282
RepBoebert,Rep. Lauren Boebert,1598792153127428102,1342989756611907584,en,1598792153127428102,2022-12-02T21:32:08.000Z,"Life is winning in Pueblo. Praise the Lord!

https://t.co/QleRDcryIR",False,1598792153127428102,127,369,369,14
RepBoebert,Rep. Lauren Boebert,1598781434256191488,1342989756611907584,en,1598781434256191488,2022-12-02T20:49:32.000Z,@elonmusk Good. The American people deserve the truth.,False,1598778884639653891,428,285,285,12
RepBoebert,Rep. Lauren Boebert,1598682817944326144,1342989756611907584,en,1598682817944326144,2022-12-02T14:17:40.000Z,Now it’s time to deliver on our promises. https://t.co/Ek1MS8ZusE,False,1598682817944326144,2886,3158,3158,429
RepBoebert,Rep. Lauren Boebert,1598358186410508288,1342989756611907584,en,1598358186410508288,2022-12-01T16:47:42.000Z,Here’s what Democrats in Congress are focused on… https://t.co/k227gNLoya,False,1598358186410508288,1338,2773,2773,140
RepBoebert,Rep. Lauren Boebert,1598321014383034373,1342989756611907584,en,1598321014383034373,2022-12-01T14:19:59.000Z,Joe Biden has not been to the southern border.,False,1598321014383034373,1095,3376,3376,178
RepBoebert,Rep. Lauren Boebert,1598084970349666312,1342989756611907584,en,1598084970349666312,2022-11-30T22:42:02.000Z,"I’m honored to have been elected by my peers to serve on the House Republican Policy Committee for Region 10 (CO, KS, NE, OK).

Excited to advance conservative policies in this role!

https://t.co/l5DPvhgike",False,1598084970349666312,415,1067,1067,31
RepBoebert,Rep. Lauren Boebert,1598006936527863808,1342989756611907584,en,1598006936527863808,2022-11-30T17:31:57.000Z,"Big tech is in the pocket of the CCP. @apple, preserve your documents and get ready for serious congressional oversight.

https://t.co/TlRrUjHFU6",False,1598006936527863808,258,439,439,20
RepBoebert,Rep. Lauren Boebert,1597929941345017856,1342989756611907584,en,1597929941345017856,2022-11-30T12:26:00.000Z,"RT @freedomcaucus: House Freedom Caucus calls on Republicans to reject woke, weak military policies in Democrats' defense bill.

Full lette…",False,1597929941345017856,140,0,0,0
RepBoebert,Rep. Lauren Boebert,1597680802007224320,1342989756611907584,en,1597680802007224320,2022-11-29T19:56:01.000Z,"Great work by Pueblo County first responders!

I am working to provide them with more resources, prevent fires, and improve the environment with my Active Forest Management, Wildfire Prevention, and Community Protection Act. 

https://t.co/D7uqr5Qb09",False,1597680802007224320,26,163,163,9
RepBoebert,Rep. Lauren Boebert,1597628459743789056,1342989756611907584,en,1597628459743789056,2022-11-29T16:28:01.000Z,"Unlike Joe Biden, I stand with the freedom-loving protestors in China.",False,1597628459743789056,1573,2799,2799,146
RepBoebert,Rep. Lauren Boebert,1597574231113752579,1342989756611907584,en,1597574231113752579,2022-11-29T12:52:32.000Z,"This man, hired by Joe Biden, is a thief. https://t.co/ikK3WpIyXp",False,1597574231113752579,2533,5020,5020,388
RepBoebert,Rep. Lauren Boebert,1597337782266912768,1342989756611907584,en,1597337782266912768,2022-11-28T21:12:59.000Z,"Americans are protecting themselves.

Love to see it! https://t.co/1p2X1oO1Q9",False,1597337782266912768,163,503,503,22
RepBoebert,Rep. Lauren Boebert,1597267098178179072,1342989756611907584,en,1597267098178179072,2022-11-28T16:32:06.000Z,"This woman wanted to silence the American people. 

Now she’s a foreign agent. 

Classic Democrat operative. More concerned with power and money than freedom and liberty. 

https://t.co/vqX1p1aVpe",False,1597267098178179072,288,350,350,17
RepBoebert,Rep. Lauren Boebert,1597245331468877824,1342989756611907584,ro,1597245331468877824,2022-11-28T15:05:37.000Z,Subpoena @RepAdamSchiff.,False,1597245331468877824,1148,2756,2756,159
RepBoebert,Rep. Lauren Boebert,1597011772753399808,1342989756611907584,en,1597011772753399808,2022-11-27T23:37:32.000Z,"Joe Biden would rather see American companies drill in Venezuela than in the USA.

I’d rather us rely on American energy than the energy of nations that hate us.",False,1597011772753399808,1630,2219,2219,150
RepBoebert,Rep. Lauren Boebert,1594140389664882688,1342989756611907584,en,1594140389664882688,2022-11-20T01:27:41.000Z,@elonmusk Good call. Now do @ALX,False,1594131768298315777,428,299,299,14
