handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBonamici,Suzanne Bonamici,1601376019147296768,558769636,en,1601376019147296768,2022-12-10T00:39:29.000Z,"I enjoyed meeting with members of the @washcochamberor today. 
We discussed the CHIPS and Science Act, Inflation Reduction Act, and Bipartisan Infrastructure Law and how they will benefit Oregon. https://t.co/Gr1mCWBv1T",False,1601376019147296768,2,0,0,0
RepBonamici,Suzanne Bonamici,1601356249769312257,558769636,en,1601356249769312257,2022-12-09T23:20:56.000Z,"A successful transition to a green economy requires us to improve how we store energy. This exciting @oregonstate research on new battery technology just got a $3 million grant from @ENERGY!
https://t.co/VdMzQ8b072",False,1601356249769312257,2,0,0,0
RepBonamici,Suzanne Bonamici,1601333767234523136,558769636,en,1601333767234523136,2022-12-09T21:51:36.000Z,"Workers, including railroad workers, should not be penalized for taking care of their wellbeing and the wellbeing of their families. I joined several of my colleagues in calling on @POTUS to do what he can to provide paid sick leave to railroad workers. https://t.co/TraaEFoN6l",False,1601333767234523136,1,3,3,1
RepBonamici,Suzanne Bonamici,1601328583745540096,558769636,en,1601328583745540096,2022-12-09T21:31:00.000Z,"I spent 525,600 minutes this year working as your representative in Congress. Take a look at my 2022 Wrapped! https://t.co/xiwmCLKTK8",False,1601328583745540096,2,3,3,0
RepBonamici,Suzanne Bonamici,1601324746460647430,558769636,en,1601324746460647430,2022-12-09T21:15:45.000Z,"This year Oregon voters passed a ballot measure to remove this exception from the Oregon Constitution, and I support @RepNikema and @SenJeffMerkley’s joint resolution to make this a national policy.",False,1601324744057364483,0,0,0,0
RepBonamici,Suzanne Bonamici,1601324744057364483,558769636,en,1601324744057364483,2022-12-09T21:15:44.000Z,"Slavery was formally abolished with the ratification of the 13th Amendment in 1865. 
 
Unfortunately, slavery and involuntary servitude have persisted as a form of punishment. https://t.co/Cjbb2D5H0L",False,1601324744057364483,4,3,3,0
RepBonamici,Suzanne Bonamici,1601291344504553473,558769636,en,1601291344504553473,2022-12-09T19:03:01.000Z,"Coral reefs are critical habitats and support almost 25% of the ocean’s fish. Unfortunately, the health of our coral reefs is threatened by pollution and rising ocean temperatures. I’m glad to support the Coral Reef Sustainability Through Innovation Act of 2022. https://t.co/3aHphxWUMF",False,1601291344504553473,5,1,1,0
RepBonamici,Suzanne Bonamici,1601273134308818945,558769636,en,1601273134308818945,2022-12-09T17:50:40.000Z,Find a vaccine clinic near you by going to https://t.co/gFa6Q5f5RZ,False,1601273131603152906,2,0,0,0
RepBonamici,Suzanne Bonamici,1601273131603152906,558769636,en,1601273131603152906,2022-12-09T17:50:39.000Z,"Hospitals in Oregon and around our country are struggling to handle the surge of respiratory diseases. Staying up to date on your flu and COVID-19 shots, as well as taking other precautions like masking in crowded areas, can help keep you and our community healthy.",False,1601273131603152906,2,5,5,0
RepBonamici,Suzanne Bonamici,1601005174423949313,558769636,en,1601005174423949313,2022-12-09T00:05:53.000Z,We need legislation like the Paycheck Fairness Act to make sure all are paid fairly for their work.,False,1601005172024434688,4,0,0,0
RepBonamici,Suzanne Bonamici,1601005172024434688,558769636,en,1601005172024434688,2022-12-09T00:05:52.000Z,"No matter the level of education, industry or sector, women are not paid equitably for their work. Latinas are paid just 54 cents for every dollar made by white, non-Hispanic men. #LatinaEqualPay #Trabajadoras",False,1601005172024434688,5,1,1,1
RepBonamici,Suzanne Bonamici,1600998779083452416,558769636,en,1600998779083452416,2022-12-08T23:40:28.000Z,Today I am proud to have helped pass the Respect for Marriage Act so this right continues to be protected under federal law. https://t.co/Q5CqeDx5Jn,False,1600998772950958081,2,1,1,0
RepBonamici,Suzanne Bonamici,1600998776734294016,558769636,en,1600998776734294016,2022-12-08T23:40:28.000Z,"In 2015 the United States Supreme Court held in Obergefell that all people have the right to marry who they love, a year after a judge found that Oregon’s ban on same-sex marriages violated the Oregon Constitution.",False,1600998772950958081,0,1,1,0
RepBonamici,Suzanne Bonamici,1600998774892941312,558769636,en,1600998774892941312,2022-12-08T23:40:27.000Z,But we knew then that full equality means that everyone in every state has the right to marry who they love.  And our work continued.,False,1600998772950958081,0,1,1,0
RepBonamici,Suzanne Bonamici,1600998772950958081,558769636,en,1600998772950958081,2022-12-08T23:40:27.000Z,"When I was serving in the state legislature in 2007, I helped pass the Oregon Family Fairness Act to give same-sex couples many of the rights afforded to married couples.",False,1600998772950958081,3,1,1,0
RepBonamici,Suzanne Bonamici,1600993111576309761,558769636,en,1600993111576309761,2022-12-08T23:17:57.000Z,"Astoria is known for its riverfront businesses built atop piers on wooden pilings. On this day in 1922, those wooden pilings helped fuel the tragic fire that destroyed much of Astoria’s business district. Learn more here: https://t.co/Ph3O8nhkPG",False,1600993111576309761,0,0,0,0
RepBonamici,Suzanne Bonamici,1600981331298512896,558769636,en,1600981331298512896,2022-12-08T22:31:08.000Z,"RT @RepCasten: Thank you, @ClimateCrisis &amp; @USRepKCastor for a great year of working to combat climate change, decarbonize our economy, and…",False,1600981331298512896,14,0,0,0
RepBonamici,Suzanne Bonamici,1600970023333306368,558769636,en,1600970023333306368,2022-12-08T21:46:12.000Z,RT @ASP: Tune in to hear @RepBonamici discuss the Build Housing with Care Act which aims to achieve child care access in affordable housing…,False,1600970023333306368,17,0,0,0
RepBonamici,Suzanne Bonamici,1600969956795256832,558769636,en,1600969956795256832,2022-12-08T21:45:56.000Z,"RT @HouseDPCC: Democrats have been hard at work the last two years, putting #PeopleOverPolitics to lower costs, create better paying jobs,…",False,1600969956795256832,104,0,0,0
RepBonamici,Suzanne Bonamici,1600949677368967168,558769636,en,1600949677368967168,2022-12-08T20:25:21.000Z,RT @RepTeresaLF: Mis hermanas in Congress agree - Latinas deserve equal pay NOW. That's why I introduced the #LatinaEqualPayDay Resolution…,False,1600949677368967168,44,0,0,0
