handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBowman,Congressman Jamaal Bowman,1601301221973065728,1344389506963808264,zxx,1601301221973065728,2022-12-09T19:42:16.000Z,https://t.co/BHYuQapGXf,False,1601297459535544320,5,1,1,0
RepBowman,Congressman Jamaal Bowman,1601297462215708672,1344389506963808264,en,1601297462215708672,2022-12-09T19:27:20.000Z,"Thank you to our co-leads @RepRashida, @RepAOC, @RepDonaldPayne, and @RepCori, and all of our 70+ co-signers.
It is shameful that the Senate voted down paid sick days. We're going to keep fighting until this is rectified.",False,1601297459535544320,10,4,4,0
RepBowman,Congressman Jamaal Bowman,1601297459535544320,1344389506963808264,en,1601297459535544320,2022-12-09T19:27:19.000Z,"Today @SenSanders and I led a letter to @POTUS asking him to guarantee 7 days of paid sick leave for rail workers. We outlined several options for executive action, including covering rail workers under protections for Federal contractors.
Every worker deserves paid sick leave. https://t.co/Ql2kEMzbXA",False,1601297459535544320,293,43,43,23
RepBowman,Congressman Jamaal Bowman,1601233478246273024,1344389506963808264,en,1601233478246273024,2022-12-09T15:13:05.000Z,"Bye Felicia 👋🏿

This isn’t about the party this is about your pharma donors! Stop lying! https://t.co/cbG6cmiFor",False,1601233478246273024,405,90,90,74
RepBowman,Congressman Jamaal Bowman,1600924586970820608,1344389506963808264,en,1600924586970820608,2022-12-08T18:45:39.000Z,"It's an honor to be the next Vice Chair for Labor for the CPC in the 118th Congress.

Excited to continue the fight for worker power. https://t.co/prOuZl6jip",False,1600924586970820608,6,8,8,1
RepBowman,Congressman Jamaal Bowman,1600869419973910529,1344389506963808264,en,1600869419973910529,2022-12-08T15:06:27.000Z,"This also would not have been possible without the powerful Black women who galvanized the movement to work towards Brittney’s release. 

She deserves to be free and home with her loved ones and in a few hours, she finally will be.",False,1600869416765620225,4,3,3,1
RepBowman,Congressman Jamaal Bowman,1600869418707189760,1344389506963808264,en,1600869418707189760,2022-12-08T15:06:26.000Z,"I’m also sending well wishes to Brittney’s wife, Cherelle, and her family and friends. 

Black women are so often left behind, and I’m grateful that the Biden Administration was able to continuously fight for Brittney these past 9 months.",False,1600869416765620225,2,3,3,0
RepBowman,Congressman Jamaal Bowman,1600869416765620225,1344389506963808264,en,1600869416765620225,2022-12-08T15:06:26.000Z,"I’m thrilled and relieved Brittney Griner is finally on her way home after being wrongfully imprisoned in Russia for months. 

Since February I’ve been calling for her release and it’s incredibly moving to see her come home safely. 🧵",False,1600869416765620225,3,11,11,1
RepBowman,Congressman Jamaal Bowman,1600584534361268226,1344389506963808264,en,1600584534361268226,2022-12-07T20:14:25.000Z,"Manchin's greedy permitting reform is OUT of the NDAA.

Democrats need continue standing up against Manchin because he will continue to try to get legislation through that destroys our planet. https://t.co/G6bp1leLDg",False,1600584534361268226,11,5,5,0
RepBowman,Congressman Jamaal Bowman,1600538254201208834,1344389506963808264,en,1600538254201208834,2022-12-07T17:10:31.000Z,"Thank you @1199SEIU for being the first meeting in our new office!

It was an honor to have you and so powerful to hear all of your stories. https://t.co/mIiTgEDJAz",False,1600538254201208834,2,1,1,0
RepBowman,Congressman Jamaal Bowman,1600491988683481089,1344389506963808264,en,1600491988683481089,2022-12-07T14:06:40.000Z,"My condolences go out to Sgt. Frank Gualdino's family and friends during this difficult time. 

Yonkers lost a good man too soon.",False,1600491988683481089,2,1,1,0
RepBowman,Congressman Jamaal Bowman,1600234313299415040,1344389506963808264,en,1600234313299415040,2022-12-06T21:02:45.000Z,"I was proud to cosponsor @RepMarkTakano's Veteran Service Recognition Act, which just passed the House! This bill ensures that veterans are protected from deportation. We must make a pathway to citizenship for all immigrants, and this is an important step in that direction.",False,1600234313299415040,18,8,8,0
