handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBrianHiggins,Brian Higgins,1601346436947333120,33576489,en,1601346436947333120,2022-12-09T22:41:56.000Z,"RT @US_EDA: Today Deputy Assistant Secretary Dennis Alvord visited Buffalo, #NewYork to meet with local leaders, @EmpireStateDev, @BfloMfgW…",False,1601346436947333120,7,0,0,0
RepBrianHiggins,Brian Higgins,1601334239819370496,33576489,en,1601334239819370496,2022-12-09T21:53:28.000Z,"We joined local workforce development leaders in a round table discussing how new investments will drive  competitiveness &amp; got a first-hand look at innovative job-training taking place at @BfloMfgWorks.

As our federal &amp; local partnerships strengthen, WNY will continue grow. https://t.co/SS3VKLu5dY",False,1601334227563614208,0,1,1,0
RepBrianHiggins,Brian Higgins,1601334227563614208,33576489,en,1601334227563614208,2022-12-09T21:53:25.000Z,Honored to welcome @US_EDA Deputy Assistant Secretary Dennis Alvord to Buffalo today to highlight how the community will use a $25M grant from the #BuildBackBetter Regional Challenge to support the WNY Advanced Manufacturing Initiative. https://t.co/qbSsvcDziD,False,1601334227563614208,2,1,1,0
RepBrianHiggins,Brian Higgins,1601281817625051136,33576489,en,1601281817625051136,2022-12-09T18:25:10.000Z,"Strong &amp; stable housing is essential in thriving neighborhoods.

We joined local leaders to announce $7M in home rehabilitation efforts led by Erie County &amp; funded by Community Development Block Grants.

Supporting 400 projects, the program makes long-term investments across WNY. https://t.co/Tw0paVndoJ",False,1601281817625051136,0,0,0,0
RepBrianHiggins,Brian Higgins,1601267295661494273,33576489,en,1601267295661494273,2022-12-09T17:27:28.000Z,"RT @samhsagov: You don’t have to go through a crisis alone. Dial 988 then Press 1 to reach the Veterans Crisis Line day or night.

Visit ht…",False,1601267295661494273,24,0,0,0
RepBrianHiggins,Brian Higgins,1601257661516824577,33576489,en,1601257661516824577,2022-12-09T16:49:11.000Z,"As National Influenza Week comes to an end, remember to stay up to date on your #flu &amp; #COVID19 vaccines! #FlightFlu

Schedule a vaccination appointment today: https://t.co/1UVkvwsNu5 https://t.co/YsGG74fXPz",False,1601257661516824577,0,0,0,0
RepBrianHiggins,Brian Higgins,1601237028699770880,33576489,en,1601237028699770880,2022-12-09T15:27:11.000Z,RT @news4buffalo: Congressman Brian Higgins (D) announced Thursday that the Niagara Falls Air Reserve Station is set to receive almost $3 m…,False,1601237028699770880,2,0,0,0
RepBrianHiggins,Brian Higgins,1601232085494030336,33576489,en,1601232085494030336,2022-12-09T15:07:33.000Z,"Beginning on January 1, the #InflationReductionAct will:
✅ Cap monthly insulin costs at $35/mo for those on Medicare
✅ Extend #ACA premium tax credits
✅ Make recommended vaccines free for seniors on Medicare",False,1601232085494030336,15,1,1,0
RepBrianHiggins,Brian Higgins,1600972429450678273,33576489,en,1600972429450678273,2022-12-08T21:55:46.000Z,RT @WKBW: Congressman Brian Higgins announced Thursday federal actions that will prevent pension cuts to 295 local workers from 8 different…,False,1600972429450678273,1,0,0,0
RepBrianHiggins,Brian Higgins,1600965008694747137,33576489,en,1600965008694747137,2022-12-08T21:26:17.000Z,"Thanks to the #AmericanRescuePlan, @USPBGC is taking action to protect retirement savings for Central States Pension Fund workers &amp; retirees.

This will prevent pension cuts for 295 WNYers, 1.2K NYers &amp; 350K nationwide, providing relief &amp; stability that workers rightfully earned.",False,1600965008694747137,2,3,3,0
