handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepBrianMast,Rep. Brian Mast,1601592581653151744,814103950404239360,en,1601592581653151744,2022-12-10T15:00:02.000Z,"This week in Congress, my colleagues were in a hurry. In fact, they were in such a hurry, they argued that there wasn’t enough time to make sure your money was being spent correctly or enough time to defend the Constitution. 

I disagree. Check out the latest #WeekInReview: https://t.co/b0mX2gFplr",False,1601592581653151744,42,294,294,5
RepBrianMast,Rep. Brian Mast,1601348683395518465,814103950404239360,en,1601348683395518465,2022-12-09T22:50:52.000Z,"ICYMI: The House approved the Water Resources Development Act yesterday, which includes my legislation - the Northern Estuaries Restoration Plan. It’s a HUGE deal for our community. Learn more ⬇️ https://t.co/YN5Q1v0WMx",False,1601348683395518465,10,167,167,4
RepBrianMast,Rep. Brian Mast,1601284708767215619,814103950404239360,en,1601284708767215619,2022-12-09T18:36:39.000Z,"Over half of Americans are struggling thanks to #Bidenflation and it’s even worse for lower-income families. It’s time to get federal spending under control so that folks can afford the things they need. 
https://t.co/YiQLHn6ofA",False,1601284708767215619,20,188,188,10
RepBrianMast,Rep. Brian Mast,1601222723879202816,814103950404239360,en,1601222723879202816,2022-12-09T14:30:21.000Z,"What kind of negotiation gets us a basketball player - but leaves behind a veteran - and gets Putin a convicted arms dealer that’s been nicknamed the Merchant of Death?

Why does Biden continue to leave Americans behind enemy lines? Why won’t Biden stand up to our adversaries?",False,1601222723879202816,86,584,584,32
RepBrianMast,Rep. Brian Mast,1600966553281105920,814103950404239360,en,1600966553281105920,2022-12-08T21:32:25.000Z,"Today’s rescue mission: saving Congresswoman Sheila Jackson Lee’s American flag from the garbage can. @JacksonLeeTX18, anytime you’d like a lesson on flag etiquette, let me know. It’s one of the first things we’re taught in basic training. https://t.co/Dr9fX2VEwo https://t.co/dZljLi41GA",False,1600966553281105920,11452,12620,12620,1771
RepBrianMast,Rep. Brian Mast,1600895186703302658,814103950404239360,en,1600895186703302658,2022-12-08T16:48:50.000Z,"Curious about what’s happened in Congress this week? I’ll be live on YouTube and taking your questions shortly. Head to my channel now! 
https://t.co/2Eb6h7Hpto",False,1600895186703302658,6,37,37,1
RepBrianMast,Rep. Brian Mast,1600890714690588683,814103950404239360,en,1600890714690588683,2022-12-08T16:31:04.000Z,"Every member of the House swears an oath to fight for their communities, but God forbid we unsettle the Senate!
   
We always have time to defend religious freedom and we must do our due diligence to protect it. https://t.co/twqaxOHCuh",False,1600890714690588683,63,86,86,8
RepBrianMast,Rep. Brian Mast,1600639733058703360,814103950404239360,en,1600639733058703360,2022-12-07T23:53:45.000Z,I know firsthand that being away from friends and family during the holidays can be rough. Thanks to the American Red Cross for giving us a chance to say ‘thanks’ and let our troops know that we’re thinking of them. https://t.co/R1PoV0Yt1q,False,1600639733058703360,10,16,16,2
RepBrianMast,Rep. Brian Mast,1600582920086749184,814103950404239360,en,1600582920086749184,2022-12-07T20:08:00.000Z,"We owe it to veterans to try every tool in the toolbox to help ease the transition to civilian life. Grateful for the work LifeWaters is doing in our community and around the country.

https://t.co/0Bc6soFhIO",False,1600582920086749184,4,16,16,0
RepBrianMast,Rep. Brian Mast,1600558147776565248,814103950404239360,en,1600558147776565248,2022-12-07T18:29:34.000Z,"Supporting our allies doesn’t mean blindly sending tens of billions of dollars with ZERO accountability.

Biden’s “shoot first and ask questions later” approach is exactly how we wound up with the catastrophic withdrawal from Afghanistan. https://t.co/KG5hXJtDdf",False,1600558147776565248,512,183,183,49
RepBrianMast,Rep. Brian Mast,1600507948249358336,814103950404239360,en,1600507948249358336,2022-12-07T15:10:05.000Z,"81 years ago today, the naval base at Pearl Harbor was attacked. It is truly a day that lives in infamy. https://t.co/5135e2UVck",False,1600507948249358336,10,14,14,2
RepBrianMast,Rep. Brian Mast,1600275897243901952,814103950404239360,en,1600275897243901952,2022-12-06T23:48:00.000Z,Biden says there’s “more important things” than the crisis at the southern border. His head must be buried in the sand up at Rehoboth Beach. https://t.co/MJyDhktBax,False,1600275897243901952,35,45,45,2
RepBrianMast,Rep. Brian Mast,1600243970432331776,814103950404239360,en,1600243970432331776,2022-12-06T21:41:08.000Z,"#OnThisDay in 1947 the United States set aside 1.5 million acres of protected land to dedicate it as Everglades National Park.

75 years ago, President Truman knew that the Everglades was a national treasure worth protecting, now it’s up to us to protect it for the next 75. https://t.co/ZCHxj7zYSy",False,1600243970432331776,8,8,8,2
RepBrianMast,Rep. Brian Mast,1600140090247815169,814103950404239360,en,1600140090247815169,2022-12-06T14:48:21.000Z,"The only plan Biden has for the border is to get rid of anything that has Trump’s name on it. That’s why they’ve fought to end Title 42, even when border patrol agents told them it worked.

The only thing Biden has accomplished is emboldening cartels &amp; human traffickers.",False,1600140090247815169,18,22,22,5
RepBrianMast,Rep. Brian Mast,1599939749019406336,814103950404239360,en,1599939749019406336,2022-12-06T01:32:16.000Z,"ICYMI: We got the worst jobs report of the Biden presidency last week. Inflation is eating away at workers’ paychecks and fewer people are working. 

Does the President still think our economy is ‘strong as hell’?",False,1599939749019406336,25,24,24,6
RepBrianMast,Rep. Brian Mast,1599866952507351050,814103950404239360,en,1599866952507351050,2022-12-05T20:43:00.000Z,"Even though Border Czar Harris said “don’t come,” it’s estimated that over 73,000 gotaways crossed the border last month.

We need a better plan than “don’t come.” That’s why @HouseGOP’s #CommitmentToAmerica is to fund effective enforcement strategies &amp; prevent illegal crossings.",False,1599866952507351050,5,17,17,2
RepBrianMast,Rep. Brian Mast,1599801256725184521,814103950404239360,en,1599801256725184521,2022-12-05T16:21:57.000Z,"I’ll believe it when I see it.

The Iranian people have made their voices heard around the world: they want real change, not symbolic platitudes. 
https://t.co/n11CLnUJI9",False,1599801256725184521,7,11,11,1
RepBrianMast,Rep. Brian Mast,1599528220604465153,814103950404239360,en,1599528220604465153,2022-12-04T22:17:00.000Z,"Incredible. Thank you for your bravery and service, Officer Sanderson. #BackTheBlue
https://t.co/cft0I72aqy",True,1599528220604465153,2,4,4,1
RepBrianMast,Rep. Brian Mast,1599485438741323777,814103950404239360,en,1599485438741323777,2022-12-04T19:27:00.000Z,"Investing in the wellbeing of kids at an early age sets them up for success. 

I was glad to see a bipartisan bill honoring my colleague and friend, the late Congresswoman Jackie Walorski, passed in the House this week. 
https://t.co/eVtefM5jdM",False,1599485438741323777,2,7,7,2
RepBrianMast,Rep. Brian Mast,1599407676366020609,814103950404239360,en,1599407676366020609,2022-12-04T14:18:00.000Z,The Biden Administration would rather deal with a dictator than an American energy company. “Absurd” is the only word for it. https://t.co/o5sIyAN37z,False,1599407676366020609,46,40,40,7
RepBrianMast,Rep. Brian Mast,1599149475011956736,814103950404239360,en,1599149475011956736,2022-12-03T21:12:00.000Z,These kids gave it their all today! The future of our military is very bright. Thanks to all who participated in the service academy assessment. https://t.co/dVKRjH4Rir,False,1599149475011956736,5,3,3,1
RepBrianMast,Rep. Brian Mast,1599052083713363968,814103950404239360,en,1599052083713363968,2022-12-03T14:45:00.000Z,"This week, the country was staring down a potential rail strike.  There’s no doubt that it would’ve hurt our economy, but was it Congress’s job to intervene? 

Check out the latest #WeekInReview. https://t.co/IpSWyt3AIX",False,1599052083713363968,11,23,23,4
RepBrianMast,Rep. Brian Mast,1598816782713847811,814103950404239360,en,1598816782713847811,2022-12-02T23:10:00.000Z,"Recruitment numbers are down across every branch of the military. Now is not the time to be using an unconstitutional government mandate to kick servicemembers out or discourage young people from serving our nation. 

Watch the full interview here: https://t.co/hTBtERPLPF https://t.co/6Z8QcK0jME",False,1598816782713847811,10,26,26,5
RepBrianMast,Rep. Brian Mast,1598772198705139718,814103950404239360,en,1598772198705139718,2022-12-02T20:12:50.000Z,"Biden is so hellbent on spending $400 billion to pay for the Ivy League degree of millionaires’ kids that he’s taking it all the way to SCOTUS.

It’s a slap in the face to those who saved, joined the military, worked through school or chose a different path to avoid student debt.",False,1598772198705139718,52,63,63,11
RepBrianMast,Rep. Brian Mast,1598725487093846017,814103950404239360,en,1598725487093846017,2022-12-02T17:07:13.000Z,"Inflation and crime - Merry Christmas, America. 

The good news is that @HouseGOP is ready to build an economy that is STRONG and a nation that is SAFE. #CommitmentToAmerica
https://t.co/MgIdXG85Yb",False,1598725487093846017,3,15,15,1
RepBrianMast,Rep. Brian Mast,1598677615727943680,814103950404239360,en,1598677615727943680,2022-12-02T13:57:00.000Z,"Earth to Biden: there are plenty of steps you could take to address the supply chain, but you haven’t taken them. https://t.co/GG2s6QVLzv",False,1598677615727943680,5,21,21,0
RepBrianMast,Rep. Brian Mast,1598438540442062861,814103950404239360,en,1598438540442062861,2022-12-01T22:07:00.000Z,"In case you were wondering what those 87,000 new IRS workers will be doing on the job, they’ll be policing your Venmo transactions and going after small businesses.
 
That’s why @HouseGOP will repeal this army of agents on Day One. https://t.co/8gZqYli4Qa",False,1598438540442062861,12,21,21,5
RepBrianMast,Rep. Brian Mast,1598393493864337408,814103950404239360,en,1598393493864337408,2022-12-01T19:08:00.000Z,"ICYMI: The Army Corps says it’ll be at least another DECADE before the EAA reservoir is complete. The project was supposed to be done as soon as 2028. The single-most important project when it comes to Everglades restoration can't afford major delays.
https://t.co/QySu22m5Uo",False,1598393493864337408,3,5,5,1
RepBrianMast,Rep. Brian Mast,1598317996056842240,814103950404239360,en,1598317996056842240,2022-12-01T14:08:00.000Z,"No one wants to see a railroad strike, but yesterday’s vote sets a bad precedent.  
 
Watch the full interview here: https://t.co/eTGnYTGFt3 https://t.co/L3d489TlWh",False,1598317996056842240,3,18,18,3
RepBrianMast,Rep. Brian Mast,1598121605636710402,814103950404239360,en,1598121605636710402,2022-12-01T01:07:37.000Z,"🇺🇸4th of July: BBQ costs were up 17%
🎃Halloween: Candy prices were up 13%
🦃Thanksgiving: Turkey prices were up 21%
🎄Christmas: Tree prices are up 16%
 
#Bidenflation continues to ruin the holiday fun.",False,1598121605636710402,17,23,23,2
RepBrianMast,Rep. Brian Mast,1598117576852131840,814103950404239360,en,1598117576852131840,2022-12-01T00:51:36.000Z,"RT @HouseGOP: As Far Left soft-on-crime policies and the ‘Defund the Police’ movement continue to put criminals back on our streets, House…",False,1598117576852131840,56,0,0,0
RepBrianMast,Rep. Brian Mast,1598034614358007808,814103950404239360,en,1598034614358007808,2022-11-30T19:21:56.000Z,"@USArmy @IRSCTheRiver @IrscPresident If you, or someone you know, is a veteran interested in sharing your story with the Veterans History Project, go to https://t.co/vu8NJUuxgb.",False,1598019789737590784,3,4,4,0
RepBrianMast,Rep. Brian Mast,1598019789737590784,814103950404239360,en,1598019789737590784,2022-11-30T18:23:02.000Z,"Growing up listening to the stories of my dad &amp; uncles in the military is one of the reasons I enlisted in the @USArmy after high school.

Operation Sacred Legacy lets veterans share their stories &amp; inspire the next generation.
@IRSCTheRiver @IRSCPresident
https://t.co/UCIdSxc9Fr",False,1598019789737590784,6,12,12,1
RepBrianMast,Rep. Brian Mast,1597699283322552320,814103950404239360,en,1597699283322552320,2022-11-29T21:09:27.000Z,"Our fight is a long way from over. Our wildlife and ecosystems will continue to suffer until we have #ZeroDischarges. Until then, it’s a battle every day.
https://t.co/IGxD2vi65I",False,1597699283322552320,2,5,5,0
RepBrianMast,Rep. Brian Mast,1597666575229894657,814103950404239360,en,1597666575229894657,2022-11-29T18:59:29.000Z,"Tehran's trying hard to get Team USA kicked out of the #WorldCup. After we beat them, it won't be a problem anymore. But they'll still have to deal with the thousands protesting their brutal regime.

A better use of time would be making govt reforms to respect basic human rights.",False,1597666575229894657,3,4,4,0
RepBrianMast,Rep. Brian Mast,1597392900341448704,814103950404239360,en,1597392900341448704,2022-11-29T00:52:00.000Z,"Why does Big Tech keep betting against freedom?
https://t.co/1BtW2So0I4",False,1597392900341448704,4,4,4,2
RepBrianMast,Rep. Brian Mast,1597356713094643712,814103950404239360,en,1597356713094643712,2022-11-28T22:28:12.000Z,"“Need human rights. Need freedom.”

To the protestors who are taking a stand against the Chinese Communist Party, Xi and his dictatorship: freedom is always worth it. It is a God-given right.",False,1597356713094643712,52,22,22,6
RepBrianMast,Rep. Brian Mast,1597305072160866304,814103950404239360,en,1597305072160866304,2022-11-28T19:03:00.000Z,There shouldn’t be a ‘scramble.’ The White House should know exactly what it did with your tax dollars. https://t.co/lu5pY48owY,False,1597305072160866304,5,10,10,1
RepBrianMast,Rep. Brian Mast,1597289214168678400,814103950404239360,en,1597289214168678400,2022-11-28T17:59:59.000Z,"The number of migrant encounters and gotaways are already breaking records month after month. And yet, in 23 days, the Biden Administration is ending the Remain in Mexico policy.

The White House has no plan, and border patrol agents pay the price.",False,1597289214168678400,7,11,11,2
RepBrianMast,Rep. Brian Mast,1596969862818955265,814103950404239360,en,1596969862818955265,2022-11-27T20:51:00.000Z,"Mental health matters! Thanks for all you are doing for your peers, Nira. 
https://t.co/6qUBxzix2z",False,1596969862818955265,6,6,6,0
RepBrianMast,Rep. Brian Mast,1596879014416683008,814103950404239360,en,1596879014416683008,2022-11-27T14:50:00.000Z,"Veterans have earned the right to live life as they see fit, especially as they age. That’s why I introduced the Veterans Homecare Choice Act with @CongresswomanSC - to expand access to resources that let veterans live independently in their own homes.
https://t.co/C6tpOQ51Yv",False,1596879014416683008,7,17,17,0
RepBrianMast,Rep. Brian Mast,1596593885437841408,814103950404239360,en,1596593885437841408,2022-11-26T19:57:00.000Z,"Police officers are committed to improving our community any way they can. Thank you for your service! #BackTheBlue
https://t.co/cT3V2A9m46",False,1596593885437841408,4,10,10,0
RepBrianMast,Rep. Brian Mast,1596510838361161729,814103950404239360,en,1596510838361161729,2022-11-26T14:27:00.000Z,"It’s #SmallBizSaturday. From pandemic lockdowns to broken supply chains, small businesses have had to cope with a lot in the last few years. Today is a great day to show your support and #ShopSmall. https://t.co/aPeSO3Tci6",False,1596510838361161729,4,12,12,0
RepBrianMast,Rep. Brian Mast,1596237537277661184,814103950404239360,en,1596237537277661184,2022-11-25T20:21:00.000Z,"Well deserved! I’m incredibly grateful to the thousands of troops who served with commitment and composure during the withdrawal from Afghanistan, despite being dealt the worst possible hand by Joe Biden. 
https://t.co/hfy9x6nYaw",False,1596237537277661184,8,24,24,4
RepBrianMast,Rep. Brian Mast,1596145682431332352,814103950404239360,en,1596145682431332352,2022-11-25T14:16:00.000Z,Inflation is at a 40-year-high and credit card applications are up despite sky-high interest rates. What does that mean for #BlackFriday? It means that even the best deals will likely cost families more than they would have before Joe Biden took office.,False,1596145682431332352,6,24,24,4
RepBrianMast,Rep. Brian Mast,1595803872609566721,814103950404239360,en,1595803872609566721,2022-11-24T15:37:46.000Z,"Happy Thanksgiving! It’s impossible to count all of the blessings God has given us, but I always start with these five. https://t.co/JwEKiU21zI",False,1595803872609566721,8,8,8,3
RepBrianMast,Rep. Brian Mast,1595569384755326976,814103950404239360,en,1595569384755326976,2022-11-24T00:06:00.000Z,"ICYMI: the Biden Administration extended the student loan payment freeze AGAIN with a price tag of roughly $40 billion. 

Once again, Joe Biden is forcing Florida families to foot the bill for the Ivy League educations of millionaires’ kids.",False,1595569384755326976,11,32,32,5
RepBrianMast,Rep. Brian Mast,1595526854764552212,814103950404239360,en,1595526854764552212,2022-11-23T21:17:00.000Z,"It’s a fact: phosphorus and nitrogen already in our water - so-called legacy nutrients - could fuel algal blooms for decades.

And yet, those who dump legacy nutrients into the water aren’t being held accountable.

Check out the latest #TorturedCoast on how I’m fighting back: https://t.co/E2EjQhjVGn",False,1595526854764552212,5,10,10,1
RepBrianMast,Rep. Brian Mast,1595439358487797765,814103950404239360,en,1595439358487797765,2022-11-23T15:29:19.000Z,"Have you finished your grocery shopping for Thanksgiving? If so, this probably won’t come as a shock, but prices for everything from turkey to stuffing are up by as much as 69%. #Bidenflation https://t.co/r5DUMHi0Bm",False,1595439358487797765,10,26,26,3
RepBrianMast,Rep. Brian Mast,1595151883655593984,814103950404239360,en,1595151883655593984,2022-11-22T20:27:00.000Z,"The PACT Act will make a huge difference for thousands of veterans. If you, or a veteran you know, were exposed to burn pits and needs assistance with a claim, my office may be able to help. Go to https://t.co/uoRZtEds5t.
https://t.co/Ojfsh84jkE",False,1595151883655593984,4,11,11,3
RepBrianMast,Rep. Brian Mast,1595100605088993280,814103950404239360,en,1595100605088993280,2022-11-22T17:03:14.000Z,"In 2020, the average price for a gallon of gas in Florida was just $1.97. Today, it’s $3.44. Flights are up by 25%. For the roughly 2.9 million Floridians who are traveling for Thanksgiving, that’s a big bill.

Another holiday hit by #Bidenflation &amp; anti-domestic energy policies.",False,1595100605088993280,15,26,26,4
RepBrianMast,Rep. Brian Mast,1594832781221146624,814103950404239360,en,1594832781221146624,2022-11-21T23:19:00.000Z,"Despite sky-high interest rates, more people than ever are applying for credit cards. 

Families can’t keep up with #Bidenflation and are forced to take on debt to make ends meet.",False,1594832781221146624,8,20,20,2
RepBrianMast,Rep. Brian Mast,1594784714287550469,814103950404239360,en,1594784714287550469,2022-11-21T20:08:00.000Z,"It matters who holds the Speaker’s gavel.

You can watch the full interview here: https://t.co/bzmoygud6l https://t.co/UXcxkITkY9",False,1594784714287550469,2,9,9,0
RepBrianMast,Rep. Brian Mast,1594756986960240651,814103950404239360,en,1594756986960240651,2022-11-21T18:17:49.000Z,"The generosity and kindness in our community is always great to see.
https://t.co/XHB3WgVUqj",False,1594756986960240651,3,1,1,0
RepBrianMast,Rep. Brian Mast,1594482724479311874,814103950404239360,en,1594482724479311874,2022-11-21T00:08:00.000Z,"These programs are great, but we need a long-term solution. That means cleaning up our water so that seagrass can grow again. #ZeroDischarges
https://t.co/AzB3Ellv5L",False,1594482724479311874,7,4,4,1
RepBrianMast,Rep. Brian Mast,1594421823390863367,814103950404239360,en,1594421823390863367,2022-11-20T20:06:00.000Z,"Just one pound of fentanyl could kill almost every single man, woman and child in St. Lucie AND Martin Counties. There have to be consequences for people who are putting it on our streets.",False,1594421823390863367,90,39,39,10
RepBrianMast,Rep. Brian Mast,1594360418755043336,814103950404239360,en,1594360418755043336,2022-11-20T16:02:00.000Z,"It’s great to see folks step up for veterans. Thank you!
https://t.co/Qr5GvHnBXQ",False,1594360418755043336,7,1,1,0
RepBrianMast,Rep. Brian Mast,1594074283529195522,814103950404239360,en,1594074283529195522,2022-11-19T21:05:00.000Z,"ICYMI: Over 2,300 people in our community weighed in on the Coast Guard’s proposal for the St. Lucie River Railroad Bridge. Here’s what they said:
https://t.co/QpEFkvCQw7",False,1594074283529195522,2,8,8,0
RepBrianMast,Rep. Brian Mast,1594043581068709890,814103950404239360,en,1594043581068709890,2022-11-19T19:03:00.000Z,"Flushing toxic algae into our community while we try to repair and recover from flood damage would be a slap in the face.
https://t.co/zHgDQtypBw",False,1594043581068709890,4,7,7,1
RepBrianMast,Rep. Brian Mast,1593982731175632896,814103950404239360,en,1593982731175632896,2022-11-19T15:01:12.000Z,"There’s a lot of change coming to Washington, D.C. in the next few months. Nancy Pelosi is out, and Republicans will choose the next Speaker of the House. 

Check out the latest #WeekInReview for more: https://t.co/rMyvKCaY7x",False,1593982731175632896,12,30,30,5
RepBrianMast,Rep. Brian Mast,1593743352763072513,814103950404239360,en,1593743352763072513,2022-11-18T23:10:00.000Z,"This week, the Transportation Committee held a hearing on something I have firsthand experience with - challenges for airline passengers with disabilities. Watch now: https://t.co/dh1fkLPSWe",False,1593743352763072513,6,14,14,1
RepBrianMast,Rep. Brian Mast,1593726491811930112,814103950404239360,en,1593726491811930112,2022-11-18T22:03:00.000Z,"With Biden in the White House, our adversaries continue to push the envelope.
https://t.co/mCBj6gjHrU",False,1593726491811930112,10,11,11,1
RepBrianMast,Rep. Brian Mast,1593666766332661760,814103950404239360,en,1593666766332661760,2022-11-18T18:05:40.000Z,"November marks the beginning of manatee season and it’s an important reminder that Florida’s mascot is a canary in a coal mine: when our water is poisoned, seagrass dies and manatees starve. That’s why we have to fight for #ZeroDischarges.",False,1593666766332661760,10,6,6,1
RepBrianMast,Rep. Brian Mast,1593378533652430849,814103950404239360,en,1593378533652430849,2022-11-17T23:00:20.000Z,"I’m always proud to represent the Treasure Coast, but seeing our community turn out in full force to make sure the Coast Guard understands how important water is to our way of life was awesome. But the fight’s not over. https://t.co/S83XXoMG25",False,1593378533652430849,4,9,9,1
RepBrianMast,Rep. Brian Mast,1593334383460638720,814103950404239360,en,1593334383460638720,2022-11-17T20:04:54.000Z,"Questions about what’s happening in Ukraine? Curious about what the midterm elections mean for the House of Representatives? I’m taking your questions live - head over my YouTube channel NOW.
https://t.co/OwIu6Yibf7",False,1593334383460638720,2,7,7,3
RepBrianMast,Rep. Brian Mast,1593304963949764608,814103950404239360,en,1593304963949764608,2022-11-17T18:08:00.000Z,"For the second year in a row, #Bidenflation is forcing families to skimp on Thanksgiving dinner.
https://t.co/nSnnR4sKGm",False,1593304963949764608,10,19,19,4
RepBrianMast,Rep. Brian Mast,1593017319139090436,814103950404239360,en,1593017319139090436,2022-11-16T23:05:00.000Z,"“Let’s just keep doing what we’re doing” is not a plan. There needs to be a plan whenever Congress is spending your money.

You can watch the full interview here: https://t.co/bzmoygud6l https://t.co/HWxyc1Bl0l",False,1593017319139090436,38,23,23,3
RepBrianMast,Rep. Brian Mast,1592941066587672579,814103950404239360,en,1592941066587672579,2022-11-16T18:02:00.000Z,"Thankfully, the Treasure Coast avoided any major tragedies after Hurricane Nicole. We are almost out of hurricane season, but now is a good time to make sure your family is prepared for future storms.
https://t.co/BleETJ1kwr",False,1592941066587672579,3,3,3,0
