handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepCarbajal,Rep. Salud Carbajal,1601337062275194881,816157667882373120,en,1601337062275194881,2022-12-09T22:04:41.000Z,"This Congress, @POTUS and @HouseDemocrats have made extraordinary progress #ForThePeople by:

🛣️ making historic investments into our roads &amp; bridges
🩺 significantly lowering the cost of healthcare
💼 creating millions of high paying jobs",False,1601337062275194881,0,4,4,0
RepCarbajal,Rep. Salud Carbajal,1601230067845435392,816157667882373120,en,1601230067845435392,2022-12-09T14:59:32.000Z,"RT @NewDemCoalition: Yesterday, New Dem Chair @RepDelBene and Immigration Task Force Co-Chairs @RepCarbajal and @RepGregStanton urged Congr…",False,1601230067845435392,2,0,0,0
RepCarbajal,Rep. Salud Carbajal,1601026937157083137,816157667882373120,en,1601026937157083137,2022-12-09T01:32:22.000Z,"Relieved to hear that Brittney Griner is coming home. 

Thank you @POTUS and @SecBlinken for working hard to secure her safe return! https://t.co/vsXnezXiUL",False,1601026937157083137,1,5,5,0
RepCarbajal,Rep. Salud Carbajal,1601002182865625088,816157667882373120,en,1601002182865625088,2022-12-08T23:54:00.000Z,"The House today approved the #FY23NDAA defense policy bill containing critical support for military families, @SLDelta30, and other investments which I fought for on the House Armed Services Committee.

As a veteran, I'm proud to have the backs of Central Coast servicemembers. https://t.co/mqU5954fZB",False,1601002182865625088,2,2,2,1
RepCarbajal,Rep. Salud Carbajal,1600981670764560384,816157667882373120,en,1600981670764560384,2022-12-08T22:32:29.000Z,"In 2019, a boat fire off the Central Coast tragically killed 34 people.

I've been fighting to reform antiquated liability laws that prevent victims' families from getting the justice they deserve.

This week, my and @SenFeinstein's bill is finally on a path to becoming law.",False,1600981670764560384,1,5,5,0
RepCarbajal,Rep. Salud Carbajal,1600962465138806784,816157667882373120,en,1600962465138806784,2022-12-08T21:16:10.000Z,"Today, the House PASSED the Respect for Marriage Act, protecting marriage equality for all.

I am proud to have co-sponsored this bill and eagerly await to see @POTUS sign it into law. #LoveWins 🌈 https://t.co/MdfObDKyMY",False,1600962465138806784,1,5,5,0
RepCarbajal,Rep. Salud Carbajal,1600930068611489792,816157667882373120,en,1600930068611489792,2022-12-08T19:07:26.000Z,"The Federal Firefighters Fairness Act is projected to benefit &gt;10,000 firefighters, and help them access the benefits they have worked hard to earn. 

After years of work, this bill is now included in a year-end deal that was passed today and will be signed this month!",False,1600929769964843008,1,1,1,0
RepCarbajal,Rep. Salud Carbajal,1600929769964843008,816157667882373120,en,1600929769964843008,2022-12-08T19:06:15.000Z,"For years, federal firefighters who fought on the frontlines in CA fighting wildfires weren’t entitled to the same health &amp; retirement benefits as their state counterparts. 

This is finally going to change as my Federal Firefighters Fairness Act makes its way to @POTUS's desk! https://t.co/NUKlmFCSNm",False,1600929769964843008,5,1,1,1
RepCarbajal,Rep. Salud Carbajal,1600660630117257217,816157667882373120,en,1600660630117257217,2022-12-08T01:16:47.000Z,"Before it expired, the expanded Child Tax Credit helped nearly 40 million American families cover necessities like rent, utilities, and food–lifting millions of children out of poverty. 

I will continue pushing to revive this crucial tax cut in our year-end funding bills.",False,1600660630117257217,12,3,3,2
RepCarbajal,Rep. Salud Carbajal,1600607437278613530,816157667882373120,en,1600607437278613530,2022-12-07T21:45:25.000Z,"Since my first day in Congress, I've been fighting for affordable, quality health care for every Californian.

That's why I voted for the Inflation Reduction Act, which cut health care costs across CA.

Learn more ⬇️ 

https://t.co/UKlvL2aNl3",False,1569801100634505219,0,2,2,0
RepCarbajal,Rep. Salud Carbajal,1600588426528657409,816157667882373120,en,1600588426528657409,2022-12-07T20:29:53.000Z,"Exciting news – the first-ever auction for West Coast ⚡️offshore wind projects ⚡️is now officially complete!

@BOEM's three Morro Bay leases saw more than $400 million in interest–proving that this renewable energy source will be an economic powerhouse for the Central Coast!",False,1600588426528657409,4,2,2,1
RepCarbajal,Rep. Salud Carbajal,1600555496423190528,816157667882373120,en,1600555496423190528,2022-12-07T18:19:01.000Z,"I'm heartened to hear that bipartisan talks are still underway in the Senate to reach a deal that protects Dreamers. While we have a long way to go, and action is still needed on other critical pieces like the Farm Workforce Modernization Act, these deliberations are encouraging.",False,1600555434447843328,1,1,1,0
RepCarbajal,Rep. Salud Carbajal,1600555434447843328,816157667882373120,en,1600555434447843328,2022-12-07T18:18:47.000Z,"Dreamers are our doctors, teachers, friends, &amp; beloved community members. But millions of them live in uncertainty over their status in the place they call home.

We must take action before the end of the year, &amp; give them the piece of mind they deserve. #HomeisHere https://t.co/vf6Wjsdk1B",False,1600555434447843328,8,4,4,0
RepCarbajal,Rep. Salud Carbajal,1600309463327846401,816157667882373120,es,1600309463327846401,2022-12-07T02:01:23.000Z,"Ayudé a Juana Flores, la madre del sargento de la Fuerza Aérea de los EE. UU. Caesar Flores, a regresar a este país después de ser deportada.

Los militares merecen la seguridad de saber que su familias pueden quedarse en el país al que han servido.",False,1600309427684315136,0,0,0,0
RepCarbajal,Rep. Salud Carbajal,1600309427684315136,816157667882373120,es,1600309427684315136,2022-12-07T02:01:14.000Z,"Tuve el honor de dirigir la Cámara antes de que aprobara mi proyecto de ley, La Ley de Protección de Padres Patriotas, que previene las deportaciones de los padres de militares. 

Le pido al Senado a que tome medidas sobre este proyecto de ley, y otras reformas.",False,1600309427684315136,2,2,2,0
RepCarbajal,Rep. Salud Carbajal,1600271255738863617,816157667882373120,en,1600271255738863617,2022-12-06T23:29:33.000Z,"Tomorrow is the last day for Medicare open enrollment!

Thanks to the Inflation Reduction Act, starting next year, Medicare beneficiaries will get a $35 price cap on insulin, access to free vaccines, and more.

Find a plan for you ➡️  https://t.co/ADlDfU1B4y https://t.co/nXdpS7R7Ks",False,1600271255738863617,6,4,4,0
RepCarbajal,Rep. Salud Carbajal,1600223436592513024,816157667882373120,en,1600223436592513024,2022-12-06T20:19:32.000Z,"In 2019, I helped Juana Flores from Goleta, the mother of U.S. Air Force Sgt. Caesar Flores, return to the U.S. after being deported.

I wrote this bill because servicemembers deserve the security of knowing their family can stay in the country they have served.",False,1600223355893796864,1,0,0,0
RepCarbajal,Rep. Salud Carbajal,1600223355893796864,816157667882373120,en,1600223355893796864,2022-12-06T20:19:13.000Z,"As a veteran, I was honored to preside over the House today before it approved my bill, the Patriot Parents Act, which helps prevent deportations of servicemembers' parents.

I urge the Senate to take action on not only this bill, but also other critical immigration reforms. https://t.co/BbUkErP0az",False,1600223355893796864,6,7,7,1
RepCarbajal,Rep. Salud Carbajal,1599925042150014976,816157667882373120,en,1599925042150014976,2022-12-06T00:33:49.000Z,"I was proud to help the PACT Act become law &amp; secure the largest expansion of veterans benefits in decades.

But the work is not done yet.

I will keep updating the Central Coast on its implementation &amp; making sure all qualifying veterans are able to access their benefits! https://t.co/lNZwOK2dOU",False,1599925042150014976,3,2,2,1
RepCarbajal,Rep. Salud Carbajal,1599892543625256961,816157667882373120,en,1599892543625256961,2022-12-05T22:24:41.000Z,"Gun violence is now the leading cause of death for American kids.

More than car crashes.

More than heart or lung conditions.

We must do more to protect our kids and build a safer future for them, starting with banning the sale of assault weapons. https://t.co/oT55OeOTGD",False,1599892543625256961,8,1,1,1
RepCarbajal,Rep. Salud Carbajal,1599870581016444928,816157667882373120,es,1599870581016444928,2022-12-05T20:57:25.000Z,"Los soñadores que han llamado a los Estados Unidos su hogar toda su vida merecen quedarse en el país al que tanto han contribuido.

El Senado debe tomar medidas y aprobar la Ley de Sueños y Promesas. #HomeisHere",False,1599870581016444928,2,0,0,1
RepCarbajal,Rep. Salud Carbajal,1599540351894978560,816157667882373120,en,1599540351894978560,2022-12-04T23:05:12.000Z,"The rise in anti-Semitism &amp; bigotry has no place in our society.

I'm glad to have advocates like @ADLSoCal Educator of the Year, Sarah Gluck Perez &amp; Ally of the Year, Rev. Randall Day to stand with as we condemn these prejudices on the Central Coast.

https://t.co/ESY3hYgfN8",False,1599540351894978560,3,2,2,0
RepCarbajal,Rep. Salud Carbajal,1599476827579248640,816157667882373120,en,1599476827579248640,2022-12-04T18:52:47.000Z,"I'm deeply grateful to the brave California firefighters and first responders who put their lives on the line to protect our community.

Your heroic work is remembered by all of Ventura and Santa Barbara Counties.",False,1599476776941473792,2,3,3,1
RepCarbajal,Rep. Salud Carbajal,1599476776941473792,816157667882373120,en,1599476776941473792,2022-12-04T18:52:35.000Z,"5 years ago, the Thomas Fire tore through the Central Coast &amp; caused devastating losses in our community. 

Since then, I've been working hard in Congress to help our community recover, and pass legislation to will make us more resilient in the worsening fire seasons. https://t.co/790YUOM6dD",False,1599476776941473792,3,2,2,1
RepCarbajal,Rep. Salud Carbajal,1599167272869777408,816157667882373120,en,1599167272869777408,2022-12-03T22:22:43.000Z,"Thank you Goleta Valley Junior High for inviting me to speak with your students!

I had the chance to emphasize the importance of education in my life, and answer questions about public service.

I'm excited to see what the future holds for these bright young minds! https://t.co/QKJc2exYwv",False,1599167272869777408,2,1,1,1
RepCarbajal,Rep. Salud Carbajal,1599110261918429184,816157667882373120,en,1599110261918429184,2022-12-03T18:36:11.000Z,"Dreamers who have called America home their entire lives deserve to stay in the country they've contributed so much to. 

The Senate must take action and pass the Dream and Promise Act. #HomeisHere",False,1599110261918429184,25,3,3,0
RepCarbajal,Rep. Salud Carbajal,1598804081761394689,816157667882373120,en,1598804081761394689,2022-12-02T22:19:32.000Z,"MAGA Republicans would rather crash our economy than fully protect the benefits our seniors have worked hard to earn.

...Seriously?!? https://t.co/9x5xAy5tlo",False,1598804081761394689,12,3,3,1
RepCarbajal,Rep. Salud Carbajal,1598727856313405440,816157667882373120,en,1598727856313405440,2022-12-02T17:16:38.000Z,"@NewDemCoalition Congratulations @RepAnnieKuster on your new role as Chairwoman,&amp; my fellow Vice Chairs @RepDavids, @RepDerekKilmer, &amp; @RepSchneider.

We all stand on the shoulders of our outgoing Chair @RepDelBene, whose leadership saw New Dems through one of our most productive Congresses ever!",False,1598727116048285696,3,0,0,0
RepCarbajal,Rep. Salud Carbajal,1598727116048285696,816157667882373120,en,1598727116048285696,2022-12-02T17:13:42.000Z,"I am so excited and honored to have been elected as a Vice Chair of the @NewDemCoalition!

Along with my colleagues, I will continue crafting commonsense solutions that will improve the lives of every American.

Let's get to work! https://t.co/qUz1zCnJzg",False,1598727116048285696,9,2,2,0
RepCarbajal,Rep. Salud Carbajal,1598459430785392640,816157667882373120,en,1598459430785392640,2022-12-01T23:30:00.000Z,"📺 Episode 10 of ""What's in the Inflation Reduction Act, Anyways?"" is here!

This week, learn about how this new law takes care of our seniors by:
⚕️ lowering health care premiums
👛 capping out-of-pocket health care costs
💊 making prescription drugs more affordable https://t.co/6np6xDOPvb",False,1598459430785392640,2,3,3,0
RepCarbajal,Rep. Salud Carbajal,1598445481222459408,816157667882373120,en,1598445481222459408,2022-12-01T22:34:35.000Z,"Last year, we lost more than 47,000 Americans to gun violence – the highest rate in decades.

I will never stop fighting for the gun safety legislation that can reverse this horrific trend and protect our communities from gun crime.

https://t.co/AJSDvkZhX4",False,1598445481222459408,2,12,12,0
