handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepCartwright,Matt Cartwright,1600960342963658764,776664410,en,1600960342963658764,2022-12-08T21:07:44.000Z,"When we support service members and their families, we’re investing in America’s national security. The #FY23NDAA would support a well-deserved pay raise for those who service our country – I’m so proud to support this bill.
https://t.co/J1OJwV3VVj https://t.co/jrxOvMxxDx",False,1600960342963658764,2,4,4,0
RepCartwright,Matt Cartwright,1600263564438081537,776664410,en,1600263564438081537,2022-12-06T22:58:59.000Z,"Congratulations @RepSpanberger for being elected Battleground Leader. I look forward to continued collaborations and offer my full support to help strengthen and promote your efforts,",False,1600263564438081537,20,2,2,2
RepCartwright,Matt Cartwright,1600262734704091136,776664410,en,1600262734704091136,2022-12-06T22:55:42.000Z,"Today, I am humbled and honored to have been elected to the Democratic Steering and Policy Committee, where I will continue to bring my perspective to the senior leadership team in the U.S. House of Representatives.
Read my entire statement: https://t.co/x60e6I2GH0",False,1600262734704091136,4,3,3,2
RepCartwright,Matt Cartwright,1600231056874999809,776664410,en,1600231056874999809,2022-12-06T20:49:49.000Z,"157 years ago, the 13th Amendment banned slavery except as punishment for a crime. I am proud to cosponsor @RepNikema and @SenJeffMerkley’s joint resolution to end this exception. Slavery is not acceptable under any circumstances. It’s time to abolish slavery once and for all. https://t.co/eN4wRrpdaj",False,1600231056874999809,10,3,3,0
RepCartwright,Matt Cartwright,1598430509864210432,776664410,en,1598430509864210432,2022-12-01T21:35:05.000Z,"Student #veterans honorably served our country. New bipartisan legislation I introduced today aims to set these military heroes up for success as they transition to civilian careers.
https://t.co/UObNyqYmx0",False,1598430509864210432,6,9,9,1
RepCartwright,Matt Cartwright,1598049624090374144,776664410,en,1598049624090374144,2022-11-30T20:21:35.000Z,"The strike-averting #rail legislation I voted for today allows for additional paid sick leave for rail workers. While the rail industry rakes in record profits, it’s unacceptable that workers have zero guaranteed paid sick days. Read my full statement: https://t.co/u5e0TuQST5",False,1598049624090374144,5,7,7,2
RepCartwright,Matt Cartwright,1592932406289661952,776664410,en,1592932406289661952,2022-11-16T17:27:35.000Z,"Today the Senate is taking a crucial step towards passing the #RespectForMarriageAct. As a proud cosponsor of the bill when it passed the House, I look forward to my Senate colleagues passing this important legislation. Let’s get this done. 🌈🌈🌈 https://t.co/7DT5bHvYKR",False,1592932406289661952,13,12,12,1
RepCartwright,Matt Cartwright,1592567308706512896,776664410,en,1592567308706512896,2022-11-15T17:16:49.000Z,"One year later and the Bipartisan Infrastructure Law is making it possible to put #NEPA back on the passenger rail map. This historic funding will upgrade America’s infrastructure, create good-paying jobs, and introduce new opportunities to ensure our best days are ahead of us. https://t.co/6xjQX0Yymr",False,1592567308706512896,8,6,6,0
RepCartwright,Matt Cartwright,1590113007056474112,776664410,en,1590113007056474112,2022-11-08T22:44:18.000Z,"Attention Luzerne County residents: If you were unable to vote today due to paper shortages and other issues, reminder that polls will be open until 10 p.m. TONIGHT. 
I fully support this extension to allow for maximum voter participation.",False,1590113007056474112,66,10,10,6
RepCartwright,Matt Cartwright,1587869603530776576,776664410,en,1587869603530776576,2022-11-02T18:09:49.000Z,"I know rising prices are squeezing too many families in #NEPA. With the historic Inflation Reduction Act, I'm working to lower prices: 
⚕️At the pharmacy
🩺In the doctor’s office
⛽️At the gas pump

I'll always put #PeopleOverPolitics",False,1587869603530776576,43,41,41,5
RepCartwright,Matt Cartwright,1587538175982960645,776664410,en,1587538175982960645,2022-11-01T20:12:50.000Z,"Open enrollment kicks off ❗️TODAY❗️for the Affordable Care Act marketplace. I voted for the American Rescue Plan and Inflation Reduction Act to expand important tax credits, saving #NEPA families an average of $800 a year, $2,400 per family. #GetCovered 
https://t.co/PmIrGtLCM7",False,1587538175982960645,12,8,8,1
RepCartwright,Matt Cartwright,1586338631077093379,776664410,en,1586338631077093379,2022-10-29T12:46:17.000Z,Marion and I wish Paul Pelosi a full and rapid recovery following reports of his successful surgery. Our prayers remain with the Pelosi family during this very difficult time.,False,1586338631077093379,6,15,15,1
RepCartwright,Matt Cartwright,1584607911099060224,776664410,en,1584607911099060224,2022-10-24T18:09:01.000Z,"On #WorldPolioDay, we celebrate polio health workers. They are uniquely positioned in communities to create and distribute information, which increases trust in vaccines and improves education about routine immunization. https://t.co/7f4MC41gq9",False,1584607911099060224,12,15,15,1
RepCartwright,Matt Cartwright,1584564546156777472,776664410,en,1584564546156777472,2022-10-24T15:16:42.000Z,"For those celebrating, I hope the #Diwali lights brighten your life and fill your day with happiness. Enjoy a wonderful day of festivities! https://t.co/h8zsjWPKoX",False,1584564546156777472,3,6,6,1
RepCartwright,Matt Cartwright,1582505007135408128,776664410,en,1582505007135408128,2022-10-18T22:52:49.000Z,"@MaseychikRobert Hi, this is the Comm Team for Congressman Cartwright. The debate is this Thursday, Oct. 20, and there's been quite a few town halls. #ScratchingOurHeads",False,1582428976437694464,1,3,3,0
RepCartwright,Matt Cartwright,1582428976437694464,776664410,en,1582428976437694464,2022-10-18T17:50:42.000Z,"Today marks the 50th anniversary of the Clean Water Act, which has protected clean water and public health for five decades. 
Right here in #NEPA, I'll keep fighting to clean up our rivers and streams in the wake of acid mine drainage: https://t.co/4geJrxcopI
#CWA50 https://t.co/IsOnJYZ5qU",False,1582428976437694464,7,14,14,0
RepCartwright,Matt Cartwright,1579904546339704832,776664410,en,1579904546339704832,2022-10-11T18:39:31.000Z,"Proud to recognize Nanticoke native, Capt. Daryle Cardone, who assumed command of the USS Ronald Reagan in waters just off the Korean Peninsula. Thank you Capt. Cardone and your 5,000 crew members for protecting and defending the United States.

https://t.co/W1Uyj0cPp6",False,1579904546339704832,9,7,7,0
RepCartwright,Matt Cartwright,1578509932436983808,776664410,en,1578509932436983808,2022-10-07T22:17:49.000Z,"This #NationalManufacturingDay, we have a lot to celebrate in #NEPA. 
Companies are moving and expanding here, we're investing in workforce development to meet industry need, and advanced technologies are introducing new careers.
Manufacturing is our history and our future. https://t.co/vVNkQk9DSC",False,1578509932436983808,9,12,12,0
RepCartwright,Matt Cartwright,1578108409442103296,776664410,en,1578108409442103296,2022-10-06T19:42:19.000Z,"It’s outrageous that by inflating global oil prices, OPEC has chosen to financially empower Putin, further funding his criminal war against Ukraine. As a nation, we need to reevaluate our relationship with the Saudis and remind them who the superpower is. 
https://t.co/2OUptBMRhw",False,1578108409442103296,42,21,21,3
RepCartwright,Matt Cartwright,1577760278669819904,776664410,en,1577760278669819904,2022-10-05T20:38:58.000Z,"Get on the Bus: The Inflation Reduction Act caps the price of insulin at $35/month for 7,700 Medicare beneficiaries right here in #NEPA.  
If you use Novolog, one of the most prescribed insulins, you'll save $1,411 in 2023 thanks to this legislation. #SorryNotSorryBigPharma https://t.co/hXKxNgpUEj",False,1577760278669819904,19,6,6,1
RepCartwright,Matt Cartwright,1577402399290843136,776664410,en,1577402399290843136,2022-10-04T20:56:53.000Z,"Wishing Jewish communities around the world a peaceful #YomKippur!  
 May all who celebrate enjoy a meaningful day of prayer and an easy fast. https://t.co/QKHGW2VA2l",False,1577402399290843136,2,4,4,0
RepCartwright,Matt Cartwright,1577021137577725952,776664410,en,1577021137577725952,2022-10-03T19:41:53.000Z,"Proud to recognize the Pocono Mountains United Way on their 80th anniversary. I am honored to stand with them because as they say, “We’re all in this together. For the Pocono Mountains.” I couldn’t agree more. https://t.co/Nkqox3ZqSB",False,1577021137577725952,1,4,4,0
RepCartwright,Matt Cartwright,1573023251315449858,776664410,en,1573023251315449858,2022-09-22T18:55:43.000Z,"Today, I'm voting to make #NEPA safer by voting for the #InvestToProtectAct, giving local police the tools they need to fight crime. It will especially help our region's smaller law enforcement agencies fund training, mental health support, and recruitment and retention efforts. https://t.co/jVNPjjdCgu",False,1573023251315449858,7,15,15,1
RepCartwright,Matt Cartwright,1571925579766681600,776664410,en,1571925579766681600,2022-09-19T18:13:57.000Z,"Today, I’m proud to stand by my colleagues for #CongressGoesPurple to celebrate #RecoveryMonth. Substance use and mental health disorders can affect us all, so let’s work together to support those in recovery. https://t.co/5pVoVoADFA",False,1571925579766681600,7,8,8,0
RepCartwright,Matt Cartwright,1569769209806086145,776664410,en,1569769209806086145,2022-09-13T19:25:19.000Z,"The #InflationReductionAct is an historic victory for #NEPA families – advancing your interests over special interests. 
This life-changing legislation: 
✅ Slashes prescription drug costs
✅ Lowers the cost of health care
✅ Lowers the deficit and reduces inflation https://t.co/eZTphq7nYI",False,1569769209806086145,10,16,16,0
RepCartwright,Matt Cartwright,1565329640356470786,776664410,en,1565329640356470786,2022-09-01T13:24:03.000Z,"Congratulations @MaryPeltola on winning Alaska's special election! The first Native Alaskan elected to Congress, she's also the 1st Dem to take a House Seat in the Last Frontier State in nearly 50 years. I look forward to serving with you in D.C.",False,1565329640356470786,8,13,13,3
RepCartwright,Matt Cartwright,1559256612744871944,776664410,en,1559256612744871944,2022-08-15T19:12:00.000Z,"Observed the 87th anniversary of #SocialSecurity with a great group of seniors today. A lot has changed in 87 years, but Social Security's reliability has not. I'm also a proud cosponsor of Social Security2100: A #SacredTrust because I want to expand benefits now! https://t.co/TMmCoIxst9",False,1559256612744871944,11,26,26,2
RepCartwright,Matt Cartwright,1558460867892727812,776664410,en,1558460867892727812,2022-08-13T14:30:00.000Z,"I am pleased to announce that NASA will be offering an industry day and matchmaking event focused on aerospace contract opportunities for local businesses. The event will be held Friday, September 23, at the University of Scranton’s DeNaples Center. Visit https://t.co/OOH9h8S0wq https://t.co/SEBMHunqU6",False,1558460867892727812,2,12,12,1
RepCartwright,Matt Cartwright,1558212557550362624,776664410,en,1558212557550362624,2022-08-12T22:03:18.000Z,"Today, the U.S. House passed the Inflation Reduction Act, paving the way for it to be signed into law. This is the action the American people have been waiting for, and I’m proud to be delivering for families and communities across NEPA.  https://t.co/oa5tTHFqBp",False,1558212557550362624,16,17,17,2
RepCartwright,Matt Cartwright,1557841788026511360,776664410,en,1557841788026511360,2022-08-11T21:30:00.000Z,Congratulations to Pittston Mayor Mike Lombardo on receiving the Mayor of the Year Award from the Pennsylvania State Mayors’ Association! https://t.co/sQyxrLIvUr,False,1557841788026511360,5,5,5,1
RepCartwright,Matt Cartwright,1556729109983657986,776664410,en,1556729109983657986,2022-08-08T19:48:37.000Z,"I applaud the Senate passage of the Inflation Reduction Act, which will lower the cost of prescription drugs, health insurance and energy costs while fighting inflation, reducing the deficit and making wealthy corporations finally pay their fair share. https://t.co/oa5tTHFqBp",False,1556729109983657986,7,51,51,3
RepCartwright,Matt Cartwright,1555016432886452225,776664410,en,1555016432886452225,2022-08-04T02:23:03.000Z,"Today, we sadly mourn the tragic passing of Rep. Walorski and the staff members traveling with her. Our thoughts and prayers are with their families and loved ones. 
https://t.co/GtUyDsapDY",False,1555016432886452225,5,7,7,0
