handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepCheri,Rep. Cheri Bustos,1601568509942980608,1092979962,en,1601568509942980608,2022-12-10T13:24:23.000Z,"“It’s the people at home who are my boss, and I never want to lose sight of that.”

Check out the story behind each of my 120 Cheri-on-Shifts over the last 10 years.  ⬇️ https://t.co/xD97SIwPtO",False,1601568509942980608,0,1,1,0
RepCheri,Rep. Cheri Bustos,1601343736612802560,1092979962,en,1601343736612802560,2022-12-09T22:31:12.000Z,"Last stop at @qctimes, my former stomping grounds!

Thank you, @barb_ickes, for sitting down with me to talk about the wins I’ve secured for the Quad Cities over the last decade. https://t.co/5wgmwAisjK",False,1601241914095042560,0,0,0,0
RepCheri,Rep. Cheri Bustos,1601323362415845376,1092979962,en,1601323362415845376,2022-12-09T21:10:15.000Z,"Fifth stop at @WQAD!

I had a wonderful time sitting down with @ShelbyKluver to share my story of doing 120 Cheri-on-Shifts across NW &amp; Central Illinois and reflected on some lessons I learned from my mentor and colleague @SenatorDurbin. https://t.co/1ATYKmXJTN",False,1601241914095042560,0,1,1,0
RepCheri,Rep. Cheri Bustos,1601301455578664965,1092979962,en,1601301455578664965,2022-12-09T19:43:12.000Z,"Fourth stop at @25NewsWEEK!

I had a great time discussing my work with @RepLaHood to secure $4.5M to save the Peoria Ag Lab from funding cuts &amp; another $1M in federal funds to demolish the former Harrison School. I hope to leave a legacy of accomplishment and a stronger Peoria! https://t.co/h33h9cOOoo",False,1601241914095042560,1,1,1,0
RepCheri,Rep. Cheri Bustos,1601288892929708034,1092979962,en,1601288892929708034,2022-12-09T18:53:17.000Z,"Third stop at @WTVP!

Thank you, H. Wayne Wilson, for having me in the studio today to discuss my work bringing farmers into the climate change debate through my Rural Green Partnership! 

But, don't be tricked by the photo; I'm not retired yet! 😉 https://t.co/1u3VP4vP2d",False,1601241914095042560,1,1,1,0
RepCheri,Rep. Cheri Bustos,1601264425901531137,1092979962,en,1601264425901531137,2022-12-09T17:16:03.000Z,"Second stop at @WCBURadio!

I had a wonderful time sitting down with @bounty682 to talk about my long track record supporting the use of homegrown biofuels and how my law to #EndForcedArbitration allows survivors of sexual assault and harassment to bring their cases to court. https://t.co/0kTsS5Ggi8",False,1601241914095042560,0,1,1,0
RepCheri,Rep. Cheri Bustos,1601255569922592768,1092979962,en,1601255569922592768,2022-12-09T16:40:52.000Z,"First stop at @WMBDNews!

It was great chatting about my five terms being a voice for Peoria in Washington. I’ve been proud to secure millions in federal funding for critical projects in Peoria, including $15M to construct a new air traffic control tower at @FLYPIA. https://t.co/9nC8VSrmRa",False,1601241914095042560,0,5,5,0
RepCheri,Rep. Cheri Bustos,1601241914095042560,1092979962,en,1601241914095042560,2022-12-09T15:46:36.000Z,"Today, I’m embarking on the next part of my media tour across Northwest and Central Illinois! I can’t wait to meet with our local reporters to chat about my decade in service.

Follow along for updates! 🧵",False,1601241914095042560,2,1,1,2
RepCheri,Rep. Cheri Bustos,1600952812019781632,1092979962,en,1600952812019781632,2022-12-08T20:37:49.000Z,"Over the last 10 years, I’ve done 120 of something I called Cheri-on-Shifts. I job-shadowed folks and walked in the shoes of the people I serve, to get a firsthand view of the challenges Illinoisans face every day.

This is the story behind a decade Cheri-on-Shifts ⬇️ https://t.co/4ON5lraqDV",False,1600952812019781632,10,5,5,3
RepCheri,Rep. Cheri Bustos,1600933159881052160,1092979962,en,1600933159881052160,2022-12-08T19:19:43.000Z,"For the last decade, I've had the honor of nominating students from NW &amp; Central IL to attend our nation's service academies.

Today, I’m proud to announce the nominations of 8 young leaders who will represent our region well at these prestigious institutions. Congratulations! https://t.co/cJGPlsSeqt",False,1600933159881052160,2,1,1,1
RepCheri,Rep. Cheri Bustos,1600889785496653830,1092979962,en,1600889785496653830,2022-12-08T16:27:22.000Z,"NEWS: The Respect for Marriage Act heads to @POTUS' desk to be signed into law!

Today, we sent a clear message that no matter who you are or who you love, you deserve equal treatment under the law. I'm so proud to cast my vote for this historic bill. #LoveWins https://t.co/boQsctmMBA",False,1600889785496653830,3,5,5,1
RepCheri,Rep. Cheri Bustos,1600681558582923264,1092979962,en,1600681558582923264,2022-12-08T02:39:57.000Z,"As I reflect on the last 10 years, I'm proud to leave a legacy of putting the people I serve above politics. It's been an honor to bring their voices to Congress.

Thank you, @JeffKolkey, for this beautiful story! https://t.co/kRw92GrlMT",False,1600681558582923264,6,5,5,1
RepCheri,Rep. Cheri Bustos,1600582749127118865,1092979962,en,1600582749127118865,2022-12-07T20:07:19.000Z,"Today, @POTUS signed the Speak Out Act into law, which builds on my law to #EndForcedArbitration for sexual assault and harassment claims. 

This package is one of the MOST significant wins for labor and women’s rights this century! https://t.co/8UQ9hRCxCW",False,1600582749127118865,71,20,20,1
RepCheri,Rep. Cheri Bustos,1600488437555109890,1092979962,en,1600488437555109890,2022-12-07T13:52:33.000Z,"Eighty-one years ago, the course of our nation's history changed forever.

Today, we remember all the brave men and women who lost their lives at #PearlHarbor - and we honor the millions of servicemembers who served our country in the days and years that followed. https://t.co/NqByvN38gV",False,1600488437555109890,5,8,8,0
RepCheri,Rep. Cheri Bustos,1600175265857953798,1092979962,en,1600175265857953798,2022-12-06T17:08:07.000Z,"I’m forever grateful to the officers who defended the U.S. Capitol &amp; saved my life, the lives of my colleagues &amp; our staff on Jan. 6, 2021.

Today, I joined my colleagues at the Congressional Gold Medal Ceremony to honor the service and sacrifice of our brave officers. https://t.co/nT2UpEgOe1",False,1600175265857953798,2,2,2,0
RepCheri,Rep. Cheri Bustos,1599835743526223873,1092979962,en,1599835743526223873,2022-12-05T18:38:59.000Z,"It's beginning to look a lot like Christmas…🎄

Over the weekend, my husband, Gerry, put up our lovely Christmas trees in Illinois, and here in Washington, I also decided to decorate. Happy holidays! https://t.co/JBgcnSMq8Y",False,1599835743526223873,1,2,2,1
RepCheri,Rep. Cheri Bustos,1599549077951168514,1092979962,en,1599549077951168514,2022-12-04T23:39:53.000Z,The issues that impact rural America and our farmers can’t take a back seat - Democrats need to show up everywhere to get all of our communities on board. https://t.co/Hl90k425EK,False,1599549077951168514,5,5,5,0
RepCheri,Rep. Cheri Bustos,1599509305832525824,1092979962,en,1599509305832525824,2022-12-04T21:01:50.000Z,"When Barack Obama campaigned in the Midwest, he pulled in rural voices and made sure everyone got a seat at the table.

He may not have won every rural county, but he earned a lot of rural votes. 

A good leader knows the value of showing up. 

WATCH my panel on @cnn here ⬇️ https://t.co/7iGSaC86H3",False,1599509305832525824,2,2,2,0
