handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepChrisPappas,Rep. Chris Pappas,1600908902404861955,1067748650485497862,en,1600908902404861955,2022-12-08T17:43:20.000Z,"The #RespectForMarriageAct takes an important step forward to protect spousal rights and provide families with peace of mind, regardless of what the Court does next.

I'm thrilled to see this bill pass with a strong bipartisan vote, and look forward to seeing it signed into law. https://t.co/lZK6GPIIBm",False,1600908902404861955,6,5,5,2
RepChrisPappas,Rep. Chris Pappas,1600848923500740609,1067748650485497862,en,1600848923500740609,2022-12-08T13:45:00.000Z,"Today, we’ll take another step forward to repeal the discriminatory Defense of Marriage Act and ensure critical protections for same-sex and interracial marriages. 

I look forward to voting today to send the #RespectForMarriageAct to the President’s desk.🌈",False,1600848923500740609,22,8,8,1
RepChrisPappas,Rep. Chris Pappas,1600584682478788608,1067748650485497862,en,1600584682478788608,2022-12-07T20:15:00.000Z,"Cancer screenings and early detection save lives, and it’s vital we ensure coverage of this care.

That’s why I joined a bipartisan letter calling for House leadership to hold a vote on the Medicare Multi-Cancer Early Detection Screening Coverage Act. https://t.co/DZgsqaVGqS",False,1600584682478788608,5,2,2,1
RepChrisPappas,Rep. Chris Pappas,1600531833828974592,1067748650485497862,en,1600531833828974592,2022-12-07T16:45:00.000Z,"National Pearl Harbor Remembrance Day is an important and sacred day in our nation’s history, and a time to remember those who gave their lives in defense of freedom 81 years ago at Pearl Harbor. https://t.co/zJENzxAfj0",False,1600531833828974592,2,3,3,0
RepChrisPappas,Rep. Chris Pappas,1600494085634228224,1067748650485497862,en,1600494085634228224,2022-12-07T14:15:00.000Z,"Don't forget  - today is the last day of Medicare Open Enrollment!

Go to https://t.co/wyhg2HlF3A or call 1-800-MEDICARE to compare coverage options and choose a plan for 2023.",False,1600494085634228224,1,3,3,0
RepChrisPappas,Rep. Chris Pappas,1600251234883014659,1067748650485497862,en,1600251234883014659,2022-12-06T22:10:00.000Z,"Glad to see @EPA heed my call to ensure this new rule will improve reporting of PFAS contamination. 

I will continue working to stop PFAS contamination, safeguard our drinking water, and protect our communities.
https://t.co/jsLYXhNyRx",False,1600251234883014659,2,2,2,1
RepChrisPappas,Rep. Chris Pappas,1600207194603102208,1067748650485497862,en,1600207194603102208,2022-12-06T19:15:00.000Z,"The January 6, 2021 attack on our democracy would have succeeded were it not for the courage &amp; sacrifice of our law enforcement.

While we will never be able to fully repay them, I hope this honor will serve as an enduring symbol of our gratitude.
https://t.co/CC1ATFkOEG",False,1600207194603102208,1,3,3,0
RepChrisPappas,Rep. Chris Pappas,1599539044270186500,1067748650485497862,en,1599539044270186500,2022-12-04T23:00:00.000Z,"Is your #Medicare plan still right for you for 2023? You may be able to find lower premiums &amp; better coverage! #MedicareOE 

Learn more before open enrollment ends on December 7th at https://t.co/QV2z8GZhWY.",False,1599539044270186500,0,4,4,0
RepChrisPappas,Rep. Chris Pappas,1599418258003632128,1067748650485497862,en,1599418258003632128,2022-12-04T15:00:03.000Z,"Blocked funding has stopped organizations in New Hampshire from continuing critical sex ed and pregnancy prevention programs.

I’m working to deliver federal support to these programs to keep them running.
https://t.co/Rw9xEE97Sa",False,1599418258003632128,1,7,7,0
RepChrisPappas,Rep. Chris Pappas,1599086061145071616,1067748650485497862,en,1599086061145071616,2022-12-03T17:00:01.000Z,"On International Day of Persons with Disabilities we  recommit ourselves to fighting for the dignity, rights and well-being of all persons with disabilities. 

Today and every day let us continue to fight for equality for those with disabilities. #IDPD2022",False,1599086061145071616,0,2,2,0
