handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepChuck,Chuck Fleischmann,1600962033910190080,235190657,en,1600962033910190080,2022-12-08T21:14:27.000Z,RT @RepMarkGreen: No more vaccine mandate. Our military men and women have waited far too long for this day.,False,1600962033910190080,11,0,0,0
RepChuck,Chuck Fleischmann,1600960716147662875,235190657,en,1600960716147662875,2022-12-08T21:09:13.000Z,"I'm proud that @HouseGOP was able to secure an end to President Biden's unfair COVID-19 vaccine mandate that has depleted our military's ranks and a 4.6% pay increase for our servicemembers.

We will always support our military, and this year's NDAA does just that.",False,1600960714385915904,0,1,1,0
RepChuck,Chuck Fleischmann,1600960714385915904,235190657,en,1600960714385915904,2022-12-08T21:09:13.000Z,"Today, the House overwhelmingly passed the National Defense Authorization Act. The NDAA will help strengthen our military and ensure our fighting forces have the tools and resources to protect our nation from any threats.",False,1600960714385915904,2,2,2,0
RepChuck,Chuck Fleischmann,1600554483318243370,235190657,en,1600554483318243370,2022-12-07T18:15:00.000Z,"Today, we pause to honor the memory of the 2,403 Americans killed in the attack on Pearl Harbor 81 years ago.

Our nation, and the entire world, will be forever grateful to the Greatest Generation who answered the call to stop the forces of evil and allow freedom to flourish. https://t.co/tVkLtzM4xe",False,1600554483318243370,3,1,1,1
RepChuck,Chuck Fleischmann,1600474883045015558,235190657,en,1600474883045015558,2022-12-07T12:58:42.000Z,"Whether it's the border crisis, a failing energy agenda, or weakening our military, the Biden Administration is doubling down on failed policies that are hurting the American People.

We need to change course to get America back on track. https://t.co/bBVgrOUbf2",False,1600474883045015558,0,4,4,0
RepChuck,Chuck Fleischmann,1600250442297942018,235190657,en,1600250442297942018,2022-12-06T22:06:51.000Z,"I'm proud to have led the effort in DC to have Oak Ridge designated as Tennessee's only American World War II Heritage City by the NPS.

.@cityofoakridge played a critical role in history, and I congratulate the city on receiving this designation. https://t.co/TlqKcdSb1V",False,1600250440247283712,2,0,0,1
RepChuck,Chuck Fleischmann,1600250440247283712,235190657,en,1600250440247283712,2022-12-06T22:06:50.000Z,"Oak Ridge is known as the ""Secret City"" for its top-secret work to develop the atomic bomb as part of the Manhattan Project during WWII.

The work accomplished at Oak Ridge ended WWII and changed the world forever.",False,1600250440247283712,2,2,2,0
RepChuck,Chuck Fleischmann,1600165731085144071,235190657,en,1600165731085144071,2022-12-06T16:30:14.000Z,"While President Biden is in Arizona, he won't visit our southern border - something he has refused to do for two years.

We have a crisis at our border, and the buck stops with the President. I urge him to visit the border so he can see the results of his open border policies.",False,1600165731085144071,1,3,3,0
RepChuck,Chuck Fleischmann,1599819188998402048,235190657,en,1599819188998402048,2022-12-05T17:33:12.000Z,"RT @NatlParkService: Eighteen new communities across the United States have been designated as American World War II Heritage Cities. 

Lea…",False,1599819188998402048,11,0,0,0
RepChuck,Chuck Fleischmann,1599816327556141058,235190657,en,1599816327556141058,2022-12-05T17:21:50.000Z,"I’m proud to have been the strongest advocate for the National Park Service to give Oak Ridge this high honor.

I’m grateful to my fellow TN Members in the House and Senate for supporting Oak Ridge being given this designation by the NPS.",False,1599816324623962112,1,0,0,0
RepChuck,Chuck Fleischmann,1599816324623962112,235190657,en,1599816324623962112,2022-12-05T17:21:49.000Z,"Oak Ridge has been named a World War II Heritage City by the @NatlParkService!

Oak Ridge was a significant site for the development of the Manhattan Project that ended WWII and changed human history forever. https://t.co/q8WHkMbZ66",False,1599816324623962112,3,1,1,0
RepChuck,Chuck Fleischmann,1598742587929759754,235190657,en,1598742587929759754,2022-12-02T18:15:10.000Z,"Congratulations to @baylorschool on winning the  BlueCross Bowl for the state football championship for the first time in 49 years!

The Red Raiders have made Chattanooga, Hamilton County, and all of East Tennessee incredibly proud! https://t.co/1MQHBSYS4Q",False,1598742587929759754,2,3,3,0
RepChuck,Chuck Fleischmann,1598338149519859718,235190657,en,1598338149519859718,2022-12-01T15:28:05.000Z,"Since coming to Congress, I’ve been proud to build a strong partnership between Chattanooga and Oak Ridge.

.@EPB_Chattanooga’s announcement of their new Quantum Network will deepen that partnership and continue to make East TN the leader in new, innovative technologies. https://t.co/sECeXwXCV4",False,1598338149519859718,1,0,0,0
RepChuck,Chuck Fleischmann,1596951613490753537,235190657,en,1596951613490753537,2022-11-27T19:38:29.000Z,"RT @NEWSMAX: ""I think [Homeland Security Secretary Alejandro] Mayorkas should be worried, the country should be worried,"" Fleischmann said.…",False,1596951613490753537,66,0,0,0
RepChuck,Chuck Fleischmann,1596564443214798850,235190657,en,1596564443214798850,2022-11-26T18:00:00.000Z,"Congratulations to Anderson County High School for advancing to the state football championship for the first time in school history!

All of East Tennessee and Anderson County is rooting for y'all! @ACSchoolsTN @ACMav4Life https://t.co/9meAvZNS3c",False,1596564443214798850,8,3,3,1
RepChuck,Chuck Fleischmann,1596542014325428224,235190657,en,1596542014325428224,2022-11-26T16:30:53.000Z,"Small businesses across East Tennessee represent the best of our community and power our economy.

On this #SmallBusinessSaturday, let's get out and support entrepreneurs across #TN03! https://t.co/UcOduuxt4f",False,1596542014325428224,0,4,4,1
RepChuck,Chuck Fleischmann,1595920046106312704,235190657,en,1595920046106312704,2022-11-24T23:19:24.000Z,"From Brenda and me, and our entire family, we wish everyone a very happy and blessed Thanksgiving! https://t.co/vNwbOF6HpS",False,1595920046106312704,1,0,0,0
RepChuck,Chuck Fleischmann,1595798787884306436,235190657,en,1595798787884306436,2022-11-24T15:17:34.000Z,"Happy Thanksgiving! Today we thank God for the blessings He has given our community, state, and nation.

I hope you and your family have a happy and wonderful holiday today! https://t.co/kWGRY0P4Vw",False,1595798787884306436,0,4,4,0
RepChuck,Chuck Fleischmann,1595797289989246977,235190657,en,1595797289989246977,2022-11-24T15:11:37.000Z,RT @HouseGOP: Wishing you and your loved ones a happy Thanksgiving! https://t.co/wz2ldaco0D,False,1595797289989246977,64,0,0,0
RepChuck,Chuck Fleischmann,1595188573975810048,235190657,en,1595188573975810048,2022-11-22T22:52:47.000Z,"First National Bank of Oneida has served Scott County and Oneida for over 110 years and is a fixture of the community.

It was great to be with so many people and local leaders to celebrate the grand opening of their new main office! https://t.co/jSGxVIzpIl",False,1595188573975810048,0,1,1,0
RepChuck,Chuck Fleischmann,1595090404273160194,235190657,en,1595090404273160194,2022-11-22T16:22:42.000Z,"Oak Ridge National Lab Director Thomas Zacharia has presided over advancements in nuclear research, supercomputing, and much more. Without his leadership, @ORNL  wouldn’t be the premier scientific institution it is today.

I congratulate Dr. Zacharia on his upcoming retirement! https://t.co/JAfwxMVsPo",False,1595090404273160194,1,2,2,0
RepChuck,Chuck Fleischmann,1594706728209506305,235190657,en,1594706728209506305,2022-11-21T14:58:06.000Z,Great time last night at Apison Baptist Church’s annual community Thanksgiving Dinner! I enjoyed seeing so many people and gathering together to give thanks for all our community's blessings over the last year. https://t.co/vdLKyBIOUs,False,1594706728209506305,2,2,2,0
RepChuck,Chuck Fleischmann,1593986202717151232,235190657,en,1593986202717151232,2022-11-19T15:15:00.000Z,"Inflation is continuing to take a major bite out of Americans' budgets.

Our priority when Republicans take control of Congress in January must be lowering food costs, energy prices, fixing our supply chains, and getting our economy back on track. https://t.co/X9vsWp7AK8",False,1593986202717151232,2,12,12,0
RepChuck,Chuck Fleischmann,1593657817730277378,235190657,en,1593657817730277378,2022-11-18T17:30:07.000Z,"Appreciated receiving an update on construction at the Chickamauga Lock by Nashville District Corps of Engineers Commander Lt. Col. Joe Sahl.

The Chickamauga Lock Replacement Project is critical to #TN03 and our whole state. Thank you to the @USACEHQ for their ongoing work. https://t.co/frAduQ2jJR",False,1593657817730277378,2,7,7,1
