handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepCicilline,Congressman David N. Cicilline,1601369406533427202,462143773,en,1601369406533427202,2022-12-10T00:13:13.000Z,"Happy to join Middletown Senior Center for their annual christmas tree lighting.

Great to see so much holiday cheer! 🎄 https://t.co/4ZClLlvy3f",False,1601369406533427202,3,2,2,0
RepCicilline,Congressman David N. Cicilline,1601007475037437953,462143773,en,1601007475037437953,2022-12-09T00:15:01.000Z,"Instead of listening to its peoples demands for freedom, the Iranian regime executed a protestor in cold blood. Such a gross human rights violation has no place in the 21st century. 

Th US must continue to support Iranian protestors and ensure the regime is held accountable. https://t.co/HSIjbl2VDW",False,1601007475037437953,86,32,32,5
RepCicilline,Congressman David N. Cicilline,1600987075276288000,462143773,en,1600987075276288000,2022-12-08T22:53:58.000Z,"Persistence pays off.

For the 3rd time in two yrs, the House passed my &amp; @SenWhitehouse's AMIGOS Act to strengthen relations &amp; expand business opportunities btwn the US &amp; Portugal.

Included in the must-pass NDAA, it will soon be headed to POTUS's desk.
https://t.co/m1xl5buYV4",False,1600987075276288000,7,4,4,1
RepCicilline,Congressman David N. Cicilline,1600972060955537409,462143773,en,1600972060955537409,2022-12-08T21:54:18.000Z,"Today, to ensure that Vet Centers provide the high quality services our veterans and their families need and deserve, the House passed the Vet Center Improvement Act, overdue legislation that I've been working on with @SenJackReed.
https://t.co/wpxTZbcRvt",False,1600972060955537409,6,7,7,0
RepCicilline,Congressman David N. Cicilline,1600964955062571008,462143773,en,1600964955062571008,2022-12-08T21:26:04.000Z,RT @LGBTEqCaucus: Today we received wonderful news that Brittney Griner will be returning back to the United States after her unjust detain…,False,1600964955062571008,4,0,0,0
RepCicilline,Congressman David N. Cicilline,1600940715218915328,462143773,en,1600940715218915328,2022-12-08T19:49:45.000Z,"For the first time in a decade, we sent a major LGBTQ+ bill to the President's desk.

Today's passage of the #RespectForMarriageAct is a monumental win in our fight for LGBTQ+ equality, but our work does not stop here. 🏳️‍🌈 https://t.co/ipxIQDSZAV",False,1600940715218915328,23,9,9,2
RepCicilline,Congressman David N. Cicilline,1600854100031459328,462143773,en,1600854100031459328,2022-12-08T14:05:34.000Z,"#TheRespectforMarriageAct is a key win towards full equality in this country. 

I am proud to have introduced this legislation &amp; am looking forward to sending it to @POTUS for his signature.

Let’s do this! 🏳️‍🌈 https://t.co/scHNvVCYtL",False,1600854100031459328,33,12,12,2
RepCicilline,Congressman David N. Cicilline,1600601304690266134,462143773,en,1600601304690266134,2022-12-07T21:21:03.000Z,"Proud to have worked with @RepLoisFrankel, @RepKenBuck, @RepCheri, @RepJayapal, &amp; @RepBurgessOwens on this bipartisan and transformative protection for survivors of sexual assault and thrilled to see @POTUS sign it into law today. https://t.co/twvXu8aghn",False,1600601304690266134,36,14,14,1
RepCicilline,Congressman David N. Cicilline,1600589286067183617,462143773,en,1600589286067183617,2022-12-07T20:33:17.000Z,"Today we honor the brave Americans who defended our nation at Pearl Harbor 81 years ago, and remember the more than 2,000 servicemembers who lost their lives that day. https://t.co/4zPGQ0JcB3",False,1600589286067183617,7,10,10,0
RepCicilline,Congressman David N. Cicilline,1600318145452875776,462143773,en,1600318145452875776,2022-12-07T02:35:53.000Z,RT @fred_guttenberg: The diagnosis:  Gun violence.,False,1600318145452875776,181,0,0,0
