handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepCuellar,Rep. Henry Cuellar,1593744768684634112,210926192,en,1593744768684634112,2022-11-18T23:15:37.000Z,My prayers go out to the families of the CBP agents who were ambushed off the coast of Puerto Rico yesterday. I want to reiterate my support for the men and women at @CBP and express my upmost appreciation for everything y’all do. My thoughts and prayers.  https://t.co/rFpWJxvePe,False,1593744768684634112,4,10,10,1
RepCuellar,Rep. Henry Cuellar,1593642729510244354,210926192,ca,1593642729510244354,2022-11-18T16:30:09.000Z,"🚨Endorsements🚨 

@RepJeffries @RepKClark @WhipClyburn @RepPeteAguilar https://t.co/tEiWoS46Wh",False,1593642729510244354,1,7,7,1
RepCuellar,Rep. Henry Cuellar,1593636609819381767,210926192,en,1593636609819381767,2022-11-18T16:05:50.000Z,"I strongly endorse my good friend @WhipClyburn to be the Assistant Democratic Leader in the 118th Congress

I’ve served alongside Jim for nearly 20 years and have the utmost respect for his work ethic, leadership, and consistent support. 

Jim, as always, I have your back!",False,1593636609819381767,3,7,7,1
RepCuellar,Rep. Henry Cuellar,1593630266718920709,210926192,en,1593630266718920709,2022-11-18T15:40:38.000Z,"I support my good friend @RepPeteAguilar to be the next Chair of the Democratic Caucus

After serving with Pete on the Appropriations Committee, I know that he is a diligent legislator and true leader

Pete has my complete support and endorsement!",False,1593630266718920709,3,6,6,0
RepCuellar,Rep. Henry Cuellar,1593624490927333376,210926192,en,1593624490927333376,2022-11-18T15:17:41.000Z,"It’s with great honor that I strongly endorse my friend @RepJeffries to be the next leader of the Democratic Caucus

Hakeem is the future of our party and has my full, unwavering support. 

Let’s get to work and keep delivering for the American people in the 118th Congress!",False,1593624490927333376,5,5,5,0
RepCuellar,Rep. Henry Cuellar,1593600914169991168,210926192,en,1593600914169991168,2022-11-18T13:44:00.000Z,"I support and endorse my friend @RepKClark in her bid to be the next Whip of the Democratic Caucus.

The bottom line is this: Katherine gets the job done. 

She is a fighter for working families and together we will deliver, empower, and unite.",False,1593600914169991168,7,7,7,0
RepCuellar,Rep. Henry Cuellar,1590811040178376704,210926192,en,1590811040178376704,2022-11-10T20:58:02.000Z,"Thank you TX-28! I’m humbled for the opportunity to continue serving you.

Over the next few week we are stopping in all 9 counties to say THANK YOU. You have had my back and I’ll continue to have yours.

It’s time to get to work and I will keep delivering for South Texas https://t.co/0A13NpNniw",False,1590811040178376704,7,25,25,2
RepCuellar,Rep. Henry Cuellar,1586010104557875200,210926192,en,1586010104557875200,2022-10-28T15:00:50.000Z,"Im shocked and appalled by the violent attacks on Paul Pelosi. We must eliminate all forms of violence from our society. 

I am praying for Paul, Speaker Pelosi and their family as he recovers from this outrageous assault. 

🙏 🙏 🙏",False,1586010104557875200,8,24,24,1
RepCuellar,Rep. Henry Cuellar,1585729995250765824,210926192,en,1585729995250765824,2022-10-27T20:27:46.000Z,RT @NADB_BDAN: Good to see @RepCuellar &amp; @sachamberCEO Richard Perez today at @sachamber luncheon! #Border #Infrastructure #USMX 🇺🇸🇲🇽 https…,False,1585729995250765824,4,0,0,0
RepCuellar,Rep. Henry Cuellar,1584687317155221504,210926192,en,1584687317155221504,2022-10-24T23:24:33.000Z,"RT @ShannonBream: After a late Friday night data dump on the border, Democrat @RepCuellar says the Biden administration is falling down on…",False,1584687317155221504,32,0,0,0
RepCuellar,Rep. Henry Cuellar,1584575728578105344,210926192,en,1584575728578105344,2022-10-24T16:01:08.000Z,RT @MikeBoard1200: INBOX: @RepCuellar announces upgrades to Laredo border patrol checkpoint. 9 more commercial inspection lanes. Truck used…,False,1584575728578105344,5,0,0,0
RepCuellar,Rep. Henry Cuellar,1583213358140252162,210926192,en,1583213358140252162,2022-10-20T21:47:33.000Z,"The numbers are in and the data is clear - Border cities are safer than non-border major cities in the United States. 

Thank you to our local, state, and federal law enforcement that work every day to keep us safe. https://t.co/GpHGgBwEC7",False,1583213358140252162,19,7,7,2
RepCuellar,Rep. Henry Cuellar,1583212357479981057,210926192,en,1583212357479981057,2022-10-20T21:43:35.000Z,"Today, I hosted a webinar on federal funding for local law enforcement with officials from  @COPS, @DOJBJA and @USDA. 

Local law enforcement officers put their lives on the line every day. I’m committed to getting the federal resources they need to keep our communities safe. https://t.co/V4qOTZ5nrq",False,1583212357479981057,2,2,2,0
RepCuellar,Rep. Henry Cuellar,1582797287457058817,210926192,en,1582797287457058817,2022-10-19T18:14:14.000Z,RT @WhiteCoatWaste: Taxpayers shouldn't be forced to pay for dangerous #GainOfFunction animal experiments that can unleash deadly viruses &amp;…,False,1582797287457058817,12,0,0,0
RepCuellar,Rep. Henry Cuellar,1582546970291208192,210926192,en,1582546970291208192,2022-10-19T01:39:34.000Z,RT @axios: Border cities again post low crime numbers https://t.co/0sxHH3h6HS,False,1582546970291208192,29,0,0,0
RepCuellar,Rep. Henry Cuellar,1582544065345617920,210926192,en,1582544065345617920,2022-10-19T01:28:02.000Z,RT @TonyGonzales4TX: When the Uvalde shooting occurred many members reached out but only ONE showed up in Uvalde - my fellow Texan @RepCuel…,False,1582544065345617920,6,0,0,0
RepCuellar,Rep. Henry Cuellar,1582438814290968577,210926192,en,1582438814290968577,2022-10-18T18:29:48.000Z,"Today marks 50 years of the Clean Water Act, which has protected rivers, streams, lakes, and other bodies of water in South Texas for generations of families to enjoy. https://t.co/7lkPLqAqZi",False,1582438814290968577,4,0,0,1
RepCuellar,Rep. Henry Cuellar,1582398510452076545,210926192,en,1582398510452076545,2022-10-18T15:49:39.000Z,RT @txamiu: Two grants totaling $3.5 mil. that target scientific research and increase the number and quality of well-prepared Hispanic stu…,False,1582398510452076545,7,0,0,0
RepCuellar,Rep. Henry Cuellar,1580603920313122816,210926192,en,1580603920313122816,2022-10-13T16:58:35.000Z,"Contrary to popular belief, most illegal drugs are seized at ports of entry and not between our ports on the southern border. 

That is why as a senior Appropriator, I have fought for the resources CBP needs to continue fighting illegal drugs at our ports of entry. https://t.co/eBuhU7RYvX",False,1580603920313122816,10,26,26,3
RepCuellar,Rep. Henry Cuellar,1580603805447917569,210926192,en,1580603805447917569,2022-10-13T16:58:08.000Z,"In the first two years of the current administration, there have been less illegal drugs coming across the border than during the previous administration. 

Our investments in border security are working to keep illegal drugs out of our communities. https://t.co/F7VcBndEx8",False,1580603805447917569,6,173,173,33
RepCuellar,Rep. Henry Cuellar,1580589873547051009,210926192,en,1580589873547051009,2022-10-13T16:02:46.000Z,"The Social Security Administration has announced an 8.7% increase in benefits. South Texas seniors will see more money in their pockets to help put food on the table.
 
I will always fight for the Social Security benefits that South Texas seniors deserve. https://t.co/qaR1g7fak7",False,1580589873547051009,4,7,7,0
RepCuellar,Rep. Henry Cuellar,1580556836041674753,210926192,en,1580556836041674753,2022-10-13T13:51:29.000Z,"Congratulations to the @USNavy on 247 years! 
 
Thank you to the brave men and women who sacrifice to keep our seas open and free. We are grateful for your service on this day, and every day. https://t.co/3PNkDvLbzX",False,1580556836041674753,6,2,2,0
RepCuellar,Rep. Henry Cuellar,1579993648779124736,210926192,en,1579993648779124736,2022-10-12T00:33:35.000Z,"Outsiders say @cityoflaredo is a dangerous place, but they’re wrong-we were named the 3rd-safest city in the USA! 
 
Thank you to @mylaredopd, the Webb County Sheriff’s Department, and state and federal law enforcement for keeping our community safe.

https://t.co/dUe1qQgpjj",False,1579993648779124736,6,2,2,0
RepCuellar,Rep. Henry Cuellar,1579858644396802049,210926192,en,1579858644396802049,2022-10-11T15:37:07.000Z,"Today is the last day to register to vote in Texas for this year’s election. Voting is an important civic duty to make your voice heard in the democratic process. 

South Texas voters can visit https://t.co/dIxg0Yo6nB for more information. https://t.co/yUfEK5H2DY",False,1579858644396802049,4,8,8,0
RepCuellar,Rep. Henry Cuellar,1577637728937775106,210926192,en,1577637728937775106,2022-10-05T12:32:00.000Z,My family and I wish an easy fast to all those who are observing Yom Kippur. https://t.co/b0LypvM98q,False,1577637728937775106,2,4,4,0
RepCuellar,Rep. Henry Cuellar,1577456003041337345,210926192,en,1577456003041337345,2022-10-05T00:29:53.000Z,"I am always happy to work with my good friend @RepTonyGonzales for our hardworking service members at Joint Base San Antonio. 

Thank you for collaborating with me to ensure our service members have the childcare they need. https://t.co/teHfFOTEjO",False,1577456003041337345,3,5,5,0
