handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDLamborn,Rep. Doug Lamborn,1601577473535344642,584012853,en,1601577473535344642,2022-12-10T14:00:00.000Z,"Tomorrow, December 11th, tune in to the Orion spacecraft's entry back to Earth and splashdown in the Pacific Ocean to complete the @NASAArtemis I Mission! #SpaceSaturday

https://t.co/rfbWjrPrRH",False,1601577473535344642,0,0,0,0
RepDLamborn,Rep. Doug Lamborn,1600973033153650691,584012853,en,1600973033153650691,2022-12-08T21:58:10.000Z,"As Biden traded away the “Merchant of Death” who is one of the world’s most prolific arms dealers convicted of targeting Americans, retired US Marine Paul Whelan remains in a Russian prison. These actions only encourage Putin to continue to wrongfully detain Americans in Russia.",False,1600973033153650691,4,27,27,0
RepDLamborn,Rep. Doug Lamborn,1600954070394884096,584012853,en,1600954070394884096,2022-12-08T20:42:49.000Z,"Very pleased to vote for the 2023 NDAA and provide strong funding for our national defense &amp; support for America’s servicemembers.

As our adversaries continue to aggressively seek to undermine American power &amp; influence, we cannot afford delay.

https://t.co/cYwyLmT9Iv",False,1600954070394884096,3,4,4,0
RepDLamborn,Rep. Doug Lamborn,1600616809362759682,584012853,en,1600616809362759682,2022-12-07T22:22:40.000Z,"We remember all Americans who tragically lost their lives during the attacks on Pearl Harbor including those aboard the USS Arizona 81 years ago today. 

May we forever honor the sacrifices of our servicemembers on December 7th, 1941, a ""date which will live in infamy."" https://t.co/hWpGeZEJdl",False,1600616809362759682,1,2,2,0
RepDLamborn,Rep. Doug Lamborn,1600604454214111238,584012853,en,1600604454214111238,2022-12-07T21:33:34.000Z,"In the midst of a perilous military recruiting &amp; retention crisis, Biden’s COVID-19 vaccine mandate has resulted in unjust persecution of servicemembers who have sought exemptions. This is an important step in the right direction to protect the rights of our military men &amp; women. https://t.co/bvWXGSksZ8",False,1600604454214111238,2,9,9,0
RepDLamborn,Rep. Doug Lamborn,1600530885543137280,584012853,en,1600530885543137280,2022-12-07T16:41:14.000Z,"RT @DeptofDefense: Pearl Harbor Remembrance Day marks the anniversary of the unexpected attack on Pearl Harbor, Hawaii, during #WWII. Today…",False,1600530885543137280,956,0,0,0
RepDLamborn,Rep. Doug Lamborn,1600144539104473089,584012853,en,1600144539104473089,2022-12-06T15:06:02.000Z,The American people deserve as much information as we can provide regarding the intensifying threats posed by the CCP. The astounding expansion of China’s nuclear arsenal should motivate robust investments in our own nuclear capabilities. https://t.co/vewT07jPVa,False,1600144539104473089,6,14,14,2
RepDLamborn,Rep. Doug Lamborn,1599798294112190464,584012853,en,1599798294112190464,2022-12-05T16:10:10.000Z,"Grateful to have been invited by @ADFLegal to speak in support of Lorie Smith &amp; her design studio 303 Creative in front of the U.S. Supreme Court today.

A Supreme Court ruling in favor of 303 Creative would mean a victory for free speech and religious freedom everywhere. https://t.co/lYCRwgzIoT",False,1599798294112190464,16,16,16,5
RepDLamborn,Rep. Doug Lamborn,1599774122132676608,584012853,en,1599774122132676608,2022-12-05T14:34:07.000Z,Government officials shouldn't manipulate the law to cancel those they disagree with. Lorie Smith &amp; others deserve the strongest possible 1st Amendment protections as they seek to uphold the principles that are so fulfilling and central to their lives &amp; faiths. #CreateFreely https://t.co/jhC2HvkEVd,False,1599774122132676608,9,13,13,1
RepDLamborn,Rep. Doug Lamborn,1599422361295818753,584012853,zxx,1599422361295818753,2022-12-04T15:16:21.000Z,https://t.co/SIRQSNEI4r,False,1599422361295818753,6,16,16,0
RepDLamborn,Rep. Doug Lamborn,1596895472958205952,584012853,zxx,1596895472958205952,2022-11-27T15:55:24.000Z,https://t.co/SYsHtSSRgM,False,1596895472958205952,1,26,26,0
RepDLamborn,Rep. Doug Lamborn,1595781876949606401,584012853,zxx,1595781876949606401,2022-11-24T14:10:22.000Z,https://t.co/jDDTclqbBE,False,1595781876949606401,3,1,1,4
RepDLamborn,Rep. Doug Lamborn,1595072608113917956,584012853,zxx,1595072608113917956,2022-11-22T15:11:59.000Z,https://t.co/2ILbaZICPt,False,1595072608113917956,1,0,0,24
RepDLamborn,Rep. Doug Lamborn,1594385114485563392,584012853,en,1594385114485563392,2022-11-20T17:40:08.000Z,"I am saddened to hear of the senseless loss of life in the shooting last night. Law enforcement and first responders are to be commended for their rapid response.

All people should pray for the victims and their families.",False,1594385114485563392,20,462,462,620
RepDLamborn,Rep. Doug Lamborn,1593997532463616000,584012853,en,1593997532463616000,2022-11-19T16:00:01.000Z,"Cislunar space will be more important and more contested over time. It is good to see CAPSTONE leading the way in establishing the U.S. ability to securely work in and through this region. @AdvancedSpace &amp; @RocketLab 

https://t.co/hIMXtEcTfq",False,1593997532463616000,3,164,164,1
RepDLamborn,Rep. Doug Lamborn,1593982441693229056,584012853,en,1593982441693229056,2022-11-19T15:00:03.000Z,"Classification is a barrier to our national security. It stops us from talking internally about capability &amp; integration, and blocks us from being able to create successful relationships with allies to deter nations like China &amp; Russia from harmful ideas.

https://t.co/zWUUmcezlT",False,1593982441693229056,3,36,36,2
RepDLamborn,Rep. Doug Lamborn,1593967335324483584,584012853,en,1593967335324483584,2022-11-19T14:00:01.000Z,"I participated in a panel with @repjimcooper on the Space Frontier with @politico to discuss the space domain in national security. Acquisitions, innovation &amp; modernization are what we need to create a responsive &amp; survivable Space Force. 
#SpaceSaturday

https://t.co/hlOd3nuhQE",False,1593967335324483584,2,14,14,0
RepDLamborn,Rep. Doug Lamborn,1593681404784775174,584012853,en,1593681404784775174,2022-11-18T19:03:50.000Z,"RT @BreakingDefense: .@RepDLamborn  said that with regard to space, he is “focusing on acquisition; we have to be faster and leaner.” https…",False,1593681404784775174,3,0,0,0
RepDLamborn,Rep. Doug Lamborn,1593323955837968384,584012853,en,1593323955837968384,2022-11-17T19:23:28.000Z,The new Republican majority will do what the legacy media has refused to do: investigate the questionable business deals of Joe Biden and Hunter Biden. https://t.co/rhL2Rx3C3n,False,1593323955837968384,7,85,85,7
RepDLamborn,Rep. Doug Lamborn,1593263809719853056,584012853,en,1593263809719853056,2022-11-17T15:24:28.000Z,"Iran’s continued stonewalling of the IAEA makes any further consideration of a nuclear deal unfathomable. A formal censure of Iran is a long overdue and necessary first step to hold them accountable for their irresponsible nuclear escalation.

https://t.co/PNHazUJ37x",False,1593263809719853056,8,8,8,1
RepDLamborn,Rep. Doug Lamborn,1592990041768280064,584012853,en,1592990041768280064,2022-11-16T21:16:36.000Z,"RT @POLITICOLive: TUNE IN NOW to @POLITICO's defense summit ft. a panel on the space frontier w/ @repjimcooper, @RepDLamborn, &amp; @SWFoundati…",False,1592990041768280064,8,0,0,0
RepDLamborn,Rep. Doug Lamborn,1592947324221022213,584012853,en,1592947324221022213,2022-11-16T18:26:52.000Z,"RT @politico: We have a great lineup of speakers joining us at today's #POLITICODefense summit to talk about U.S. defense strategy, weapons…",False,1592947324221022213,1,0,0,0
RepDLamborn,Rep. Doug Lamborn,1592922014448160769,584012853,en,1592922014448160769,2022-11-16T16:46:17.000Z,Congratulations to @NASA and their partners on their successful @NASAArtemis launch this morning! Wishing @LockheedMartin success as the @NASA_Orion  capsule completes the remainder of the mission. https://t.co/6LKQx690UR,False,1592922014448160769,2,2,2,1
