handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDanBishop,Rep. Dan Bishop,1601382848073977857,1176522535531360257,cy,1601382848073977857,2022-12-10T01:06:37.000Z,Orwellian. https://t.co/EAwfVK5N9F,False,1601382848073977857,28,10,10,1
RepDanBishop,Rep. Dan Bishop,1601378861010518017,1176522535531360257,en,1601378861010518017,2022-12-10T00:50:47.000Z,RT @mtaibbi: @ShellenbergerMD @bariweiss @JohnBasham 25.  The FBI-flagged tweet then got circulated in the enforcement Slack. Twitter cited…,False,1601378861010518017,3005,0,0,0
RepDanBishop,Rep. Dan Bishop,1601378746010779648,1176522535531360257,en,1601378746010779648,2022-12-10T00:50:19.000Z,RT @mtaibbi: @ShellenbergerMD @bariweiss 20. This post about the Hunter Biden laptop situation shows that Roth not only met weekly with the…,False,1601378746010779648,6055,0,0,0
RepDanBishop,Rep. Dan Bishop,1601360484816801793,1176522535531360257,en,1601360484816801793,2022-12-09T23:37:46.000Z,"RT @mtaibbi: 1.     THREAD: The Twitter Files
THE REMOVAL OF DONALD TRUMP
Part One: October 2020-January 6th",False,1601360484816801793,26801,0,0,0
RepDanBishop,Rep. Dan Bishop,1601256349278433280,1176522535531360257,en,1601256349278433280,2022-12-09T16:43:58.000Z,"RT @JudiciaryGOP: Don’t forget what happened after the Dobbs leak:

-Assassination attempt on a sitting SCOTUS Justice
-Pregnancy centers h…",False,1601256349278433280,348,0,0,0
RepDanBishop,Rep. Dan Bishop,1601178739882459137,1176522535531360257,en,1601178739882459137,2022-12-09T11:35:34.000Z,I look forward to his testimony. https://t.co/My5O5dBIAl,False,1601178739882459137,11,3,3,1
RepDanBishop,Rep. Dan Bishop,1601035259600338944,1176522535531360257,en,1601035259600338944,2022-12-09T02:05:26.000Z,Did @Twitter censor public debate about US involvement in Ukraine?,False,1601035259600338944,226,91,91,21
RepDanBishop,Rep. Dan Bishop,1601029799677304833,1176522535531360257,en,1601029799677304833,2022-12-09T01:43:44.000Z,Did @jack lie to Congress? https://t.co/iLiUWEFK8x,False,1601029799677304833,175,90,90,16
RepDanBishop,Rep. Dan Bishop,1601027928795779072,1176522535531360257,en,1601027928795779072,2022-12-09T01:36:18.000Z,"RT @DarrenJBeattie: The conceptual sewage of ""stochastic terrorism"" used to justify ban of libs of tik tok despite no ""explicitly violative…",False,1601027928795779072,100,0,0,0
RepDanBishop,Rep. Dan Bishop,1601025247293022208,1176522535531360257,en,1601025247293022208,2022-12-09T01:25:39.000Z,"Twitter’s blacklist tactics are straight from the same playbook. 

Vague claims of “incitement” and “stochastic terrorism” used to silence opposition.

👇👇👇 https://t.co/YmO4myHeKM",False,1601025247293022208,61,16,16,1
