handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDanCrenshaw,Rep. Dan Crenshaw,1601328185828061184,1080894931311431682,en,1601328185828061184,2022-12-09T21:29:25.000Z,"Americans deserve to know why Biden traded one of the most dangerous Russian arms dealers for Brittney Griner, while leaving behind military veteran Paul Whelan. 

America should be negotiating from a place of strength, not weakness. https://t.co/e6xNgunCt2",False,1601328185828061184,163,232,232,13
RepDanCrenshaw,Rep. Dan Crenshaw,1600894357183557632,1080894931311431682,en,1600894357183557632,2022-12-08T16:45:32.000Z,"For too long the Biden Administration has refused to acknowledge the crisis they created. But in Texas, it’s something we bear the brunt of every day.  

Democrats don’t have a plan.
Republicans do. https://t.co/9aUHRWRB5n",False,1600894357183557632,48,59,59,6
RepDanCrenshaw,Rep. Dan Crenshaw,1600854438503395328,1080894931311431682,en,1600854438503395328,2022-12-08T14:06:55.000Z,RT @RepArrington: No one understands or appreciates the widespread social and economic costs of Biden’s Border Crisis like the people of Te…,False,1600854438503395328,22,0,0,0
RepDanCrenshaw,Rep. Dan Crenshaw,1600539011499511808,1080894931311431682,en,1600539011499511808,2022-12-07T17:13:31.000Z,"Today we honor the more than 2,400 Americans who lost their lives during the attack on Pearl Harbor. 81 years later, we still remember their sacrifice. 

“A day that will live in infamy.” https://t.co/VEbpDXjSo3",False,1600539011499511808,88,28,28,0
RepDanCrenshaw,Rep. Dan Crenshaw,1600203857664974848,1080894931311431682,en,1600203857664974848,2022-12-06T19:01:44.000Z,"NEW EPISODE!

@BrendanCarrFCC  joins us to talk about how China is using TikTok to commit espionage, train the next generation of AI, and peddle ""digital fentanyl"" to America's youth.

Listen now https://t.co/n0gVPmKpAN https://t.co/OGQnEHcdHs",False,1600203857664974848,19,20,20,5
RepDanCrenshaw,Rep. Dan Crenshaw,1600174315982331904,1080894931311431682,en,1600174315982331904,2022-12-06T17:04:21.000Z,"RT @FoxNews: Texas Rep. Dan Crenshaw proposes $6,500 bonus for Border Patrol Agents https://t.co/mOQ87xD462",False,1600174315982331904,140,0,0,0
RepDanCrenshaw,Rep. Dan Crenshaw,1599936865859121152,1080894931311431682,en,1599936865859121152,2022-12-06T01:20:48.000Z,"Biden needs to stop with this misguided Obama era obsession. It’s a flawed deal. 

Appeasement doesn’t work. Do not ease pressure. Instead, show support for the brave Iranians in the streets fighting for their lives. https://t.co/VMgkUYR6i4",False,1599936865859121152,60,71,71,5
RepDanCrenshaw,Rep. Dan Crenshaw,1598761490823127040,1080894931311431682,en,1598761490823127040,2022-12-02T19:30:17.000Z,"Deadly fentanyl is being trafficked into the U.S. more than it ever has been. The Mexican drug cartels are growing richer, stronger, and more equipped every day.

The Biden Administration doesn’t have a plan. Republicans do.",False,1598761490823127040,55,158,158,15
RepDanCrenshaw,Rep. Dan Crenshaw,1598699871191588866,1080894931311431682,en,1598699871191588866,2022-12-02T15:25:26.000Z,"Our CBP officers have bore the brunt of the Biden-Harris-Mayorkas border crisis—including dealing with cartels and deadly fentanyl. 

I’m introducing the CBP Hardship and Incentive Pay Act to compensate them for their hard work on the front lines.

https://t.co/dcQlOstdQO",False,1598699871191588866,41,62,62,6
RepDanCrenshaw,Rep. Dan Crenshaw,1598445548046000128,1080894931311431682,en,1598445548046000128,2022-12-01T22:34:50.000Z,"The brave Chinese protesters need America’s strength right now. They need support. But you won’t find either of those under the Biden Administration. Instead, just pure cowardice. https://t.co/p9FdYqtbJR",False,1598445548046000128,85,128,128,10
