handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDannyDavis,Rep. Danny K. Davis,1601263130797039618,789244177,en,1601263130797039618,2022-12-09T17:10:55.000Z,I am honored to join Senator Durbin to champion policies to prevent trauma impacting children and families. Schools are uniquely positioned to address the harmful effects of trauma. I am proud that $2.9 million in federal funding will support students in Chicago and Illinois.,False,1601263130797039618,0,1,1,0
RepDannyDavis,Rep. Danny K. Davis,1598821123336044545,789244177,en,1598821123336044545,2022-12-02T23:27:15.000Z,RT @WaysMeansCmte: WATCH Ways &amp; Means WorkFam Subcmte Chair @RepDannyDavis testify before @RulesDemocrats on #HR8876 The Jackie Walorski Ma…,False,1598821123336044545,15,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1598412981586493445,789244177,en,1598412981586493445,2022-12-01T20:25:26.000Z,"This past Saturday I participated in press conference to encourgage our communities to unite to eliminate the disparities and inequities that create barriers to HIV testing, prevention, and access to HIV care—particularly in the black community. #hivcare #hivtesting #worldaidsday https://t.co/h5gJxb4peP",False,1598412981586493445,1,1,1,2
RepDannyDavis,Rep. Danny K. Davis,1598331969389174784,789244177,en,1598331969389174784,2022-12-01T15:03:31.000Z,Today is Rosa Parks Day -- Thank God for her and all of the sheros and heroes who made life better for so many African-Americans. https://t.co/29xySyne10,False,1598331969389174784,2,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1598331969003298816,789244177,en,1598331969003298816,2022-12-01T15:03:31.000Z,"HIV is a big threat. Approximately 1.2 million people in the U.S. contracted HIV in 2020.  About 13% of them don’t know it and need testing, which confirms the need for World AIDS Day. While HIV incidence has decreased, the highest rates were for African-Americans @ 42.1%. https://t.co/O0QeREhJDo",False,1598331969003298816,7,1,1,0
RepDannyDavis,Rep. Danny K. Davis,1597980598563373062,789244177,en,1597980598563373062,2022-11-30T15:47:18.000Z,"In 1993, former President Bill Clinton signed the Brady Handgun Violence Prevention Act (the Brady Bill) into law. It was historic, but much still needs to be done. https://t.co/FBw5y1OnyU",False,1597980598563373062,1,2,2,1
RepDannyDavis,Rep. Danny K. Davis,1597733502828662786,789244177,en,1597733502828662786,2022-11-29T23:25:26.000Z,"TODAY I ANNOUNCED A $28,808,932 AWARD TO THE CHICAGO DEPARTMENT OF PUBLIC HEALTH FOR WORKFORCE-RELATED PROGRAMS https://t.co/pNagnQmdln",False,1597733502828662786,0,2,2,3
RepDannyDavis,Rep. Danny K. Davis,1595090858537353216,789244177,en,1595090858537353216,2022-11-22T16:24:30.000Z,I along with my colleagues requested an assessment of the Social Security Administration's response to Covid. Report finds that many are left behind. https://t.co/Jje2h2Otba https://t.co/wLV35edaHo,False,1595090858537353216,1,5,5,1
RepDannyDavis,Rep. Danny K. Davis,1594185874752897024,789244177,en,1594185874752897024,2022-11-20T04:28:25.000Z,RT @ChicagoCAPS15: Join us at 5015 west Madison at the McDonald's as we Host Conversation with the Commander. All are invited as we host op…,False,1594185874752897024,4,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1593641181560332289,789244177,en,1593641181560332289,2022-11-18T16:24:00.000Z,I am proud to co-sponsor H.R. 7627 - Advancing Equity Through the Arts and Humanities Act of 2022.    A shout out to museums in my district including the Field Museum. https://t.co/ebH1asAtUJ,False,1593641181560332289,2,2,2,1
RepDannyDavis,Rep. Danny K. Davis,1593604661793136641,789244177,en,1593604661793136641,2022-11-18T13:58:53.000Z,I am proud to sponsor H.R. 9331 - To amend the Internal Revenue Code of 1986 to strike the provision of the American Opportunity Tax Credit that denies the credit to students with felony drug convictions. https://t.co/N4Y15YNYMl,False,1593604661793136641,1,3,3,1
RepDannyDavis,Rep. Danny K. Davis,1593247640141320193,789244177,en,1593247640141320193,2022-11-17T14:20:13.000Z,I am proud to sponsor H.R. 9313 - To amend the Internal Revenue Code of 1986 to qualify homeless youth and veterans who are full-time students for purposes of the low-income housing tax credit. https://t.co/JmggKLqyuf,False,1593247640141320193,2,2,2,0
RepDannyDavis,Rep. Danny K. Davis,1593102976842768384,789244177,en,1593102976842768384,2022-11-17T04:45:22.000Z,"RT @nytimes: Breaking News: Karen Bass, a veteran congresswoman, won the race for mayor of Los Angeles, becoming the first woman elected to…",False,1593102976842768384,978,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1592964892348514304,789244177,en,1592964892348514304,2022-11-16T19:36:40.000Z,"RT @CGC_DC: Charitable leaders had a great meeting with @RepDannyDavis, a long time champion of the universal charitable deduction. Excited…",False,1592964892348514304,5,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1592652282176622592,789244177,en,1592652282176622592,2022-11-15T22:54:28.000Z,"RT @RepDwightEvans: 1/ I want to thank @RepDannyDavis for becoming the newest co-sponsor of my innovative bill to repair our schools, using…",False,1592652282176622592,4,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1592523441369915392,789244177,en,1592523441369915392,2022-11-15T14:22:30.000Z,"Today, I cosponsored H.R. 4086 The Rehabiliation of Historic Schools Act of 2021. https://t.co/wibQaOUwPa",False,1592523441369915392,14,2,2,1
RepDannyDavis,Rep. Danny K. Davis,1592519641070460928,789244177,en,1592519641070460928,2022-11-15T14:07:24.000Z,"As the new Dean of the Illinois Congressional Delegation, I will introduce the newly elected Illinois Members: Nikki Budzinski and Eric Sorenson.",False,1592519641070460928,1,2,2,1
RepDannyDavis,Rep. Danny K. Davis,1590365849189236736,789244177,en,1590365849189236736,2022-11-09T15:29:00.000Z,"Over 100 Principals, Counselors, and Educators along with Ministers and representatives from local hospitals will join Congressman Danny K. Davis to convene a symposium to discuss Student Trauma.  https://t.co/0K5jT0o4YX",False,1590365849189236736,2,3,3,0
RepDannyDavis,Rep. Danny K. Davis,1590078715295584257,789244177,en,1590078715295584257,2022-11-08T20:28:02.000Z,Voting is a duty we owe ourselves and our descendants for generations to come. https://t.co/WnOWFrVtGI,False,1590078715295584257,2,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1589740242155757568,789244177,en,1589740242155757568,2022-11-07T22:03:04.000Z,"At a Press Conference to announce $185,000,000 in new tax credits.  Joining me are Pam Daniels-Halisi, Managing Director of Community Lending and President of BMO Harris New Markets Fund, Mimi LeClair, President and CEO, Boy and Girls Club of Chicago, &amp; Dr. Elizabeth Lockhart. https://t.co/wiF3csy4VJ",False,1589740242155757568,1,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1589700997621854208,789244177,en,1589700997621854208,2022-11-07T19:27:07.000Z,We must come forward and vote because on vote has the power to bring about change to America. I love to see my fellow citizen coming out to make their voices heard. https://t.co/A6NYffbrgU,False,1589700997621854208,1,2,2,0
RepDannyDavis,Rep. Danny K. Davis,1589698498148159489,789244177,en,1589698498148159489,2022-11-07T19:17:11.000Z,Wishing a Happy Election Day to all Americans lets be responsible. To vote is our right and our duty as Americans we must fulfill them both because somewhere inside of all us is the power to change the world. https://t.co/PhrRbLvbUH,False,1589698498148159489,1,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1589698406636998656,789244177,en,1589698406636998656,2022-11-07T19:16:49.000Z,Wishing a Happy Election Day to all Americans lets be responsible. To vote is our right and our duty as Americans we must fulfill them both because somewhere inside of all us is the power to change the world. https://t.co/uZDI06MyNo,False,1589698406636998656,1,1,1,0
RepDannyDavis,Rep. Danny K. Davis,1589291814737313793,789244177,en,1589291814737313793,2022-11-06T16:21:10.000Z,RT @AP: Fall back tonight: Remember to set your clocks back an hour in the U.S. -- and get an extra hour of sleep -- as daylight saving tim…,False,1589291814737313793,161,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1588973476387618817,789244177,en,1588973476387618817,2022-11-05T19:16:13.000Z,"Delighted to attend the @aboveandbeyondfrc event last night!

I enjoyed chatting with @lamarodom about expanding access to addiction treatment centers in our most marginalized communities. If you are knocked down you can get back up, but only with the right resources. https://t.co/qhexlw9Bb2",False,1588973476387618817,3,0,0,0
RepDannyDavis,Rep. Danny K. Davis,1588894415061401600,789244177,en,1588894415061401600,2022-11-05T14:02:03.000Z,"The Biden administration is providing up to $20,000 in debt cancellation to Pell Grant recipients and up to $10,000 for all other borrowers. 1,486,600 borrowers in Illinois will be eligible for immediate student loan relief, with 863,600 of these borrowers qualifying for $20,000.",False,1588894415061401600,1,2,2,0
RepDannyDavis,Rep. Danny K. Davis,1588711969632448516,789244177,en,1588711969632448516,2022-11-05T01:57:05.000Z,"RT @SpeakerPelosi: The October jobs numbers are the latest evidence that, under President Biden and the Democratic Congress, America contin…",False,1588711969632448516,4110,0,0,0
