handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDaveJoyce,Dave Joyce,1600883654863245312,976969338,en,1600883654863245312,2022-12-08T16:03:00.000Z,"RT @RiponAdvance: With estimates that hundreds of thousands of rape kits across the country remain untested, @RepDaveJoyce recently reintro…",False,1600883654863245312,1,0,0,0
RepDaveJoyce,Dave Joyce,1600515452333182977,976969338,en,1600515452333182977,2022-12-07T15:39:54.000Z,"Dec. 7, 1941. A day that has lived in infamy - as have the 2,403 Americans who were killed during the attack on #PearlHarbor.

I am forever grateful for the #GreatestGeneration of Americans who fought for freedom in WWII and the sacrifices they made in defense of our nation 🇺🇸 https://t.co/h7yFao71aJ",False,1600515452333182977,1,19,19,0
RepDaveJoyce,Dave Joyce,1600176222436089856,976969338,en,1600176222436089856,2022-12-06T17:11:55.000Z,I’m proud to re-introduce this legislation w/ @RepJohnKatko @RepAnnieKuster @RepSpeier to combat the rape kit backlog. Each of these kits represent real people. We are committed to increasing their access to justice &amp; holding their assailants accountable. https://t.co/BMwOgJLggN,False,1600176220598984713,1,14,14,0
RepDaveJoyce,Dave Joyce,1600176220598984713,976969338,en,1600176220598984713,2022-12-06T17:11:55.000Z,"In Ohio, we’ve given law enforcement the tools they need to improve the processing of rape kits and hold those who commit these horrible crimes of sexual violence accountable.

We must ensure that same progress can be implemented across the country. https://t.co/utcWlAehTI",False,1600176220598984713,3,14,14,0
RepDaveJoyce,Dave Joyce,1599590642069405698,976969338,en,1599590642069405698,2022-12-05T02:25:02.000Z,RT @washingtonpost: Analysis: “Everybody’s a Joe Manchin.” A GOP moderate looks ahead to a very narrowly divided House https://t.co/VmFpn4U…,False,1599590642069405698,20,0,0,0
RepDaveJoyce,Dave Joyce,1599437303268536320,976969338,en,1599437303268536320,2022-12-04T16:15:43.000Z,RT @LACaldwellDC: “Democrats didn’t win anything. We lost. And we lost because some of the arguments that were being made and some of the c…,False,1599437303268536320,5,0,0,0
RepDaveJoyce,Dave Joyce,1599238603275522048,976969338,en,1599238603275522048,2022-12-04T03:06:10.000Z,RT @ThisWeekABC: EXCLUSIVE: @GStephanopoulos speaks with @RepDaveJoyce about the new House GOP majority and the party's priorities next yea…,False,1599238603275522048,6,0,0,0
RepDaveJoyce,Dave Joyce,1599043732732403712,976969338,en,1599043732732403712,2022-12-03T14:11:49.000Z,Let's go Hornets!! 🏈🏆  https://t.co/2FpjJ4zGZq,False,1599043732732403712,0,99,99,1
RepDaveJoyce,Dave Joyce,1598775670037188608,976969338,en,1598775670037188608,2022-12-02T20:26:38.000Z,RT @RepMikeCarey: Congratulations to my dear friend Dave Hobson on being instated into the Ohio Veterans Hall of Fame! Thank you for the la…,False,1598775670037188608,1,0,0,0
RepDaveJoyce,Dave Joyce,1598384161089523712,976969338,en,1598384161089523712,2022-12-01T18:30:55.000Z,"Just learned that 11 OH-14 constituents took part in the prestigious @FulbrightPrgrm in 2022, which has been one of the most sought-after educational exchange programs in the world for 75 years. Immensely proud to have these students representing Ohio abroad.",False,1598384161089523712,0,31,31,3
RepDaveJoyce,Dave Joyce,1598080497200267266,976969338,en,1598080497200267266,2022-11-30T22:24:16.000Z,"This week I introduced the IMPACTT Human Trafficking Act to give survivors and law enforcement officers investigating these crimes the resources and support they need.

Glad to have @RepSlotkin @RepAnnWagner @repdinatitus join me in this critical effort. https://t.co/YRu5mvofM2",False,1598080497200267266,2,12,12,1
RepDaveJoyce,Dave Joyce,1597607841376120832,976969338,en,1597607841376120832,2022-11-29T15:06:06.000Z,"RT @RiponAdvance: In an effort to better support America’s military service members and their families, @RepDaveJoyce and almost 60 of his…",False,1597607841376120832,3,0,0,0
RepDaveJoyce,Dave Joyce,1597354164082085888,976969338,en,1597354164082085888,2022-11-28T22:18:04.000Z,"This bipartisan bill gives lawmakers the answers they need to effectively regulate cannabis &amp; forces executive agencies to prepare for the inevitable end to prohibition. With a deadline of 1 year to act, PREPARE bolsters @POTUS' EO's, paving the way for more comprehensive reform.",False,1597354161641000960,10,11,11,1
RepDaveJoyce,Dave Joyce,1597354161641000960,976969338,en,1597354161641000960,2022-11-28T22:18:04.000Z,"Proud to announce that with the addition of @RepBarbaraLee today, all of my fellow Cannabis Caucus Co-Chairs support the PREPARE Act! https://t.co/FUO5spSRcs",False,1597354161641000960,15,10,10,3
RepDaveJoyce,Dave Joyce,1597322025655492609,976969338,en,1597322025655492609,2022-11-28T20:10:22.000Z,"RT @HSBCgop: Main Street continues to grapple with the detrimental impacts of inflation.

33% of small business owners cited inflation as t…",False,1597322025655492609,18,0,0,0
RepDaveJoyce,Dave Joyce,1597263975825444864,976969338,en,1597263975825444864,2022-11-28T16:19:42.000Z,An incredible season for the @JAFalcons! Please join me in congratulating these young men on taking Jefferson Area High School to the Division IV state semifinals for the first time in history - something that no team from Ashtabula County has ever done. https://t.co/qws8wvCTJ5,False,1597263975825444864,1,3,3,0
RepDaveJoyce,Dave Joyce,1596517832065310721,976969338,en,1596517832065310721,2022-11-26T14:54:47.000Z,"With ongoing inflation, worker shortages and supply chain disruptions, now more than ever, #smallbusinesses need support not only on Small Business Saturday but every day. Learn which businesses in our area are participating on @SBAgov's website: https://t.co/heqCgrbeZd",False,1596517828223541252,1,3,3,0
RepDaveJoyce,Dave Joyce,1596517828223541252,976969338,en,1596517828223541252,2022-11-26T14:54:46.000Z,Today is #SmallBusinessSaturday - a day for us to come together as a community to support local and family-owned businesses. https://t.co/TfAmiy0pLq,False,1596517828223541252,1,4,4,0
RepDaveJoyce,Dave Joyce,1596515518705700864,976969338,en,1596515518705700864,2022-11-26T14:45:36.000Z,"RT @newsheraldinoh: Colleagues and friends remember Cleveland firefighter, Kirtland resident Johnny Tetrick killed in the line of duty http…",False,1596515518705700864,2,0,0,0
RepDaveJoyce,Dave Joyce,1596180558295359488,976969338,en,1596180558295359488,2022-11-25T16:34:35.000Z,RT @Browns: Happy Birthday to the legend @BernieKosarQB! 🥳 https://t.co/KdQJMYskHs,False,1596180558295359488,171,0,0,0
RepDaveJoyce,Dave Joyce,1595795125866795009,976969338,en,1595795125866795009,2022-11-24T15:03:01.000Z,"I hope you are able to spend this holiday surrounded by those you love and enjoy a meal, fun times, and of course some football. From my family to yours, we wish everyone a #HappyThanksgiving. https://t.co/v6yaJd7W6Z",False,1595795113426444290,0,1,1,0
